date,EURUSD,empty,sum
2018.11.28,-438.9999999999894,,-438.9999999999894
2018.11.28,-422.9999999999956,,-422.9999999999956
2018.11.28,-449.9999999999948,,-449.9999999999948
2018.11.28,-405.9999999999952,,-405.9999999999952
2018.11.28,-418.9999999999916,,-418.9999999999916
2018.11.28,-540.9999999999915,,-540.9999999999915
2018.11.28,-611.9999999999903,,-611.9999999999903
2018.11.28,-639.9999999999961,,-639.9999999999961
2018.11.28,-554.9999999999944,,-554.9999999999944
2018.11.28,-530.9999999999926,,-530.9999999999926
2018.11.28,-588.9999999999951,,-588.9999999999951
2018.11.28,-514.9999999999987,,-514.9999999999987
2018.11.28,-475.0000000000032,,-475.0000000000032
2018.11.28,-543.999999999989,,-543.999999999989
2018.11.28,-601.000000000007,,-601.000000000007
2018.11.28,-565.9999999999999,,-565.9999999999999
2018.11.28,-514.9999999999987,,-514.9999999999987
2018.11.28,-526.9999999999886,,-526.9999999999886
2018.11.28,-519.9999999999872,,-519.9999999999872
2018.11.28,-591.0000000000082,,-591.0000000000082
2018.11.28,-638.0000000000052,,-638.0000000000052
2018.11.28,-624.9999999999867,,-624.9999999999867
2018.11.28,-642.9999999999936,,-642.9999999999936
2018.11.28,-565.9999999999999,,-565.9999999999999
2018.11.28,-546.000000000002,,-546.000000000002
2018.11.28,52.000000000007596,,52.000000000007596
2018.11.28,45.000000000006146,,45.000000000006146
2018.11.28,371.99999999999454,,371.99999999999454
2018.11.28,351.0000000000124,,351.0000000000124
2018.11.28,432.0000000000102,,432.0000000000102
2018.11.28,361.0000000000113,,361.0000000000113
2018.11.28,309.0000000000037,,309.0000000000037
2018.11.28,300.00000000001137,,300.00000000001137
2018.11.28,286.99999999999284,,286.99999999999284
2018.11.28,268.0000000000016,,268.0000000000016
2018.11.29,286.99999999999284,,286.99999999999284
2018.11.29,283.000000000011,,283.000000000011
2018.11.29,287.9999999999994,,287.9999999999994
2018.11.29,280.0000000000136,,280.0000000000136
2018.11.29,252.0000000000078,,252.0000000000078
2018.11.29,270.99999999999903,,270.99999999999903
2018.11.29,304.9999999999997,,304.9999999999997
2018.11.29,303.9999999999932,,303.9999999999932
2018.11.29,330.9999999999924,,330.9999999999924
2018.11.29,341.00000000001353,,341.00000000001353
2018.11.29,384.00000000000654,,384.00000000000654
2018.11.29,381.99999999999346,,381.99999999999346
2018.11.29,442.9999999999934,,442.9999999999934
2018.11.29,466.00000000001086,,466.00000000001086
2018.11.29,482.00000000000466,,482.00000000000466
2018.11.29,468.00000000000176,,468.00000000000176
2018.11.29,432.0000000000102,,432.0000000000102
2018.11.29,412.00000000001234,,412.00000000001234
2018.11.29,428.00000000000614,,428.00000000000614
2018.11.29,497.99999999999847,,497.99999999999847
2018.11.29,487.99999999999955,,487.99999999999955
2018.11.29,365.99999999999966,,365.99999999999966
2018.11.29,319.0000000000026,,319.0000000000026
2018.11.29,310.9999999999946,,310.9999999999946
2018.11.29,245.0000000000063,,245.0000000000063
2018.11.29,113.00000000000753,,113.00000000000753
2018.11.29,127.99999999999478,,127.99999999999478
2018.11.29,269.9999999999925,,269.9999999999925
2018.11.29,385.00000000001313,,385.00000000001313
2018.11.29,469.0000000000083,,469.0000000000083
2018.11.29,499.000000000005,,499.000000000005
2018.11.29,322.00000000000006,,322.00000000000006
2018.11.29,319.0000000000026,,319.0000000000026
2018.11.29,445.0000000000065,,445.0000000000065
2018.11.29,388.9999999999949,,388.9999999999949
2018.11.29,469.0000000000083,,469.0000000000083
2018.11.29,395.99999999999636,,395.99999999999636
2018.11.29,425.99999999999307,,425.99999999999307
2018.11.29,378.999999999996,,378.999999999996
2018.11.29,330.0000000000081,,330.0000000000081
2018.11.29,374.999999999992,,374.999999999992
2018.11.29,364.9999999999931,,364.9999999999931
2018.11.29,330.9999999999924,,330.9999999999924
2018.11.29,495.000000000001,,495.000000000001
2018.11.29,483.99999999999557,,483.99999999999557
2018.11.29,499.000000000005,,499.000000000005
2018.11.29,495.000000000001,,495.000000000001
2018.11.29,534.0000000000123,,534.0000000000123
2018.11.30,504.9999999999999,,504.9999999999999
2018.11.30,486.00000000000864,,486.00000000000864
2018.11.30,500.9999999999959,,500.9999999999959
2018.11.30,530.9999999999926,,530.9999999999926
2018.11.30,530.9999999999926,,530.9999999999926
2018.11.30,496.00000000000756,,496.00000000000756
2018.11.30,463.9999999999977,,463.9999999999977
2018.11.30,510.99999999999477,,510.99999999999477
2018.11.30,541.9999999999981,,541.9999999999981
2018.11.30,587.0000000000042,,587.0000000000042
2018.11.30,571.9999999999948,,571.9999999999948
2018.11.30,561.0000000000115,,561.0000000000115
2018.11.30,534.9999999999966,,534.9999999999966
2018.11.30,531.9999999999991,,531.9999999999991
2018.11.30,540.0000000000072,,540.0000000000072
2018.11.30,523.0000000000068,,523.0000000000068
2018.11.30,537.0000000000097,,537.0000000000097
2018.11.30,512.0000000000014,,512.0000000000014
2018.11.30,490.0000000000126,,490.0000000000126
2018.11.30,415.99999999999415,,415.99999999999415
2018.11.30,407.0000000000018,,407.0000000000018
2018.11.30,478.0000000000006,,478.0000000000006
2018.11.30,364.9999999999931,,364.9999999999931
2018.11.30,312.00000000000114,,312.00000000000114
2018.11.30,270.99999999999903,,270.99999999999903
2018.11.30,307.99999999999716,,307.99999999999716
2018.11.30,361.9999999999957,,361.9999999999957
2018.11.30,319.0000000000026,,319.0000000000026
2018.11.30,263.99999999999756,,263.99999999999756
2018.11.30,266.0000000000107,,266.0000000000107
2018.11.30,253.99999999999866,,253.99999999999866
2018.11.30,175.99999999999838,,175.99999999999838
2018.11.30,151.9999999999966,,151.9999999999966
2018.11.30,-11.00000000000545,,-11.00000000000545
2018.11.30,-45.99999999999049,,-45.99999999999049
2018.11.30,-157.99999999999147,,-157.99999999999147
2018.11.30,-174.00000000000747,,-174.00000000000747
2018.11.30,-181.9999999999933,,-181.9999999999933
2018.11.30,-170.00000000000347,,-170.00000000000347
2018.11.30,-246.99999999999721,,-246.99999999999721
2018.11.30,-314.99999999999864,,-314.99999999999864
2018.11.30,-249.99999999999466,,-249.99999999999466
2018.11.30,-279.99999999999136,,-279.99999999999136
2018.11.30,-306.9999999999906,,-306.9999999999906
2018.11.30,-295.0000000000008,,-295.0000000000008
2018.11.30,-178.99999999999582,,-178.99999999999582
2018.11.30,-236.99999999999832,,-236.99999999999832
2018.11.30,-235.99999999999176,,-235.99999999999176
