date,GBPUSD,NZDUSD,NZDCHF,EURGBP,empty,sum
2016.09.20,395.000000000012,-426.00000000000415,-453.0000000000034,11.999999999989797,,-472.0000000000058
2016.09.20,351.99999999999676,-478.9999999999961,-525.9999999999932,8.999999999992347,,-644.0000000000001
2016.09.20,467.0000000000174,-614.0000000000034,-629.0000000000018,29.999999999996696,,-745.9999999999911
2016.09.20,426.9999999999996,-544.0,-597.9999999999985,78.99999999999574,,-636.0000000000032
2016.09.20,446.9999999999974,-605.0,-642.9999999999936,78.99999999999574,,-722.0000000000005
2016.09.20,423.0000000000178,-641.9999999999982,-676.9999999999943,54.999999999993946,,-840.9999999999808
2016.09.20,409.0000000000149,-648.9999999999995,-692.0000000000038,55.99999999998939,,-875.999999999999
2016.09.20,380.00000000000256,-648.9999999999995,-695.0000000000011,45.99999999999049,,-918.0000000000077
2016.09.20,397.0000000000029,-661.9999999999959,-697.0000000000032,46.999999999997044,,-914.9999999999991
2016.09.20,402.9999999999978,-702.9999999999981,-722.0000000000005,27.999999999994696,,-994.000000000006
2016.09.20,390.0000000000015,-661.0000000000005,-680.9999999999983,28.999999999990145,,-923.0000000000072
2016.09.20,405.0000000000109,-619.0000000000028,-639.0000000000007,25.999999999992696,,-826.9999999999999
2016.09.20,370.00000000000364,-648.0000000000041,-673.0000000000014,-4.000000000004,,-955.0000000000058
2016.09.20,599.0000000000161,-910.9999999999951,-792.0000000000039,-44.0000000000107,,-1147.9999999999934
2016.09.20,406.00000000001745,-888.9999999999953,-736.0000000000033,-160.00000000000458,,-1378.9999999999857
2016.09.20,354.0000000000099,-959.9999999999942,-719.000000000003,-218.00000000000708,,-1542.9999999999943
2016.09.20,42.0000000000087,-856.9999999999967,-639.9999999999961,-336.00000000000296,,-1790.999999999987
2016.09.20,113.00000000000753,-880.000000000003,-665.9999999999999,-270.0000000000036,,-1702.999999999999
2016.09.20,110.00000000001009,-900.0000000000008,-720.9999999999939,-265.0000000000041,,-1775.9999999999886
2016.09.20,46.999999999997044,-932.999999999995,-729.0000000000018,-304.00000000000426,,-1919.000000000004
2016.09.20,-229.99999999999687,-920.9999999999941,-758.0000000000031,-415.0000000000098,,-2324.0000000000036
2016.09.20,-305.9999999999841,-870.0000000000041,-731.0000000000039,-488.00000000001063,,-2395.0000000000027
2016.09.20,-322.00000000000006,-897.9999999999987,-785.9999999999978,-503.000000000009,,-2509.000000000006
2016.09.20,-256.99999999999613,-927.0,-790.9999999999973,-504.9999999999999,,-2479.999999999993
2016.09.20,-310.9999999999946,-936.0000000000035,-814.9999999999991,-471.0000000000103,,-2533.0000000000077
2016.09.20,-398.9999999999938,-919.0000000000032,-844.0000000000003,-533.0000000000057,,-2695.0000000000027
2016.09.20,-370.999999999988,-912.0000000000017,-820.999999999994,-536.0000000000032,,-2639.999999999987
2016.09.20,-381.99999999999346,-970.9999999999997,-881.9999999999939,-531.0000000000036,,-2765.999999999991
2016.09.20,-340.9999999999913,-717.000000000001,-663.999999999998,-496.00000000000756,,-2217.9999999999977
2016.09.20,-510.99999999999477,-587.9999999999997,-534.0000000000011,-507.0000000000019,,-2139.9999999999977
2016.09.20,-312.00000000000114,-680.9999999999983,-576.9999999999942,-404.0000000000044,,-1973.999999999998
2016.09.20,-265.99999999998846,-673.0000000000014,-539.0000000000006,-401.00000000000693,,-1878.9999999999973
2016.09.20,-166.99999999998383,-603.9999999999934,-505.99999999999534,-298.0000000000094,,-1574.999999999982
2016.09.20,-190.00000000000128,-568.0000000000018,-490.999999999997,-292.00000000000335,,-1541.0000000000034
2016.09.20,-244.9999999999841,-536.9999999999986,-434.000000000001,-359.0000000000093,,-1574.999999999993
2016.09.20,-251.00000000000122,-546.9999999999975,-495.000000000001,-302.0000000000023,,-1595.000000000002
2016.09.20,-227.99999999998377,-561.0000000000003,-486.999999999993,-289.0000000000059,,-1564.999999999983
2016.09.20,-201.99999999999108,-592.0000000000036,-527.9999999999951,-237.00000000000944,,-1558.9999999999995
2016.09.20,-147.99999999999258,-644.0000000000001,-548.9999999999995,-210.00000000001017,,-1551.0000000000025
2016.09.20,-133.99999999998968,-609.000000000004,-525.9999999999932,-207.00000000000162,,-1475.9999999999884
2016.09.20,-161.99999999999548,-619.0000000000028,-558.9999999999984,-187.00000000000384,,-1527.0000000000007
2016.09.20,-122.99999999998423,-595.0000000000011,-510.99999999999477,-134.0000000000008,,-1362.999999999981
2016.09.21,-116.99999999998934,-605.0,-527.9999999999951,-124.00000000000189,,-1373.9999999999864
2016.09.21,-173.99999999998528,-612.0000000000015,-536.0000000000032,-152.00000000000767,,-1473.9999999999977
2016.09.21,-123.99999999999079,-639.9999999999961,-585.9999999999976,-131.00000000000333,,-1480.999999999988
2016.09.21,-139.00000000000023,-612.0000000000015,-554.9999999999944,-160.00000000000458,,-1466.0000000000007
2016.09.21,-129.99999999998568,-642.9999999999936,-585.9999999999976,-139.00000000000023,,-1497.999999999977
2016.09.21,-170.00000000000347,-626.0000000000043,-558.9999999999984,-182.00000000000438,,-1537.0000000000105
2016.09.21,-182.99999999999983,-609.000000000004,-544.9999999999955,-205.00000000001074,,-1542.00000000001
2016.09.21,-18.999999999991246,-665.0000000000044,-583.0000000000002,-87.00000000000374,,-1353.9999999999995
2016.09.21,-12.999999999996348,-629.9999999999973,-541.9999999999981,-82.99999999999974,,-1267.9999999999916
2016.09.21,-14.000000000002899,-605.0,-519.0000000000028,-80.00000000000229,,-1218.0000000000082
2016.09.21,-122.99999999998423,-556.0000000000009,-459.99999999999375,-152.00000000000767,,-1290.9999999999866
2016.09.21,-181.9999999999933,-588.9999999999951,-466.9999999999952,-199.00000000000472,,-1436.9999999999884
2016.09.21,-237.99999999998266,-600.999999999996,-503.99999999999335,-184.00000000000637,,-1526.9999999999784
2016.09.21,-275.000000000003,-578.9999999999961,-512.0000000000014,-226.00000000000398,,-1592.0000000000045
2016.09.21,-475.0000000000032,-441.0000000000025,-463.0000000000023,-212.00000000000108,,-1591.000000000009
