date,EURUSD,USDJPY,USDCAD,CHFJPY,EURJPY,EURNZD,NZDCAD,empty,sum
2019.04.08,500.9999999999959,153.99999999999636,652.0000000000082,13.999999999995794,341.0000000000082,575.9999999999987,-234.99999999999633,,2003.0000000000068
2019.04.08,528.9999999999795,176.00000000000193,702.0000000000026,-2.0000000000095497,350.0000000000085,651.9999999999859,-282.99999999999994,,2123.999999999969
2019.04.08,513.9999999999923,147.99999999999613,720.0000000000095,-19.000000000005457,364.0000000000043,581.9999999999936,-273.9999999999965,,2034.999999999994
2019.04.08,477.99999999997846,146.0000000000008,722.0000000000005,-19.000000000005457,327.0000000000124,507.9999999999973,-263.0000000000021,,1898.999999999982
2019.04.08,475.99999999998755,123.99999999999523,699.0000000000052,-40.00000000000625,346.00000000000364,496.99999999999187,-244.99999999999523,,1856.999999999982
2019.04.08,472.9999999999901,116.99999999999022,705.0000000000001,-39.00000000000148,350.9999999999991,594.99999999999,-307.0000000000017,,1894.9999999999663
2019.04.08,476.9999999999941,117.999999999995,670.9999999999993,-25.000000000005684,356.00000000000875,610.9999999999837,-277.000000000005,,1930.99999999997
2019.04.08,504.9999999999999,144.99999999999602,741.9999999999982,-49.000000000006594,356.00000000000875,609.9999999999994,-307.99999999999716,,2000.9999999999986
2019.04.08,480.99999999999807,132.99999999999557,687.0000000000153,-41.00000000001103,343.0000000000035,589.9999999999794,-280.9999999999979,,1911.9999999999834
2019.04.08,469.99999999999267,170.99999999999227,689.0000000000063,-6.000000000000227,306.0000000000116,566.9999999999842,-290.00000000000136,,1906.9999999999854
2019.04.09,457.9999999999807,140.99999999999113,666.9999999999953,48.99999999999238,314.00000000000716,530.9999999999926,-258.0000000000027,,1901.9999999999568
2019.04.09,462.9999999999912,140.99999999999113,703.0000000000092,14.999999999986358,315.00000000001194,513.9999999999923,-263.0000000000021,,1887.9999999999798
2019.04.09,484.9999999999799,144.99999999999602,722.0000000000005,-34.000000000006025,336.00000000001273,617.9999999999852,-319.99999999999807,,1951.99999999997
2019.04.09,422.9999999999956,156.99999999999648,680.0000000000139,18.999999999991246,249.00000000000944,549.9999999999839,-309.0000000000037,,1768.9999999999873
