date,AUDUSD,NZDUSD,GBPCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,EURAUD,EURNZD,AUDNZD,empty,sum
2017.01.24,-506.0000000000064,-1167.9999999999914,757.999999999992,-985.999999999998,170.99999999999892,-520.0000000000102,-680.9999999999983,86.99999999999264,-1368.999999999998,-845.9999999999912,,-5060.000000000009
2017.01.24,-433.0000000000056,-1099.9999999999898,773.9999999999858,-985.999999999998,161.00000000000003,-330.0000000000125,-607.9999999999864,85.00000000000173,-1347.0000000000093,-865.999999999989,,-4650.000000000003
2017.01.24,-369.0000000000082,-1083.0000000000007,1168.9999999999977,-933.000000000006,441.0000000000025,176.9999999999925,-161.99999999999548,187.00000000000384,-1305.0000000000007,-882.9999999999893,,-2761.0000000000036
2017.01.24,-341.0000000000024,-1038.99999999999,1216.9999999999793,-933.000000000006,453.0000000000034,295.99999999999227,-117.99999999999588,225.99999999999287,-1255.0000000000061,-862.9999999999916,,-2357.000000000024
2017.01.24,-433.0000000000056,-1109.9999999999998,1399.999999999979,-968.9999999999976,597.0000000000031,728.0000000000086,-446.9999999999974,136.00000000000279,-1344.0000000000118,-876.9999999999944,,-2319.000000000013
2017.01.24,-401.00000000000693,-1078.9999999999966,1316.9999999999905,-918.0000000000077,553.999999999999,709.0000000000032,-414.00000000000324,219.99999999999798,-1228.9999999999911,-807.0000000000022,,-2048.0000000000173
2017.01.24,-358.0000000000028,-1035.9999999999925,1330.9999999999934,-909.9999999999997,563.0000000000024,688.999999999993,-309.99999999998806,147.00000000000824,-1293.000000000011,-818.9999999999919,,-1995.9999999999886
2017.01.24,-354.0000000000099,-1003.9999999999937,1339.9999999999857,-929.000000000002,590.0000000000016,700.9999999999934,-452.99999999999227,45.99999999999049,-1341.9999999999986,-812.999999999997,,-2218.0000000000227
2017.01.24,-314.0000000000032,-925.9999999999935,1362.999999999981,-901.0000000000074,618.0000000000074,764.9999999999864,-305.9999999999841,35.00000000000725,-1279.000000000008,-761.999999999996,,-1707.0000000000105
2017.01.24,-286.00000000000847,-916.99999999999,1395.9999999999973,-946.9999999999978,648.0000000000041,774.0000000000009,-361.9999999999957,-35.00000000000725,-1385.9999999999984,-768.9999999999975,,-1883.999999999993
2017.01.24,-287.0000000000039,-914.9999999999991,1389.9999999999802,-946.9999999999978,634.0000000000013,782.0000000000107,-383.99999999998437,-32.999999999994145,-1391.0000000000089,-760.9999999999894,,-1911.9999999999854
2017.01.24,-317.0000000000006,-883.0000000000005,1353.9999999999886,-873.0000000000016,603.0000000000091,711.0000000000127,-258.0000000000027,8.000000000008,-1225.9999999999939,-680.9999999999983,,-1561.999999999979
2017.01.24,-313.00000000000773,-866.9999999999956,1341.9999999999986,-863.9999999999981,592.9999999999991,711.9999999999891,-211.99999999998997,24.000000000001798,-1185.9999999999982,-666.9999999999953,,-1437.9999999999961
2017.01.24,-306.00000000000625,-881.9999999999939,1414.9999999999884,-863.0000000000026,656.000000000001,840.0000000000034,-133.99999999998968,29.999999999996696,-1218.000000000008,-695.0000000000011,,-1157.0000000000118
2017.01.25,-312.00000000000114,-885.999999999998,1382.9999999999786,-902.0000000000028,696.0000000000077,824.0000000000123,-110.99999999999443,-147.00000000000824,-1324.9999999999984,-757.999999999992,,-1537.9999999999964
2017.01.25,-315.0000000000097,-951.9999999999973,1460.999999999979,-965.0000000000048,726.0000000000044,996.9999999999857,-56.99999999999594,-19.00000000001345,-1383.000000000001,-770.9999999999884,,-1278.0000000000414
2017.01.25,-347.0000000000084,-942.9999999999939,1570.999999999989,-948.9999999999999,755.0000000000057,1092.9999999999893,-31.999999999987594,-76.99999999999375,-1371.0000000000111,-756.9999999999854,,-1056.9999999999961
2017.01.25,-393.00000000001,-961.0000000000008,1614.9999999999886,-958.9999999999987,792.9999999999993,1106.9999999999993,-12.999999999996348,-163.00000000000205,-1410.0000000000002,-678.0000000000008,,-1062.0000000000218
2017.01.25,-450.00000000000597,-1006.9999999999912,1629.9999999999982,-1006.0000000000069,800.0000000000007,1079.0000000000077,14.000000000002899,-269.00000000000813,-1503.9999999999943,-675.9999999999877,,-1388.999999999985
2017.01.25,-384.00000000000654,-956.9999999999967,1600.9999999999857,-948.0000000000044,787.0000000000043,929.000000000002,-85.00000000000173,-242.00000000000887,-1618.9999999999927,-1065.0000000000048,,-1983.0000000000236
2017.01.25,-71.00000000000995,-950.9999999999908,1588.999999999996,-935.0000000000081,773.0000000000015,789.999999999992,-70.99999999999883,465.0000000000043,-1358.999999999999,-1147.9999999999934,,-918.0000000000064
2017.01.25,66.99999999999484,-861.9999999999961,1644.9999999999854,-846.9999999999977,796.0000000000078,774.0000000000009,-112.000000000001,741.9999999999982,-1164.9999999999939,-1171.9999999999952,,-133.99999999999636
2017.01.25,10.999999999994348,-886.9999999999934,1587.9999999999893,-846.0000000000023,774.000000000008,591.0000000000082,-239.99999999999577,676.9999999999943,-1156.0000000000014,-1139.9999999999854,,-627.9999999999841
2017.01.25,27.999999999994696,-886.9999999999934,1561.9999999999968,-865.0000000000047,751.0000000000017,591.0000000000082,-304.9999999999997,687.9999999999998,-1198.0000000000102,-1168.9999999999977,,-804.0000000000048
2017.01.25,59.99999999999339,-869.999999999993,1613.999999999982,-862.0000000000072,789.0000000000064,585.000000000008,-306.9999999999906,729.9999999999862,-1198.0000000000102,-1194.0000000000061,,-653.0000000000314
2017.01.25,75.9999999999983,-863.9999999999981,1600.9999999999857,-868.000000000002,781.0000000000094,618.9999999999998,-261.0000000000001,723.0000000000069,-1201.0000000000077,-1173.0000000000018,,-567.0000000000095
