date,CHFJPY,empty,sum
2020.11.17,-338.0000000000081,,-338.0000000000081
2020.11.18,-365.0000000000091,,-365.0000000000091
2020.11.18,-335.9999999999985,,-335.9999999999985
2020.11.18,-322.00000000000273,,-322.00000000000273
2020.11.18,-320.0000000000074,,-320.0000000000074
2020.11.18,-413.0000000000109,,-413.0000000000109
2020.11.18,-460.00000000000796,,-460.00000000000796
2020.11.18,-472.999999999999,,-472.999999999999
2020.11.18,-459.0000000000032,,-459.0000000000032
2020.11.18,-401.00000000001046,,-401.00000000001046
2020.11.18,-383.0000000000098,,-383.0000000000098
2020.11.18,-398.00000000001035,,-398.00000000001035
2020.11.18,-386.0000000000099,,-386.0000000000099
2020.11.18,-384.00000000000034,,-384.00000000000034
2020.11.18,-352.00000000000387,,-352.00000000000387
2020.11.18,-382.000000000005,,-382.000000000005
2020.11.18,-404.0000000000106,,-404.0000000000106
2020.11.18,-448.0000000000075,,-448.0000000000075
2020.11.18,-451.9999999999982,,-451.9999999999982
2020.11.18,-498.00000000000466,,-498.00000000000466
2020.11.18,-527.000000000001,,-527.000000000001
2020.11.18,-570.999999999998,,-570.999999999998
2020.11.18,-534.000000000006,,-534.000000000006
2020.11.18,-534.000000000006,,-534.000000000006
2020.11.18,-564.0000000000072,,-564.0000000000072
2020.11.18,-561.9999999999976,,-561.9999999999976
2020.11.18,-550.0000000000114,,-550.0000000000114
2020.11.18,-541.000000000011,,-541.000000000011
2020.11.18,-569.0000000000026,,-569.0000000000026
2020.11.18,-539.0000000000015,,-539.0000000000015
2020.11.18,-585.000000000008,,-585.000000000008
2020.11.18,-628.0000000000001,,-628.0000000000001
2020.11.18,-628.0000000000001,,-628.0000000000001
2020.11.18,-646.0000000000008,,-646.0000000000008
2020.11.18,-632.000000000005,,-632.000000000005
2020.11.18,-770.0000000000102,,-770.0000000000102
2020.11.18,-787.0000000000061,,-787.0000000000061
2020.11.18,-650.0000000000057,,-650.0000000000057
2020.11.18,-662.0000000000061,,-662.0000000000061
