date,EURCHF,empty,sum
2017.10.24,144.0000000000108,,144.0000000000108
2017.10.24,211.00000000000563,,211.00000000000563
2017.10.24,218.00000000000708,,218.00000000000708
2017.10.24,229.00000000001253,,229.00000000001253
2017.10.24,248.00000000000378,,248.00000000000378
2017.10.24,279.99999999999136,,279.99999999999136
2017.10.24,286.99999999999284,,286.99999999999284
2017.10.24,513.9999999999923,,513.9999999999923
2017.10.24,446.9999999999974,,446.9999999999974
2017.10.24,455.0000000000054,,455.0000000000054
2017.10.24,480.99999999999807,,480.99999999999807
2017.10.24,489.0000000000061,,489.0000000000061
2017.10.24,483.99999999999557,,483.99999999999557
2017.10.24,486.00000000000864,,486.00000000000864
2017.10.24,601.000000000007,,601.000000000007
2017.10.24,583.0000000000002,,583.0000000000002
2017.10.24,590.0000000000016,,590.0000000000016
2017.10.24,527.9999999999951,,527.9999999999951
2017.10.24,568.9999999999973,,568.9999999999973
2017.10.24,563.0000000000024,,563.0000000000024
2017.10.25,541.9999999999981,,541.9999999999981
2017.10.25,577.0000000000052,,577.0000000000052
2017.10.25,675.0000000000034,,675.0000000000034
2017.10.25,645.0000000000067,,645.0000000000067
2017.10.25,626.9999999999998,,626.9999999999998
2017.10.25,615.9999999999943,,615.9999999999943
2017.10.25,611.000000000006,,611.000000000006
2017.10.25,598.999999999994,,598.999999999994
2017.10.25,597.0000000000031,,597.0000000000031
2017.10.25,605.9999999999955,,605.9999999999955
2017.10.25,624.0000000000023,,624.0000000000023
2017.10.25,628.0000000000064,,628.0000000000064
2017.10.25,635.0000000000077,,635.0000000000077
2017.10.25,635.9999999999922,,635.9999999999922
2017.10.25,635.0000000000077,,635.0000000000077
2017.10.25,618.9999999999918,,618.9999999999918
2017.10.25,548.9999999999995,,548.9999999999995
2017.10.25,507.9999999999973,,507.9999999999973
2017.10.25,534.9999999999966,,534.9999999999966
2017.10.25,588.0000000000107,,588.0000000000107
2017.10.25,598.999999999994,,598.999999999994
2017.10.25,598.0000000000097,,598.0000000000097
2017.10.25,641.0000000000027,,641.0000000000027
2017.10.25,703.9999999999935,,703.9999999999935
2017.10.25,804.0000000000047,,804.0000000000047
2017.10.25,900.0000000000119,,900.0000000000119
2017.10.25,858.0000000000032,,858.0000000000032
2017.10.25,838.0000000000055,,838.0000000000055
2017.10.25,943.000000000005,,943.000000000005
2017.10.25,910.9999999999951,,910.9999999999951
2017.10.25,885.0000000000025,,885.0000000000025
2017.10.25,964.9999999999936,,964.9999999999936
2017.10.25,919.0000000000032,,919.0000000000032
2017.10.25,902.0000000000028,,902.0000000000028
2017.10.25,922.0000000000006,,922.0000000000006
2017.10.25,882.000000000005,,882.000000000005
2017.10.25,836.9999999999989,,836.9999999999989
2017.10.25,798.9999999999942,,798.9999999999942
2017.10.25,758.9999999999985,,758.9999999999985
2017.10.25,746.0000000000023,,746.0000000000023
2017.10.25,709.0000000000041,,709.0000000000041
2017.10.25,760.0000000000051,,760.0000000000051
2017.10.25,859.9999999999941,,859.9999999999941
2017.10.25,851.0000000000017,,851.0000000000017
2017.10.25,883.9999999999959,,883.9999999999959
2017.10.25,934.0000000000126,,934.0000000000126
2017.10.25,923.9999999999915,,923.9999999999915
2017.10.25,951.9999999999973,,951.9999999999973
2017.10.26,957.9999999999922,,957.9999999999922
2017.10.26,957.0000000000078,,957.0000000000078
2017.10.26,970.0000000000042,,970.0000000000042
2017.10.26,923.0000000000072,,923.0000000000072
2017.10.26,974.0000000000082,,974.0000000000082
2017.10.26,970.0000000000042,,970.0000000000042
2017.10.26,990.000000000002,,990.000000000002
2017.10.26,1008.0000000000089,,1008.0000000000089
2017.10.26,1017.0000000000013,,1017.0000000000013
2017.10.26,1036.999999999999,,1036.999999999999
2017.10.26,1046.999999999998,,1046.999999999998
2017.10.26,1049.9999999999955,,1049.9999999999955
2017.10.26,1039.000000000012,,1039.000000000012
2017.10.26,1036.999999999999,,1036.999999999999
2017.10.26,1034.0000000000016,,1034.0000000000016
2017.10.26,1014.0000000000038,,1014.0000000000038
2017.10.26,983.0000000000006,,983.0000000000006
2017.10.26,977.0000000000057,,977.0000000000057
2017.10.26,983.0000000000006,,983.0000000000006
2017.10.26,974.0000000000082,,974.0000000000082
2017.10.26,1032.0000000000107,,1032.0000000000107
2017.10.26,1055.000000000006,,1055.000000000006
2017.10.26,1019.9999999999986,,1019.9999999999986
2017.10.26,1001.9999999999918,,1001.9999999999918
2017.10.26,995.0000000000125,,995.0000000000125
2017.10.26,1018.9999999999922,,1018.9999999999922
2017.10.26,991.9999999999928,,991.9999999999928
2017.10.26,1036.999999999999,,1036.999999999999
2017.10.26,1066.0000000000114,,1066.0000000000114
2017.10.26,875.0000000000035,,875.0000000000035
2017.10.26,754.0000000000102,,754.0000000000102
2017.10.26,764.9999999999934,,764.9999999999934
2017.10.26,846.0000000000134,,846.0000000000134
2017.10.26,625.0000000000089,,625.0000000000089
2017.10.26,668.0000000000019,,668.0000000000019
2017.10.26,626.9999999999998,,626.9999999999998
2017.10.26,551.9999999999969,,551.9999999999969
2017.10.26,540.9999999999915,,540.9999999999915
2017.10.26,506.0000000000064,,506.0000000000064
2017.10.26,452.99999999999227,,452.99999999999227
2017.10.26,367.0000000000062,,367.0000000000062
2017.10.26,392.9999999999989,,392.9999999999989
2017.10.26,357.99999999999164,,357.99999999999164
2017.10.26,319.0000000000026,,319.0000000000026
2017.10.26,293.0000000000099,,293.0000000000099
2017.10.26,265.0000000000041,,265.0000000000041
2017.10.26,287.9999999999994,,287.9999999999994
2017.10.26,326.0000000000041,,326.0000000000041
2017.10.27,266.0000000000107,,266.0000000000107
2017.10.27,225.00000000000853,,225.00000000000853
2017.10.27,306.00000000000625,,306.00000000000625
2017.10.27,276.9999999999939,,276.9999999999939
2017.10.27,218.00000000000708,,218.00000000000708
2017.10.27,218.99999999999142,,218.99999999999142
2017.10.27,228.00000000000597,,228.00000000000597
2017.10.27,211.00000000000563,,211.00000000000563
2017.10.27,218.00000000000708,,218.00000000000708
2017.10.27,222.00000000001108,,222.00000000001108
2017.10.27,218.00000000000708,,218.00000000000708
2017.10.27,222.99999999999542,,222.99999999999542
