date,USDCHF,GBPUSD,USDJPY,NZDUSD,EURCHF,CHFJPY,CADCHF,GBPJPY,GBPCAD,CADJPY,AUDJPY,NZDCAD,empty,sum
2018.07.23,76.99999999999375,-337.99999999999386,-454.00000000000773,-309.99999999999915,30.999999999981043,-221.9999999999942,-24.999999999997247,-314.0000000000214,443.99999999999994,-349.9999999999943,-332.9999999999984,362.00000000000676,,-1432.0000000000248
2018.07.23,-1.0000000000065512,-263.99999999999756,-383.0000000000098,-274.00000000000756,68.99999999998573,-149.0000000000009,-32.999999999994145,-363.00000000002797,280.0000000000136,-296.99999999999704,-316.99999999999307,346.0000000000019,,-1386.0000000000332
2018.07.23,-46.00000000000159,-56.99999999999594,-302.0000000000067,-206.00000000000617,170.99999999998784,-191.99999999999307,-25.999999999992696,-412.00000000000614,290.9999999999968,-340.999999999994,-367.999999999995,353.0000000000033,,-1135.0000000000036
2018.07.23,-120.00000000000898,-5.999999999994898,-304.00000000000205,-182.99999999999983,207.00000000000162,-266.9999999999959,-78.99999999999574,-463.0000000000223,242.00000000000887,-316.99999999999307,-375.0,326.0000000000041,,-1338.9999999999982
2018.07.23,-87.99999999999919,-117.99999999999588,-271.0000000000008,-181.00000000000892,122.99999999998423,-189.99999999999773,-93.99999999999409,-330.0000000000125,329.00000000000153,-295.99999999999227,-349.9999999999943,289.0000000000059,,-1177.000000000004
2018.07.23,-71.00000000000995,-204.00000000000418,-277.000000000001,-191.00000000000784,80.99999999999774,-170.99999999999227,-109.99999999999899,-203.00000000000296,348.9999999999993,-233.99999999999466,-292.0000000000016,269.00000000000813,,-1054.0000000000084
2018.07.23,-2.000000000002,-280.9999999999979,-304.00000000000205,-199.00000000000472,98.99999999998244,-146.99999999999136,-75.9999999999983,-192.00000000000728,401.00000000000693,-253.99999999999068,-298.0000000000018,282.0000000000045,,-971.0000000000018
2018.07.23,50.99999999998994,-245.99999999999068,-310.0000000000023,-231.99999999999886,114.99999999999844,-120.99999999999511,-53.999999999998494,-205.0000000000125,395.99999999999636,-265.00000000000057,-329.9999999999983,301.0000000000068,,-900.0000000000052
2018.07.23,4.999999999999449,-225.99999999999287,-277.000000000001,-219.00000000000253,90.99999999999665,-100.99999999999909,-80.99999999999774,-170.00000000001592,303.9999999999932,-212.99999999999386,-320.99999999999795,251.00000000000122,,-957.0000000000103
2018.07.23,0.0,-217.0000000000005,-216.99999999999875,-173.00000000000094,51.99999999998539,-72.00000000000273,-76.99999999999375,-101.00000000002751,314.99999999999864,-191.99999999999307,-373.9999999999952,134.0000000000008,,-922.0000000000276
2018.07.23,-17.000000000000348,-143.00000000000423,-127.00000000000955,-51.000000000001044,74.99999999998064,26.00000000001046,-29.000000000001247,-120.00000000000455,361.0000000000113,-215.99999999999397,-399.9999999999915,148.0000000000037,,-493.00000000000017
2018.07.23,-37.00000000000925,-58.99999999998684,-127.00000000000955,-52.000000000007596,144.99999999999514,13.00000000000523,-19.00000000000235,-242.00000000001864,202.00000000001327,-188.99999999999295,-424.99999999999716,97.00000000000264,,-693.0000000000081
2018.07.23,-46.00000000000159,-1.0000000000065512,-100.00000000000853,-19.00000000000235,119.99999999998678,11.00000000000989,-37.99999999999359,-270.00000000001023,181.00000000000892,-195.99999999999795,-412.9999999999967,75.00000000000284,,-696.000000000009
2018.07.23,-121.99999999999989,4.000000000004,-54.000000000002046,-15.00000000000945,59.99999999999339,10.000000000005116,-124.99999999999733,-205.0000000000125,69.9999999999923,-164.99999999999204,-397.99999999999613,35.00000000000725,,-905.0000000000073
2018.07.23,-133.00000000000534,39.00000000001125,-31.00000000000591,24.999999999997247,60.99999999999994,13.00000000000523,-122.99999999999534,-222.0000000000084,120.99999999999334,-143.00000000000068,-429.9999999999926,15.00000000000945,,-807.9999999999919
2018.07.23,-94.00000000000519,51.000000000001044,-112.99999999999955,29.999999999996696,92.99999999998754,-24.999999999991473,-63.00000000000195,-242.00000000001864,123.00000000000644,-165.99999999999682,-441.99999999999307,11.00000000000545,,-837.0000000000095
2018.07.23,-182.00000000000438,106.00000000000608,-33.00000000000125,57.99999999999139,91.99999999998099,-30.9999999999917,-95.00000000000064,-261.0000000000241,51.000000000001044,-170.0000000000017,-433.9999999999975,36.0000000000027,,-863.0000000000391
