date,NZDCHF,GBPCAD,AUDJPY,AUDCAD,AUDNZD,empty,sum
2017.02.06,105.99999999999498,-653.999999999999,-774.0000000000009,477.99999999998954,215.99999999999397,,-628.0000000000215
2017.02.07,109.99999999999899,-653.999999999999,-779.0000000000106,451.9999999999969,198.99999999999363,,-672.00000000002
2017.02.07,106.99999999999044,-642.9999999999936,-746.9999999999999,413.0000000000078,226.99999999999943,,-642.999999999996
2017.02.07,107.99999999999699,-629.9999999999973,-791.000000000011,370.9999999999991,231.99999999998778,,-710.0000000000246
2017.02.07,113.99999999999189,-636.9999999999986,-834.0000000000032,332.99999999999443,280.9999999999979,,-743.0000000000175
2017.02.07,134.99999999999625,-672.9999999999902,-909.000000000006,300.99999999999574,351.99999999999676,,-794.0000000000075
2017.02.07,125.99999999999278,-889.0000000000065,-1072.0000000000027,273.9999999999965,302.0000000000023,,-1259.0000000000177
2017.02.07,107.99999999999699,-862.0000000000072,-989.0000000000043,288.9999999999948,252.99999999999213,,-1201.0000000000277
2017.02.07,151.9999999999966,-865.999999999989,-970.0000000000131,286.99999999999284,356.00000000000074,,-1041.000000000012
2017.02.07,196.99999999999162,-906.0000000000068,-849.0000000000038,365.0000000000042,370.999999999988,,-822.0000000000271
2017.02.07,627.9999999999952,-853.9999999999992,-829.0000000000077,403.99999999999324,862.0000000000072,,210.99999999998852
2017.02.07,687.9999999999998,-787.0000000000043,-815.0000000000119,370.9999999999991,943.9999999999893,,400.9999999999719
2017.02.07,669.9999999999928,-829.9999999999974,-885.0000000000051,278.9999999999959,665.0000000000044,,-101.00000000000921
2017.02.07,786.9999999999933,-801.9999999999916,-519.0000000000055,745.9999999999911,607.0000000000019,,818.9999999999893
2017.02.07,693.9999999999947,-859.9999999999941,-496.9999999999999,829.0000000000019,479.0000000000072,,645.0000000000098
2017.02.07,726.9999999999999,-878.000000000001,-535.0000000000108,829.0000000000019,561.9999999999958,,704.9999999999858
2017.02.07,752.9999999999926,-923.9999999999915,-538.0000000000109,840.0000000000074,524.9999999999977,,655.9999999999953
2017.02.07,749.9999999999951,-895.0000000000014,-667.0000000000016,745.9999999999911,548.9999999999995,,482.99999999998283
2017.02.07,759.999999999994,-909.9999999999886,-635.0000000000051,769.999999999993,604.9999999999889,,589.999999999982
2017.02.07,696.999999999992,-880.9999999999984,-857.0000000000135,636.9999999999876,605.9999999999955,,201.99999999996305
2017.02.07,563.9999999999978,-980.9999999999875,-794.0000000000111,637.9999999999941,489.0000000000061,,-84.00000000000074
2017.02.07,517.0000000000008,-954.9999999999948,-837.0000000000033,636.0000000000032,466.9999999999952,,-171.99999999999886
2017.02.07,609.9999999999994,-656.9999999999965,-820.0000000000074,755.0000000000057,516.0000000000053,,404.0000000000066
2017.02.07,536.9999999999986,-665.0000000000044,-861.0000000000042,792.9999999999882,432.9999999999945,,236.99999999997266
2017.02.07,541.9999999999981,-763.0000000000026,-850.0000000000085,735.9999999999923,425.99999999999307,,90.99999999997215
2017.02.07,518.9999999999917,-795.9999999999967,-793.0000000000064,735.0000000000078,446.9999999999974,,111.99999999999386
2017.02.07,495.000000000001,-889.0000000000065,-792.0000000000016,823.000000000007,391.9999999999924,,28.999999999992383
2017.02.07,435.9999999999919,-839.9999999999964,-771.0000000000008,802.0000000000027,394.00000000000546,,21.000000000002956
2017.02.07,456.00000000000085,-876.9999999999944,-732.0000000000135,800.9999999999961,383.0,,30.999999999989086
2017.02.07,475.99999999999864,-869.999999999993,-729.0000000000134,772.000000000006,395.99999999999636,,44.99999999999466
2017.02.07,465.9999999999998,-682.9999999999892,-719.0000000000083,765.0000000000045,411.99999999999017,,240.999999999997
2017.02.07,429.99999999999704,-577.0000000000052,-756.0000000000002,670.9999999999883,402.9999999999978,,170.99999999997766
2017.02.07,419.9999999999982,-417.0000000000007,-715.0000000000034,596.9999999999919,394.9999999999898,,279.99999999997584
2017.02.07,439.0000000000005,-801.0000000000073,-746.0000000000093,590.999999999997,414.9999999999876,,-102.00000000003149
2017.02.07,432.9999999999945,-719.9999999999873,-757.000000000005,575.9999999999876,395.99999999999636,,-72.00000000001376
2017.02.07,361.0000000000002,-641.0000000000027,-705.0000000000125,511.0000000000059,306.00000000000625,,-168.00000000000284
2017.02.07,418.9999999999916,-1004.9999999999892,-692.0000000000073,575.9999999999876,324.9999999999975,,-377.0000000000199
2017.02.07,493.99999999999443,-1775.9999999999998,-670.0000000000017,735.0000000000078,319.999999999987,,-897.0000000000125
2017.02.07,513.9999999999923,-2012.9999999999982,-707.0000000000078,770.9999999999994,424.99999999998647,,-1010.0000000000276
2017.02.07,522.9999999999957,-2079.999999999993,-774.0000000000009,809.9999999999885,461.0000000000003,,-1060.0000000000093
2017.02.07,509.9999999999993,-2266.999999999997,-876.0000000000048,894.0000000000059,468.9999999999861,,-1270.0000000000102
2017.02.07,486.999999999993,-2682.000000000007,-916.000000000011,857.0000000000077,465.99999999998863,,-1788.0000000000282
2017.02.07,488.999999999995,-2550.9999999999923,-797.0000000000113,858.9999999999986,472.00000000000574,,-1528.0000000000043
2017.02.07,492.999999999999,-2407.9999999999877,-768.0000000000007,796.0000000000078,465.0000000000043,,-1421.999999999977
2017.02.07,451.0000000000014,-2333.999999999992,-721.0000000000036,790.9999999999973,405.9999999999952,,-1407.0000000000016
2017.02.07,439.0000000000005,-2282.0000000000064,-662.0000000000061,775.9999999999878,381.99999999999346,,-1347.0000000000307
2017.02.07,442.9999999999934,-2316.9999999999914,-651.0000000000105,789.0000000000064,392.9999999999989,,-1343.000000000003
2017.02.07,473.0000000000012,-2333.0000000000073,-613.0000000000138,779.0000000000075,407.99999999998613,,-1286.0000000000264
2017.02.07,426.9999999999996,-2478.999999999987,-648.0000000000103,802.999999999987,370.00000000000364,,-1527.000000000007
2017.02.08,412.00000000000125,-2435.9999999999936,-675.0000000000114,796.0000000000078,346.0000000000019,,-1556.999999999994
2017.02.08,387.99999999999943,-2421.0000000000064,-703.000000000003,809.0000000000042,322.00000000000006,,-1605.000000000006
2017.02.08,368.9999999999971,-2520.9999999999955,-685.0000000000023,824.999999999998,313.99999999999204,,-1698.0000000000105
2017.02.08,357.99999999999164,-2507.999999999999,-715.0000000000034,833.0000000000059,333.9999999999899,,-1698.000000000015
2017.02.08,359.99999999999363,-2360.999999999991,-728.0000000000086,775.0000000000034,361.9999999999957,,-1592.0000000000068
2017.02.08,451.9999999999969,-2282.0000000000064,-690.0000000000119,800.9999999999961,426.9999999999996,,-1292.0000000000257
2017.02.08,453.99999999999886,-2290.9999999999986,-731.0000000000088,778.0000000000009,446.9999999999974,,-1343.0000000000105
2017.02.08,452.99999999999227,-2322.9999999999864,-767.0000000000101,785.9999999999867,461.0000000000003,,-1390.000000000017
2017.02.08,452.99999999999227,-2244.999999999986,-782.0000000000107,863.0000000000026,365.99999999999966,,-1345.0000000000023
2017.02.08,483.99999999999557,-2275.999999999989,-776.0000000000105,878.9999999999965,374.999999999992,,-1314.0000000000157
2017.02.08,466.9999999999952,-2316.9999999999914,-691.0000000000025,907.0000000000023,350.00000000000585,,-1283.9999999999905
2017.02.08,443.99999999999994,-2307.999999999999,-739.0000000000043,907.0000000000023,303.9999999999932,,-1392.0000000000082
2017.02.08,409.99999999999926,-2279.999999999993,-723.0000000000132,851.9999999999972,283.99999999999534,,-1457.0000000000146
2017.02.08,391.9999999999924,-2195.999999999998,-695.0000000000074,823.000000000007,245.99999999999068,,-1430.0000000000155
2017.02.08,358.9999999999982,-2239.9999999999977,-646.0000000000008,822.0000000000005,221.00000000000452,,-1483.9999999999955
2017.02.08,351.99999999999676,-2278.0000000000023,-627.0000000000095,831.9999999999994,180.99999999998673,,-1540.0000000000286
2017.02.08,370.9999999999991,-2302.999999999988,-595.0000000000131,890.9999999999862,102.99999999998644,,-1533.0000000000296
2017.02.08,373.99999999999653,-2322.000000000002,-594.0000000000083,907.0000000000023,106.00000000000608,,-1529.0000000000052
2017.02.08,364.9999999999931,-2483.9999999999973,-634.0000000000003,863.999999999987,137.9999999999937,,-1751.0000000000239
2017.02.08,393.9999999999944,-2405.999999999997,-625.0,820.999999999994,221.99999999998886,,-1594.0000000000198
2017.02.08,461.99999999999574,-2166.0000000000014,-696.0000000000122,802.0000000000027,251.00000000000122,,-1347.0000000000139
2017.02.08,525.9999999999932,-2290.9999999999986,-695.0000000000074,800.9999999999961,290.9999999999968,,-1368.0000000000198
2017.02.08,554.9999999999944,-2139.000000000002,-672.0000000000113,772.9999999999903,275.9999999999874,,-1207.000000000041
2017.02.08,554.9999999999944,-2069.999999999994,-680.0000000000068,742.9999999999936,261.0000000000001,,-1191.0000000000127
2017.02.08,568.9999999999973,-2066.999999999997,-600.0000000000085,758.0000000000031,273.9999999999965,,-1066.0000000000086
2017.02.08,525.9999999999932,-1941.9999999999993,-603.0000000000086,728.0000000000064,270.99999999999903,,-1020.0000000000093
2017.02.08,535.999999999992,-1956.9999999999866,-607.0000000000135,687.0000000000043,290.9999999999968,,-1050.000000000007
2017.02.08,531.9999999999991,-1804.99999999999,-686.000000000007,644.9999999999956,299.00000000000483,,-1014.9999999999975
2017.02.08,513.9999999999923,-1771.999999999996,-695.0000000000074,600.999999999996,309.0000000000037,,-1043.0000000000114
2017.02.08,548.9999999999995,-1856.9999999999975,-825.0000000000028,684.0000000000068,350.9999999999902,,-1098.0000000000039
2017.02.08,443.99999999999994,-2011.9999999999916,-835.000000000008,683.0000000000002,226.99999999999943,,-1493.0
2017.02.08,465.9999999999998,-2139.9999999999864,-806.0000000000116,749.9999999999951,256.99999999999613,,-1473.000000000007
2017.02.08,439.99999999999596,-2329.9999999999877,-746.9999999999999,797.9999999999987,289.0000000000059,,-1549.9999999999873
2017.02.08,409.99999999999926,-2397.0000000000045,-782.0000000000107,911.9999999999906,261.0000000000001,,-1596.0000000000255
2017.02.08,323.99999999999096,-2332.000000000001,-734.0000000000089,1014.9999999999992,201.00000000000674,,-1526.0000000000132
2017.02.08,309.99999999999915,-2446.999999999999,-865.9999999999997,789.0000000000064,262.00000000000665,,-1951.9999999999866
2017.02.08,351.99999999999676,-2462.999999999993,-855.000000000004,780.9999999999984,397.0000000000029,,-1787.9999999999989
2017.02.08,339.0000000000004,-2550.9999999999923,-878.0000000000001,907.0000000000023,346.0000000000019,,-1836.9999999999877
2017.02.08,324.9999999999975,-2524.9999999999995,-880.0000000000097,846.9999999999867,363.9999999999866,,-1869.000000000038
2017.02.08,326.9999999999995,-2544.9999999999973,-947.0000000000027,833.9999999999903,383.0,,-1948.00000000001
2017.02.08,300.99999999999574,-2513.999999999994,-901.0000000000105,758.9999999999875,357.00000000000733,,-1998.0000000000136
2017.02.08,295.0000000000008,-2391.999999999994,-774.0000000000009,752.9999999999926,323.99999999999096,,-1794.0000000000105
2017.02.08,326.9999999999995,-2366.999999999986,-769.0000000000055,799.0000000000052,316.99999999998954,,-1692.999999999997
2017.02.08,98.99999999999353,-2320.9999999999955,-779.0000000000106,698.9999999999941,157.99999999999147,,-2144.000000000027
2017.02.08,-213.00000000000762,-2405.999999999997,-879.0000000000049,680.9999999999872,-377.0000000000051,,-3194.0000000000273
2017.02.08,-262.00000000000665,-2401.999999999993,-811.000000000007,697.0000000000032,-449.9999999999948,,-3227.999999999999
2017.02.08,-147.00000000000824,-2309.99999999999,-756.0000000000002,667.0000000000065,-368.9999999999971,,-2914.999999999989
2017.02.08,-235.00000000000742,-2361.9999999999973,-840.0000000000034,640.0000000000073,-432.9999999999945,,-3229.9999999999955
2017.02.09,-216.0000000000051,-2394.9999999999914,-818.000000000012,711.9999999999905,-456.00000000001194,,-3173.0000000000296
2017.02.09,-322.00000000000006,-2280.9999999999995,-919.0000000000111,680.9999999999872,-591.0000000000082,,-3432.000000000032
2017.02.09,-313.00000000000773,-2317.9999999999977,-874.0000000000094,671.9999999999948,-605.0000000000111,,-3438.000000000031
2017.02.09,-401.00000000000693,-2225.9999999999945,-905.0000000000011,616.9999999999898,-669.9999999999928,,-3585.0000000000055
2017.02.09,-442.00000000000904,-2278.0000000000023,-922.0000000000113,620.9999999999937,-700.0000000000117,,-3721.000000000041
2017.02.09,-434.000000000001,-2218.999999999993,-892.0000000000101,596.9999999999919,-709.0000000000041,,-3657.0000000000164
2017.02.09,-462.0000000000068,-2193.0000000000005,-909.000000000006,558.9999999999873,-717.9999999999964,,-3723.0000000000223
2017.02.09,-489.0000000000061,-2109.0000000000055,-912.0000000000061,558.000000000003,-706.0000000000066,,-3658.000000000021
2017.02.09,-465.9999999999998,-2083.999999999997,-790.0000000000063,578.0000000000007,-700.0000000000117,,-3462.0000000000136
2017.02.09,-611.000000000006,-2099.999999999991,-885.0000000000051,531.9999999999881,-815.9999999999945,,-3880.000000000008
2017.02.09,-722.0000000000005,-2136.0000000000045,-951.0000000000076,416.00000000000523,-941.0000000000141,,-4334.000000000022
2017.02.09,-766.0,-2124.999999999999,-897.0000000000056,470.9999999999881,-1079.0000000000077,,-4396.000000000024
2017.02.09,-769.0000000000085,-2126.99999999999,-870.0000000000045,544.0,-1089.0000000000066,,-4311.00000000001
2017.02.09,-766.0,-2154.999999999996,-848.0000000000132,579.9999999999916,-1124.0000000000139,,-4313.000000000031
2017.02.09,-708.0000000000086,-2123.9999999999927,-802.0000000000067,596.9999999999919,-1096.0000000000082,,-4133.000000000025
2017.02.09,-650.0000000000061,-2071.0000000000005,-782.0000000000107,605.0,-1048.0000000000045,,-3946.000000000022
2017.02.09,-646.0000000000022,-2102.999999999988,-826.0000000000076,592.999999999988,-1028.0000000000066,,-4010.0000000000164
2017.02.09,-692.9999999999992,-2088.9999999999854,-810.0000000000023,514.0000000000033,-1090.9999999999975,,-4168.999999999981
2017.02.09,-681.0000000000093,-2107.9999999999986,-790.0000000000063,509.9999999999993,-1073.9999999999973,,-4143.000000000013
2017.02.09,-687.0000000000043,-2076.9999999999955,-809.0000000000117,483.0000000000001,-1059.9999999999943,,-4150.000000000006
2017.02.09,-724.0000000000024,-2683.9999999999973,-724.0000000000038,451.9999999999969,-1070.9999999999998,,-4751.000000000006
2017.02.09,-700.0000000000006,-2638.9999999999914,-711.0000000000127,484.00000000000665,-961.0000000000118,,-4527.000000000009
2017.02.09,-717.000000000001,-2644.9999999999864,-698.0000000000075,487.99999999998846,-1008.9999999999932,,-4580.999999999999
2017.02.09,-691.0000000000083,-2584.9999999999927,-645.0000000000102,545.9999999999909,-1249.0000000000111,,-4624.000000000031
2017.02.09,-555.0000000000055,-2366.0000000000014,-419.00000000001114,708.999999999993,-1208.000000000009,,-3839.0000000000346
2017.02.09,-565.0000000000044,-2522.000000000002,-417.0000000000016,694.9999999999901,-1219.9999999999989,,-4029.0000000000173
2017.02.09,-535.0000000000077,-2584.9999999999927,-450.00000000000284,641.9999999999982,-1235.0000000000084,,-4163.000000000014
2017.02.09,-497.000000000003,-2473.9999999999986,-443.00000000001205,633.0000000000058,-1259.9999999999945,,-4041.0000000000023
2017.02.09,-392.9999999999989,-2465.000000000006,-442.0000000000073,684.9999999999911,-1249.0000000000111,,-3864.000000000032
2017.02.09,-352.00000000000784,-2420.0,-400.0000000000057,650.9999999999905,-1238.0000000000057,,-3759.000000000029
2017.02.09,-341.0000000000024,-2273.999999999998,-367.00000000000443,624.9999999999977,-1202.9999999999984,,-3560.0000000000055
2017.02.09,-333.0000000000055,-2380.9999999999886,-320.0000000000074,634.9999999999967,-1205.999999999996,,-3605.0000000000005
2017.02.09,-369.0000000000082,-2451.9999999999877,-257.000000000005,639.0000000000007,-1246.9999999999982,,-3685.999999999998
