date,AUDUSD,GBPCHF,EURCHF,EURJPY,AUDJPY,empty,sum
2018.05.21,512.9999999999968,284.9999999999797,-194.0000000000053,-389.99999999998636,-799.0000000000066,,-585.0000000000216
2018.05.21,605.0,255.99999999998957,-236.99999999999832,-433.9999999999975,-847.0000000000084,,-657.0000000000147
2018.05.21,595.0000000000011,252.99999999999213,-251.00000000000122,-441.0000000000025,-850.9999999999991,,-695.0000000000095
2018.05.22,590.0000000000016,247.99999999998158,-224.000000000002,-463.99999999999864,-852.0000000000039,,-702.0000000000214
2018.05.22,634.9999999999967,237.99999999998266,-231.0000000000034,-466.99999999998454,-855.000000000004,,-680.0000000000126
2018.05.22,627.9999999999952,269.9999999999925,-218.99999999999142,-445.99999999999795,-846.0000000000036,,-613.0000000000052
2018.05.22,654.9999999999944,286.99999999999284,-214.99999999998744,-429.00000000000205,-823.9999999999981,,-526.0000000000003
2018.05.22,649.999999999995,318.9999999999804,-194.99999999998963,-387.00000000000045,-819.0000000000026,,-432.0000000000173
2018.05.22,605.9999999999955,285.99999999998624,-180.0000000000024,-426.9999999999925,-850.0000000000085,,-565.0000000000217
2018.05.22,590.0000000000016,287.9999999999994,-168.99999999999693,-376.0000000000048,-813.0000000000024,,-480.0000000000032
2018.05.22,648.9999999999995,292.9999999999877,-168.99999999999693,-364.9999999999807,-835.9999999999985,,-427.99999999998886
2018.05.22,629.9999999999973,310.9999999999946,-160.99999999998892,-361.99999999999477,-859.0000000000089,,-441.0000000000007
2018.05.22,600.999999999996,346.9999999999862,-150.99999999999002,-295.99999999999227,-817.0000000000073,,-316.0000000000073
2018.05.22,600.999999999996,433.99999999997885,-89.99999999999008,-223.99999999998954,-782.0000000000107,,-61.00000000001535
2018.05.22,585.9999999999976,409.99999999999926,-99.99999999998899,-233.99999999998045,-755.0000000000097,,-92.99999999998226
2018.05.22,596.9999999999919,400.00000000000034,-100.99999999999554,-218.9999999999941,-733.0000000000041,,-56.00000000000148
2018.05.22,596.9999999999919,443.99999999999994,-52.000000000007596,-223.99999999998954,-725.9999999999991,,38.999999999995566
2018.05.22,576.9999999999942,436.9999999999985,-48.000000000003595,-188.99999999999295,-713.9999999999986,,62.9999999999975
2018.05.22,537.9999999999941,455.99999999998977,-14.999999999987246,-180.99999999998317,-704.0000000000077,,94.00000000000568
2018.05.22,561.0000000000003,442.9999999999934,-22.999999999995246,-167.99999999997794,-731.0000000000088,,82.00000000001182
2018.05.22,585.0000000000022,369.99999999998147,-78.00000000000028,-197.99999999997908,-792.0000000000016,,-112.99999999999727
2018.05.22,661.0000000000005,292.9999999999877,-126.0000000000039,-293.9999999999827,-947.0000000000027,,-413.00000000000114
2018.05.22,646.0000000000022,173.99999999998528,-104.99999999999955,-253.99999999999068,-995.0000000000045,,-534.0000000000073
2018.05.22,673.0000000000014,69.9999999999923,-255.99999999998957,-627.9999999999859,-1106.0000000000086,,-1246.9999999999905
2018.05.22,731.9999999999993,75.99999999998718,-329.00000000000153,-799.999999999983,-1112.000000000009,,-1433.000000000007
2018.05.22,773.9999999999969,-144.0000000000108,-316.99999999998954,-849.9999999999943,-1088.0000000000082,,-1625.000000000006
2018.05.22,729.9999999999973,-130.0000000000079,-340.00000000000693,-649.0000000000009,-996.0000000000093,,-1385.0000000000277
2018.05.22,757.999999999992,-19.00000000001345,-334.9999999999964,-667.999999999978,-1012.0000000000005,,-1275.9999999999961
2018.05.22,766.9999999999955,51.99999999998539,-346.0000000000019,-676.9999999999925,-975.0000000000085,,-1179.000000000022
2018.05.22,730.9999999999927,9.999999999998899,-346.0000000000019,-699.9999999999886,-948.0000000000075,,-1253.0000000000064
2018.05.22,707.9999999999975,99.99999999998899,-310.9999999999946,-657.999999999987,-930.0000000000068,,-1091.000000000002
2018.05.22,712.0000000000015,169.99999999998127,-279.99999999999136,-603.999999999985,-926.0000000000019,,-927.9999999999956
2018.05.22,709.9999999999995,234.99999999998522,-262.00000000000665,-554.000000000002,-919.0000000000111,,-790.000000000035
2018.05.22,665.9999999999999,253.99999999999866,-167.00000000000603,-429.00000000000205,-874.0000000000094,,-550.000000000019
2018.05.22,670.9999999999993,330.9999999999924,-21.999999999988695,-308.9999999999975,-856.9999999999993,,-185.99999999999386
2018.05.22,692.9999999999992,406.9999999999796,83.00000000001084,-233.0000000000041,-909.000000000006,,40.99999999997965
2018.05.22,712.9999999999969,402.9999999999978,83.9999999999952,-338.99999999999864,-968.0000000000035,,-107.00000000001216
2018.05.22,661.0000000000005,473.99999999999665,161.00000000001114,-328.00000000000296,-956.0000000000031,,12.00000000000216
2018.05.22,644.9999999999956,655.9999999999899,252.99999999999213,-280.9999999999775,-916.000000000011,,356.999999999989
2018.05.22,646.0000000000022,840.9999999999807,370.00000000000364,-379.99999999999545,-914.0000000000015,,562.9999999999894
2018.05.22,675.9999999999989,743.9999999999891,395.99999999999636,-355.99999999999454,-933.0000000000069,,526.9999999999828
2018.05.22,612.9999999999969,734.9999999999968,368.9999999999971,-295.99999999999227,-891.0000000000053,,529.9999999999931
2018.05.22,566.9999999999953,719.9999999999873,263.99999999999756,-307.9999999999927,-772.0000000000056,,470.9999999999819
2018.05.22,468.00000000000176,690.9999999999972,272.00000000000557,-299.99999999998295,-709.0000000000032,,422.0000000000184
2018.05.22,495.000000000001,722.9999999999848,336.00000000000296,-192.99999999998363,-719.9999999999989,,641.0000000000064
2018.05.22,552.9999999999924,761.999999999996,351.99999999999676,-218.9999999999941,-742.0000000000044,,705.9999999999867
2018.05.22,561.9999999999958,745.99999999998,348.9999999999993,-262.9999999999768,-760.0000000000051,,633.9999999999933
2018.05.22,554.9999999999944,831.9999999999883,412.00000000001234,-251.99999999998113,-743.0000000000092,,804.0000000000047
2018.05.22,546.9999999999975,837.9999999999832,414.00000000000324,-212.99999999999386,-684.0000000000117,,901.9999999999783
2018.05.22,561.0000000000003,827.9999999999843,415.99999999999415,-189.99999999999773,-687.0000000000118,,927.9999999999691
2018.05.22,541.9999999999981,825.9999999999934,418.0000000000073,-179.00000000000205,-681.0000000000116,,925.999999999985
2018.05.23,541.9999999999981,857.999999999981,436.9999999999985,-167.0000000000016,-656.0000000000059,,1013.9999999999702
2018.05.23,554.9999999999944,822.9999999999959,400.00000000000034,-151.9999999999868,-677.0000000000067,,948.9999999999974
2018.05.23,557.9999999999918,856.9999999999967,446.9999999999974,-137.00000000000045,-678.0000000000115,,1046.999999999974
2018.05.23,573.9999999999967,899.9999999999897,465.0000000000043,-111.99999999999477,-648.0000000000103,,1178.9999999999854
2018.05.23,509.9999999999993,866.9999999999956,448.000000000004,-104.99999999998977,-645.0000000000102,,1074.999999999999
2018.05.23,559.9999999999939,863.9999999999981,429.00000000001273,-84.99999999997954,-620.0000000000045,,1148.0000000000205
2018.05.23,512.9999999999968,824.9999999999868,407.0000000000018,-131.00000000000023,-597.0000000000084,,1016.9999999999768
2018.05.23,497.99999999999847,848.9999999999886,401.00000000000693,-152.9999999999916,-634.0000000000003,,961.0000000000022
2018.05.23,526.9999999999997,834.9999999999858,408.00000000000836,-122.99999999999045,-647.0000000000056,,999.9999999999978
2018.05.23,274.9999999999919,905.9999999999845,462.9999999999912,205.0000000000125,-416.000000000011,,1432.999999999969
2018.05.23,330.9999999999924,895.9999999999857,543.0000000000045,500.0,-166.00000000001103,,2103.999999999972
2018.05.23,226.99999999999943,905.0000000000002,536.0000000000032,495.00000000000455,-140.00000000000057,,2023.0000000000068
2018.05.23,154.99999999999403,984.9999999999915,604.0000000000045,641.0000000000196,19.99999999999602,,2405.0000000000055
2018.05.23,202.9999999999976,1034.999999999986,605.9999999999955,481.00000000002296,-42.00000000000159,,2283.0
2018.05.23,213.99999999999199,1035.9999999999925,608.0000000000085,487.99999999999955,-45.000000000001705,,2300.999999999991
2018.05.23,246.99999999999721,989.9999999999798,540.9999999999915,456.0000000000173,-73.0000000000075,,2160.999999999978
2018.05.23,217.0000000000005,1003.9999999999827,577.0000000000052,483.0000000000041,-64.00000000000716,,2216.9999999999854
2018.05.23,207.99999999999707,1085.999999999987,573.0000000000013,454.00000000000773,-18.000000000000682,,2302.9999999999927
2018.05.23,161.99999999999548,1095.999999999986,587.0000000000042,513.0000000000052,-1.0000000000047748,,2356.9999999999864
2018.05.23,124.00000000000189,1156.999999999986,646.9999999999976,625.0,64.99999999999773,,2617.999999999983
2018.05.23,80.99999999999774,1434.9999999999864,797.0000000000033,701.0000000000218,240.99999999999966,,3255.0000000000086
2018.05.23,44.99999999999504,1343.9999999999895,970.0000000000042,902.0000000000152,311.9999999999976,,3573.0000000000014
2018.05.23,30.999999999992145,1340.9999999999923,1124.9999999999982,1618.9999999999998,530.0000000000011,,4645.999999999984
2018.05.23,93.99999999999409,1552.9999999999823,1059.00000000001,1580.0000000000125,540.9999999999968,,4826.999999999996
