date,USDCAD,GBPCHF,EURGBP,GBPJPY,EURAUD,CADJPY,empty,sum
2017.04.17,156.99999999998494,607.0000000000019,-41.000000000002146,310.9999999999786,184.00000000000637,-0.999999999990564,,1216.999999999979
2017.04.17,179.99999999998016,591.0000000000082,-65.99999999999939,308.9999999999975,185.00000000001293,13.00000000000523,,1212.0000000000045
2017.04.17,109.99999999998789,592.9999999999991,-82.99999999999974,321.9999999999743,212.99999999999653,60.000000000002274,,1214.9999999999604
2017.04.17,17.999999999984695,554.00000000001,-107.99999999999699,417.99999999997794,221.00000000000452,70.00000000000739,,1172.9999999999877
2017.04.17,-102.00000000000209,561.9999999999958,-108.99999999999244,443.9999999999884,218.99999999999142,64.00000000000716,,1077.9999999999882
2017.04.17,-104.00000000001519,583.0000000000002,-97.00000000000264,621.9999999999857,212.99999999999653,190.00000000001194,,1406.9999999999764
2017.04.17,-64.0000000000196,558.0000000000141,-95.99999999999609,620.9999999999809,192.99999999999872,200.00000000000284,,1411.999999999981
2017.04.17,-118.00000000001809,526.0000000000042,-100.99999999999554,586.9999999999891,192.99999999999872,143.00000000000068,,1229.999999999979
2017.04.18,-112.000000000001,510.00000000001046,-95.99999999999609,539.999999999992,153.00000000000313,71.00000000001216,,1066.000000000021
2017.04.18,-91.00000000001884,527.9999999999951,-127.99999999999478,719.9999999999989,217.0000000000005,208.00000000001262,,1453.9999999999936
2017.04.18,-133.00000000000534,548.9999999999995,-110.99999999999443,616.9999999999902,208.99999999999253,146.0000000000008,,1276.9999999999832
2017.04.18,-171.00000000001003,522.0000000000002,-122.99999999999534,655.9999999999775,238.0000000000049,173.00000000000182,,1294.999999999979
2017.04.18,-188.00000000001037,496.00000000000756,-129.9999999999968,638.9999999999816,184.00000000000637,179.00000000000205,,1179.9999999999905
2017.04.18,-179.00000000001802,492.0000000000035,-152.99999999999204,682.9999999999927,212.00000000001216,219.0000000000083,,1274.0000000000064
2017.04.18,-190.00000000000128,490.0000000000126,-149.99999999999457,807.9999999999927,78.00000000000028,282.0000000000107,,1318.0000000000205
2017.04.18,-160.00000000000458,526.0000000000042,-129.9999999999968,780.9999999999775,174.00000000000747,254.0000000000049,,1444.9999999999927
2017.04.18,-194.0000000000053,486.999999999993,-153.99999999999858,743.9999999999998,356.00000000000074,225.00000000000853,,1463.9999999999982
2017.04.18,-233.00000000001654,534.9999999999966,-143.9999999999997,728.999999999985,554.9999999999944,138.00000000000523,,1579.999999999965
2017.04.18,-238.0000000000049,436.9999999999985,-182.99999999999983,619.9999999999761,774.9999999999924,91.00000000000819,,1501.9999999999704
2017.04.18,-233.00000000001654,472.00000000000574,-168.00000000000148,647.9999999999961,886.000000000009,111.0000000000042,,1715.9999999999968
2017.04.18,-158.0000000000137,405.0000000000109,-190.00000000000128,626.9999999999811,872.0000000000061,163.0000000000109,,1718.999999999994
2017.04.18,-157.00000000000713,411.0000000000058,-181.9999999999933,590.9999999999798,870.9999999999995,117.00000000000443,,1650.999999999989
2017.04.18,-136.00000000000279,473.99999999999665,-131.99999999999878,613.9999999999759,859.9999999999941,134.00000000000034,,1813.9999999999654
2017.04.18,-160.00000000000458,503.99999999999335,-117.00000000000044,756.0000000000002,831.000000000004,199.00000000001228,,2013.0000000000048
2017.04.18,-180.0000000000024,503.000000000009,-113.99999999999189,786.0000000000014,812.0000000000127,219.99999999999886,,2027.0000000000277
2017.04.18,-186.0000000000195,557.0000000000075,-100.00000000000009,830.9999999999889,774.9999999999924,216.99999999999875,,2093.9999999999677
2017.04.18,-107.00000000001265,543.0000000000045,-105.99999999999498,831.9999999999936,861.0000000000007,243.99999999999977,,2266.999999999991
