date,USDCHF,GBPUSD,EURUSD,USDCAD,AUDUSD,NZDUSD,GBPCHF,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPAUD,EURJPY,EURCAD,CADJPY,AUDNZD,empty,sum
2018.11.06,119.00000000000244,-504.9999999999999,-304.9999999999997,-263.99999999999756,263.0000000000021,-314.0000000000032,-666.9999999999953,-63.99999999999739,-424.00000000000216,-402.9999999999978,-104.99999999999955,-229.99999999999687,-605.9999999999945,517.9999999999962,-94.0000000000083,59.000000000009045,,-3021.9999999999823
2018.11.06,75.99999999998718,-621.0000000000049,-391.9999999999924,-270.99999999999903,313.00000000000773,-382.00000000000455,-748.9999999999997,-95.99999999999609,-474.00000000000773,-462.0000000000068,-158.0000000000026,-153.00000000000313,-632.000000000005,580.0000000000027,-53.00000000001148,-7.999999999985796,,-3482.0000000000214
2018.11.06,116.00000000000499,-571.9999999999948,-373.00000000000114,-270.99999999999903,329.00000000000153,-414.9999999999987,-752.9999999999815,-51.99999999999649,-539.0000000000006,-541.9999999999981,-130.99999999999224,-303.0000000000088,-561.000000000007,622.0000000000115,-31.00000000000591,-15.999999999993797,,-3491.99999999996
2018.11.06,95.999999999985,-600.0000000000006,-397.0000000000029,-254.999999999983,428.00000000000614,-461.0000000000003,-756.9999999999854,-54.999999999993946,-584.0000000000067,-548.0000000000041,-100.00000000000009,-455.0000000000054,-563.999999999993,670.9999999999993,-22.00000000000557,7.0000000000014495,,-3595.9999999999886
2018.11.06,158.99999999999804,-456.00000000001194,-327.99999999999494,-422.9999999999956,391.000000000008,-422.00000000000017,-654.9999999999834,-97.00000000000264,-565.0000000000044,-536.0000000000032,-73.99999999999629,-522.0000000000002,-429.00000000000205,567.0000000000064,42.00000000000159,31.000000000003247,,-3316.9999999999777
2018.11.06,173.99999999998528,-421.0000000000047,-221.00000000000452,-390.9999999999858,351.0000000000013,-404.99999999999983,-648.9999999999885,-68.99999999999685,-560.0000000000049,-545.0000000000066,-112.000000000001,-912.0000000000017,-283.00000000001546,475.0000000000032,108.99999999999466,30.0000000000189,,-3429.000000000007
2018.11.06,164.99999999999292,-120.00000000000898,-185.99999999999727,-378.999999999996,395.0000000000009,-387.99999999999943,-380.9999999999869,-95.99999999999609,-587.9999999999997,-524.9999999999977,35.00000000000725,-1027.0000000000002,-195.99999999999795,507.000000000013,158.99999999999181,83.00000000001084,,-2541.999999999963
2018.11.06,173.99999999998528,-174.00000000000747,-174.99999999999181,-366.999999999984,368.00000000000165,-386.0000000000086,-418.9999999999916,-90.0000000000012,-555.0000000000055,-524.0000000000023,-15.999999999993797,-863.9999999999981,-217.00000000001296,490.0000000000126,115.99999999999966,16.000000000016,,-2622.999999999982
2018.11.06,143.00000000000423,-499.000000000005,-218.99999999999142,-377.9999999999894,362.00000000000676,-451.0000000000014,-721.9999999999782,-95.99999999999609,-565.0000000000044,-555.0000000000055,-210.99999999999451,-727.9999999999953,-254.99999999999545,490.999999999997,134.00000000000034,7.0000000000014495,,-3541.999999999947
2018.11.06,89.99999999999008,-665.0000000000044,-329.99999999998585,-378.999999999996,402.00000000000233,-460.00000000000483,-806.99999999998,-143.9999999999997,-551.0000000000015,-563.9999999999978,-190.00000000000128,-446.9999999999974,-418.00000000000637,609.0000000000151,111.99999999999477,-11.999999999989797,,-3753.9999999999627
2018.11.06,61.99999999998429,-608.9999999999928,-371.99999999999454,-343.99999999998875,412.00000000000125,-470.00000000000375,-706.999999999991,-156.99999999999602,-513.0000000000078,-526.0000000000042,-136.00000000000279,-375.9999999999986,-467.00000000001296,747.0000000000088,75.9999999999934,-34.99999999998504,,-3414.9999999999905
2018.11.06,-21.00000000000435,-731.9999999999993,-468.00000000000176,-344.99999999999534,429.0000000000016,-504.9999999999999,-729.9999999999862,-214.00000000000307,-516.0000000000053,-511.0000000000059,-136.99999999999824,-378.00000000001165,-526.0000000000105,801.0000000000073,113.99999999999011,-41.99999999998649,,-3781.000000000009
2018.11.06,-36.0000000000138,-713.0000000000081,-522.0000000000002,-358.9999999999982,397.99999999999835,-475.0000000000032,-699.9999999999895,-224.000000000002,-424.9999999999976,-478.0000000000006,-109.99999999999899,-273.9999999999965,-574.9999999999886,790.0000000000018,96.9999999999942,-64.99999999998174,,-3670.999999999984
2018.11.06,-22.0000000000109,-652.9999999999925,-441.0000000000025,-356.00000000000074,379.0000000000071,-458.00000000000284,-666.9999999999953,-221.99999999999997,-412.00000000000125,-468.9999999999972,-103.99999999999298,-275.000000000003,-602.0000000000039,842.0000000000094,55.999999999997385,-70.99999999999883,,-3474.999999999988
2018.11.06,4.000000000004,-615.00000000001,-409.99999999999926,-359.99999999998255,387.99999999999943,-465.9999999999998,-633.9999999999791,-195.00000000000074,-496.00000000000756,-536.0000000000032,-98.99999999999353,-351.99999999999676,-616.0000000000139,738.0000000000164,0.0,-61.99999999998429,,-3710.9999999999513
2018.11.06,38.99999999998904,-590.0000000000016,-336.9999999999873,-379.99999999998033,343.00000000000443,-448.9999999999994,-663.999999999998,-188.9999999999947,-473.0000000000012,-521.0000000000048,-141.99999999999767,-360.0000000000048,-538.0000000000109,757.0000000000076,24.00000000000091,-68.99999999998573,,-3548.9999999999645
2018.11.06,34.000000000000696,-615.00000000001,-343.00000000000443,-455.99999999998977,280.9999999999979,-429.0000000000016,-725.9999999999823,-226.99999999999943,-441.0000000000025,-497.000000000003,-156.99999999999602,-148.99999999999915,-612.9999999999995,710.0000000000106,-58.000000000006935,-91.99999999998099,,-3777.9999999999663
2018.11.06,65.99999999998829,-612.0000000000125,-336.00000000000296,-430.9999999999814,319.0000000000026,-409.0000000000038,-752.9999999999815,-175.00000000000293,-443.0000000000045,-495.9999999999964,-164.99999999999292,-58.000000000002494,-640.9999999999911,722.0000000000005,-49.000000000006594,-64.99999999998174,,-3525.999999999969
