date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,GBPCHF,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,AUDJPY,AUDCAD,empty,sum
2015.08.17,29.999999999996696,-320.9999999999935,-214.99999999998744,225.00000000000853,382.0000000000157,128.00000000000588,11.00000000000545,120.99999999999334,53.999999999998494,254.99999999999412,63.99999999999739,-102.00000000000387,-503.9999999999711,-480.99999999999807,-45.99999999999227,182.0000000000155,109.99999999998789,473.99999999999665,15.000000000000568,-206.00000000000617,,176.00000000006364
2015.08.17,-158.0000000000026,-259.9999999999936,-190.00000000000128,53.00000000001148,134.00000000001188,-9.999999999998899,110.99999999999443,126.99999999999933,41.000000000002146,256.0000000000007,39.00000000000014,-22.999999999996135,-292.9999999999655,-383.0000000000222,-100.99999999999909,155.00000000001623,38.99999999998904,492.9999999999879,-27.000000000001023,-241.00000000000233,,-237.99999999996936
2015.08.17,-70.99999999999883,-234.00000000000088,-88.99999999998354,6.000000000000227,147.00000000000824,-68.99999999999685,170.00000000000347,87.99999999999919,-9.00000000000345,351.99999999999676,98.99999999999353,69.99999999999318,-279.9999999999692,-198.00000000000927,-63.99999999999295,175.99999999999838,20.999999999982144,634.0000000000013,-70.99999999999795,-236.99999999999832,,441.0000000000251
2015.08.17,-56.99999999999594,-320.9999999999935,-304.9999999999997,13.00000000000523,141.00000000001333,-44.99999999999504,26.999999999999247,37.99999999999359,-53.999999999998494,388.9999999999949,-9.999999999998899,143.99999999997704,-235.99999999999176,-141.99999999999767,-310.0000000000023,-37.99999999998249,-225.00000000000853,713.0000000000081,-61.99999999999761,-270.0000000000036,,-609.9999999999741
2015.08.17,-20.999999999993246,-360.9999999999891,-373.99999999998545,85.00000000000796,302.0000000000023,-17.000000000000348,174.00000000000747,103.99999999999298,-43.00000000000415,365.99999999999966,-29.999999999996696,122.99999999999045,-283.99999999999534,-106.0000000000283,-348.0000000000132,-96.99999999999153,-375.0000000000142,998.9999999999943,-100.99999999999909,-311.00000000000574,,-315.0000000000212
2015.08.17,4.000000000004,-539.0000000000006,-425.99999999999307,115.99999999999966,221.00000000000452,-78.00000000000028,106.99999999999044,-80.00000000000229,-239.0000000000003,387.99999999999943,-2.000000000002,153.99999999999636,-68.99999999996353,91.99999999998099,-426.00000000001614,-306.9999999999906,-609.0000000000151,1035.0000000000082,-186.00000000000705,-307.99999999999716,,-1152.0000000000045
2015.08.17,197.99999999999818,-723.9999999999914,-556.0000000000009,133.00000000000978,87.99999999999919,-126.99999999999933,82.00000000000429,-189.00000000000583,-282.99999999999994,583.0000000000002,10.999999999994348,471.99999999998,336.0000000000252,620.9999999999827,-551.9999999999925,-485.99999999998647,-714.0000000000147,1404.9999999999895,-230.00000000000398,-306.00000000000625,,-238.00000000001774
2015.08.17,65.00000000000395,-622.9999999999958,-441.99999999998687,102.00000000000387,-10.999999999983245,-151.00000000000114,212.99999999999653,-145.00000000000622,-275.99999999999847,536.9999999999986,36.999999999998145,477.00000000000387,483.0000000000112,703.9999999999935,-447.00000000000273,-502.00000000000244,-712.0000000000015,1441.9999999999877,-242.00000000000443,-280.00000000000244,,229.00000000001245
2015.08.17,29.999999999996696,-676.9999999999943,-439.99999999999596,103.9999999999992,17.000000000000348,-165.9999999999995,371.00000000001023,-109.99999999999899,-217.0000000000005,539.0000000000006,68.99999999999685,569.9999999999932,663.999999999998,834.0000000000014,-479.0000000000134,-492.9999999999879,-739.0000000000008,1479.9999999999925,-263.00000000000523,-274.00000000000756,,819.9999999999845
2015.08.17,24.999999999997247,-644.0000000000001,-407.99999999998613,102.00000000000387,-58.99999999998684,-148.99999999999915,411.0000000000058,-121.99999999999989,-192.00000000000327,509.9999999999993,68.99999999999685,545.9999999999923,694.0000000000168,804.9999999999891,-437.0000000000118,-550.9999999999903,-702.0000000000026,1424.9999999999875,-245.9999999999951,-257.0000000000072,,820.0000000000064
2015.08.17,46.999999999997044,-651.0000000000016,-407.99999999998613,112.99999999999955,-182.99999999999983,-142.99999999999312,401.99999999999125,-182.00000000000438,-202.9999999999976,540.9999999999915,66.99999999999484,532.999999999987,830.0000000000196,815.0000000000101,-435.0000000000023,-703.9999999999935,-713.0000000000081,1463.9999999999986,-245.9999999999951,-185.00000000000182,,759.000000000006
