date,EURUSD,USDCAD,CHFJPY,EURJPY,EURNZD,NZDCAD,empty,sum
2019.04.29,-447.0000000000196,-149.9999999999835,179.00000000000205,-775.9999999999962,-385.99999999999744,-134.99999999999625,,-1714.999999999991
2019.04.29,-438.00000000000506,-146.99999999998602,210.00000000000796,-796.0000000000065,-377.0000000000051,-133.00000000000534,,-1681.0
2019.04.29,-407.0000000000018,-112.000000000001,151.00000000001046,-765.0000000000006,-407.99999999998613,-121.00000000000443,,-1661.9999999999836
2019.04.29,-474.0000000000189,-146.99999999998602,134.00000000000034,-789.0000000000015,-411.99999999999017,-136.00000000000279,,-1823.9999999999989
2019.04.29,-437.0000000000207,-121.99999999999989,126.00000000000477,-740.0000000000091,-395.99999999999636,-153.99999999999858,,-1723.00000000002
2019.04.29,-461.0000000000003,-95.999999999985,128.0000000000001,-734.0000000000089,-422.9999999999956,-175.00000000000293,,-1760.9999999999927
2019.04.29,-464.00000000001995,-102.00000000000209,106.99999999999932,-689.0000000000072,-410.99999999998363,-178.99999999999582,,-1738.0000000000095
2019.04.29,-450.00000000001705,-75.99999999998718,75.00000000000284,-659.9999999999966,-404.0000000000044,-199.00000000000472,,-1714.000000000007
2019.04.29,-465.0000000000043,-20.999999999982144,57.00000000000216,-647.0000000000056,-435.9999999999919,-243.00000000000432,,-1754.9999999999861
2019.04.30,-462.0000000000068,-142.99999999998204,43.00000000000637,-646.0000000000008,-488.9999999999839,-239.99999999999577,,-1936.9999999999627
2019.04.30,-458.00000000000284,-37.99999999998249,5.000000000009663,-611.0000000000042,-408.9999999999927,-226.00000000000398,,-1736.9999999999768
2019.04.30,-453.0000000000145,-18.999999999991246,34.000000000006025,-640.0000000000006,-439.99999999999596,-212.99999999999653,,-1730.9999999999927
2019.04.30,-453.0000000000145,-19.999999999997797,91.00000000000819,-658.0000000000013,-390.0000000000015,-231.0000000000034,,-1661.0000000000102
2019.04.30,-458.00000000000284,-34.99999999998504,103.00000000000864,-671.0000000000065,-365.99999999999966,-234.99999999999633,,-1661.9999999999818
2019.04.30,-465.0000000000043,-17.000000000000348,106.99999999999932,-683.0000000000069,-395.99999999999636,-234.99999999999633,,-1689.000000000005
2019.04.30,-455.0000000000054,-10.999999999983245,94.0000000000083,-668.0000000000064,-375.9999999999986,-282.0000000000045,,-1697.99999999999
2019.04.30,-518.0000000000184,-27.999999999983594,85.00000000000796,-680.9999999999974,-305.9999999999841,-372.0000000000057,,-1819.9999999999811
2019.04.30,-503.000000000009,-20.999999999982144,-3.0000000000001137,-671.999999999997,-628.9999999999907,-373.99999999999653,,-2201.9999999999754
2019.04.30,-476.0000000000098,29.00000000001235,-21.000000000000796,-579.9999999999983,-669.9999999999928,-219.00000000000253,,-1936.999999999992
2019.04.30,-495.000000000001,33.00000000001635,25.000000000005684,-630.0000000000097,-575.9999999999987,-231.99999999999886,,-1874.9999999999861
2019.04.30,-506.0000000000064,36.999999999998145,38.000000000010914,-644.0000000000055,-610.9999999999837,-219.00000000000253,,-1904.9999999999889
2019.04.30,-536.0000000000032,9.000000000014552,38.000000000010914,-633.0000000000098,-597.0000000000031,-222.99999999999542,,-1941.999999999986
2019.04.30,-511.000000000017,36.0000000000138,37.00000000000614,-606.0000000000088,-533.99999999999,-224.9999999999974,,-1802.9999999999934
