date,GBPUSD,USDCAD,AUDUSD,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,NZDCAD,empty,sum
2017.04.25,-99.00000000000463,-1120.9999999999943,-428.9999999999905,-525.9999999999962,-248.99999999999923,-106.00000000000608,378.00000000000057,66.99999999999484,162.9999999999825,1168.9999999999977,678.0000000000008,485.0000000000021,-1615.000000000011,-644.0000000000055,619.9999999999903,397.0000000000029,,-832.0000000000348
2017.04.25,-89.99999999999008,-1167.0000000000068,-415.99999999999415,-459.0000000000032,-283.99999999999534,-92.00000000000318,351.99999999999676,39.00000000000014,91.99999999998454,1257.9999999999814,774.000000000008,466.00000000001086,-1614.0000000000043,-621.9999999999999,560.0000000000023,309.99999999999915,,-893.0000000000141
2017.04.25,-24.000000000001798,-1153.9999999999884,-363.99999999999767,-387.00000000000045,-329.999999999997,-89.00000000000574,358.0000000000028,56.0000000000005,24.00000000000091,1364.999999999994,748.9999999999997,419.0000000000138,-1575.9999999999995,-606.0000000000088,472.999999999999,295.99999999999625,,-789.9999999999928
2017.04.25,-35.00000000000725,-1276.9999999999948,-389.99999999999034,-292.0000000000016,-434.9999999999965,-143.00000000000423,395.99999999999636,-7.9999999999968985,-147.99999999999613,1459.9999999999945,950.0000000000064,593.0000000000213,-1693.0000000000111,-649.0000000000009,445.99999999999795,219.00000000000253,,-1005.9999999999804
2017.04.25,-15.999999999993797,-1574.0000000000086,-463.9999999999977,-191.0000000000025,-551.9999999999969,-204.00000000000418,429.0000000000016,-17.000000000000348,-133.00000000000978,1645.9999999999918,1165.000000000016,728.0000000000175,-1862.0000000000082,-749.0000000000094,469.99999999999886,133.00000000000534,,-1191.0
2017.04.25,-60.99999999999994,-1478.0000000000016,-488.999999999995,-215.0000000000034,-476.9999999999941,-208.00000000000819,392.9999999999989,0.999999999995449,-275.0000000000057,1608.9999999999939,1104.0000000000161,709.0000000000041,-1855.0000000000066,-669.0000000000111,485.99999999999,185.99999999999727,,-1239.00000000003
2017.04.25,-113.00000000000753,-1468.0000000000027,-474.9999999999921,-186.9999999999976,-493.99999999999443,-187.00000000000384,419.00000000000273,-94.00000000000519,-295.0000000000159,1654.9999999999843,1229.0000000000134,760.0000000000051,-1939.0000000000018,-680.9999999999974,423.9999999999924,179.00000000000693,,-1267.0000000000136
2017.04.25,-217.0000000000005,-1456.9999999999973,-412.9999999999967,-168.99999999999693,-549.9999999999949,-186.00000000000838,463.9999999999977,-275.000000000003,-240.0000000000091,1408.9999999999936,1330.0000000000089,770.000000000004,-2215.0000000000114,-676.0000000000019,295.0000000000017,192.99999999999872,,-1937.0000000000155
2017.04.25,-82.99999999998863,-1448.999999999989,-345.99999999999073,93.00000000000352,-597.9999999999985,-237.00000000000944,524.0000000000023,-312.00000000000114,-473.0000000000132,1547.9999999999939,1544.000000000012,959.0000000000209,-2300.000000000013,-518.0000000000007,221.00000000000364,185.99999999999727,,-1240.9999999999711
2017.04.25,-42.999999999993044,-1575.9999999999995,-345.99999999999073,156.0000000000059,-678.9999999999962,-216.0000000000051,519.9999999999983,-275.000000000003,-727.0000000000039,1771.999999999996,1710.0000000000116,946.0000000000024,-2599.000000000018,-590.0000000000034,94.99999999999886,162.0000000000066,,-1689.9999999999934
2017.04.25,93.00000000000975,-1695.000000000002,-375.9999999999986,274.0000000000009,-758.9999999999985,-227.00000000001052,667.0000000000065,-277.000000000005,-730.0000000000182,2153.999999999989,1965.0000000000168,1100.000000000012,-2734.000000000014,-573.0000000000075,132.99999999999557,180.0000000000024,,-805.0000000000218
2017.04.25,66.00000000001049,-1605.9999999999964,-378.00000000000057,313.99999999999295,-702.9999999999981,-248.00000000000378,695.0000000000011,-339.0000000000004,-840.0000000000034,2060.9999999999795,2075.0000000000045,1247.0000000000202,-2924.0000000000155,-558.9999999999975,73.99999999999807,238.0000000000049,,-827.0000000000028
2017.04.25,89.00000000000574,-1595.9999999999975,-405.9999999999952,409.9999999999966,-714.999999999999,-308.00000000000824,714.0000000000035,-343.9999999999999,-823.0000000000075,1991.9999999999939,2071.0000000000005,1391.0000000000089,-2922.0000000000023,-463.99999999999864,150.99999999999625,284.0000000000065,,-475.9999999999968
2017.04.25,83.9999999999952,-1490.999999999998,-362.99999999999113,347.999999999999,-682.0000000000048,-274.00000000000756,679.0000000000074,-341.0000000000024,-723.0000000000132,1768.9999999999984,1859.0000000000107,1273.000000000013,-2839.0000000000136,-457.00000000000784,138.9999999999958,297.00000000000284,,-722.0000000000164
