date,USDCAD,EURCHF,CHFJPY,NZDCHF,EURGBP,GBPJPY,GBPAUD,EURJPY,CADJPY,AUDJPY,NZDJPY,empty,sum
2016.02.16,-748.0000000000153,-495.99999999998533,-510.0000000000051,-1317.999999999997,-182.99999999999983,-1467.000000000013,-2577.0000000000073,-786.9999999999919,-1497.9999999999905,-1814.9999999999977,-1530.0000000000011,,-12929.000000000005
2016.02.16,-677.0000000000165,-529.0000000000017,-486.0000000000042,-1331.9999999999998,-111.99999999998988,-1442.0000000000073,-2554.000000000034,-795.0000000000017,-1513.999999999996,-1796.0000000000064,-1561.000000000007,,-12798.000000000065
2016.02.16,-663.999999999998,-542.9999999999824,-471.9999999999942,-1319.9999999999989,-114.99999999999844,-1413.9999999999873,-2427.0000000000014,-774.9999999999915,-1441.9999999999932,-1716.0000000000082,-1526.0000000000105,,-12413.999999999967
2016.02.16,-682.0000000000048,-553.9999999999878,-399.0000000000009,-1290.9999999999977,-128.99999999999022,-1396.9999999999914,-2374.0000000000095,-739.0000000000185,-1442.9999999999977,-1669.0000000000111,-1426.0000000000018,,-12103.000000000011
2016.02.16,-851.0000000000017,-546.9999999999864,-415.9999999999968,-980.9999999999985,-117.00000000000044,-1455.9999999999889,-2541.0000000000377,-742.0000000000044,-1625.9999999999905,-1763.0000000000052,-1090.0000000000034,,-12130.000000000015
2016.02.16,-885.0000000000025,-525.999999999982,-490.99999999999966,-891.9999999999928,-139.00000000000023,-1534.9999999999966,-2485.000000000026,-756.9999999999908,-1691.0000000000025,-1789.0000000000014,-1017.0000000000101,,-12207.000000000005
2016.02.16,-964.0000000000093,-496.99999999999187,-495.9999999999951,-939.9999999999964,-180.99999999999784,-1580.0000000000125,-2663.0000000000377,-759.0000000000003,-1774.9999999999914,-1907.0000000000107,-1094.9999999999989,,-12857.00000000004
2016.02.16,-948.9999999999999,-515.9999999999832,-484.99999999999943,-810.9999999999951,-186.99999999999272,-1573.0000000000075,-2479.0000000000314,-737.000000000009,-1771.9999999999914,-1795.0000000000018,-906.0000000000059,,-12210.000000000016
2016.02.16,-992.0000000000151,-520.9999999999936,-373.00000000000466,-795.9999999999967,-178.00000000000037,-1462.9999999999939,-2227.000000000023,-659.000000000006,-1728.999999999999,-1669.0000000000111,-849.0000000000038,,-11456.000000000047
2016.02.16,-923.0000000000072,-513.9999999999923,-358.0000000000041,-715.9999999999944,-159.9999999999935,-1396.9999999999914,-2197.0000000000045,-629.0000000000049,-1703.000000000003,-1609.0000000000089,-755.0000000000097,,-10961.000000000013
2016.02.16,-852.0000000000083,-506.9999999999908,-331.00000000000307,-681.9999999999937,-126.99999999999933,-1254.9999999999955,-2179.00000000002,-606.9999999999993,-1628.0,-1552.9999999999973,-700.0000000000028,,-10421.000000000011
2016.02.16,-838.0000000000055,-541.9999999999981,-212.0000000000033,-735.9999999999923,-110.99999999999443,-1102.0000000000039,-2288.000000000023,-517.0000000000101,-1500.9999999999905,-1472.999999999999,-669.0000000000111,,-9989.00000000003
2016.02.16,-831.000000000004,-576.9999999999831,-182.99999999999272,-775.9999999999989,-76.99999999999375,-1015.9999999999911,-2398.0000000000337,-487.99999999999955,-1506.999999999991,-1472.999999999999,-665.0000000000063,,-9990.99999999999
2016.02.16,-977.0000000000057,-571.9999999999948,-176.9999999999925,-778.0000000000009,-78.99999999999574,-903.9999999999964,-2457.0000000000205,-466.99999999999875,-1513.999999999996,-1462.0000000000032,-672.0000000000113,,-10059.000000000016
2016.02.16,-1090.0000000000132,-512.0000000000014,-161.00000000000136,-774.9999999999924,-223.99999999999088,-1163.000000000011,-2620.0000000000223,-394.00000000000546,-1600.999999999999,-1599.0000000000036,-626.0000000000048,,-10765.000000000045
2016.02.16,-1157.000000000008,-525.999999999982,-173.99999999999238,-756.0000000000011,-278.00000000000045,-1317.0000000000073,-2490.0000000000146,-380.00000000000966,-1602.9999999999945,-1630.0000000000095,-623.0000000000047,,-10934.000000000025
2016.02.16,-1415.0000000000107,-508.9999999999817,-254.0000000000049,-717.9999999999964,-466.9999999999952,-1841.0000000000082,-2241.0000000000264,-460.00000000000796,-1719.9999999999989,-1627.0000000000095,-602.0000000000039,,-11854.000000000044
2016.02.16,-1233.0000000000175,-553.9999999999878,-129.99999999999545,-685.9999999999977,-403.99999999999324,-1604.0000000000134,-2022.0000000000127,-396.0000000000008,-1599.9999999999943,-1523.0000000000105,-533.0000000000013,,-10685.000000000025
2016.02.16,-845.0000000000068,-565.9999999999999,51.00000000000193,-753.9999999999991,-391.9999999999924,-1326.9999999999982,-2233.000000000018,-198.0000000000075,-1192.9999999999977,-1454.9999999999982,-487.99999999999955,,-9400.000000000016
2016.02.16,-678.0000000000008,-580.0000000000027,283.00000000000125,-673.0000000000014,-149.99999999999457,-469.99999999999886,-2167.00000000003,12.999999999991019,-927.9999999999973,-1112.000000000009,-273.00000000001035,,-6735.000000000053
2016.02.16,-690.9999999999972,-610.9999999999837,320.0000000000074,-674.9999999999923,-184.99999999999073,-402.9999999999916,-1924.0000000000368,87.99999999999386,-861.9999999999948,-1002.0000000000095,-193.00000000001205,,-6138.000000000008
2016.02.16,-662.000000000007,-587.9999999999885,347.999999999999,-673.9999999999968,-166.99999999999494,-367.999999999995,-1995.0000000000134,115.99999999999966,-903.9999999999964,-1003.0000000000001,-184.0000000000117,,-6081.000000000005
2016.02.16,-653.999999999999,-526.9999999999886,278.0000000000058,-607.9999999999974,-76.99999999999375,-260.9999999999957,-2410.000000000023,107.99999999998988,-1015.9999999999911,-1140.0000000000005,-191.0000000000025,,-6497.999999999995
2016.02.16,-792.9999999999993,-539.0000000000006,254.0000000000049,-736.9999999999987,-67.9999999999903,-324.0000000000123,-2550.0000000000077,40.99999999999682,-1084.9999999999936,-1204.9999999999982,-284.000000000006,,-7290.0000000000055
2016.02.16,-846.9999999999977,-588.9999999999951,355.99999999999454,-791.9999999999927,-73.00000000000084,-235.00000000001364,-2742.0000000000223,110.99999999999,-1081.9999999999936,-1180.9999999999973,-342.00000000001296,,-7416.000000000041
2016.02.16,-677.0000000000165,-536.9999999999875,402.000000000001,-698.9999999999941,39.00000000000014,159.9999999999966,-3191.0000000000327,259.00000000000034,-875.9999999999906,-1034.000000000006,-198.0000000000075,,-6352.000000000036
2016.02.16,-507.9999999999973,-504.9999999999999,293.99999999999693,-541.9999999999981,325.00000000000864,716.0000000000082,-3303.0000000000114,110.99999999999,-783.9999999999918,-989.0000000000043,-27.000000000001023,,-5212.0
2016.02.16,-413.00000000001893,-512.9999999999857,213.00000000000807,-537.9999999999941,423.0000000000067,691.0000000000025,-3265.000000000029,24.999999999991473,-771.0000000000008,-927.9999999999973,-170.0000000000017,,-5246.000000000019
2016.02.16,-205.00000000001074,-452.99999999999227,186.9999999999976,-468.9999999999972,478.0000000000006,873.9999999999952,-3421.0000000000296,39.00000000000148,-623.9999999999952,-910.0000000000108,-99.00000000000375,,-4603.000000000045
2016.02.16,295.0000000000008,-449.9999999999948,420.0000000000017,-430.9999999999925,420.00000000000927,1223.9999999999895,-3141.000000000016,305.9999999999974,-415.9999999999968,-648.0000000000103,122.99999999999045,,-2298.0000000000214
2016.02.16,341.99999999999784,-448.9999999999883,509.00000000000034,-366.9999999999951,394.00000000000546,1171.999999999997,-2389.000000000019,421.99999999999704,-364.9999999999949,-367.00000000000443,245.9999999999951,,-852.000000000009
2016.02.16,259.9999999999936,-462.9999999999912,611.0000000000042,-329.999999999997,428.00000000000614,1342.9999999999893,-2260.0000000000177,493.9999999999998,-263.9999999999958,-213.00000000000807,346.9999999999942,,-47.000000000022624
2016.02.16,98.99999999998244,-461.99999999998465,546.0000000000065,-447.99999999999284,502.00000000000244,1449.0000000000123,-2673.000000000014,455.99999999998886,-477.99999999999443,-398.00000000001035,174.99999999999716,,-1232.0000000000068
2016.02.16,22.999999999995246,-417.99999999998505,503.0000000000001,-435.9999999999919,476.0000000000098,1306.0000000000116,-2656.999999999998,417.0000000000016,-545.9999999999923,-442.0000000000073,140.00000000000057,,-1633.999999999956
2016.02.16,-59.000000000009045,-407.99999999998613,516.0000000000053,-451.0000000000014,421.0000000000047,1290.9999999999968,-2586.000000000022,452.99999999998875,-545.9999999999923,-427.0000000000067,140.00000000000057,,-1656.0000000000214
2016.02.16,53.999999999998494,-421.99999999998903,561.000000000007,-453.99999999999886,432.0000000000102,1346.0000000000036,-2602.0000000000377,497.99999999999045,-489.9999999999949,-419.00000000001114,155.9999999999917,,-1340.0000000000305
2016.02.16,158.99999999999804,-413.99999999998107,543.9999999999969,-429.0000000000016,440.00000000000705,1399.000000000001,-2536.000000000005,463.99999999999864,-471.9999999999942,-380.00000000000966,193.9999999999884,,-1031.0000000000016
2016.02.16,238.99999999998923,-424.99999999998647,519.0000000000055,-370.9999999999991,516.0000000000053,1430.0000000000068,-2521.00000000004,426.00000000000193,-381.0000000000002,-356.9999999999993,210.99999999999852,,-714.0000000000177
2016.02.16,245.99999999999068,-437.99999999998283,543.9999999999969,-443.99999999999994,508.00000000000847,1400.0000000000057,-2648.000000000028,447.9999999999933,-387.00000000000045,-388.00000000000523,163.99999999998727,,-995.0000000000341
2016.02.16,262.999999999991,-441.0000000000025,522.9999999999961,-459.99999999999375,531.0000000000036,1421.999999999997,-2673.000000000014,414.99999999999204,-366.9999999999902,-387.00000000000045,140.99999999999113,,-1033.00000000003
2016.02.16,319.0000000000026,-451.99999999998573,490.99999999999966,-466.9999999999952,514.0000000000033,1341.0000000000082,-2663.0000000000377,369.99999999999034,-347.999999999999,-433.00000000000693,96.9999999999942,,-1231.0000000000264
2016.02.16,322.00000000000006,-429.99999999999704,417.0000000000016,-485.0000000000021,490.00000000000153,1193.000000000012,-2625.0000000000105,311.9999999999976,-399.9999999999915,-496.9999999999999,38.99999999998727,,-1664.000000000001
2016.02.16,139.9999999999846,-462.9999999999912,364.9999999999949,-549.9999999999949,454.00000000000995,1000.0,-2795.000000000014,206.99999999999363,-575.9999999999934,-621.0000000000093,-100.99999999999909,,-2940.000000000019
2016.02.17,130.99999999999224,-458.00000000000284,403.0000000000058,-517.0000000000008,383.0,1044.0000000000111,-2846.0000000000373,240.99999999999966,-552.9999999999973,-612.9999999999995,-79.00000000000773,,-2864.000000000037
2016.02.17,171.99999999999437,-455.99999999998977,263.9999999999958,-546.9999999999975,400.00000000000034,846.0000000000036,-2869.0000000000105,101.99999999998965,-629.9999999999955,-746.9999999999999,-177.0000000000067,,-3642.0000000000164
2016.02.17,141.99999999999767,-481.99999999998244,256.0000000000002,-597.9999999999985,436.00000000000307,852.0000000000039,-2842.0000000000114,121.99999999999989,-632.9999999999956,-767.0000000000101,-190.00000000001194,,-3704.0000000000045
2016.02.17,121.99999999999989,-434.000000000001,316.0000000000025,-548.9999999999995,452.00000000000796,953.000000000003,-2891.0000000000214,191.99999999999307,-609.9999999999994,-721.0000000000036,-129.0000000000049,,-3299.0000000000236
2016.02.17,106.99999999999044,-445.99999999999085,204.9999999999983,-617.0000000000009,402.00000000000233,721.0000000000036,-2961.000000000036,55.999999999997385,-753.9999999999907,-884.0000000000003,-281.0000000000059,,-4452.000000000033
2016.02.17,156.99999999998494,-388.9999999999949,185.00000000000227,-566.9999999999953,365.99999999999966,692.0000000000073,-2891.0000000000214,97.99999999999898,-745.9999999999951,-835.9999999999985,-237.99999999999955,,-4169.000000000011
2016.02.17,125.99999999998168,-400.00000000000034,236.99999999999477,-542.9999999999935,415.0000000000098,854.9999999999898,-2884.00000000002,146.0000000000008,-682.9999999999927,-752.0000000000095,-158.00000000000125,,-3641.0000000000405
2016.02.17,119.00000000000244,-402.9999999999978,373.9999999999952,-427.99999999999505,433.0000000000056,1128.9999999999907,-2717.000000000036,295.99999999999227,-555.9999999999974,-584.0000000000032,43.99999999999693,,-2293.0000000000464
2016.02.17,29.999999999996696,-413.99999999998107,344.0000000000083,-426.9999999999996,428.00000000000614,1026.0000000000105,-2822.000000000013,235.99999999999,-652.000000000001,-666.000000000011,40.99999999999682,,-2875.9999999999973
2016.02.17,-9.000000000014552,-424.99999999998647,349.9999999999943,-486.999999999993,451.0000000000014,1045.9999999999923,-2829.000000000015,248.99999999999523,-653.9999999999964,-667.0000000000016,-22.00000000000557,,-2997.000000000029
