date,EURJPY,AUDJPY,NZDCAD,empty,sum
2019.11.05,269.00000000000546,-356.9999999999993,-202.9999999999976,,-290.9999999999915
2019.11.05,335.00000000000796,-445.99999999999795,-251.99999999999667,,-362.9999999999867
2019.11.05,350.0000000000085,-445.0000000000074,-254.99999999999412,,-349.99999999999295
2019.11.05,396.0000000000008,-557.0000000000022,-221.99999999999997,,-383.00000000000136
2019.11.05,323.0000000000075,-579.9999999999983,-222.99999999999542,,-479.99999999998624
2019.11.05,350.0000000000085,-570.0000000000074,-219.00000000000253,,-439.00000000000136
2019.11.05,319.0000000000026,-582.0000000000078,-224.000000000002,,-487.0000000000072
2019.11.05,259.00000000000034,-564.0000000000072,-322.9999999999955,,-628.0000000000023
2019.11.05,149.0000000000009,-507.000000000005,-329.00000000000153,,-687.0000000000057
2019.11.05,185.00000000000227,-489.0000000000043,-298.9999999999937,,-602.9999999999957
2019.11.05,109.99999999999943,-480.000000000004,-288.9999999999948,,-658.9999999999993
2019.11.05,97.00000000000841,-418.99999999999693,-327.99999999999494,,-649.9999999999834
2019.11.05,81.00000000000307,-430.0000000000068,-378.999999999996,,-727.9999999999998
2019.11.05,39.00000000000148,-468.0000000000035,-356.9999999999962,,-785.9999999999982
2019.11.05,-9.000000000000341,-460.9999999999985,-449.9999999999948,,-919.9999999999936
2019.11.05,-79.9999999999983,-367.999999999995,-522.9999999999957,,-970.999999999989
2019.11.05,-88.99999999999864,-394.00000000000546,-644.9999999999956,,-1127.9999999999995
2019.11.05,-6.999999999990791,-442.0000000000073,-675.0000000000034,,-1124.0000000000014
2019.11.05,-19.99999999999602,-475.9999999999991,-604.0000000000045,,-1099.9999999999995
2019.11.05,-21.000000000000796,-424.99999999999716,-495.9999999999964,,-941.9999999999943
2019.11.05,13.00000000000523,-429.00000000000205,-524.9999999999977,,-940.9999999999945
2019.11.05,-3.0000000000001137,-424.0000000000066,-573.0000000000013,,-1000.000000000008
2019.11.05,-6.999999999990791,-430.9999999999974,-548.9999999999995,,-986.9999999999877
2019.11.05,31.00000000000591,-451.0000000000076,-536.0000000000032,,-956.0000000000049
2019.11.05,30.000000000001137,-460.00000000000796,-566.9999999999953,,-997.0000000000022
2019.11.05,51.00000000000193,-472.0000000000084,-561.9999999999958,,-983.0000000000023
2019.11.05,75.00000000000284,-463.0000000000081,-556.0000000000009,,-944.0000000000061
2019.11.05,79.00000000000773,-459.0000000000032,-519.0000000000028,,-898.9999999999983
2019.11.05,55.999999999997385,-459.0000000000032,-466.9999999999952,,-870.000000000001
2019.11.05,54.000000000002046,-439.00000000000716,-729.9999999999973,,-1115.0000000000023
2019.11.06,57.00000000000216,-477.00000000000387,-719.9999999999984,,-1140.0
2019.11.06,76.99999999999818,-436.9999999999976,-619.0000000000028,,-979.0000000000023
2019.11.06,84.00000000000318,-448.0000000000075,-644.0000000000001,,-1008.0000000000044
2019.11.06,78.00000000000296,-424.0000000000066,-676.9999999999943,,-1022.999999999998
2019.11.06,-6.999999999990791,-397.00000000000557,-744.9999999999957,,-1148.999999999992
2019.11.06,-67.99999999999784,-349.00000000000375,-734.0000000000014,,-1151.000000000003
2019.11.06,-91.99999999999875,-347.0000000000084,-734.9999999999968,,-1174.000000000004
2019.11.06,-30.000000000001137,-412.9999999999967,-695.0000000000011,,-1137.999999999999
2019.11.06,-27.000000000001023,-394.00000000000546,-671.9999999999948,,-1093.0000000000014
