date,USDCHF,USDJPY,AUDUSD,NZDUSD,GBPCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPCAD,EURAUD,EURNZD,CADJPY,AUDJPY,AUDCAD,empty,sum
2021.10.18,9.00000000000345,-37.9999999999967,-34.99999999999615,-165.9999999999995,68.99999999998573,18.000000000000682,73.99999999999629,-8.000000000008,-139.00000000000023,-282.99999999999994,-196.99999999998053,395.000000000012,19.999999999997797,102.99999999999443,10.99999999999568,-200.99999999999562,,-367.9999999999906
2021.10.18,-23.00000000000635,15.000000000000568,-35.999999999991594,-144.99999999999514,88.99999999998354,30.000000000001137,24.999999999997247,-36.999999999998145,-143.9999999999997,-295.0000000000008,-57.99999999998029,329.00000000000153,10.999999999983245,33.999999999991815,55.999999999997385,-178.99999999999582,,-328.00000000001137
2021.10.18,-2.999999999997449,20.000000000010232,-21.999999999999797,-132.99999999999423,107.99999999999699,63.99999999999295,58.99999999999794,-7.0000000000014495,-118.00000000000699,-304.9999999999997,-107.99999999999699,380.00000000000256,51.000000000001044,48.99999999999238,42.00000000000159,-176.99999999999383,,-99.99999999999477
2021.10.18,-12.000000000000899,64.99999999999773,-15.999999999993797,-151.00000000000114,83.9999999999952,99.99999999999432,63.00000000000195,-8.000000000008,-141.00000000000225,-285.9999999999974,-149.9999999999835,381.0000000000091,-5.000000000010552,27.999999999991587,67.99999999999784,-187.9999999999993,,-168.00000000000904
2021.10.18,-62.000000000006494,61.00000000000705,17.000000000000348,-159.9999999999935,49.99999999999449,31.999999999996476,26.999999999999247,-14.999999999998348,-184.00000000000637,-297.9999999999983,-104.99999999999955,429.00000000001273,-42.0000000000087,30.9999999999917,33.999999999991815,-147.99999999999258,,-333.00000000001
2021.10.18,-80.99999999999774,64.99999999999773,17.000000000000348,-154.99999999999403,48.99999999998794,-6.000000000000227,0.999999999995449,-31.000000000003247,-190.00000000000128,-299.00000000000483,-10.999999999983245,431.0000000000036,-55.000000000005045,16.999999999995907,15.000000000000568,-109.00000000000354,,-342.0000000000116
2021.10.19,-85.00000000000173,58.000000000006935,31.000000000003247,-95.00000000000064,40.99999999997994,-28.000000000005798,5.999999999994898,15.999999999993797,-130.0000000000079,-287.9999999999994,53.00000000001415,361.0000000000113,-47.00000000001925,19.99999999999602,12.999999999991019,-73.99999999999629,,-148.00000000003962
2021.10.19,-78.00000000000028,63.00000000000239,37.00000000000925,-129.00000000000134,13.999999999980695,-28.000000000005798,-14.000000000002899,-4.000000000004,-148.0000000000037,-260.00000000000466,-16.999999999978144,387.000000000004,-18.0000000000069,21.000000000000796,9.000000000000341,-85.00000000000173,,-250.00000000001205
2021.10.19,-75.00000000000284,36.000000000001364,43.00000000000415,-168.99999999999693,19.999999999997797,-20.000000000010232,26.000000000003798,29.000000000001247,-195.00000000000074,-290.00000000000136,-92.99999999998754,478.0000000000006,-56.000000000011596,39.99999999999204,-15.000000000000568,-107.99999999999699,,-349.00000000000773
2021.10.19,-75.9999999999983,26.00000000001046,56.0000000000005,-146.00000000000168,14.999999999987246,-33.00000000000125,44.99999999999504,37.99999999999359,-180.99999999999784,-284.0000000000065,-139.9999999999846,491.0000000000192,-15.00000000000945,69.99999999999318,-37.9999999999967,-109.99999999999899,,-281.99999999999613
2021.10.19,-68.00000000000139,36.000000000001364,54.00000000000959,-165.9999999999995,26.999999999999247,-3.0000000000001137,7.9999999999968985,14.999999999998348,-196.00000000000728,-304.9999999999997,-85.99999999998609,538.0000000000163,-16.000000000016,33.999999999991815,-30.000000000001137,-87.99999999999919,,-245.99999999999687
2021.10.19,-58.99999999999794,35.0000000000108,-13.999999999991797,-209.9999999999991,-17.000000000000348,1.9999999999953388,-17.000000000000348,-43.00000000000415,-229.00000000000142,-277.000000000005,-81.9999999999821,413.00000000001893,-97.00000000001374,-9.000000000000341,45.99999999999227,-124.00000000000189,,-681.9999999999809
2021.10.19,-19.999999999997797,47.000000000011255,-117.00000000000044,-246.00000000000176,-65.00000000000395,63.99999999999295,-29.999999999996696,-106.00000000000608,-231.99999999999886,-272.00000000000557,-119.99999999998678,307.00000000001285,-64.0000000000196,-65.00000000001194,162.9999999999967,-197.00000000000273,,-953.0000000000183
