date,USDCHF,EURUSD,USDJPY,AUDUSD,GBPCHF,EURCHF,GBPAUD,EURJPY,EURCAD,EURAUD,AUDJPY,NZDJPY,AUDCAD,NZDCAD,empty,sum
2017.11.07,-221.99999999999997,-38.0000000000047,-209.00000000000318,-400.9999999999958,759.999999999983,-273.0000000000121,514.9999999999987,-270.00000000001023,504.9999999999999,-727.9999999999953,228.00000000000864,-302.0000000000067,-200.00000000000017,-204.99999999999963,,-840.0000000000376
2017.11.07,-190.99999999999673,-26.999999999999247,-243.0000000000092,-419.9999999999982,731.9999999999993,-275.000000000003,465.99999999998863,-312.0000000000118,510.00000000001046,-760.9999999999894,243.99999999999977,-281.9999999999965,-224.9999999999974,-207.00000000000162,,-991.000000000005
2017.11.07,-209.9999999999991,-43.999999999999595,-243.99999999999977,-443.99999999999994,695.0000000000011,-266.0000000000107,384.00000000000654,-300.00000000001137,467.0000000000174,-794.9999999999901,254.0000000000049,-379.99999999999545,-265.99999999999955,-334.00000000000097,,-1482.9999999999764
2017.11.07,-214.99999999999852,-59.99999999999339,-260.0000000000051,-471.99999999999466,722.9999999999848,-269.00000000000813,340.00000000000693,-322.00000000000273,477.0000000000163,-859.9999999999941,256.0000000000002,-387.00000000000045,-290.9999999999968,-331.0000000000035,,-1670.999999999989
2017.11.07,-141.99999999999767,8.000000000008,-128.0000000000001,-441.99999999999795,767.9999999999909,-251.00000000000122,370.999999999988,-239.00000000000432,525.0000000000199,-851.9999999999861,337.0000000000033,-387.00000000000045,-275.99999999999847,-263.99999999999756,,-971.9999999999736
2017.11.07,-123.99999999999079,29.00000000001235,-94.0000000000083,-412.00000000000125,771.9999999999949,-261.0000000000001,411.99999999999017,-222.0000000000084,533.0000000000057,-852.9999999999926,314.9999999999977,-353.9999999999992,-249.99999999999466,-222.99999999999542,,-731.9999999999899
2017.11.07,-147.99999999999258,-39.999999999995595,-120.00000000000455,-380.00000000000256,784.9999999999912,-239.99999999999577,520.9999999999936,-211.9999999999891,477.0000000000163,-729.9999999999862,278.99999999999636,-328.00000000000296,-200.00000000000017,-204.00000000000418,,-539.999999999976
2017.11.07,-170.99999999999892,-43.999999999999595,-121.99999999999989,-373.99999999999653,824.9999999999868,-212.00000000001216,601.9999999999915,-183.9999999999975,477.0000000000163,-679.9999999999917,250.0,-283.00000000000125,-197.00000000000273,-158.99999999999804,,-272.00000000000375
2017.11.07,-145.9999999999906,-55.000000000005045,-112.00000000000898,-527.9999999999951,834.9999999999858,-202.9999999999976,297.9999999999983,-151.9999999999868,490.0000000000126,-948.9999999999999,262.00000000000045,-335.00000000000796,-339.99999999999585,-166.99999999999494,,-1101.9999999999857
2017.11.07,-139.00000000000023,-22.999999999995246,-70.99999999999795,-409.0000000000038,834.9999999999858,-216.00000000001617,526.9999999999886,-122.99999999999045,545.0000000000177,-748.9999999999997,338.99999999999864,-367.999999999995,-195.9999999999962,-170.00000000000347,,-218.0000000000074
2017.11.07,-132.99999999999423,-4.000000000004,-22.00000000000557,-358.9999999999982,832.9999999999949,-234.00000000000088,601.9999999999915,-110.00000000001364,491.0000000000192,-700.999999999996,323.0000000000075,-378.0000000000001,-168.99999999999693,-190.99999999999673,,-51.99999999999321
2017.11.07,-127.99999999999478,-7.0000000000014495,-31.999999999996476,-353.99999999999875,784.9999999999912,-226.99999999999943,567.0000000000064,-94.99999999999886,531.0000000000148,-678.0000000000008,323.0000000000075,-314.9999999999977,-151.9999999999966,-102.00000000000209,,116.00000000003304
2017.11.07,-124.99999999999733,-4.000000000004,-16.000000000005343,-337.99999999999386,775.9999999999989,-236.00000000001398,573.0000000000013,-121.00000000000932,522.0000000000002,-669.9999999999928,323.0000000000075,-314.9999999999977,-137.9999999999937,-105.99999999999498,,125.00000000000462
2017.11.07,-117.00000000000044,5.000000000010552,-1.0000000000047748,-354.9999999999942,775.9999999999989,-229.00000000001253,588.9999999999951,-85.00000000000796,538.0000000000163,-668.9999999999862,340.0000000000034,-310.0000000000023,-146.00000000000168,-78.99999999999574,,257.00000000001836
2017.11.07,-117.99999999999588,9.000000000014552,15.999999999991132,-353.99999999999875,732.9999999999836,-229.99999999999687,475.0000000000032,-64.99999999999773,556.0000000000009,-685.0000000000023,353.9999999999992,-314.00000000000716,-147.99999999999258,-43.00000000000415,,185.99999999999713
2017.11.07,-52.99999999999194,76.0000000000094,113.99999999999011,-300.0000000000003,730.9999999999927,-214.00000000000307,482.00000000000466,-78.00000000000296,577.0000000000052,-672.9999999999902,320.0000000000074,-323.99999999999807,-114.99999999999844,-54.999999999993946,,488.0000000000306
2017.11.07,36.0000000000027,165.9999999999995,161.99999999999193,-226.00000000000398,803.9999999999825,-228.00000000000597,578.9999999999961,-123.99999999999523,582.0000000000158,-672.9999999999902,287.9999999999967,-347.999999999999,-108.99999999999244,-100.00000000000009,,808.9999999999981
2017.11.07,60.000000000015596,157.00000000000713,149.99999999999147,-227.99999999999488,875.999999999988,-167.00000000000603,628.9999999999907,-126.00000000000477,553.0000000000035,-645.999999999991,278.99999999999636,-350.9999999999991,-112.99999999999643,-139.00000000000023,,934.0000000000002
2017.11.07,131.99999999999878,253.00000000001432,192.99999999999784,-158.0000000000026,887.9999999999999,-331.0000000000146,746.9999999999866,-270.00000000001023,609.0000000000151,-756.0000000000011,268.0000000000007,-332.9999999999984,-97.9999999999981,-141.00000000000225,,1002.9999999999857
