date,GBPUSD,USDCAD,AUDUSD,NZDUSD,NZDJPY,empty,sum
2019.01.21,-122.99999999998423,-482.00000000000466,-191.00000000000784,-315.0000000000097,-372.99999999999045,,-1483.9999999999968
2019.01.21,-167.9999999999904,-584.0000000000067,-233.00000000000543,-360.0000000000048,-411.9999999999919,,-1756.999999999999
2019.01.21,-92.99999999998754,-510.00000000001046,-200.00000000000017,-304.9999999999997,-378.9999999999907,,-1486.9999999999886
2019.01.21,-103.99999999999298,-452.00000000000796,-243.00000000000432,-335.0000000000075,-411.9999999999919,,-1546.0000000000045
2019.01.21,-255.00000000000523,-433.0000000000167,-225.00000000000853,-326.0000000000041,-402.9999999999916,,-1642.0000000000261
2019.01.21,167.00000000000603,-338.0000000000161,-116.00000000000499,-229.00000000000142,-313.0000000000024,,-829.0000000000189
2019.01.21,202.00000000001327,-324.9999999999975,-96.00000000000719,-204.99999999999963,-278.99999999999636,,-702.9999999999874
2019.01.21,234.00000000000088,-356.00000000000074,-70.0000000000034,-181.00000000000892,-253.0000000000001,,-626.0000000000123
2019.01.21,212.99999999999653,-412.9999999999967,-91.00000000000774,-204.99999999999963,-271.99999999999136,,-767.9999999999989
2019.01.21,114.0000000000141,-412.9999999999967,-103.00000000000864,-243.00000000000432,-313.0000000000024,,-957.999999999998
2019.01.21,114.99999999999844,-360.0000000000048,-100.00000000000009,-236.00000000000287,-314.9999999999977,,-896.000000000007
2019.01.21,141.00000000001333,-387.000000000004,-64.0000000000085,-233.00000000000543,-305.9999999999974,,-849.0000000000019
2019.01.21,151.9999999999966,-417.0000000000007,-64.0000000000085,-231.0000000000034,-299.99999999999716,,-860.0000000000132
2019.01.21,153.00000000000313,-384.00000000000654,-64.0000000000085,-236.00000000000287,-302.99999999999727,,-834.000000000012
2019.01.21,192.99999999999872,-392.9999999999989,-64.0000000000085,-229.00000000000142,-299.99999999999716,,-793.0000000000073
2019.01.21,192.99999999999872,-392.9999999999989,-64.0000000000085,-230.000000000008,-289.99999999999204,,-784.0000000000088
2019.01.21,188.00000000001037,-394.00000000000546,-65.99999999999939,-214.00000000000307,-268.99999999999125,,-754.9999999999889
2019.01.22,175.99999999999838,-371.00000000001023,-95.00000000000064,-201.00000000000674,-292.0000000000016,,-783.0000000000208
2019.01.22,195.9999999999962,-381.0000000000091,-101.00000000000664,-204.99999999999963,-295.99999999999227,,-787.0000000000115
2019.01.22,185.00000000001293,-402.9999999999978,-82.00000000000429,-225.00000000000853,-278.99999999999636,,-803.9999999999941
2019.01.22,180.0000000000024,-385.00000000001313,-81.00000000000884,-233.00000000000543,-286.9999999999919,,-806.0000000000169
2019.01.22,161.00000000001114,-422.00000000001125,-91.00000000000774,-280.00000000000244,-356.9999999999993,,-989.0000000000095
2019.01.22,143.00000000000423,-463.9999999999977,-107.00000000000153,-261.0000000000001,-365.99999999999966,,-1054.999999999995
2019.01.22,148.99999999999915,-445.0000000000065,-126.99999999999933,-259.0000000000092,-368.9999999999998,,-1051.0000000000157
2019.01.22,140.0000000000068,-439.0000000000116,-140.0000000000068,-238.0000000000049,-320.99999999999795,,-998.0000000000144
2019.01.22,123.00000000000644,-446.9999999999974,-161.00000000000003,-251.00000000000122,-335.9999999999985,,-1071.999999999991
2019.01.22,139.00000000000023,-440.00000000001813,-173.00000000000094,-212.00000000000108,-344.99999999999886,,-1031.0000000000189
2019.01.22,147.00000000000824,-436.9999999999985,-200.00000000000017,-200.00000000000017,-360.99999999999,,-1050.9999999999807
2019.01.22,53.00000000001415,-474.0000000000189,-270.99999999999903,-231.0000000000034,-435.99999999999284,,-1359.0
2019.01.22,2.999999999997449,-543.0000000000045,-308.00000000000824,-272.00000000000557,-490.99999999999966,,-1611.0000000000205
2019.01.22,21.00000000000435,-575.0000000000144,-301.0000000000068,-265.0000000000041,-462.99999999999386,,-1583.0000000000148
2019.01.22,2.999999999997449,-585.0000000000133,-304.9999999999997,-275.000000000003,-494.99999999999034,,-1657.0000000000086
2019.01.22,-9.999999999998899,-581.0000000000093,-303.0000000000088,-285.00000000000193,-512.999999999991,,-1692.00000000001
2019.01.22,2.999999999997449,-676.0000000000099,-306.00000000000625,-331.0000000000035,-567.9999999999978,,-1878.00000000002
2019.01.22,-1.999999999990898,-695.0000000000011,-333.0000000000055,-374.0000000000077,-572.9999999999933,,-1976.9999999999986
2019.01.22,-122.99999999998423,-762.0000000000182,-396.00000000000745,-403.0000000000089,-658.9999999999918,,-2343.0000000000105
2019.01.22,-168.99999999999693,-775.0000000000146,-401.00000000000693,-365.99999999999966,-597.999999999999,,-2309.0000000000173
2019.01.22,-127.99999999999478,-831.000000000004,-435.0000000000076,-360.0000000000048,-622.9999999999905,,-2377.000000000002
2019.01.22,-59.99999999999339,-773.0000000000015,-401.00000000000693,-348.9999999999993,-593.9999999999941,,-2176.9999999999955
2019.01.22,110.99999999999443,-755.0000000000168,-414.9999999999987,-385.000000000002,-613.9999999999901,,-2058.000000000013
2019.01.22,219.00000000001364,-720.0000000000095,-416.00000000000523,-411.0000000000058,-622.9999999999905,,-1950.9999999999973
2019.01.22,392.00000000001455,-706.0000000000066,-414.9999999999987,-426.00000000000415,-622.9999999999905,,-1777.9999999999852
