date,AUDUSD,EURCHF,CHFJPY,NZDCHF,EURJPY,empty,sum
2017.08.07,30.000000000007798,283.99999999999534,-36.000000000001364,314.99999999999864,-275.0000000000057,,317.99999999999477
2017.08.07,31.000000000003247,291.9999999999812,-34.000000000006025,282.0000000000045,-296.0000000000207,,274.99999999996226
2017.08.08,17.000000000000348,31.999999999987594,-88.99999999999864,285.00000000000193,-311.00000000000705,,-66.0000000000158
2017.08.08,14.999999999998348,175.99999999999838,-87.0000000000033,278.9999999999959,-342.00000000001296,,40.99999999997635
2017.08.08,9.999999999998899,254.999999999983,-75.9999999999934,290.00000000000136,-365.0000000000091,,113.99999999998079
2017.08.08,40.00000000000669,286.99999999999284,-58.000000000006935,326.0000000000041,-344.99999999999886,,249.99999999999784
2017.08.08,50.0000000000056,288.99999999998374,-33.00000000000125,312.9999999999966,-331.0000000000173,,287.9999999999674
2017.08.08,-17.000000000000348,331.999999999999,-37.00000000000614,307.99999999999716,-362.99999999999955,,222.9999999999901
2017.08.08,-37.99999999999359,365.99999999999966,-39.00000000000148,277.000000000005,-403.00000000002,,162.99999999998954
2017.08.08,-36.999999999998145,378.999999999996,-37.9999999999967,310.9999999999946,-393.0000000000007,,221.9999999999951
2017.08.08,-63.99999999999739,380.9999999999869,-60.99999999999284,349.99999999999477,-435.0000000000023,,170.9999999999892
2017.08.08,-237.99999999999378,400.00000000000034,-70.99999999999795,287.0000000000039,-478.00000000000864,,-99.99999999999613
2017.08.08,-205.99999999999508,434.000000000001,16.000000000005343,300.99999999999574,-399.0000000000009,,146.00000000000614
2017.08.08,-173.9999999999964,422.9999999999956,34.99999999999659,341.99999999999784,-371.0000000000093,,254.9999999999843
2017.08.08,-165.9999999999995,431.99999999998795,60.000000000002274,339.0000000000004,-338.0000000000223,,326.99999999996885
2017.08.08,-41.000000000002146,403.99999999998215,58.9999999999975,354.9999999999942,-338.99999999999864,,437.99999999997306
2017.08.08,-63.99999999999739,409.99999999999926,49.99999999999716,349.99999999999477,-361.0000000000184,,384.99999999997544
2017.08.08,-66.99999999999484,418.9999999999916,75.9999999999934,351.0000000000013,-319.0000000000168,,459.99999999997465
2017.08.08,-66.99999999999484,407.99999999998613,85.99999999999852,341.0000000000024,-296.0000000000207,,471.9999999999716
2017.08.08,-92.99999999999864,358.9999999999982,78.00000000000296,341.0000000000024,-261.0000000000241,,423.9999999999808
2017.08.08,-114.99999999999844,329.00000000000153,43.00000000000637,319.0000000000026,-294.00000000001114,,282.0000000000009
2017.08.08,-112.99999999999643,350.9999999999902,28.999999999996362,339.99999999999585,-286.00000000000136,,320.99999999998465
2017.08.08,-124.99999999999733,380.9999999999869,96.00000000000364,317.0000000000006,-237.99999999999955,,430.9999999999943
