date,EURUSD,USDCAD,GBPCHF,EURCHF,GBPJPY,EURJPY,AUDCAD,empty,sum
2019.09.16,617.9999999999852,-439.99999999999596,364.00000000000875,356.00000000000074,819.9999999999932,798.0000000000018,370.9999999999991,,2886.9999999999927
2019.09.16,621.9999999999892,-458.00000000000284,435.0000000000076,383.0,873.9999999999952,798.0000000000018,392.9999999999989,,3046.99999999999
2019.09.16,638.0000000000052,-438.00000000000506,387.000000000004,361.9999999999957,876.9999999999811,858.0000000000041,395.0000000000009,,3078.999999999986
2019.09.16,675.0000000000034,-489.0000000000061,375.0000000000142,394.9999999999898,867.999999999995,859.9999999999994,413.99999999999216,,3097.999999999988
2019.09.16,712.9999999999859,-486.999999999993,330.0000000000081,362.99999999998,831.9999999999936,849.0000000000038,405.9999999999952,,3005.9999999999736
2019.09.16,687.9999999999998,-417.0000000000007,312.00000000000114,340.9999999999913,743.9999999999998,775.0000000000057,363.99999999999767,,2806.999999999995
2019.09.16,651.0000000000016,-466.9999999999952,310.0000000000103,341.99999999999784,745.0000000000045,766.9999999999959,368.9999999999971,,2717.0000000000123
2019.09.16,607.9999999999864,-452.99999999999227,399.00000000001603,356.9999999999851,781.0000000000059,743.9999999999998,368.00000000000165,,2804.0000000000027
2019.09.16,612.9999999999969,-459.99999999999375,295.0000000000008,265.99999999998846,733.9999999999804,707.9999999999984,318.99999999999153,,2474.9999999999627
2019.09.16,639.9999999999961,-388.9999999999949,277.00000000001614,270.99999999999903,665.9999999999968,686.000000000007,356.00000000000074,,2507.000000000021
2019.09.16,678.0000000000008,-453.99999999999886,318.00000000001825,308.9999999999815,650.0000000000057,674.0000000000066,388.9999999999949,,2564.000000000009
2019.09.17,689.9999999999907,-478.0000000000006,340.00000000000693,359.99999999998255,632.000000000005,694.0000000000026,397.99999999999835,,2635.9999999999854
2019.09.17,697.9999999999986,-482.999999999989,300.00000000001137,346.9999999999862,685.0000000000023,719.9999999999989,417.0000000000007,,2684.000000000009
2019.09.17,682.0000000000048,-499.000000000005,293.0000000000099,315.99999999998295,688.999999999993,704.9999999999983,425.99999999999307,,2611.999999999977
2019.09.17,658.0000000000031,-497.99999999999847,276.00000000000955,308.9999999999815,656.9999999999823,677.0000000000067,390.0000000000015,,2468.999999999986
2019.09.17,668.0000000000019,-466.9999999999952,270.99999999999903,305.9999999999841,661.0000000000014,685.0000000000023,395.99999999999636,,2519.99999999999
2019.09.17,678.9999999999852,-445.0000000000065,275.000000000003,295.99999999998516,632.000000000005,656.9999999999965,388.9999999999949,,2482.999999999963
2019.09.17,656.9999999999965,-449.9999999999948,308.0000000000194,317.9999999999961,659.9999999999966,679.000000000002,437.999999999994,,2610.0000000000095
2019.09.17,604.0000000000045,-451.0000000000014,431.0000000000036,350.9999999999902,655.0000000000011,533.0000000000013,413.99999999999216,,2536.999999999992
2019.09.17,611.000000000006,-431.0000000000036,483.0000000000112,369.99999999998147,632.9999999999814,537.9999999999967,424.00000000000216,,2627.9999999999754
2019.09.17,609.9999999999994,-374.0000000000077,467.0000000000174,353.99999999998766,509.9999999999909,444.0000000000026,473.0000000000012,,2483.999999999992
2019.09.17,602.999999999998,-351.99999999999676,513.0000000000078,375.9999999999986,747.9999999999905,623.0000000000047,601.9999999999915,,3112.999999999994
2019.09.17,585.9999999999976,-364.9999999999931,520.0000000000093,359.99999999998255,746.9999999999857,534.000000000006,636.9999999999986,,3018.999999999987
2019.09.17,587.9999999999885,-360.9999999999891,589.0000000000173,383.0,739.0000000000043,545.0000000000017,639.9999999999961,,3123.000000000019
2019.09.17,585.9999999999976,-327.99999999999494,537.0000000000097,368.9999999999971,739.0000000000043,573.9999999999981,692.9999999999992,,3170.000000000011
2019.09.17,590.999999999986,-381.99999999999346,544.0000000000111,357.99999999999164,697.0000000000027,516.9999999999959,690.9999999999972,,3015.999999999991
2019.09.17,587.0000000000042,-378.999999999996,529.0000000000017,351.99999999999676,638.0000000000052,484.00000000000887,702.9999999999981,,2914.000000000019
2019.09.17,580.999999999987,-348.9999999999993,531.9999999999991,352.9999999999811,656.9999999999823,492.00000000000443,727.9999999999953,,2993.99999999995
2019.09.17,591.9999999999925,-354.9999999999942,504.0000000000156,368.9999999999971,673.9999999999782,549.9999999999972,680.9999999999983,,3014.9999999999845
2019.09.17,592.9999999999991,-347.0000000000084,504.9999999999999,368.9999999999971,662.0000000000061,539.0000000000015,690.0000000000017,,3010.9999999999973
2019.09.17,676.9999999999943,-300.99999999999574,320.00000000000915,328.9999999999793,643.0000000000007,609.0000000000089,734.0000000000014,,3010.9999999999977
