date,USDCAD,GBPJPY,EURJPY,AUDCAD,NZDCAD,empty,sum
2019.06.10,-353.0000000000033,10.99999999999568,14.999999999986358,-241.00000000000233,-122.99999999999534,,-691.000000000019
2019.06.10,-351.0000000000124,-16.000000000019554,-10.000000000005116,-273.9999999999965,-166.99999999999494,,-818.0000000000284
2019.06.10,-321.0000000000157,-42.00000000000159,-12.000000000000455,-326.9999999999995,-209.9999999999991,,-912.0000000000164
2019.06.10,-224.000000000002,-16.999999999995907,38.99999999998727,-360.0000000000048,-291.99999999999227,,-854.0000000000077
2019.06.10,-278.00000000000045,12.999999999976808,-54.000000000002046,-358.0000000000028,-330.9999999999924,,-1008.0000000000208
2019.06.10,-378.999999999996,2.999999999985903,-111.0000000000042,-341.0000000000024,-338.9999999999893,,-1167.000000000006
2019.06.10,-313.00000000000773,64.99999999999773,-105.00000000000398,-363.99999999999767,-362.99999999999113,,-1080.0000000000027
2019.06.10,-295.0000000000008,-231.99999999999932,-118.00000000000921,-349.99999999999477,-362.99999999999113,,-1357.9999999999952
2019.06.10,-358.00000000001387,-323.0000000000075,-157.0000000000107,-339.0000000000004,-342.9999999999933,,-1520.000000000026
2019.06.10,-350.00000000000585,-284.00000000002024,-139.00000000001,-287.0000000000039,-307.99999999999716,,-1368.0000000000373
2019.06.10,-378.00000000001165,-288.0000000000109,-61.00000000000705,-304.00000000000426,-370.9999999999991,,-1402.000000000033
2019.06.10,-385.99999999999744,-361.0000000000184,-32.00000000001069,-300.99999999999574,-372.99999999999,,-1453.0000000000123
2019.06.10,-368.00000000001273,-449.0000000000123,-17.000000000010118,-371.99999999999454,-383.99999999999545,,-1590.000000000025
2019.06.10,-358.9999999999982,-514.00000000001,-39.00000000000148,-393.9999999999944,-396.9999999999918,,-1702.999999999996
2019.06.10,-402.9999999999978,-533.0000000000155,-87.0000000000033,-363.0000000000022,-376.99999999999403,,-1763.0000000000127
2019.06.10,-367.0000000000062,-539.0000000000157,-154.00000000001057,-309.99999999999915,-282.99999999999994,,-1653.0000000000314
2019.06.10,-282.0000000000045,-538.0000000000109,-148.00000000001035,-332.99999999999443,-307.99999999999716,,-1609.0000000000173
2019.06.10,-316.0000000000052,-496.0000000000093,-114.00000000000432,-365.99999999999966,-337.99999999999386,,-1630.0000000000125
2019.06.10,-351.0000000000124,-491.00000000001387,-182.00000000000216,-360.0000000000048,-337.99999999999386,,-1722.000000000027
2019.06.10,-348.9999999999993,-413.0000000000109,-76.00000000000762,-327.99999999999494,-355.99999999998965,,-1522.0000000000023
2019.06.10,-290.9999999999968,-417.0000000000016,-69.00000000000261,-370.9999999999991,-415.99999999999415,,-1563.999999999994
2019.06.10,-273.0000000000121,-456.0000000000173,-83.00000000001262,-402.9999999999978,-448.9999999999994,,-1664.000000000039
2019.06.10,-248.00000000000378,-388.00000000000523,-48.00000000000182,-417.0000000000007,-477.99999999998954,,-1579.000000000001
2019.06.10,-253.00000000001432,-324.0000000000123,-6.000000000000227,-409.99999999999926,-440.9999999999914,,-1434.0000000000175
2019.06.10,-317.0000000000117,-331.0000000000173,-16.000000000005343,-422.00000000000017,-502.9999999999979,,-1589.0000000000325
2019.06.10,-300.00000000001137,-383.0000000000098,-68.00000000001205,-427.99999999999505,-502.9999999999979,,-1682.0000000000261
2019.06.10,-351.0000000000124,-439.0000000000214,-148.00000000001035,-405.9999999999952,-451.9999999999969,,-1796.0000000000362
2019.06.10,-307.99999999999716,-474.00000000001796,-149.0000000000009,-416.00000000000523,-442.9999999999934,,-1790.0000000000148
2019.06.10,-299.00000000000483,-450.00000000001705,-140.00000000000057,-434.000000000001,-467.9999999999906,,-1791.000000000014
2019.06.10,-280.0000000000136,-420.0000000000159,-111.0000000000042,-410.9999999999947,-442.9999999999934,,-1665.0000000000218
2019.06.10,-287.000000000015,-406.0000000000059,-91.00000000000819,-410.9999999999947,-475.99999999999864,,-1671.0000000000225
2019.06.10,-290.00000000001245,-495.00000000000455,-144.00000000000546,-434.9999999999965,-499.9999999999893,,-1864.0000000000084
2019.06.11,-306.00000000000625,-522.0000000000198,-174.0000000000066,-434.9999999999965,-583.9999999999957,,-2021.0000000000248
2019.06.11,-320.00000000000915,-506.0000000000002,-178.00000000001148,-412.00000000000125,-462.9999999999912,,-1879.0000000000132
2019.06.11,-300.00000000001137,-503.0000000000143,-156.0000000000059,-412.00000000000125,-493.99999999999443,,-1865.0000000000273
2019.06.11,-275.000000000003,-483.0000000000041,-151.00000000001046,-426.00000000000415,-469.99999999999267,,-1805.0000000000143
2019.06.11,-275.000000000003,-503.0000000000143,-168.00000000000637,-446.00000000000193,-497.99999999999847,,-1890.0000000000239
2019.06.11,-255.00000000000523,-522.9999999999961,-182.00000000000216,-426.00000000000415,-492.999999999999,,-1879.0000000000068
2019.06.11,-293.0000000000099,-510.9999999999957,-184.0000000000117,-490.999999999997,-538.9999999999895,,-2018.0000000000039
2019.06.11,-284.00000000001756,-474.00000000001796,-181.0000000000116,-480.99999999999807,-525.9999999999932,,-1946.0000000000382
2019.06.11,-277.00000000001614,-395.00000000001023,-74.00000000001228,-460.00000000000483,-523.9999999999911,,-1730.0000000000346
2019.06.11,-294.0000000000165,-336.00000000001273,-8.000000000009777,-470.9999999999992,-619.9999999999983,,-1729.0000000000364
2019.06.11,-277.00000000001614,-354.0000000000134,-8.000000000009777,-483.99999999999557,-616.9999999999898,,-1740.0000000000248
2019.06.11,-263.00000000001324,-308.9999999999975,29.999999999986926,-473.99999999999665,-626.9999999999998,,-1643.0000000000202
2019.06.11,-248.00000000000378,-328.00000000000296,45.99999999999227,-431.99999999999903,-622.9999999999958,,-1585.000000000009
2019.06.11,-256.99999999999613,-320.0000000000216,52.99999999999727,-463.0000000000023,-681.9999999999937,,-1669.0000000000164
2019.06.11,-253.00000000001432,-337.0000000000175,36.99999999999193,-495.000000000001,-687.9999999999998,,-1736.0000000000407
2019.06.11,-238.0000000000049,-332.00000000002206,58.9999999999975,-502.00000000000244,-692.9999999999992,,-1706.000000000031
2019.06.11,-239.99999999999577,-347.0000000000084,71.99999999998852,-599.0000000000051,-734.9999999999968,,-1849.0000000000177
2019.06.11,-232.00000000000998,-377.00000000000955,35.99999999998715,-597.9999999999985,-776.9999999999943,,-1948.0000000000252
2019.06.11,-242.00000000000887,-308.9999999999975,115.99999999999966,-556.0000000000009,-732.9999999999948,,-1724.0000000000023
2019.06.11,-243.00000000001543,-421.0000000000207,50.99999999998772,-538.0000000000051,-699.9999999999895,,-1851.0000000000432
2019.06.11,-238.0000000000049,-427.99999999999727,49.99999999999716,-587.0000000000042,-772.9999999999903,,-1975.9999999999995
2019.06.11,-167.00000000000603,-288.0000000000109,113.99999999999011,-577.0000000000052,-807.9999999999976,,-1726.0000000000296
2019.06.11,-205.00000000001074,-231.99999999999932,82.99999999999841,-548.0000000000041,-782.9999999999893,,-1685.000000000005
2019.06.11,-248.00000000000378,-201.00000000002183,99.99999999999432,-539.999999999996,-786.9999999999933,,-1676.0000000000205
2019.06.11,-219.00000000001364,54.000000000002046,96.9999999999942,-534.0000000000011,-788.9999999999952,,-1391.0000000000136
2019.06.11,-212.00000000001216,84.99999999997954,137.00000000000045,-568.9999999999973,-840.9999999999917,,-1400.0000000000211
2019.06.11,-170.00000000000347,100.99999999999909,191.99999999999307,-561.9999999999958,-878.9999999999965,,-1318.0000000000036
2019.06.11,-221.00000000000452,62.99999999998818,180.99999999999739,-563.9999999999978,-897.9999999999987,,-1439.0000000000155
2019.06.11,-232.00000000000998,-12.000000000000455,198.99999999999807,-543.0000000000045,-901.9999999999917,,-1490.0000000000086
2019.06.11,-205.00000000001074,10.99999999999568,122.99999999999045,-600.999999999996,-940.9999999999918,,-1613.0000000000125
2019.06.11,-216.00000000001617,21.99999999999136,140.99999999999113,-622.9999999999958,-1020.9999999999941,,-1697.0000000000236
2019.06.11,-268.0000000000016,69.99999999999318,150.99999999999625,-609.9999999999994,-1047.9999999999934,,-1705.000000000005
2019.06.11,-212.00000000001216,126.99999999998113,190.9999999999883,-532.9999999999945,-936.999999999999,,-1364.0000000000364
2019.06.11,-253.00000000001432,21.99999999999136,112.99999999999955,-495.9999999999964,-878.9999999999965,,-1493.0000000000164
2019.06.11,-312.00000000000114,94.99999999999886,132.99999999999557,-522.9999999999957,-878.9999999999965,,-1485.9999999999989
2019.06.11,-486.00000000000864,-73.0000000000075,16.999999999995907,-536.0000000000032,-889.9999999999908,,-1968.000000000014
2019.06.11,-483.0000000000112,6.9999999999765805,3.9999999999906777,-397.0000000000029,-772.9999999999903,,-1642.0000000000373
2019.06.11,-537.0000000000097,-24.00000000000091,-57.00000000000216,-402.9999999999978,-752.9999999999926,,-1774.0000000000032
2019.06.11,-680.9999999999983,-28.00000000002001,-68.00000000001205,-304.9999999999997,-697.9999999999986,,-1780.0000000000286
2019.06.11,-605.9999999999955,-10.000000000019327,62.99999999998818,-265.99999999999955,-660.9999999999894,,-1480.0000000000155
2019.06.11,-538.0000000000163,-79.00000000000773,43.99999999999693,-282.99999999999994,-674.9999999999923,,-1531.0000000000193
2019.06.11,-459.0000000000094,-82.99999999999841,79.9999999999983,-290.00000000000136,-683.9999999999957,,-1436.0000000000064
2019.06.11,-426.00000000001523,16.999999999995907,112.99999999999955,-302.9999999999977,-692.9999999999992,,-1292.0000000000168
2019.06.11,-466.00000000001086,-20.000000000010232,120.99999999999511,-290.9999999999968,-702.9999999999981,,-1359.000000000021
2019.06.11,-480.99999999999807,-19.000000000005457,102.99999999999443,-290.00000000000136,-702.9999999999981,,-1390.0000000000086
2019.06.11,-461.0000000000003,-22.00000000001978,85.99999999999852,-299.00000000000483,-717.9999999999964,,-1414.0000000000227
2019.06.11,-455.0000000000054,0.0,91.99999999999875,-292.00000000000335,-715.9999999999944,,-1371.0000000000045
2019.06.11,-446.0000000000131,-3.0000000000143245,67.99999999999784,-288.9999999999948,-713.9999999999924,,-1384.0000000000168
2019.06.12,-467.0000000000174,-99.00000000001796,42.999999999992156,-299.00000000000483,-777.9999999999898,,-1600.0000000000377
2019.06.12,-436.00000000001415,-16.000000000019554,128.0000000000001,-295.99999999999625,-752.9999999999926,,-1373.0000000000223
2019.06.12,-434.000000000001,6.000000000000227,104.99999999998977,-287.9999999999994,-725.9999999999933,,-1337.0000000000036
2019.06.12,-426.9999999999996,32.99999999998704,117.999999999995,-304.9999999999997,-712.9999999999969,,-1294.000000000014
2019.06.12,-436.00000000001415,13.999999999981583,95.99999999998943,-302.9999999999977,-722.9999999999959,,-1352.0000000000368
2019.06.12,-426.9999999999996,-15.00000000001478,81.99999999999363,-312.9999999999966,-727.9999999999953,,-1401.0000000000127
2019.06.12,-426.9999999999996,-30.000000000001137,51.9999999999925,-341.0000000000024,-768.9999999999975,,-1515.0000000000082
2019.06.12,-412.9999999999967,37.99999999998249,128.0000000000001,-385.000000000002,-825.9999999999934,,-1458.0000000000095
2019.06.12,-443.99999999999994,-54.000000000002046,100.99999999999909,-368.00000000000165,-812.999999999997,,-1578.0000000000016
2019.06.12,-462.0000000000068,-79.00000000000773,43.99999999999693,-400.9999999999958,-847.9999999999932,,-1746.0000000000066
2019.06.12,-446.0000000000131,-96.00000000000364,43.99999999999693,-414.00000000000324,-842.9999999999937,,-1755.0000000000168
2019.06.12,-458.00000000000284,-123.00000000001887,28.999999999996362,-427.99999999999505,-870.9999999999995,,-1851.00000000002
2019.06.12,-473.99999999999665,-114.00000000000432,64.99999999999773,-432.9999999999945,-871.999999999995,,-1827.9999999999927
2019.06.12,-478.0000000000006,-103.00000000000864,80.99999999998886,-436.00000000000307,-864.9999999999935,,-1801.000000000017
