date,GBPUSD,EURUSD,USDCAD,GBPCHF,EURCHF,CHFJPY,AUDCHF,EURGBP,GBPJPY,GBPCAD,EURCAD,EURNZD,AUDJPY,AUDCAD,NZDCAD,empty,sum
2015.09.23,2669.9999999999945,1103.0000000000095,-1391.9999999999932,-1428.9999999999914,-134.00000000001188,1103.0000000000086,976.0000000000102,-665.0000000000044,3126.0000000000045,1690.999999999976,-652.0000000000082,-2597.000000000005,2048.000000000002,1453.0000000000043,1197.999999999999,,8498.999999999995
2015.09.23,2611.9999999999923,1001.0000000000074,-1249.9999999999955,-1404.9999999999895,-86.0000000000083,949.0000000000123,981.0000000000097,-705.0000000000001,2987.000000000023,1679.9999999999927,-276.9999999999939,-2475.9999999999895,1953.000000000003,1401.0000000000077,1095.0000000000016,,8460.000000000073
2015.09.23,2610.0000000000014,950.0000000000064,-1247.9999999999825,-1418.0000000000082,-31.000000000003247,962.0000000000033,921.0000000000051,-752.0000000000082,2951.000000000022,1673.9999999999977,-339.0000000000004,-2421.0000000000064,1896.000000000001,1417.0000000000016,1107.0000000000025,,8279.000000000033
2015.09.23,2648.9999999999905,747.0000000000088,-1171.9999999999952,-1471.0,83.9999999999952,899.0000000000009,966.0000000000002,-855.0000000000058,3004.000000000019,1871.0000000000005,-191.99999999999218,-2773.9999999999877,1911.0000000000014,1497.0000000000039,1199.0000000000057,,8363.000000000044
2015.09.23,2621.999999999991,775.0000000000146,-1205.999999999996,-1536.000000000004,130.0000000000079,844.0000000000083,997.0000000000034,-841.0000000000028,2962.0000000000173,1818.9999999999707,-103.99999999999298,-2919.000000000005,1903.000000000006,1521.0000000000057,1263.9999999999984,,8231.000000000024
2015.09.23,2601.0000000000086,693.0000000000102,-1212.9999999999975,-1465.0000000000052,123.99999999999079,902.000000000001,1117.0000000000014,-854.0000000000103,2993.0000000000236,1786.999999999983,14.000000000002899,-3048.9999999999905,2082.0000000000077,1597.9999999999993,1212.000000000002,,8542.000000000027
2015.09.23,2625.0000000000105,758.9999999999985,-1261.000000000001,-1371.9999999999955,187.00000000000384,1023.0000000000103,1080.0000000000032,-828.0000000000065,3122.000000000014,1793.9999999999845,-43.999999999999595,-2940.9999999999936,2170.000000000002,1638.0000000000061,1254.999999999995,,9207.000000000033
2015.09.23,2784.999999999993,968.0000000000133,-1292.9999999999886,-1242.0000000000098,228.00000000000597,1072.0000000000027,1070.0000000000043,-783.0000000000003,2966.000000000008,1900.999999999975,-26.999999999999247,-2793.000000000001,2115.9999999999995,1671.0000000000002,1266.999999999996,,9906.0
2015.09.23,2787.0000000000064,977.0000000000057,-1295.0000000000018,-1276.0000000000105,221.00000000000452,1107.0000000000136,980.0000000000031,-786.0000000000089,3088.9999999999986,1889.9999999999916,-140.99999999999113,-2777.0000000000073,2085.000000000008,1607.000000000003,1249.0,,9717.000000000016
2015.09.23,2744.9999999999973,978.9999999999966,-1217.0000000000014,-1167.9999999999914,252.0000000000078,1169.0000000000111,925.0000000000091,-759.0000000000097,3019.0000000000055,1990.9999999999873,-259.0000000000092,-2563.9999999999886,2009.0000000000005,1607.9999999999984,966.9999999999957,,9697.00000000001
2015.09.24,2733.0000000000077,966.0000000000002,-1117.9999999999968,-1323.0000000000075,-120.99999999999334,1113.0000000000136,904.0000000000048,-742.0000000000093,3058.000000000021,2102.999999999966,-275.000000000003,-1829.9999999999982,1939.0000000000073,1521.0000000000057,868.000000000002,,9796.000000000022
2015.09.24,2754.000000000012,934.9999999999969,-1096.9999999999925,-1207.0000000000025,231.0000000000034,1154.0000000000105,950.0000000000064,-765.0000000000045,3127.0000000000095,2065.99999999999,-217.0000000000005,-2034.9999999999868,2039.0000000000014,1590.999999999998,970.0000000000042,,10496.000000000045
2015.09.24,2750.9999999999923,950.0000000000064,-1093.999999999995,-1262.9999999999918,202.9999999999976,1107.0000000000136,978.0000000000011,-769.0000000000085,3112.000000000023,2111.9999999999804,-191.00000000000784,-2051.9999999999873,2020.0000000000102,1612.0000000000023,914.0000000000038,,10390.00000000004
2015.09.24,2742.0,920.0000000000097,-1107.999999999998,-1263.9999999999984,228.00000000000597,1121.0000000000093,1009.9999999999998,-774.000000000008,3096.0000000000036,2083.9999999999745,-136.00000000000279,-2137.9999999999955,2066.0000000000027,1644.000000000001,892.9999999999993,,10384.000000000004
2015.09.24,2744.9999999999973,957.0000000000078,-1093.999999999995,-1238.0000000000057,229.99999999999687,1132.000000000005,947.000000000009,-764.0000000000091,3043.0000000000064,2119.9999999999886,-289.9999999999903,-1970.9999999999895,2020.0000000000102,1663.0000000000034,880.000000000003,,10380.000000000038
2015.09.24,2730.00000000001,934.9999999999969,-1092.9999999999884,-1171.9999999999952,251.00000000000122,1152.000000000001,989.0000000000066,-761.0000000000006,3058.000000000021,2091.9999999999827,-225.00000000000853,-1811.000000000007,2076.0000000000077,1680.999999999999,866.9999999999956,,10769.000000000022
