date,USDCHF,EURUSD,USDJPY,USDCAD,AUDUSD,GBPCAD,EURJPY,NZDJPY,empty,sum
2015.09.28,214.99999999999852,219.99999999999798,-378.0000000000001,136.00000000000279,302.9999999999977,-124.00000000001299,584.0000000000032,478.9999999999992,,1434.9999999999864
2015.09.28,158.0000000000026,184.99999999999073,-542.0000000000016,-3.999999999981796,282.0000000000045,-247.00000000001944,697.0000000000027,522.9999999999961,,1051.9999999999939
2015.09.28,-36.999999999998145,-60.99999999999994,-682.0000000000022,-17.000000000000348,230.000000000008,-200.99999999998454,485.00000000001364,566.0000000000025,,283.000000000039
2015.09.28,-298.9999999999937,-246.99999999999721,-747.9999999999905,19.999999999997797,135.00000000000733,63.000000000013046,384.00000000001455,548.9999999999924,,-142.99999999995646
2015.09.28,-210.99999999999451,-363.0000000000022,-731.9999999999993,253.99999999999866,236.99999999999832,217.0000000000005,310.0000000000023,667.9999999999922,,379.999999999996
2015.09.28,-415.99999999999415,-522.0000000000002,-802.9999999999973,226.99999999999943,174.00000000000747,504.0000000000156,159.00000000002024,656.9999999999965,,-19.99999999995248
2015.09.28,-341.99999999999784,-475.0000000000032,-783.9999999999918,177.00000000000495,211.00000000000563,304.9999999999997,157.0000000000107,664.0000000000015,,-86.9999999999701
2015.09.28,-424.00000000000216,-526.0000000000042,-792.9999999999922,153.00000000000313,214.00000000000307,317.9999999999961,103.00000000000864,653.9999999999964,,-300.99999999999113
2015.09.28,-364.9999999999931,-547.999999999993,-730.9999999999945,165.00000000001512,270.99999999999903,253.99999999997647,62.00000000001182,647.9999999999961,,-243.99999999998192
2015.09.28,-390.0000000000015,-564.000000000009,-760.9999999999957,324.9999999999975,329.00000000000153,201.99999999999108,88.99999999999864,742.999999999995,,-27.000000000022283
2015.09.28,-370.9999999999991,-524.9999999999977,-787.9999999999967,361.0000000000113,319.0000000000026,226.00000000001506,129.0000000000191,810.0000000000023,,161.00000000005684
2015.09.28,-268.99999999999704,-424.00000000000216,-702.9999999999887,343.00000000000443,292.9999999999988,314.00000000001427,195.99999999999795,774.0000000000009,,524.0000000000284
2015.09.28,-221.99999999999997,-468.00000000000176,-737.9999999999995,489.0000000000061,353.0000000000033,456.00000000001194,146.000000000015,780.0000000000011,,796.0000000000362
2015.09.28,-210.99999999999451,-466.9999999999952,-696.9999999999885,514.0000000000144,353.0000000000033,461.0000000000003,14.000000000010004,733.0000000000041,,700.0000000000539
2015.09.28,-258.9999999999981,-502.00000000000244,-595.9999999999894,545.0000000000177,385.000000000002,522.0000000000002,-46.999999999997044,780.0000000000011,,828.0000000000341
2015.09.28,-312.00000000000114,-530.9999999999926,-585.9999999999985,510.00000000001046,363.0000000000022,462.0000000000068,-55.999999999983174,706.0000000000031,,556.0000000000472
2015.09.29,-315.9999999999941,-550.000000000006,-629.9999999999955,578.0000000000118,372.0000000000057,572.9999999999791,-86.99999999998909,816.0000000000025,,756.0000000000146
2015.09.29,-297.00000000000284,-543.0000000000045,-629.9999999999955,591.0000000000082,413.0000000000078,591.0000000000082,-66.99999999997885,867.0000000000044,,925.0000000000471
2015.09.29,-297.9999999999983,-510.99999999999477,-622.9999999999905,573.0000000000013,431.99999999999903,492.9999999999879,-57.999999999992724,831.0000000000031,,839.0000000000149
