date,nextweek_EURUSD,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD
2020.04.19,24,15,-24,-6,24,24,2,-2,-15,2,-12,1,6,2,18,-18,-8,-15,-12,6,-4,3,-24,6,12,16,4,12
2020.04.12,-6,2,12,-9,-30,12,2,-9,15,-15,-30,-4,4,-2,-24,-18,30,9,-36,-1,-8,6,-36,-18,-30,18,1,20
2020.04.05,-9,-12,20,12,24,-20,30,25,20,4,36,9,25,16,-9,36,-9,-24,36,-16,-30,-24,30,30,30,25,16,30
2020.03.29,12,25,-12,-25,12,30,-12,-20,12,-9,-24,6,-1,-4,-12,-12,3,15,-30,-15,1,4,-30,-12,-18,-4,-8,8
2020.03.22,-25,-24,18,24,-18,-18,18,24,12,15,12,-9,12,12,-10,18,24,4,18,30,-12,-12,-6,18,18,15,20,-2
2020.03.15,24,30,-36,-30,18,36,-36,-36,-30,-4,-36,-4,-25,-20,25,-36,-18,16,-36,-3,36,30,-36,-36,-36,-25,-15,-12
2020.03.08,-30,10,-24,-10,12,20,-24,-15,-30,-1,6,2,-20,-16,36,-24,-18,9,6,-4,30,24,6,-30,-24,-24,-15,-15
2020.03.01,-10,-25,20,30,-18,-6,30,24,-12,-2,24,-15,-1,-1,6,-6,12,-24,30,18,-12,-9,-12,36,36,30,25,4
2020.02.23,30,-20,-12,25,-30,24,-16,-9,-25,6,-24,-30,-20,-20,25,-30,8,6,-18,36,30,30,-30,-24,-30,-1,-1,-2
2020.02.16,25,-4,-15,1,36,-4,-20,-24,-16,-2,30,-1,-20,-24,12,18,-16,15,24,-5,25,30,30,12,6,-24,-24,4
2020.02.09,1,9,25,-16,18,-9,18,6,30,-12,-6,15,24,12,-25,36,16,8,-24,-20,-30,-20,24,36,24,12,3,10
2020.02.02,-16,24,-30,-24,30,18,-1,-6,-16,8,-6,12,24,8,15,-18,-25,-36,30,-12,-30,-9,18,36,24,12,-3,24
2020.01.26,-24,-6,8,6,-18,18,-24,-20,3,-2,12,-12,-30,-25,-2,6,15,30,6,20,36,30,-24,-30,-30,-20,-16,2
2020.01.19,6,6,12,-9,-30,16,-9,-2,20,-2,-24,-4,-4,2,-16,-6,25,20,-24,4,3,-8,-24,-24,-24,-1,9,-6
2020.01.12,-9,-12,-2,-2,36,4,-2,-4,-16,-9,36,-12,-9,-12,-1,24,-2,2,36,-1,6,12,30,36,12,-2,-6,4
2020.01.05,-2,4,-1,-6,24,12,-12,-6,8,-2,30,-3,-8,-3,-3,30,12,16,24,2,8,-1,24,6,12,-4,1,-8
2019.12.29,-6,-4,5,-1,-30,-15,-2,-6,-2,-12,-18,4,-9,-12,1,-12,-4,16,-36,-16,9,6,-18,-36,-30,-16,-12,3
2019.12.22,-1,-18,8,24,15,-9,20,24,-3,1,24,-4,6,9,6,12,6,-9,30,9,-9,-16,18,24,30,12,20,-6
2019.12.15,24,-3,-24,-6,18,-4,1,1,-24,-9,36,2,1,-4,20,-18,-24,-18,-6,-8,-4,-4,30,12,6,1,-4,2
2019.12.08,-6,-12,20,18,24,-12,9,6,12,3,36,1,2,-2,-8,36,8,10,36,-1,-1,4,24,24,24,2,-2,3
2019.12.01,18,-20,30,8,-24,-3,18,24,8,-15,30,-18,1,12,-12,18,30,8,-6,6,-20,-30,-18,18,30,24,30,-24
2019.11.24,8,3,9,1,36,-4,-6,3,12,4,36,4,-8,6,-12,36,6,20,36,-2,12,-6,36,36,36,-9,-1,-12
2019.11.17,1,20,-8,-2,-12,9,-4,3,5,18,-18,2,4,15,6,-12,-2,-3,-12,18,12,-3,-18,-18,-12,2,9,-9
2019.11.10,-2,-18,24,4,-36,-1,-10,24,4,-18,24,-18,-24,6,-18,24,24,30,-24,6,24,-16,-36,-36,24,-15,24,-30
2019.11.03,4,24,-20,-24,36,16,-12,-12,3,-1,-6,18,8,-2,-3,-6,-16,-9,-12,-16,-16,6,30,18,-12,-2,-12,12
2019.10.27,-24,-12,24,24,-12,20,20,12,6,-1,30,-16,10,6,-3,36,30,-6,24,30,-12,-6,-18,30,24,30,20,3
2019.10.20,24,24,-12,-16,18,-15,-2,-2,4,12,-18,24,18,12,2,-12,-20,-16,-12,-30,-12,-8,24,-6,-6,-12,-8,2
2019.10.13,-16,-12,18,12,12,-9,6,3,15,-1,30,-6,-3,-8,-8,18,18,24,24,12,15,18,18,12,6,2,2,3
2019.10.06,12,6,18,9,36,-16,4,6,18,12,36,16,6,9,-10,30,15,18,36,-6,-1,2,36,30,36,-4,-4,1
2019.09.29,9,18,6,2,-18,12,1,2,20,24,-36,-1,4,9,1,-12,16,15,-30,12,6,3,-24,-18,-24,3,8,-4
2019.09.22,2,-3,-20,-15,6,-4,-1,12,-20,-20,12,1,-3,10,9,-24,-20,-20,-30,-12,-16,-25,12,6,18,-2,12,-12
2019.09.15,-15,3,-4,-12,-12,-3,-20,-16,-1,-2,-30,6,-16,-16,-4,-12,-6,15,-30,-24,15,20,-6,-36,-36,-30,-30,4
2019.09.08,-12,8,20,3,36,12,12,-4,30,9,30,-2,18,-1,-12,36,24,15,30,15,-6,10,36,36,36,24,3,16
2019.09.01,3,-3,8,4,24,-12,12,16,8,1,30,6,16,20,-3,12,1,-16,18,-8,-30,-20,24,30,30,9,12,-1
2019.08.25,4,30,-12,-25,18,1,-1,-12,20,10,-12,20,12,4,-6,18,-12,-8,-6,-20,-10,-3,18,12,12,2,-16,20
2019.08.18,-25,-1,8,6,-18,10,-4,-6,12,12,-12,-1,-2,-6,-6,12,15,15,-6,24,16,25,-12,-18,-24,-2,-4,4
2019.08.11,6,6,16,-12,18,15,-2,-12,20,-4,18,1,2,-3,-16,24,30,20,-6,-3,-8,-3,12,18,12,9,-1,9
2019.08.04,-12,-24,-8,24,-18,4,-3,-9,-20,-4,18,-24,-24,-24,30,-18,-4,-4,18,24,30,36,-18,-24,-18,-2,-8,4
2019.07.28,24,-12,-30,-6,-18,4,-20,-20,-36,-16,-12,-16,-30,-25,24,-36,-30,-12,-24,2,30,30,-24,-30,-30,-16,-16,-1
2019.07.21,-6,16,-12,-20,30,16,-20,-16,6,2,-12,2,-12,-9,1,-4,4,20,6,2,20,20,6,-18,-18,-8,-8,3
2019.07.14,-20,-1,-8,-9,-12,8,8,18,-9,-9,12,-2,6,18,6,-18,-3,-16,-18,-6,-20,-30,-12,18,36,18,24,-18
2019.07.07,-9,-6,3,9,-12,-2,3,6,-6,-6,36,-4,-2,2,6,-12,6,-2,-5,10,-2,-4,-6,6,12,4,9,-12
2019.06.30,9,24,-30,-24,12,-1,-9,-20,8,12,-24,24,18,6,2,-18,-25,-12,-18,-30,-12,-3,12,-12,-12,-9,-20,9
2019.06.23,-24,2,-4,-1,12,-24,24,24,-4,3,18,9,16,24,8,6,-20,-25,18,-16,-25,-25,24,36,36,12,20,-6
2019.06.16,-1,-20,15,20,-24,-25,6,24,-16,-16,18,-6,-12,-3,3,6,-4,8,6,1,16,1,18,-18,18,-12,1,-12
2019.06.09,20,24,-16,-16,12,30,-24,-30,-1,-1,-30,-2,-18,-20,12,-24,6,30,-18,15,24,30,-24,-36,-36,-15,-16,12
2019.06.02,-16,-24,16,30,-12,-30,15,24,-12,1,36,6,-4,12,12,30,-20,-2,30,-6,12,-20,36,24,36,-12,6,-24
2019.05.26,30,-1,-20,-18,-12,15,1,-4,-12,-6,-24,-6,-1,-2,8,-24,-6,-16,-24,2,-12,-4,-24,-12,-24,9,4,6
2019.05.19,-18,-16,-2,3,-12,1,1,2,-12,-12,30,-9,-6,-6,9,-12,-6,-8,-6,6,4,3,-6,-12,-18,2,2,-2
2019.05.12,3,1,-20,-9,6,12,-20,-12,-25,-20,24,-8,-20,-12,24,-30,-20,-3,-24,-3,25,16,-6,-30,-24,-20,-9,-15
2019.05.05,-9,-3,-16,18,-18,-6,12,-3,-20,6,-24,-1,4,-4,24,-24,-20,-12,-12,12,2,20,-18,-6,-18,5,-4,18
2019.04.28,18,-6,30,18,-12,-6,-2,-2,30,12,-12,-1,-4,-6,-16,36,30,30,36,18,20,16,-6,-12,-12,-4,-4,2
2019.04.21,18,15,-9,-16,-12,9,-24,-12,3,-2,-24,2,-15,1,-4,-24,-1,30,-24,-3,24,-3,-18,-36,-36,-24,1,-16
2019.04.14,-16,24,-8,-9,-12,6,-4,-9,18,18,-30,12,12,2,3,-12,-2,-3,-18,-2,-2,16,-12,-12,-18,3,-6,12
2019.04.07,-9,6,10,24,6,-12,12,8,12,24,6,18,16,15,15,12,-4,-8,18,9,-2,15,18,18,18,9,1,12
2019.03.31,24,12,-1,-2,24,4,-4,-16,15,18,18,6,4,-9,-3,24,6,10,18,2,3,30,18,12,-18,1,-16,20
2019.03.24,-2,2,-15,-9,18,-9,3,-9,-15,-9,18,9,8,-9,6,-12,-24,-20,10,-15,-16,6,18,18,-12,-2,-12,24
2019.03.17,-9,-24,-24,-2,-24,8,-1,8,-30,-16,-12,-12,-9,-6,12,-36,1,-24,-24,6,-2,-8,-18,-18,-12,9,12,-9
2019.03.10,-2,-6,30,20,18,-12,12,15,30,10,18,4,4,5,-16,24,25,20,24,6,2,1,24,18,24,1,2,-4
2019.03.03,20,24,-30,-24,-18,24,-18,-5,-8,-6,-30,1,1,9,6,-36,-8,-8,-36,-2,-3,-12,-36,-36,-30,2,9,-9
2019.02.24,-24,1,20,10,24,25,-6,-6,24,12,30,-20,-3,-6,-12,30,30,18,36,30,15,20,-6,30,18,6,4,4
2019.02.17,10,-12,24,8,36,-12,-1,-3,16,-1,36,4,-4,-9,-9,36,12,25,36,-8,9,16,36,18,-12,-12,-12,3
2019.02.10,8,9,-12,-8,36,-2,6,16,4,8,6,12,24,24,6,18,-16,-25,36,-9,-16,-24,36,36,36,9,12,-12
2019.02.03,-8,18,-16,-20,30,30,-20,-20,-6,-6,-12,-6,-12,-12,-1,-12,6,10,-18,6,15,15,-18,-18,-18,-9,-9,1
2019.01.27,-20,6,-16,15,-24,-12,9,15,-12,12,-24,12,12,12,24,-24,-20,-20,12,-3,-8,-6,12,12,18,4,-1,1
2019.01.20,15,-1,30,3,-12,-3,1,12,30,4,6,2,1,16,-20,24,36,30,6,6,12,-4,6,6,12,-2,12,-8
2019.01.13,3,12,2,-12,18,3,-9,-12,15,9,12,12,4,-2,-9,12,4,10,6,-12,-3,6,18,12,-12,-9,-12,9
2019.01.06,-12,-10,20,18,6,-24,24,12,4,12,36,9,8,6,-2,18,1,-3,24,-6,-4,-4,24,24,24,3,3,6
2018.12.30,18,9,2,-4,-36,-25,3,2,3,1,-36,30,4,3,-3,-30,-15,12,-36,-30,-5,-4,6,-36,-36,-20,-24,3
2018.12.23,-4,-20,18,12,-24,4,3,-1,-9,-9,24,-16,-6,-9,2,-12,20,8,-6,12,8,12,-18,-12,-12,12,6,10
2018.12.16,12,1,4,18,-30,30,-16,-8,2,12,-18,-12,-12,-6,12,-24,24,24,-18,36,36,20,-30,-30,-24,-2,10,-9
2018.12.09,18,9,-16,-12,18,9,-1,-6,-4,1,25,2,12,-4,10,-18,-16,-16,-5,-6,-16,6,18,24,-6,8,-3,16
2018.12.02,-12,-12,-1,6,-30,12,-25,-6,-12,-9,5,-12,-30,-16,6,-18,12,30,-30,12,30,15,-24,-36,-24,-30,-2,-30
2018.11.25,6,1,-9,-4,36,9,16,24,-9,-1,36,-6,20,24,6,-6,-1,-25,30,12,-20,-36,9,36,36,30,30,-15
2018.11.18,-4,-8,-2,-8,6,15,-20,-20,-9,-20,36,-15,-20,-20,-6,-6,12,24,-18,-1,15,20,-30,-30,-30,-9,-6,1
2018.11.11,-8,-3,-8,4,-18,-6,12,16,-5,4,-18,-1,12,24,8,-12,-10,-18,-18,6,-16,-25,-12,12,18,12,25,-12
2018.11.04,4,2,-3,-3,24,16,10,24,-1,-2,18,-9,18,24,-2,24,12,-12,24,12,-16,-36,-6,30,36,24,25,-20
2018.10.28,-3,18,8,-2,30,2,16,24,25,18,30,18,24,30,-12,30,10,-9,24,-2,-15,-36,30,30,36,16,30,-12
2018.10.21,-2,4,-25,-16,-18,1,-8,-24,-20,-6,-18,6,-3,-15,15,-24,-25,-15,-24,-20,-12,15,-12,-24,-36,-8,-16,24
2018.10.14,-16,6,-1,-4,12,6,3,24,18,4,-12,2,15,24,-3,12,12,-3,6,6,-9,-20,-6,18,30,9,30,-20
2018.10.07,-4,-2,6,4,-30,20,12,12,4,4,-24,-8,9,12,1,-30,16,-4,-30,12,-12,-12,-30,-18,-24,24,24,-1
2018.09.30,4,24,3,-24,-4,8,-25,-25,20,6,-24,15,-12,-12,-16,12,10,36,-24,-4,15,30,-6,-24,-24,-16,-15,9
2018.09.23,-24,30,-3,-12,36,-1,-6,-9,30,24,-24,30,24,20,-12,36,-4,12,-6,-10,-8,-3,12,18,18,-3,-6,2
2018.09.16,-12,-16,6,24,18,-16,20,20,-4,4,36,2,9,12,12,36,-8,-15,36,4,-8,-16,18,24,30,20,24,-1
2018.09.09,24,-1,20,12,24,-16,12,3,24,18,18,18,12,4,-9,30,2,9,24,-6,-2,18,24,36,24,-4,-9,18
2018.09.02,12,2,1,-6,-4,16,-8,-20,-1,-3,12,-9,-8,-24,-2,10,12,10,-6,12,12,30,-24,-12,-24,-3,-3,4
2018.08.26,-6,-24,24,-1,-12,2,-12,-6,-12,-20,18,-20,-30,-20,-8,24,15,36,-6,3,30,20,-6,-24,-12,-16,-12,-12
2018.08.19,-1,-16,20,20,12,-4,1,9,-6,9,36,-15,-18,-8,12,30,24,24,24,20,25,24,12,18,18,-2,6,-9
2018.08.12,20,4,2,6,18,-16,3,9,4,12,20,24,6,12,9,18,-16,-3,12,-8,5,-6,24,6,24,-5,2,-6
2018.08.05,6,4,-30,-12,-18,16,-8,-25,-20,-12,-18,-6,-8,-16,18,-36,-16,-24,-18,-2,2,30,-24,-18,-30,-2,-12,24
2018.07.29,-12,1,-12,-8,24,-6,-2,-6,-12,-16,36,3,1,-6,2,-6,-15,-8,-6,-10,-8,-1,24,30,-6,-6,-12,6
2018.07.22,-8,6,-1,-12,-24,-6,-2,3,6,-8,-18,12,1,5,-12,-18,-8,12,-30,-20,-6,-20,6,-18,-12,-9,-6,-2
2018.07.15,-12,-12,-12,2,-6,-1,1,6,-25,-12,36,-12,-12,-1,16,-18,-12,-16,-6,4,6,-9,-12,-12,9,-2,12,-15
2018.07.08,2,16,-12,-9,36,12,-2,-12,8,20,36,12,12,1,6,18,-3,-16,36,3,-3,16,36,36,30,4,-6,24
2018.07.01,-9,-1,4,3,-6,-3,2,3,20,9,4,6,2,3,-3,18,6,24,6,2,9,-2,18,6,6,-2,2,-2
2018.06.24,3,8,-12,1,18,-8,-12,-20,-2,9,12,12,-4,-20,12,6,-15,6,12,-8,20,36,18,6,-30,-20,-25,25
2018.06.17,1,-12,1,6,-30,20,1,-3,-12,-8,6,-16,-12,-12,15,-36,12,3,-24,25,16,20,-30,-36,-24,6,6,3
2018.06.10,6,20,-16,-15,36,20,-16,-9,6,-1,-5,-1,-6,5,-2,24,8,10,-6,2,12,-3,-6,-6,36,-6,9,-12
2018.06.03,-15,-8,9,24,18,-1,12,18,4,18,36,-2,3,8,15,36,9,1,36,24,8,6,18,30,36,12,18,-1
2018.05.27,24,-4,2,-6,-30,-2,1,12,-3,-12,6,-2,-3,6,-4,6,2,4,-30,-9,-6,-20,-24,-36,6,1,18,-15
2018.05.20,-6,-9,-20,-12,-18,4,8,2,-20,-20,-12,-8,-2,-6,8,-30,-12,-20,-18,-10,-25,-15,-12,-6,-12,20,6,15
2018.05.13,-12,-1,-6,-15,30,16,-6,-8,-8,-20,36,-9,-12,-12,-12,36,6,-1,-12,-12,-12,-4,30,24,12,6,2,15
2018.05.06,-15,3,2,-4,18,-3,1,-12,4,-4,12,4,-3,-9,-5,18,-3,5,6,-9,-1,12,12,6,-18,-8,-12,8
2018.04.29,-4,24,-25,-25,15,3,-10,-12,-6,-3,-24,24,6,2,2,-24,-25,-10,-24,-20,-12,-6,-6,-30,-24,-10,-20,6
2018.04.22,-25,24,-20,-20,36,24,-20,-24,-2,1,-6,9,1,-12,3,-6,-10,-3,24,-8,12,24,24,10,-30,-9,-16,24
2018.04.15,-20,12,-10,-3,6,15,-12,-16,-2,24,-18,4,4,-6,16,-18,-6,-3,-6,12,20,30,-24,-18,-30,2,-12,18
2018.04.08,-3,6,24,12,18,-12,16,24,30,24,12,20,16,24,-9,36,-4,-1,30,-12,-12,-16,30,30,36,-3,3,1
2018.04.01,12,18,6,-8,18,-12,-1,9,30,10,6,24,6,20,-15,24,-9,16,6,-20,-2,-12,18,12,18,-16,-9,-9
