date,nextweek_NZDCHF,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD
2021.03.28,-12,10,6,-12,18,2,-6,4,16,2,24,12,2,15,-6,24,24,20,18,-4,6,-12,18,18,18,-4,9,-6
2021.03.21,15,8,-12,-8,24,6,-9,-16,8,4,-4,6,1,-12,-2,6,1,12,6,-3,10,25,12,-18,-18,-9,-16,20
2021.03.14,-12,1,-6,-6,-12,2,-1,-1,-6,-10,-6,-1,-2,-1,2,-12,-4,-6,-12,-5,-4,-4,-6,-6,-6,1,3,1
2021.03.07,-1,2,24,2,36,-15,6,2,24,6,24,24,18,6,-8,36,-3,5,24,-20,-6,6,36,24,18,-3,-12,16
2021.02.28,6,30,-8,-12,36,-15,-2,-6,30,24,-18,30,24,24,-12,30,-20,-12,18,-25,-20,-4,36,36,36,-8,-12,20
2021.02.21,24,20,-4,-3,18,4,-10,-3,24,24,-18,12,-3,18,2,30,9,15,36,8,15,4,24,-6,36,-8,6,-12
2021.02.14,18,9,20,-3,36,-6,12,12,30,12,36,24,24,24,-24,36,24,-2,36,-20,-20,-25,36,36,36,16,9,4
2021.02.07,24,-9,16,12,-18,-9,16,8,6,-2,24,-2,6,-1,-4,18,16,-4,12,3,-12,6,6,30,12,18,-1,20
2021.01.31,-1,24,2,-24,24,-2,3,9,30,18,-30,24,24,24,-18,12,1,-9,-36,-16,-20,-20,18,18,36,9,12,2
2021.01.24,24,18,2,-10,24,15,-9,2,24,9,18,1,-2,9,-8,18,24,20,12,9,12,-6,12,-12,18,-2,18,-20
2021.01.17,9,-6,12,12,-10,1,2,9,8,3,24,-2,-2,3,2,18,8,16,18,8,8,6,18,12,12,1,6,-3
2021.01.10,3,12,6,-20,10,6,-6,-20,16,-9,-12,8,3,-9,-12,24,20,30,-24,-8,-6,9,-6,-18,-30,-2,-16,24
2021.01.03,-9,2,-8,-1,12,-4,9,9,-4,4,30,6,8,9,15,6,-12,-15,36,-3,-8,-8,18,18,24,12,12,2
2020.12.27,9,-6,8,18,-12,-12,12,20,3,-1,36,15,9,18,-2,12,1,-16,30,-8,-10,-8,36,24,36,9,18,6
2020.12.20,18,18,8,-6,12,15,1,1,15,9,-18,4,6,6,-8,12,15,12,-18,4,-3,-2,-36,6,6,6,2,10
2020.12.13,6,-9,16,16,-24,2,9,6,9,6,12,-9,4,1,1,24,20,8,18,15,2,15,-18,12,-16,12,6,15
2020.12.06,1,2,-20,-2,-6,-2,12,9,-20,-6,30,1,12,6,12,-18,-15,-30,-12,-4,-15,-12,18,18,18,16,12,12
2020.11.29,6,-12,16,20,18,-25,6,4,-6,-1,30,4,-9,-6,9,30,-8,12,36,-3,20,25,36,18,30,-16,-12,3
2020.11.22,-6,-6,8,12,36,-12,12,16,-3,5,36,5,10,18,6,36,-8,-10,36,2,-4,-16,36,36,36,9,12,-6
2020.11.15,18,-2,24,3,-18,-10,15,24,24,3,-18,5,10,18,-9,12,8,8,-18,-3,-4,-30,-6,-6,24,4,24,-9
