date,USDCAD,EURCHF,GBPJPY,EURJPY,EURNZD,NZDCAD,AUDNZD,empty,sum
2019.08.12,-441.0000000000025,-79.00000000000685,-121.99999999999989,-96.9999999999942,459.99999999999375,20.999999999993246,-300.99999999999574,,-559.0000000000122
2019.08.12,-473.99999999999665,-161.00000000001114,-34.000000000006025,-90.00000000000341,431.0000000000036,173.00000000000094,-297.9999999999983,,-453.0000000000109
2019.08.12,-476.0000000000098,-178.99999999999582,-57.00000000000216,-28.999999999996362,595.0000000000122,68.00000000000139,-296.9999999999917,,-374.99999999998226
2019.08.12,-422.9999999999956,-170.00000000000347,60.000000000002274,-18.000000000000682,592.9999999999991,-35.00000000000725,-210.99999999998343,,-203.9999999999891
2019.08.12,-402.9999999999978,-112.000000000001,37.00000000000614,-87.0000000000033,773.0000000000015,-55.000000000005045,-121.99999999999989,,31.000000000000625
2019.08.12,-429.99999999999704,-90.99999999999665,55.999999999997385,-79.9999999999983,825.9999999999934,-55.000000000005045,-109.99999999998789,,116.00000000000591
2019.08.12,-483.0000000000112,-137.9999999999937,42.00000000000159,-81.00000000000307,869.999999999993,-36.0000000000027,-107.99999999999699,,65.9999999999869
2019.08.12,-459.0000000000094,-154.99999999999403,7.000000000005002,-125.0,862.9999999999916,-24.000000000001798,-134.99999999999625,,-28.00000000000486
2019.08.12,-476.0000000000098,-181.00000000000892,-7.999999999995566,-123.99999999999523,853.9999999999992,-17.000000000000348,-146.00000000000168,,-98.00000000001225
2019.08.12,-500.00000000001154,-190.00000000000128,4.0000000000048885,-97.99999999999898,880.9999999999984,10.999999999994348,-102.00000000000209,,5.999999999983729
2019.08.12,-482.00000000000466,-188.00000000001037,16.000000000005343,-76.99999999999818,858.0000000000032,-2.000000000002,-112.99999999998533,,12.000000000008
2019.08.12,-456.00000000001194,-202.9999999999976,27.000000000001023,-108.99999999999466,856.9999999999967,-34.000000000000696,-130.99999999999224,,-48.99999999999942
2019.08.12,-452.00000000000796,-205.99999999999508,1.9999999999953388,-115.99999999999966,873.0000000000126,-41.9999999999976,-157.99999999999147,,-98.99999999998384
2019.08.13,-445.0000000000065,-215.99999999999397,-39.00000000000148,-167.0000000000016,757.0000000000076,-131.99999999999878,-228.99999999999034,,-470.999999999985
2019.08.13,-436.00000000001415,-242.00000000000887,-143.00000000000068,-189.99999999999773,875.0000000000035,-102.00000000000209,-163.00000000000205,,-401.000000000022
2019.08.13,-436.9999999999985,-226.99999999999943,-75.9999999999934,-162.9999999999967,920.9999999999941,-57.00000000000705,-116.00000000000499,,-155.00000000000603
2019.08.13,-436.9999999999985,-207.00000000000162,-25.000000000005684,-132.000000000005,934.9999999999969,-68.00000000000139,-112.000000000001,,-46.00000000001626
2019.08.13,-419.0000000000138,-191.99999999999218,-18.000000000000682,-131.00000000000023,977.0000000000057,-77.00000000000485,-72.0000000000054,,67.99999999998852
