date,USDCHF,GBPUSD,EURUSD,USDCAD,AUDUSD,NZDUSD,CHFJPY,CADCHF,NZDCHF,GBPJPY,EURJPY,EURCAD,EURNZD,CADJPY,AUDJPY,NZDJPY,empty,sum
2021.05.25,-141.00000000000225,89.99999999999008,-642.0000000000092,1.999999999990898,-183.99999999999528,-551.0000000000015,-554.000000000002,-120.00000000000898,-565.9999999999999,-39.00000000001569,-771.9999999999914,720.9999999999939,436.9999999999985,-140.00000000000057,-281.0000000000059,-680.0000000000068,,-3420.0000000000655
2021.05.25,-87.00000000000374,59.99999999999339,-571.9999999999948,-4.000000000004,-170.99999999999892,-557.0000000000075,-500.99999999999056,-154.0000000000097,-573.9999999999967,-48.00000000000182,-725.9999999999991,671.9999999999837,407.99999999998613,-165.99999999999682,-263.00000000000523,-666.000000000011,,-3349.0000000000564
2021.05.25,-134.99999999999625,8.999999999992347,-622.9999999999958,-155.00000000001623,-212.99999999999653,-601.000000000007,-489.9999999999949,-191.00000000000784,-587.9999999999997,-57.999999999992724,-704.9999999999841,557.9999999999918,340.9999999999913,-210.99999999999852,-266.00000000000534,-682.0000000000022,,-4010.000000000022
2021.05.25,-195.9999999999962,-131.00000000001444,-683.0000000000114,-206.00000000001728,-299.00000000000483,-674.000000000008,-500.0,-198.00000000000927,-609.9999999999994,-92.99999999998931,-680.0000000000068,548.9999999999995,246.99999999999721,-213.99999999999864,-285.0000000000108,-707.0000000000078,,-4680.000000000077
2021.05.25,-236.00000000000287,-198.00000000000927,-722.0000000000005,-225.00000000000853,-327.99999999999494,-723.0000000000069,-513.9999999999958,-161.00000000000003,-629.0000000000018,-112.99999999999955,-662.9999999999825,561.9999999999958,187.99999999998818,-182.00000000000216,-296.0000000000065,-722.0000000000084,,-4962.0000000000355
2021.05.25,-231.99999999999886,-148.99999999999915,-748.9999999999997,-197.00000000000273,-331.999999999999,-729.0000000000018,-457.9999999999984,-143.00000000000423,-634.0000000000013,-52.99999999999727,-641.9999999999959,634.9999999999856,197.99999999998707,-134.00000000000034,-287.00000000000614,-724.0000000000038,,-4630.0000000000355
2021.05.25,-267.00000000000614,-131.00000000001444,-794.0000000000058,-168.0000000000126,-351.0000000000013,-754.0000000000102,-473.99999999998954,-97.00000000000264,-631.9999999999992,58.9999999999975,-657.999999999987,727.9999999999953,214.00000000000307,-66.99999999999307,-259.00000000000034,-709.0000000000032,,-4360.00000000003
2021.05.25,-261.99999999999557,-92.00000000000318,-784.0000000000069,-67.00000000001705,-307.0000000000017,-712.0000000000015,-460.9999999999985,-26.999999999999247,-583.9999999999957,103.999999999985,-638.0000000000052,839.9999999999964,103.99999999999298,4.9999999999954525,-214.00000000001285,-670.0000000000017,,-3765.0000000000687
2021.05.25,-253.0000000000032,-86.0000000000083,-740.0000000000073,-38.0000000000047,-280.9999999999979,-659.0000000000095,-473.99999999998954,-18.0000000000069,-546.9999999999975,73.99999999998386,-615.0000000000091,831.9999999999883,363.9999999999866,10.99999999999568,-204.00000000000773,-621.9999999999999,,-3256.0000000000878
2021.05.25,-251.99999999999667,-66.99999999999484,-712.0000000000015,-17.000000000000348,-280.00000000000244,-655.0000000000056,-483.99999999999466,-17.000000000000348,-551.9999999999969,75.9999999999934,-610.99999999999,834.9999999999858,363.9999999999866,16.999999999995907,-209.00000000000318,-625.0,,-3189.0000000000246
2021.05.25,-292.9999999999988,-83.00000000001084,-750.0000000000063,-39.00000000001125,-300.99999999999574,-690.0000000000017,-513.9999999999958,-18.0000000000069,-578.9999999999961,8.99999999998613,-677.9999999999973,818.9999999999919,283.99999999999534,-10.99999999999568,-250.0,-671.0000000000065,,-3765.000000000049
2021.05.26,-436.9999999999985,-86.0000000000083,-791.0000000000084,-97.00000000001374,-256.0000000000007,-628.0000000000064,-509.9999999999909,-8.000000000008,-512.9999999999968,33.999999999991815,-693.9999999999884,730.9999999999927,36.999999999998145,-1.9999999999953388,-245.00000000000455,-618.0000000000092,,-4083.0000000000464
2021.05.26,-282.0000000000045,-89.00000000000574,-724.0000000000135,-63.000000000013046,-302.0000000000023,-675.0000000000034,-479.99999999998977,41.9999999999976,-565.9999999999999,31.00000000000591,-639.00000000001,763.9999999999869,99.00000000000463,7.000000000005002,-253.0000000000001,-678.0000000000115,,-3808.000000000053
2021.05.26,-246.99999999999721,-90.00000000001229,-746.0000000000023,-34.000000000000696,-290.00000000000136,-667.0000000000065,-521.9999999999914,-17.000000000000348,-544.0,-9.000000000014552,-701.9999999999982,844.9999999999847,204.00000000000418,-31.999999999996476,-260.0000000000051,-652.000000000001,,-3763.0000000000387
2021.05.26,-251.00000000000122,-99.00000000000463,-775.0000000000146,-42.0000000000087,-299.00000000000483,-658.0000000000031,-524.9999999999915,-25.00000000000835,-553.0000000000035,-19.000000000005457,-721.0000000000036,858.0000000000032,394.00000000000546,-42.00000000000159,-277.000000000001,-672.0000000000113,,-3706.000000000054
2021.05.26,-253.0000000000032,-85.00000000000173,-763.0000000000026,-29.00000000001235,-290.00000000000136,-631.0000000000038,-533.0000000000013,-21.00000000000435,-531.9999999999991,12.000000000000455,-713.9999999999986,861.0000000000007,434.9999999999854,-22.00000000000557,-253.0000000000001,-634.0000000000003,,-3452.0000000000477
2021.05.26,-229.00000000000142,-41.000000000002146,-727.0000000000109,-22.0000000000109,-272.00000000000557,-640.0000000000073,-501.99999999999534,-26.000000000003798,-550.000000000006,43.00000000000637,-679.000000000002,848.9999999999886,377.9999999999894,-19.99999999999602,-239.00000000000432,-651.0000000000105,,-3328.0000000000714
2021.05.26,-270.99999999999903,-127.00000000001043,-763.0000000000026,-92.00000000000318,-353.99999999999875,-742.0000000000093,-528.9999999999964,-30.000000000007798,-605.9999999999955,-8.000000000009777,-686.000000000007,819.9999999999985,234.00000000000088,-49.99999999999716,-300.00000000001137,-728.9999999999992,,-4233.000000000048
2021.05.26,-261.0000000000001,-107.00000000001265,-751.0000000000127,-78.00000000000028,-331.999999999999,-719.000000000003,-545.0000000000017,-38.0000000000047,-592.0000000000036,-13.00000000000523,-695.999999999998,803.9999999999825,263.99999999999756,-64.99999999999773,-291.000000000011,-718.0000000000035,,-4138.000000000073
2021.05.26,-238.0000000000049,-114.0000000000141,-707.9999999999975,-56.000000000011596,-312.9999999999966,-665.9999999999999,-473.99999999998954,-49.00000000001015,-570.0000000000039,28.999999999996362,-609.9999999999852,781.9999999999939,317.9999999999961,-19.000000000005457,-255.00000000000966,-643.0000000000007,,-3586.0000000000437
2021.05.26,-239.0000000000003,-51.000000000001044,-692.0000000000038,-102.00000000000209,-336.9999999999984,-718.0000000000075,-473.99999999998954,-78.00000000000028,-622.0000000000003,97.00000000000841,-592.9999999999893,708.9999999999818,90.99999999999665,-45.000000000001705,-286.00000000000136,-713.0000000000081,,-4053.0000000000173
2021.05.26,-285.00000000000193,-124.00000000001299,-724.0000000000135,-147.00000000000824,-533.0000000000057,-1324.000000000003,-518.0000000000007,-75.00000000000284,-1126.0000000000048,26.999999999986812,-614.0000000000043,679.9999999999917,-1175.9999999999993,-72.99999999999329,-484.00000000000887,-1350.0000000000086,,-7846.000000000091
2021.05.26,-285.9999999999974,-173.00000000000094,-756.0000000000011,-167.00000000000603,-556.9999999999964,-1346.0000000000027,-540.9999999999968,-73.00000000000084,-1144.999999999996,-39.00000000001569,-658.9999999999918,710.999999999995,-1232.000000000011,-85.99999999999852,-510.0000000000051,-1376.0000000000048,,-8235.000000000031
2021.05.26,-319.0000000000026,-209.00000000001472,-828.0000000000065,-198.00000000000927,-605.0,-1459.0000000000102,-634.9999999999909,-59.000000000009045,-1214.9999999999993,-146.99999999999136,-789.999999999992,729.0000000000018,-1358.999999999999,-156.99999999999648,-609.0000000000089,-1544.0000000000111,,-9404.000000000038
2021.05.26,-326.9999999999995,-212.00000000001216,-827.0,-190.00000000000128,-653.999999999999,-1520.0000000000102,-644.999999999996,-55.000000000005045,-1260.0000000000055,-158.00000000001546,-795.9999999999923,756.9999999999854,-1480.999999999999,-158.00000000000125,-662.0000000000061,-1609.0000000000089,,-9797.000000000065
2021.05.26,-322.9999999999955,-266.999999999995,-836.0000000000146,-201.00000000000674,-712.0000000000015,-1499.000000000006,-652.9999999999916,-55.000000000005045,-1251.000000000002,-171.99999999999704,-794.9999999999875,759.999999999983,-1449.0000000000114,-150.99999999999625,-698.0000000000075,-1581.0000000000032,,-9883.000000000038
2021.05.26,-336.9999999999984,-287.9999999999994,-836.0000000000146,-200.00000000000017,-716.0000000000056,-1482.0000000000055,-638.9999999999958,-50.0000000000056,-1224.000000000003,-206.99999999999363,-778.9999999999964,771.9999999999949,-1398.9999999999948,-132.99999999999557,-703.000000000003,-1547.0000000000114,,-9768.000000000027
2021.05.26,-336.00000000000296,-304.9999999999997,-853.9999999999992,-223.00000000001762,-697.0000000000032,-1545.0000000000075,-652.000000000001,-64.0000000000085,-1275.9999999999993,-252.00000000000955,-817.0000000000073,744.9999999999957,-1505.0000000000007,-176.9999999999925,-710.000000000008,-1618.000000000009,,-10286.00000000007
2021.05.26,-329.00000000000153,-270.99999999999903,-852.0000000000083,-222.00000000001108,-680.0000000000028,-1540.000000000008,-625.0,-76.0000000000094,-1273.0000000000018,-186.00000000000705,-799.999999999983,743.9999999999891,-1493.000000000011,-161.99999999999193,-679.000000000002,-1615.000000000009,,-10059.000000000056
2021.05.26,-287.0000000000039,-185.00000000001293,-788.9999999999952,-182.0000000000155,-629.9999999999973,-1451.0000000000023,-611.9999999999948,-90.0000000000012,-1234.9999999999973,-201.99999999999818,-769.0000000000055,663.999999999998,-1438.000000000006,-170.0000000000017,-652.000000000001,-1548.0000000000018,,-9576.000000000036
2021.05.26,-297.00000000000284,-226.00000000001506,-746.0000000000023,-189.00000000001694,-636.9999999999986,-1497.0000000000039,-679.9999999999926,-101.00000000000664,-1280.9999999999989,-227.00000000000387,-776.9999999999868,629.9999999999973,-1556.0000000000018,-206.00000000000307,-684.0000000000117,-1623.0000000000045,,-10097.000000000051
2021.05.26,-324.9999999999975,-97.00000000001374,-722.0000000000005,-143.00000000000423,-617.0000000000009,-1486.0000000000095,-713.9999999999986,-65.00000000000395,-1261.000000000001,-122.99999999999045,-771.9999999999914,624.9999999999867,-1631.0000000000048,-179.00000000000205,-671.0000000000065,-1620.0000000000045,,-9801.000000000042
2021.05.26,-312.9999999999966,-29.999999999996696,-686.0000000000089,-42.0000000000087,-570.0000000000039,-1510.0000000000002,-670.9999999999923,2.999999999997449,-1278.0000000000014,-13.00000000000523,-689.9999999999977,725.9999999999823,-1697.9999999999995,-91.99999999999875,-608.0000000000041,-1629.000000000005,,-9101.000000000042
