date,USDCAD,NZDUSD,GBPCHF,AUDCHF,EURGBP,EURJPY,EURNZD,AUDCAD,NZDCAD,AUDNZD,empty,sum
2019.10.14,78.99999999998464,339.0000000000004,-1215.0000000000105,-393.9999999999944,-868.000000000002,67.00000000000728,1208.000000000009,302.0000000000023,404.99999999999983,248.00000000000378,,171.00000000000043
2019.10.14,123.99999999999079,356.00000000000074,-1076.9999999999945,-380.999999999998,-768.9999999999975,91.00000000000819,1230.00000000002,287.9999999999994,412.00000000000125,270.00000000001467,,544.000000000045
2019.10.14,159.99999999998238,402.00000000000233,-783.0000000000003,-363.99999999999767,-592.0000000000036,10.000000000005116,1289.0000000000068,243.99999999999977,440.00000000000705,324.0000000000132,,1130.000000000015
2019.10.14,224.99999999998633,390.0000000000015,-493.99999999999443,-358.0000000000028,-372.0000000000057,21.000000000000796,1255.0000000000061,200.99999999999562,394.00000000000546,337.0000000000095,,1599.0000000000025
2019.10.14,227.99999999998377,412.00000000000125,-358.9999999999982,-339.0000000000004,-253.99999999999866,25.000000000005684,1309.0000000000045,178.99999999999582,420.00000000000927,358.9999999999982,,1980.0000000000014
2019.10.14,224.99999999998633,326.9999999999995,-540.0000000000072,-295.0000000000008,-423.0000000000067,-52.99999999999727,1091.0000000000198,104.99999999999955,325.00000000000864,336.00000000000296,,1098.0000000000048
2019.10.14,214.99999999998744,332.00000000001006,-489.0000000000061,-243.99999999999977,-385.000000000002,-42.999999999992156,1078.0000000000011,92.99999999999864,326.0000000000041,380.00000000000256,,1263.0000000000039
2019.10.14,242.99999999999324,312.00000000000114,-486.999999999993,-207.99999999999707,-384.00000000000654,-63.00000000000239,1032.0000000000107,48.99999999999905,282.99999999999994,391.000000000008,,1168.000000000013
2019.10.14,249.99999999999466,302.0000000000023,-811.9999999999905,-139.99999999999568,-694.0000000000057,-64.99999999999773,1033.0000000000173,-9.00000000000345,241.00000000000233,378.00000000001165,,484.00000000003513
2019.10.14,276.9999999999939,268.0000000000016,-706.999999999991,-119.99999999999788,-614.9999999999989,-55.999999999997385,981.0000000000097,-70.99999999999883,206.00000000000617,418.0000000000073,,581.0000000000346
2019.10.14,268.9999999999859,259.0000000000092,-672.0000000000059,-97.00000000000264,-568.9999999999973,-48.99999999999238,943.000000000005,-80.00000000000229,187.00000000000384,414.00000000000324,,605.0000000000067
