date,EURCHF,AUDCAD,empty,sum
2019.10.29,245.99999999999068,263.0000000000021,,508.9999999999928
2019.10.29,253.99999999999866,302.0000000000023,,556.0000000000009
2019.10.29,231.0000000000034,307.0000000000017,,538.0000000000051
2019.10.29,236.99999999999832,316.0000000000052,,553.0000000000035
2019.10.29,198.00000000000927,339.0000000000004,,537.0000000000097
2019.10.29,200.00000000000017,310.0000000000103,,510.00000000001046
2019.10.29,197.00000000000273,365.0000000000042,,562.0000000000069
2019.10.29,188.9999999999947,387.99999999999943,,576.9999999999941
2019.10.29,191.99999999999218,387.000000000004,,578.9999999999961
2019.10.29,164.00000000000858,424.00000000000216,,588.0000000000107
2019.10.29,184.99999999999073,416.00000000000523,,600.9999999999959
2019.10.29,205.00000000001074,412.00000000000125,,617.000000000012
2019.10.29,147.00000000000824,382.00000000000455,,529.0000000000127
2019.10.29,232.99999999999432,336.00000000000296,,568.9999999999973
2019.10.29,204.00000000000418,339.0000000000004,,543.0000000000045
2019.10.29,168.99999999999693,357.00000000000733,,526.0000000000043
2019.10.29,126.0000000000039,362.00000000000676,,488.0000000000107
2019.10.29,76.0000000000094,342.000000000009,,418.00000000001836
2019.10.29,300.99999999999574,349.0000000000104,,650.0000000000061
2019.10.29,150.99999999999002,386.0000000000086,,536.9999999999986
2019.10.29,139.00000000000023,341.0000000000024,,480.0000000000026
2019.10.29,191.99999999999218,336.00000000000296,,527.9999999999951
2019.10.29,248.00000000000378,426.00000000000415,,674.000000000008
2019.10.29,246.99999999999721,454.00000000000995,,701.0000000000072
2019.10.29,208.00000000000819,522.0000000000002,,730.0000000000084
2019.10.29,310.9999999999946,503.000000000009,,814.0000000000036
2019.10.29,296.9999999999917,637.0000000000098,,934.0000000000015
2019.10.29,306.00000000000625,660.000000000005,,966.0000000000113
2019.10.29,303.9999999999932,656.000000000001,,959.9999999999942
2019.10.29,287.9999999999994,736.0000000000033,,1024.0000000000027
2019.10.29,279.99999999999136,707.000000000002,,986.9999999999934
2019.10.29,313.99999999999204,724.0000000000024,,1037.9999999999945
