date,USDJPY,EURCHF,CHFJPY,EURGBP,GBPCAD,EURJPY,EURCAD,EURNZD,CADJPY,NZDJPY,AUDCAD,NZDCAD,empty,sum
2021.04.19,662.9999999999967,-117.99999999999588,61.99999999999761,-403.99999999999324,-2570.0000000000055,46.999999999997044,-1225.9999999999939,45.000000000006146,638.0000000000052,-67.99999999999784,-635.0000000000077,-868.9999999999975,,-4434.999999999988
2021.04.19,606.9999999999993,-107.99999999999699,21.99999999999136,-434.9999999999965,-2629.0000000000146,13.999999999981583,-1219.9999999999989,38.0000000000047,609.0000000000089,-85.99999999999852,-632.0000000000103,-863.9999999999981,,-4684.000000000028
2021.04.19,612.9999999999995,-88.99999999998354,-1.0000000000047748,-397.99999999999835,-2593.000000000001,18.000000000000682,-1254.9999999999839,104.99999999999955,634.0000000000003,-113.99999999999011,-655.0000000000056,-919.9999999999986,,-4654.999999999965
2021.04.19,611.9999999999948,-60.99999999999994,-21.000000000000796,-446.9999999999974,-2672.0000000000077,24.00000000000091,-1236.9999999999993,169.00000000001913,628.0000000000001,-140.00000000000057,-678.0000000000008,-941.9999999999984,,-4764.99999999999
2021.04.19,628.0000000000001,-66.99999999999484,-43.00000000000637,-422.9999999999956,-2592.0000000000164,-6.000000000000227,-1210.9999999999843,189.00000000001694,594.0000000000083,-164.99999999999204,-644.0000000000001,-936.999999999999,,-4676.9999999999645
2021.04.19,578.9999999999935,-114.99999999999844,-18.000000000000682,-425.99999999999307,-2688.0000000000014,-33.999999999991815,-1293.9999999999952,55.000000000005045,621.0000000000093,-120.99999999999511,-634.0000000000013,-914.9999999999991,,-4989.999999999968
2021.04.19,545.9999999999923,-139.00000000000023,-36.000000000001364,-418.9999999999916,-2571.0000000000123,-81.99999999999363,-1198.9999999999945,198.00000000000927,535.0000000000108,-218.9999999999941,-620.0000000000094,-937.9999999999944,,-4943.999999999979
2021.04.19,560.0000000000023,-136.99999999998712,6.000000000000227,-437.999999999994,-2544.0000000000127,-34.99999999999659,-1139.9999999999854,249.00000000001032,533.0000000000013,-213.99999999999864,-587.0000000000042,-928.9999999999909,,-4675.999999999955
2021.04.19,572.9999999999933,-39.999999999995595,-7.000000000005002,-429.99999999999704,-2542.0,-13.00000000000523,-1204.000000000005,195.00000000001182,611.0000000000042,-140.00000000000057,-617.0000000000009,-867.999999999991,,-4481.999999999992
2021.04.20,579.9999999999983,-7.0000000000014495,7.999999999995566,-439.99999999999596,-2454.0000000000005,2.0000000000095497,-1115.9999999999836,313.00000000000773,558.9999999999975,-191.99999999999307,-578.0000000000007,-898.9999999999942,,-4223.999999999961
2021.04.20,573.9999999999981,-75.00000000000284,-22.00000000000557,-409.99999999999926,-2497.000000000016,-28.999999999996362,-1164.9999999999939,121.99999999999989,549.0000000000066,-115.99999999999966,-557.0000000000075,-845.9999999999912,,-4472.000000000007
2021.04.20,566.9999999999931,-115.99999999998278,-20.000000000010232,-400.00000000000034,-2467.000000000019,-58.9999999999975,-1140.999999999992,287.9999999999994,522.0000000000056,-229.99999999998977,-641.0000000000027,-933.9999999999905,,-4630.999999999987
2021.04.20,576.9999999999982,-116.99999999998934,-26.00000000001046,-419.9999999999982,-2492.0000000000055,-55.00000000000682,-1133.9999999999907,296.0000000000074,516.0000000000053,-246.9999999999999,-636.0000000000032,-947.9999999999933,,-4685.999999999986
2021.04.20,588.9999999999986,-115.99999999998278,-18.000000000000682,-423.9999999999911,-2546.0000000000036,-39.00000000001569,-1175.9999999999993,263.00000000001324,549.0000000000066,-223.99999999998954,-632.0000000000103,-955.9999999999902,,-4729.9999999999645
2021.04.20,617.999999999995,-142.99999999998204,-2.0000000000095497,-409.99999999999926,-2503.000000000011,-51.00000000001614,-1166.0000000000005,319.0000000000026,538.0000000000109,-254.99999999999545,-658.0000000000031,-984.9999999999915,,-4698.0
2021.04.20,664.0000000000015,-175.99999999999838,73.99999999999807,-387.99999999999943,-2419.0000000000155,-3.0000000000143245,-1124.9999999999982,296.0000000000074,546.999999999997,-216.99999999999875,-679.0000000000074,-945.9999999999912,,-4372.000000000019
2021.04.20,549.9999999999972,-173.99999999998528,-9.000000000000341,-397.99999999999835,-2397.0000000000045,-98.00000000001319,-1093.999999999995,375.0000000000142,466.0000000000082,-307.9999999999927,-684.0000000000068,-967.9999999999911,,-4738.999999999968
