date,EURUSD,GBPCHF,EURCHF,GBPCAD,AUDCAD,empty,sum
2019.07.16,60.99999999999994,103.00000000000864,-102.00000000000209,-34.000000000000696,-550.000000000006,,-522.0000000000002
2019.07.16,45.000000000006146,97.00000000001374,-103.00000000000864,19.999999999997797,-543.0000000000045,,-483.9999999999955
2019.07.16,49.00000000001015,95.00000000000064,-100.0000000000112,8.000000000008,-507.0000000000019,,-454.99999999999426
2019.07.16,26.0000000000149,107.99999999999699,-108.00000000001918,45.99999999999049,-465.9999999999998,,-394.0000000000166
2019.07.16,20.000000000020002,87.99999999999919,-113.00000000000753,28.000000000005798,-480.0000000000027,,-456.9999999999852
2019.07.16,26.999999999999247,100.0000000000112,-108.00000000001918,35.999999999991594,-473.0000000000012,,-418.00000000001836
2019.07.16,49.00000000001015,110.99999999999443,-90.00000000001229,53.999999999998494,-497.99999999999847,,-374.0000000000077
2019.07.16,50.0000000000167,76.99999999999375,-111.00000000001664,41.000000000002146,-492.999999999999,,-436.000000000003
2019.07.16,54.0000000000207,73.00000000001194,-111.00000000001664,32.999999999994145,-487.99999999999955,,-438.9999999999894
2019.07.16,46.0000000000127,110.00000000001009,-100.0000000000112,80.99999999999774,-467.0000000000063,,-329.999999999997
2019.07.16,36.0000000000138,73.00000000001194,-108.00000000001918,38.99999999998904,-451.9999999999969,,-412.00000000000125
2019.07.16,72.0000000000054,103.99999999999298,-82.00000000000429,56.99999999999594,-450.00000000000597,,-299.0000000000159
2019.07.16,72.0000000000054,398.9999999999938,42.999999999993044,221.00000000000452,-426.9999999999996,,307.9999999999972
2019.07.16,112.000000000001,476.9999999999941,59.99999999999339,309.99999999998806,-455.0000000000054,,503.9999999999712
2019.07.16,163.00000000000205,591.9999999999925,83.9999999999952,482.00000000000466,-455.0000000000054,,865.9999999999891
2019.07.16,172.0000000000166,619.000000000014,112.99999999998533,548.9999999999995,-439.99999999999596,,1013.0000000000196
2019.07.16,198.00000000000927,646.9999999999976,134.99999999999625,622.9999999999958,-419.9999999999982,,1183.0000000000007
2019.07.16,257.0000000000183,758.0000000000142,192.99999999999872,713.9999999999924,-431.0000000000036,,1491.00000000002
2019.07.16,327.00000000001063,632.0000000000103,139.9999999999846,797.0000000000033,-402.9999999999978,,1493.000000000011
2019.07.16,326.0000000000041,784.0000000000069,132.99999999998312,948.9999999999999,-390.99999999999693,,1800.9999999999973
2019.07.16,395.000000000012,754.9999999999945,69.9999999999923,1173.9999999999861,-370.9999999999991,,2022.999999999986
2019.07.16,394.00000000000546,675.0000000000034,67.9999999999792,1097.999999999999,-404.0000000000044,,1830.999999999983
2019.07.16,422.00000000001125,602.0000000000136,38.99999999998904,1103.9999999999939,-438.00000000000506,,1729.0000000000032
2019.07.16,440.00000000001813,558.0000000000141,-53.00000000001415,1129.9999999999866,-385.99999999999744,,1689.000000000007
2019.07.16,453.0000000000145,587.0000000000042,-28.000000000005798,1381.9999999999943,-317.0000000000006,,2077.000000000007
2019.07.16,434.000000000001,652.0000000000082,11.999999999989797,1356.0000000000016,-339.99999999999585,,2114.0000000000045
2019.07.16,443.0000000000156,639.9999999999961,4.999999999988347,1334.9999999999973,-309.0000000000037,,2113.9999999999936
2019.07.16,412.00000000001234,731.9999999999993,-3.0000000000196536,1529.9999999999868,-261.0000000000001,,2409.999999999979
