date,USDCHF,EURUSD,USDJPY,USDCAD,AUDUSD,GBPCHF,CHFJPY,GBPCAD,AUDCAD,empty,sum
2019.03.12,26.999999999999247,-414.9999999999876,231.99999999999932,-367.0000000000062,-460.00000000000483,-1178.9999999999968,209.00000000000318,-1036.999999999999,-353.0000000000033,,-3342.999999999996
2019.03.12,-42.999999999993044,-533.99999999999,210.00000000000796,-360.0000000000048,-480.99999999999807,-951.9999999999973,263.9999999999958,-868.000000000002,-385.99999999999744,,-3149.999999999979
2019.03.12,-83.9999999999952,-585.9999999999976,216.99999999999875,-431.0000000000036,-497.000000000003,-822.9999999999959,316.99999999999307,-672.0000000000059,-356.00000000000074,,-2915.00000000001
2019.03.12,-41.000000000002146,-546.000000000002,174.99999999999716,-408.00000000000836,-497.99999999999847,-1048.0000000000045,227.00000000000387,-929.000000000002,-375.9999999999986,,-3444.000000000015
2019.03.12,-31.000000000003247,-546.000000000002,159.00000000000603,-417.0000000000007,-495.9999999999964,-838.0000000000055,200.00000000000284,-626.9999999999998,-367.0000000000062,,-2963.0000000000055
2019.03.12,-79.99999999999119,-641.0000000000027,130.00000000000966,-489.0000000000061,-512.0000000000014,-767.9999999999909,224.99999999999432,-514.9999999999987,-336.00000000000296,,-2985.99999999999
2019.03.12,-51.000000000001044,-627.9999999999841,129.0000000000049,-539.0000000000006,-529.0000000000017,-946.9999999999867,194.00000000000261,-644.0000000000001,-324.00000000000205,,-3338.999999999969
2019.03.12,-41.000000000002146,-641.999999999987,136.0000000000099,-546.000000000002,-495.9999999999964,-1361.9999999999966,188.99999999999295,-1153.000000000004,-274.00000000000756,,-4188.999999999994
2019.03.12,-53.999999999998494,-614.9999999999877,160.0000000000108,-581.0000000000093,-480.99999999999807,-852.0000000000083,222.99999999999898,-465.0000000000043,-229.00000000000142,,-2893.9999999999977
2019.03.12,-49.99999999999449,-580.0000000000027,144.00000000000546,-619.000000000014,-465.9999999999998,-666.9999999999953,203.99999999999352,-161.99999999999548,-184.00000000000637,,-2380.000000000009
2019.03.12,11.00000000000545,-509.00000000000387,194.00000000000261,-647.0000000000198,-443.99999999999994,-868.9999999999865,162.9999999999967,-299.00000000000483,-141.99999999999767,,-2542.0000000000077
