date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,EURCHF,CHFJPY,CADCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURNZD,CADJPY,NZDJPY,AUDCAD,NZDCAD,empty,sum
2021.02.22,-6.0000000000060005,-668.0000000000019,432.9999999999945,292.99999999999216,-103.00000000000864,-556.9999999999964,-475.99999999999864,-373.00000000000114,168.00000000000637,-109.99999999999899,-388.9999999999949,0.999999999995449,-246.00000000000932,-810.0000000000218,-270.99999999999903,-182.00000000000216,519.9999999999872,-135.00000000001845,118.00000000000921,-233.0000000000041,-634.0000000000013,-507.0000000000019,,-4167.00000000008
2021.02.22,-51.000000000001044,-598.0000000000097,383.99999999998437,290.9999999999968,-1.0000000000065512,-487.0000000000041,-400.9999999999958,-370.00000000000364,204.9999999999983,-94.00000000000519,-384.9999999999909,8.999999999992347,-213.99999999999864,-822.0000000000116,-249.99999999999466,-141.9999999999959,575.9999999999987,-89.00000000000574,152.00000000000102,-188.99999999999295,-653.0000000000035,-523.0000000000068,,-3652.000000000056
2021.02.22,-55.000000000005045,-541.9999999999981,374.999999999992,290.9999999999968,24.999999999986144,-470.9999999999992,-419.00000000000273,-370.00000000000364,224.00000000000375,-109.99999999999899,-406.9999999999907,0.999999999995449,-193.00000000001205,-810.0000000000218,-263.99999999999756,-111.99999999999477,522.0000000000002,65.99999999998829,159.9999999999966,-216.99999999999875,-651.999999999997,-553.0000000000035,,-3511.0000000000655
2021.02.22,-43.999999999999595,-546.000000000002,400.9999999999847,284.9999999999966,12.999999999996348,-480.99999999999807,-424.00000000000216,-368.9999999999971,192.99999999999784,-90.0000000000012,-404.99999999999983,8.999999999992347,-201.99999999999818,-805.0000000000113,-296.9999999999917,-152.00000000000102,529.999999999986,5.999999999994898,155.00000000000114,-224.99999999999432,-663.0000000000025,-561.0000000000003,,-3672.0000000000496
2021.02.23,14.999999999998348,-578.9999999999961,406.9999999999796,283.9999999999918,-83.00000000001084,-473.0000000000012,-404.99999999999983,-336.00000000000296,177.0000000000067,-52.000000000007596,-361.0000000000002,-9.999999999998899,-225.9999999999991,-810.0000000000218,-327.99999999999494,-159.00000000000603,457.9999999999807,-21.00000000000435,158.00000000000125,-203.99999999999352,-631.9999999999992,-517.0000000000008,,-3697.0000000000796
2021.02.23,8.999999999992347,-665.0000000000044,439.99999999999596,301.00000000000193,-72.0000000000054,-473.0000000000012,-388.9999999999949,-368.9999999999971,207.9999999999984,-62.000000000006494,-357.99999999999164,-9.00000000000345,-272.99999999999613,-848.0000000000043,-253.99999999999866,-159.9999999999966,456.9999999999963,-1.0000000000065512,167.0000000000016,-185.00000000000227,-631.0000000000038,-486.00000000000864,,-3653.0000000000346
2021.02.23,-8.000000000008,-656.0000000000122,445.99999999999085,304.00000000000205,-20.000000000020002,-514.9999999999987,-434.9999999999965,-392.00000000001455,201.99999999999818,-67.00000000000594,-361.0000000000002,-6.0000000000060005,-217.00000000001296,-867.0000000000177,-239.00000000001143,-174.0000000000066,574.9999999999922,-56.000000000011596,174.0000000000066,-182.00000000000216,-641.9999999999982,-509.00000000000387,,-3645.0000000001373
2021.02.23,21.999999999999797,-656.9999999999965,504.9999999999999,366.9999999999902,-26.0000000000149,-522.9999999999957,-451.0000000000014,-383.0,222.99999999999898,-70.99999999999883,-378.999999999996,24.999999999997247,-181.99999999998795,-846.0000000000134,-215.00000000000963,-141.00000000000534,645.999999999991,-29.00000000001235,192.99999999999784,-177.99999999999727,-655.0000000000056,-534.0000000000011,,-3289.000000000061
2021.02.23,12.000000000000899,-631.0000000000038,489.99999999999045,353.9999999999992,-34.000000000000696,-514.0000000000033,-429.0000000000016,-385.99999999999744,210.00000000000796,-68.00000000000139,-363.99999999999767,41.9999999999976,-171.99999999999704,-825.0000000000091,-232.00000000000998,-155.00000000000114,640.9999999999804,-111.00000000001664,180.99999999999739,-171.99999999999704,-634.9999999999967,-526.9999999999997,,-3325.00000000006
2021.02.23,20.999999999993246,-673.9999999999968,493.99999999999443,344.99999999999886,-73.00000000001194,-516.0000000000053,-453.0000000000034,-392.00000000001455,204.00000000000773,-80.00000000000229,-352.9999999999922,36.999999999998145,-181.0000000000116,-802.0000000000139,-209.9999999999991,-158.00000000000125,608.9999999999928,-94.00000000001629,161.00000000000136,-173.99999999999238,-624.0000000000023,-497.99999999999847,,-3411.0000000000755
