date,EURCHF,EURCAD,empty,sum
2020.01.28,148.99999999999915,-17.000000000000348,,131.9999999999988
2020.01.28,165.9999999999995,-24.000000000001798,,141.9999999999977
2020.01.28,192.99999999999872,39.999999999995595,,232.99999999999432
2020.01.28,141.00000000001333,35.999999999991594,,177.00000000000492
2020.01.28,139.00000000000023,79.99999999999119,,218.99999999999142
2020.01.28,131.99999999999878,41.000000000002146,,173.0000000000009
2020.01.28,188.00000000001037,36.999999999998145,,225.00000000000853
2020.01.28,175.00000000001404,42.999999999993044,,218.00000000000708
2020.01.28,177.00000000000495,45.99999999999049,,222.99999999999545
2020.01.28,175.00000000001404,59.99999999999339,,235.00000000000745
2020.01.28,191.00000000000784,22.999999999995246,,214.0000000000031
2020.01.28,215.00000000000963,-52.000000000007596,,163.00000000000205
