date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,GBPCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,empty,sum
2019.02.19,-167.9999999999904,-660.0000000000161,-232.99999999999432,114.99999999999488,114.99999999999844,131.99999999999878,-470.00000000001484,-278.00000000000045,-248.99999999999923,-901.9999999999868,-1129.0000000000023,,-3727.0000000000123
2019.02.19,-167.9999999999904,-928.0000000000177,-304.9999999999997,117.00000000000443,167.00000000000603,70.99999999999883,-706.0000000000066,-275.000000000003,-332.99999999999443,-1290.9999999999968,-1453.9999999999998,,-5104.999999999999
2019.02.19,-297.9999999999983,-975.0000000000148,-364.9999999999931,173.99999999999238,51.000000000001044,-4.999999999999449,-735.000000000019,-234.99999999999633,-356.00000000000074,-1407.999999999987,-1431.9999999999889,,-5584.000000000005
2019.02.19,-401.00000000000693,-1319.0000000000034,-476.9999999999941,85.99999999999852,80.99999999999774,-104.00000000000409,-899.0000000000053,-258.9999999999981,-492.999999999999,-1629.9999999999955,-1838.0000000000064,,-7253.000000000017
2019.02.19,-358.9999999999982,-1473.0000000000132,-504.9999999999999,111.99999999999477,28.000000000005798,-148.0000000000037,-1005.0000000000115,-221.00000000000452,-547.999999999993,-1836.999999999989,-1941.9999999999993,,-7898.000000000011
2019.02.19,-320.00000000000915,-1417.0000000000016,-434.000000000001,149.99999999999147,-39.00000000001125,-170.99999999999892,-999.0000000000166,-214.00000000000307,-568.9999999999973,-1799.999999999983,-1889.9999999999916,,-7703.000000000023
2019.02.19,-365.99999999999966,-1574.0000000000086,-524.9999999999977,164.00000000000148,-212.99999999999653,-327.99999999999494,-1079.0000000000077,-214.00000000000307,-583.0000000000002,-1960.000000000008,-1763.0000000000034,,-8441.000000000018
2019.02.19,-442.00000000000904,-1636.9999999999995,-653.999999999999,66.0000000000025,-351.99999999999676,-407.99999999999727,-1114.000000000015,-63.99999999999739,-587.9999999999997,-1972.0000000000084,-1746.9999999999875,,-8912.000000000007
2019.02.19,-435.9999999999919,-1665.0000000000055,-622.9999999999958,51.00000000000193,-426.9999999999996,-409.99999999999926,-1089.0000000000066,-26.999999999999247,-583.9999999999957,-1921.999999999997,-1702.999999999988,,-8834.999999999976
2019.02.19,-415.99999999999415,-1583.0000000000011,-571.0000000000103,91.99999999999875,-405.9999999999952,-404.0000000000044,-1039.000000000012,29.999999999996696,-561.9999999999958,-1900.0000000000057,-1547.9999999999939,,-8307.000000000016
2019.02.19,-415.0000000000098,-1628.0000000000073,-584.9999999999911,108.00000000000409,-418.0000000000073,-392.00000000000347,-1109.0000000000043,34.99999999999615,-609.9999999999994,-2055.999999999983,-1568.9999999999982,,-8639.000000000004
