date,USDCAD,empty,sum
2015.09.23,-746.0000000000023,,-746.0000000000023
2015.09.23,-712.9999999999859,,-712.9999999999859
2015.09.23,-752.9999999999815,,-752.9999999999815
2015.09.23,-766.0,,-766.0
2015.09.23,-747.9999999999931,,-747.9999999999931
2015.09.23,-729.9999999999862,,-729.9999999999862
2015.09.23,-668.9999999999862,,-668.9999999999862
2015.09.23,-638.9999999999895,,-638.9999999999895
2015.09.23,-645.999999999991,,-645.999999999991
2015.09.23,-583.0000000000002,,-583.0000000000002
2015.09.23,-563.0000000000024,,-563.0000000000024
2015.09.23,-483.99999999999557,,-483.99999999999557
2015.09.23,-500.9999999999959,,-500.9999999999959
2015.09.23,-533.99999999999,,-533.99999999999
2015.09.23,-505.99999999998425,,-505.99999999998425
