date,USDCHF,GBPUSD,AUDUSD,CHFJPY,EURGBP,GBPCAD,GBPAUD,EURJPY,EURAUD,CADJPY,AUDJPY,NZDCAD,AUDNZD,empty,sum
2021.09.21,783.0000000000003,-678.9999999999852,-319.99999999999807,393.0000000000007,568.0000000000018,-112.000000000001,-35.00000000000725,-797.0000000000255,-744.9999999999957,-903.9999999999964,-849.0000000000038,-151.00000000000114,-26.999999999999247,,-2875.00000000001
2021.09.22,775.0000000000034,-716.0000000000056,-409.99999999999926,239.00000000000432,496.00000000000756,-17.000000000000348,8.999999999992347,-910.0000000000108,-758.9999999999985,-1000.0,-933.9999999999975,-75.9999999999983,-171.99999999999437,,-3474.9999999999973
2021.09.22,737.0000000000099,-717.9999999999964,-337.99999999999386,257.000000000005,526.9999999999997,-17.000000000000348,14.000000000002899,-815.0000000000261,-720.9999999999939,-896.0000000000008,-862.9999999999995,-70.0000000000034,-73.00000000001194,,-2976.0000000000086
2021.09.22,764.0000000000091,-703.9999999999935,-324.9999999999975,307.00000000000216,543.0000000000045,1.999999999990898,53.999999999998494,-809.0000000000259,-696.0000000000077,-878.0000000000001,-843.0000000000035,-92.00000000000318,-34.000000000000696,,-2711.0000000000273
2021.09.22,779.0000000000075,-663.999999999998,-291.99999999999227,415.00000000000625,565.0000000000044,-80.99999999999774,68.99999999998573,-762.0000000000005,-662.000000000007,-873.9999999999952,-796.0000000000065,-90.0000000000012,4.999999999988347,,-2388.0000000000064
2021.09.22,770.000000000004,-676.9999999999943,-320.9999999999935,364.9999999999949,568.9999999999973,-110.00000000001009,-18.0000000000069,-838.0000000000081,-750.0000000000063,-932.0000000000022,-864.9999999999949,-109.99999999999899,24.000000000001798,,-2893.0000000000173
2021.09.22,774.000000000008,-693.9999999999947,-357.99999999999164,323.99999999999807,574.0000000000078,-86.99999999999264,-87.99999999999919,-900.0000000000057,-818.0000000000076,-971.0000000000036,-939.9999999999977,-75.00000000000284,62.99999999999084,,-3195.999999999991
2021.09.22,775.0000000000034,-713.9999999999924,-374.999999999992,335.00000000000796,567.0000000000064,-52.000000000007596,-95.00000000000064,-901.0000000000105,-852.0000000000083,-956.0000000000031,-950.0000000000028,-46.999999999997044,68.00000000000139,,-3196.999999999995
2021.09.22,714.0000000000035,-716.9999999999899,-329.999999999997,335.00000000000796,553.999999999999,-62.000000000006494,18.0000000000069,-850.0000000000085,-696.0000000000077,-906.9999999999965,-838.9999999999986,-98.99999999999353,53.999999999998494,,-2824.9999999999823
2021.09.22,689.0000000000063,-705.0000000000001,-315.9999999999941,323.0000000000075,490.00000000000153,-26.999999999999247,45.99999999999049,-876.000000000019,-663.999999999998,-894.999999999996,-832.0000000000078,-176.99999999999383,90.99999999999665,,-2853.000000000005
2021.09.22,714.0000000000035,-605.9999999999955,-85.99999999999719,518.0000000000007,502.00000000000244,251.00000000000122,506.0000000000064,-578.000000000003,-265.0000000000041,-566.0000000000025,-475.0000000000085,-153.00000000000313,93.99999999999409,,-144.0000000000055
2021.09.22,741.0000000000027,-655.9999999999899,-161.99999999999548,513.0000000000052,573.0000000000013,202.9999999999976,370.999999999988,-604.0000000000134,-443.99999999999994,-644.999999999996,-578.000000000003,-136.99999999999824,45.000000000006146,,-779.9999999999952
2021.09.22,734.0000000000014,-680.9999999999983,-175.99999999999838,552.9999999999973,579.0000000000073,211.99999999998997,353.0000000000033,-588.9999999999986,-443.99999999999994,-621.9999999999999,-564.9999999999977,-107.00000000000153,76.0000000000094,,-676.999999999986
2021.09.22,694.0000000000057,-709.0000000000041,-156.99999999999602,533.0000000000013,572.0000000000058,326.0000000000041,451.0000000000014,-556.0000000000116,-380.00000000000256,-525.9999999999962,-513.9999999999958,-95.00000000000064,45.000000000006146,,-315.99999999998244
2021.09.22,663.0000000000025,-774.9999999999924,-236.99999999999832,534.000000000006,592.0000000000036,387.000000000004,337.99999999999386,-560.0000000000023,-504.9999999999999,-533.0000000000013,-576.0000000000076,-63.99999999999739,29.999999999996696,,-705.9999999999924
2021.09.22,653.999999999999,-780.000000000003,-225.99999999999287,533.0000000000013,592.0000000000036,397.0000000000029,377.0000000000051,-551.0000000000161,-462.0000000000068,-516.9999999999959,-543.9999999999969,-7.0000000000014495,82.00000000000429,,-451.99999999999704
2021.09.22,665.0000000000044,-780.9999999999873,-229.99999999999687,524.0000000000009,611.000000000006,347.9999999999928,381.99999999999346,-557.0000000000164,-479.0000000000072,-543.9999999999969,-564.0000000000072,-58.99999999999794,83.9999999999952,,-600.000000000017
2021.09.22,672.0000000000059,-730.9999999999927,-158.99999999999804,588.9999999999986,583.0000000000002,297.9999999999983,489.0000000000061,-472.0000000000084,-364.00000000000875,-503.0000000000001,-456.00000000000307,-85.99999999999719,112.000000000001,,-27.999999999998124
2021.09.22,651.0000000000016,-740.0000000000073,-130.99999999999224,575.0000000000028,589.0000000000061,367.0000000000062,577.0000000000052,-456.0000000000173,-303.0000000000088,-471.00000000000364,-417.0000000000016,-78.99999999999574,123.00000000000644,,285.0000000000018
2021.09.22,648.9999999999995,-787.0000000000043,-146.99999999999713,591.9999999999987,594.0000000000057,395.99999999999636,554.9999999999944,-475.00000000002274,-287.9999999999994,-466.0000000000082,-417.0000000000016,-100.00000000000009,85.00000000000173,,190.999999999963
2021.09.22,642.0000000000092,-802.9999999999982,-114.99999999999844,629.0000000000049,624.9999999999977,536.0000000000032,665.0000000000044,-436.00000000000705,-278.00000000000045,-403.99999999999636,-382.99999999999557,-80.99999999999774,59.000000000009045,,656.0000000000347
2021.09.22,704.0000000000047,-805.9999999999956,-136.99999999999824,641.0000000000053,639.0000000000007,475.99999999998755,592.9999999999991,-473.0000000000132,-411.0000000000058,-501.99999999999534,-474.00000000000375,-139.99999999999568,-12.999999999996348,,96.99999999999342
2021.09.22,769.0000000000085,-910.9999999999951,-203.99999999999307,656.0000000000059,685.9999999999977,384.00000000000654,512.9999999999857,-516.0000000000196,-558.0000000000141,-611.0000000000042,-561.9999999999976,-204.99999999999963,-42.999999999993044,,-602.000000000012
2021.09.22,767.0000000000066,-900.9999999999962,-215.99999999999397,683.0000000000069,687.9999999999998,391.000000000008,531.9999999999991,-487.0000000000232,-547.0000000000086,-606.0000000000088,-543.9999999999969,-243.99999999999977,-96.00000000000719,,-580.0000000000142
2021.09.22,773.0000000000015,-917.9999999999966,-235.99999999999176,716.9999999999987,694.0000000000057,394.00000000000546,516.9999999999897,-440.00000000002615,-571.0000000000103,-567.0000000000073,-525.0000000000057,-258.0000000000027,-96.99999999999153,,-517.0000000000309
2021.09.22,880.000000000003,-946.9999999999867,-168.00000000000148,844.0000000000083,758.9999999999985,469.0000000000083,649.999999999995,-377.00000000000955,-551.9999999999969,-537.9999999999967,-475.9999999999991,-236.99999999999832,-66.00000000001049,,241.00000000001407
2021.09.22,877.0000000000056,-947.9999999999933,-196.99999999999162,855.000000000004,763.0000000000026,492.9999999999879,632.9999999999947,-394.00000000000546,-608.0000000000085,-533.0000000000013,-498.9999999999952,-197.00000000000273,-43.999999999999595,,200.9999999999971
2021.09.22,864.0000000000092,-933.9999999999905,-158.99999999999804,847.999999999999,744.0000000000002,659.999999999994,743.0000000000048,-391.00000000001955,-466.00000000001086,-454.9999999999983,-450.00000000000284,-124.00000000000189,-1.999999999990898,,877.9999999999948
