date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,EURJPY,EURCAD,EURAUD,EURNZD,AUDNZD,empty,sum
2015.11.25,-276.00000000000955,731.9999999999993,-536.0000000000032,-188.99999999999295,-225.00000000000853,109.99999999999899,-51.99999999999649,476.9999999999941,225.99999999999287,274.9999999999915,-360.0000000000048,257.0000000000072,-822.0000000000027,-866.9999999999956,-1035.9999999999925,-684.9999999999801,-530.9999999999926,,-3501.999999999995
2015.11.25,-322.00000000000006,731.9999999999993,-571.0000000000103,-137.00000000000045,-214.00000000000307,156.99999999999602,-100.00000000000009,391.9999999999924,161.99999999999548,236.0000000000042,-390.0000000000015,274.00000000000756,-812.9999999999882,-849.9999999999952,-1183.0000000000007,-907.9999999999977,-619.9999999999983,,-4155.000000000001
2015.11.25,-400.00000000000034,536.0000000000032,-604.0000000000045,-114.99999999999488,-68.00000000000139,90.0000000000012,-109.00000000000354,146.00000000000168,177.00000000000495,243.99999999999977,-351.0000000000013,318.00000000000716,-834.0000000000032,-870.9999999999995,-1264.9999999999827,-1008.9999999999932,-426.9999999999996,,-4541.999999999967
2015.11.25,-327.99999999999494,456.9999999999963,-526.0000000000042,-28.999999999996362,-143.99999999998857,119.00000000000244,-40.00000000000669,82.99999999998863,164.99999999999292,218.9999999999941,-373.00000000000114,302.9999999999977,-692.0000000000073,-844.0000000000003,-968.9999999999976,-707.9999999999975,-387.000000000004,,-3694.000000000027
2015.11.25,-543.0000000000045,624.0000000000023,-612.9999999999969,-33.00000000000125,-141.99999999999767,14.999999999998348,-18.0000000000069,-14.000000000002899,25.999999999992696,311.9999999999976,-477.0000000000052,306.00000000000625,-777.9999999999916,-934.0000000000126,-978.9999999999966,-797.9999999999876,-375.9999999999986,,-4422.0000000000055
2015.11.25,-696.999999999992,705.0000000000001,-714.999999999999,-27.000000000001023,-35.999999999991594,20.999999999993246,0.0,-120.00000000000898,-35.999999999991594,387.00000000000045,-580.0000000000027,328.0000000000061,-805.0000000000068,-975.0000000000148,-1056.9999999999968,-882.9999999999893,-333.0000000000055,,-4823.0
2015.11.25,-527.9999999999951,768.9999999999975,-539.0000000000006,10.99999999999568,-181.00000000000892,-19.00000000000235,-9.999999999998899,82.00000000000429,-133.00000000000534,406.9999999999965,-522.9999999999957,275.99999999999847,-658.0000000000155,-829.9999999999974,-800.9999999999851,-613.9999999999812,-293.99999999999426,,-3584.9999999999877
2015.11.25,-486.999999999993,673.9999999999968,-374.999999999992,-66.0000000000025,-303.9999999999932,15.999999999993797,-128.00000000000588,183.99999999998417,-173.00000000000094,307.9999999999927,-524.9999999999977,275.99999999999847,-462.99999999999386,-731.9999999999993,-588.9999999999951,-546.9999999999864,-287.9999999999994,,-3218.9999999999936
2015.11.25,-375.9999999999986,597.0000000000031,-283.99999999999534,-143.99999999999125,-316.99999999998954,109.99999999999899,-173.9999999999964,136.99999999998712,-165.9999999999995,341.99999999999875,-526.9999999999997,300.0000000000003,-461.00000000001273,-741.0000000000139,-622.9999999999958,-612.9999999999969,-181.9999999999933,,-3121.9999999999945
2015.11.25,-316.0000000000052,417.0000000000007,-243.99999999999977,-206.99999999999363,-371.99999999999454,151.00000000000114,-229.99999999999687,215.99999999999397,-170.00000000000347,233.0000000000041,-465.0000000000043,285.00000000000193,-449.99999999998863,-655.0000000000056,-634.0000000000013,-637.9999999999831,-224.000000000002,,-3302.9999999999764
2015.11.25,-222.99999999999542,425.99999999999307,-173.00000000000094,-161.00000000000136,-360.0000000000048,195.00000000000074,-236.99999999999832,224.000000000002,-83.9999999999952,268.99999999999125,-407.99999999999727,319.99999999999807,-396.99999999999136,-561.9999999999958,-619.9999999999983,-619.9999999999983,-202.9999999999976,,-2613.9999999999895
2015.11.25,-208.99999999999253,431.0000000000036,-164.99999999999292,-216.99999999999875,-370.999999999988,195.00000000000074,-199.00000000000472,263.99999999999756,-48.99999999998794,231.99999999999932,-373.00000000000114,270.0000000000036,-445.99999999999795,-634.0000000000013,-641.999999999987,-561.9999999999958,-205.99999999999508,,-2680.999999999938
2015.11.25,-222.00000000001108,392.9999999999989,-232.99999999999432,-197.9999999999933,-368.9999999999971,182.99999999999983,-187.9999999999993,157.99999999999147,5.999999999994898,240.99999999999966,-395.0000000000009,280.9999999999979,-473.0000000000132,-658.0000000000031,-707.9999999999975,-618.9999999999918,-205.00000000001074,,-3006.00000000003
2015.11.25,-253.99999999999866,354.9999999999942,-253.99999999999866,-153.99999999999636,-350.9999999999902,188.9999999999947,-180.99999999999784,82.99999999998863,-1.999999999990898,280.9999999999917,-458.00000000000284,316.0000000000052,-455.0000000000125,-734.0000000000124,-731.9999999999993,-645.999999999991,-201.00000000000674,,-3198.000000000023
2015.11.25,-279.00000000000705,337.99999999999386,-275.000000000003,-140.00000000000057,-336.9999999999873,176.99999999999383,-190.99999999999673,46.999999999997044,-45.000000000006146,271.0000000000008,-473.99999999999665,314.99999999999864,-449.99999999998863,-723.0000000000069,-727.9999999999953,-679.9999999999917,-201.00000000000674,,-3375.0000000000027
2015.11.25,-282.0000000000045,356.00000000000074,-232.99999999999432,-146.99999999999136,-370.999999999988,214.00000000000307,-224.000000000002,31.000000000003247,-99.00000000000463,298.9999999999924,-482.00000000000466,370.00000000000364,-405.00000000000114,-719.000000000003,-747.9999999999931,-710.999999999995,-195.9999999999962,,-3346.999999999975
2015.11.25,-300.99999999999574,390.0000000000015,-219.99999999999798,-114.00000000000432,-384.00000000000654,249.99999999999466,-251.00000000000122,11.999999999989797,-95.00000000000064,358.0000000000041,-507.0000000000019,426.9999999999996,-411.00000000000136,-717.9999999999964,-825.9999999999934,-760.9999999999894,-208.00000000000819,,-3359.0000000000077
2015.11.25,-306.9999999999906,435.9999999999919,-214.00000000000307,-141.9999999999959,-357.99999999999164,249.99999999999466,-255.00000000000523,46.999999999997044,-109.00000000000354,328.00000000000296,-497.99999999999847,404.99999999999983,-413.0000000000109,-690.0000000000128,-827.0,-770.9999999999884,-178.00000000001148,,-3296.000000000026
2015.11.25,-329.00000000000153,400.9999999999847,-202.9999999999976,-138.9999999999958,-391.000000000008,226.00000000000398,-261.0000000000001,19.999999999997797,-143.00000000000423,370.00000000000455,-509.9999999999993,360.0000000000048,-384.9999999999909,-682.0000000000048,-829.9999999999974,-797.9999999999876,-229.99999999999687,,-3523.999999999988
2015.11.26,-295.0000000000008,428.9999999999905,-167.00000000000603,-207.9999999999984,-392.9999999999989,185.99999999999727,-234.00000000000088,68.99999999998573,-112.000000000001,340.0000000000034,-456.9999999999963,304.00000000000426,-430.0000000000068,-659.0000000000095,-780.000000000003,-692.9999999999881,-191.00000000000784,,-3291.0000000000364
2015.11.26,-276.9999999999939,428.9999999999905,-212.99999999999653,-146.0000000000008,-363.0000000000022,209.00000000000364,-248.00000000000378,75.00000000000284,-100.99999999999554,340.999999999994,-465.9999999999998,356.00000000000074,-430.0000000000068,-697.0000000000143,-793.9999999999836,-790.9999999999861,-207.00000000000162,,-3322.9999999999936
2015.11.26,-273.9999999999965,431.0000000000036,-175.99999999999838,-137.99999999999102,-353.99999999998766,220.99999999999343,-246.00000000000176,76.99999999999375,-100.99999999999554,349.00000000000375,-470.00000000000375,383.0,-384.00000000001455,-662.000000000007,-747.9999999999931,-713.9999999999924,-232.00000000000998,,-3037.9999999999973
2015.11.26,-279.00000000000705,455.99999999998977,-170.00000000000347,-143.99999999999125,-307.99999999999716,224.000000000002,-199.00000000000472,99.99999999998899,-120.99999999999334,355.000000000004,-446.9999999999974,387.000000000004,-366.9999999999902,-598.0000000000097,-699.9999999999895,-600.0000000000006,-255.00000000000523,,-2666.000000000001
2015.11.26,-273.0000000000121,428.9999999999905,-153.00000000000313,-194.99999999999318,-340.00000000000693,241.99999999999778,-226.99999999999943,95.00000000000064,-130.0000000000079,376.99999999999534,-458.00000000000284,407.99999999999727,-402.00000000001523,-605.9999999999955,-827.0,-628.9999999999907,-310.0000000000103,,-2999.000000000056
2015.11.26,-313.99999999999204,431.0000000000036,-182.99999999999983,-210.99999999999852,-326.0000000000041,-119.99999999999788,-224.000000000002,65.99999999998829,-163.00000000000205,358.0000000000041,-470.9999999999992,68.99999999999685,-433.9999999999975,-611.000000000006,-801.9999999999916,-621.9999999999892,-229.00000000001253,,-3786.0
2015.11.26,-357.99999999999164,458.9999999999872,-219.99999999999798,-227.99999999999443,-313.99999999999204,-117.00000000000044,-226.00000000000398,45.99999999999049,-164.99999999999292,462.99999999999386,-489.0000000000061,90.0000000000012,-524.0000000000009,-634.0000000000013,-129.99999999998568,-684.9999999999801,181.9999999999933,,-2849.9999999999814
2015.11.26,-368.9999999999971,470.9999999999992,-214.00000000000307,-192.99999999999784,-371.99999999999454,-99.00000000000463,-316.0000000000052,34.99999999998504,-167.9999999999904,459.99999999999375,-512.9999999999968,134.0000000000008,-444.9999999999932,-692.0000000000038,-237.99999999998266,-925.9999999999824,228.99999999999034,,-3215.9999999999823
2015.11.26,-339.0000000000004,452.99999999999227,-217.0000000000005,-218.00000000000352,-384.9999999999909,2.000000000002,-319.0000000000026,24.000000000001798,-133.00000000000534,460.9999999999985,-529.9999999999972,187.9999999999993,-503.9999999999907,-710.999999999995,-300.99999999999574,-937.9999999999944,241.99999999998667,,-3224.999999999996
2015.11.26,-341.99999999999784,443.99999999999994,-215.00000000000963,-218.9999999999941,-368.9999999999971,-17.000000000000348,-295.99999999999625,-12.000000000012001,-144.99999999999514,468.0000000000035,-534.9999999999966,180.99999999999784,-513.0000000000052,-717.000000000012,-278.9999999999848,-889.9999999999908,246.99999999999721,,-3208.9999999999936
2015.11.26,-373.00000000000114,421.99999999998903,-218.00000000000708,-251.99999999999534,-419.9999999999982,2.000000000002,-339.99999999999585,-22.999999999995246,-177.00000000000495,534.9999999999966,-558.000000000003,229.99999999999687,-513.0000000000052,-705.0000000000001,-332.9999999999833,-918.9999999999809,236.99999999999832,,-3404.9999999999877
2015.11.26,-331.999999999999,394.9999999999898,-181.00000000000892,-262.00000000000045,-425.99999999999307,75.00000000000284,-397.99999999999835,-18.0000000000069,-174.00000000000747,521.0000000000008,-551.0000000000015,278.00000000000045,-483.0000000000041,-687.0000000000153,-461.99999999998465,-1044.0000000000005,211.99999999998997,,-3537.000000000036
2015.11.26,-324.9999999999975,411.99999999999017,-160.00000000000458,-251.00000000000477,-384.00000000000654,92.99999999999864,-363.0000000000022,-16.000000000016,-178.99999999999582,519.999999999996,-529.0000000000017,295.0000000000008,-483.0000000000041,-653.0000000000147,-449.9999999999948,-976.9999999999834,200.00000000000017,,-3250.000000000041
2015.11.26,-358.9999999999982,414.9999999999876,-188.9999999999947,-274.0000000000009,-384.9999999999909,83.9999999999952,-394.00000000000546,4.000000000004,-175.99999999999838,524.9999999999915,-536.9999999999986,304.00000000000426,-530.0000000000011,-656.0000000000122,-466.9999999999952,-1057.9999999999811,211.99999999998997,,-3481.0000000000036
2015.11.26,-371.00000000001023,458.9999999999872,-219.99999999999798,-263.9999999999958,-346.0000000000019,73.99999999999629,-339.99999999999585,-18.0000000000069,-175.99999999999838,572.0000000000027,-519.9999999999983,295.0000000000008,-562.0000000000118,-656.0000000000122,-470.9999999999992,-993.9999999999837,225.99999999999287,,-3312.0000000000323
2015.11.26,-357.99999999999164,452.99999999999227,-211.99999999998997,-262.999999999991,-320.00000000000915,43.999999999999595,-338.00000000000495,-2.999999999997449,-168.99999999999693,536.9999999999919,-509.9999999999993,243.99999999999977,-561.000000000007,-638.0000000000052,-459.99999999999375,-979.9999999999809,229.99999999999687,,-3303.999999999987
