date,EURCHF,AUDJPY,empty,sum
2016.05.23,-116.00000000000499,-616.9999999999902,,-732.9999999999952
2016.05.23,-126.0000000000039,-584.9999999999937,,-710.9999999999976
2016.05.23,-136.00000000000279,-601.9999999999897,,-737.9999999999925
2016.05.24,-134.99999999999625,-598.9999999999895,,-733.9999999999858
2016.05.24,-160.99999999998892,-610.99999999999,,-771.9999999999789
2016.05.24,-154.99999999999403,-596.9999999999942,,-751.9999999999882
2016.05.24,-119.00000000000244,-581.9999999999936,,-700.9999999999961
2016.05.24,-99.00000000000463,-585.9999999999985,,-685.0000000000032
2016.05.24,-106.99999999999044,-551.9999999999925,,-658.999999999983
2016.05.24,-121.99999999999989,-696.9999999999885,,-818.9999999999884
2016.05.24,-136.99999999998712,-685.9999999999928,,-822.99999999998
2016.05.24,-151.9999999999966,-671.999999999997,,-823.9999999999936
2016.05.24,-156.99999999998494,-571.9999999999885,,-728.9999999999734
2016.05.24,-161.99999999999548,-626.9999999999953,,-788.9999999999908
2016.05.24,-170.99999999998784,-566.9999999999931,,-737.9999999999809
2016.05.24,-194.99999999998963,-759.9999999999909,,-954.9999999999806
2016.05.24,-231.0000000000034,-890.0000000000006,,-1121.000000000004
2016.05.24,-204.99999999998852,-856.9999999999993,,-1061.9999999999877
2016.05.24,-231.0000000000034,-884.9999999999909,,-1115.9999999999943
2016.05.24,-211.00000000000563,-873.9999999999952,,-1085.000000000001
2016.05.24,-204.99999999998852,-993.9999999999998,,-1198.9999999999882
2016.05.24,-243.99999999999977,-975.9999999999991,,-1219.9999999999989
2016.05.24,-204.00000000000418,-1169.9999999999875,,-1373.9999999999916
2016.05.24,-140.99999999999113,-1137.999999999991,,-1278.999999999982
2016.05.24,-103.99999999999298,-1095.9999999999895,,-1199.9999999999825
2016.05.24,-73.99999999999629,-1095.9999999999895,,-1169.999999999986
2016.05.24,-38.99999999998904,-1120.999999999995,,-1159.999999999984
2016.05.24,-51.000000000001044,-1054.9999999999927,,-1105.9999999999939
2016.05.24,-25.999999999992696,-1018.0000000000007,,-1043.9999999999934
2016.05.24,-58.000000000002494,-1041.9999999999873,,-1099.9999999999898
