date,USDCHF,EURUSD,USDCAD,GBPCHF,EURCHF,AUDCHF,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,CADJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2021.04.06,-670.000000000004,-791.9999999999927,28.999999999990145,-717.9999999999964,-184.99999999999073,-68.99999999999685,-724.9999999999943,118.00000000001809,-102.99999999998644,-207.9999999999984,-980.0000000000031,-530.9999999999926,-1200.0000000000011,-414.99999999999204,-320.99999999999795,377.0000000000051,118.00000000000699,446.0000000000131,,-5828.999999999912
2021.04.06,-711.000000000006,-802.9999999999982,52.99999999999194,-799.0000000000164,-207.99999999998596,-92.99999999999864,-918.0000000000064,-21.999999999988695,-48.000000000003595,-33.999999999991815,-918.0000000000188,-563.9999999999867,-1333.0000000000064,-462.99999999999386,-436.9999999999976,368.00000000000165,107.99999999999699,438.00000000000506,,-6384.000000000001
2021.04.06,-775.0000000000034,-856.9999999999967,123.99999999999079,-814.0000000000036,-222.99999999999542,-124.00000000000189,-903.9999999999964,6.000000000017103,-65.00000000000395,-30.000000000001137,-928.0000000000177,-546.9999999999864,-1368.0000000000136,-477.99999999999443,-478.9999999999992,373.00000000000114,92.00000000000318,514.9999999999987,,-6482.000000000003
2021.04.06,-824.999999999998,-916.0000000000057,101.99999999997988,-876.0000000000101,-228.99999999999034,-136.00000000000279,-823.0000000000075,0.0,-5.999999999994898,-126.99999999998113,-1015.0000000000103,-597.9999999999874,-1366.0000000000005,-405.00000000000114,-368.9999999999998,395.0000000000009,118.00000000000699,514.0000000000144,,-6561.999999999987
2021.04.06,-889.0000000000065,-916.0000000000057,166.99999999998383,-895.0000000000014,-330.9999999999924,-139.00000000000023,-729.0000000000134,-10.999999999983245,17.000000000000348,-146.99999999999136,-963.0000000000027,-587.0000000000042,-1343.0000000000052,-405.9999999999917,-322.9999999999933,395.99999999999636,126.99999999999933,514.9999999999987,,-6457.000000000014
2021.04.06,-924.0000000000026,-909.0000000000042,156.00000000000057,-998.00000000001,-350.00000000000585,-81.9999999999932,-777.0000000000152,101.00000000001774,266.0000000000107,-57.999999999992724,-981.0000000000097,-292.9999999999877,-1127.0000000000114,-441.99999999999307,-302.0000000000067,573.9999999999967,239.0000000000003,564.000000000009,,-5342.999999999997
2021.04.06,-936.999999999999,-991.0000000000085,162.99999999997982,-1014.0000000000038,-347.9999999999928,-85.00000000000173,-735.0000000000136,-58.99999999998684,341.99999999999784,-170.99999999999227,-1033.0000000000173,-344.99999999999534,-1289.0000000000068,-387.999999999991,-259.00000000000034,551.0000000000015,170.00000000000347,588.0000000000107,,-5840.000000000015
2021.04.06,-953.9999999999993,-984.9999999999915,213.99999999998087,-1178.0000000000123,-313.99999999999204,-92.00000000000318,-853.0000000000086,-190.99999999998562,462.0000000000068,-169.9999999999875,-999.0000000000166,-371.99999999999454,-1327.999999999996,-313.99999999999295,-280.00000000000114,531.9999999999991,143.9999999999997,648.0000000000041,,-6029.999999999991
2021.04.06,-934.0000000000015,-1017.0000000000013,164.99999999999292,-1288.0000000000002,-299.99999999998914,-53.00000000000304,-972.0000000000084,-266.999999999995,605.0000000000111,-242.999999999995,-1114.000000000015,-326.0000000000041,-1320.00000000001,-333.999999999989,-245.9999999999951,599.0000000000051,192.99999999999872,673.0000000000125,,-6178.9999999999845
2021.04.06,-941.000000000003,-1062.0000000000073,-9.999999999998899,-1395.000000000013,-258.99999999998704,-87.00000000000374,-1102.0000000000039,-374.999999999992,828.0000000000065,-277.9999999999916,-1318.000000000019,-496.99999999999187,-1476.999999999995,-431.99999999998795,-284.000000000006,650.0000000000061,238.0000000000049,635.0000000000077,,-7165.9999999999745
2021.04.06,-885.999999999998,-1019.9999999999986,-62.000000000006494,-1350.0000000000068,-204.00000000000418,-95.00000000000064,-1116.0000000000139,-203.99999999998198,748.9999999999997,-275.99999999998204,-1378.0000000000125,-529.999999999986,-1504.0000000000164,-466.99999999999875,-301.00000000000193,670.9999999999993,277.000000000005,652.0000000000082,,-7043.999999999995
2021.04.06,-1018.0000000000077,-1151.9999999999975,-46.0000000000127,-1405.9999999999961,-259.9999999999936,-97.00000000000264,-1026.0000000000105,-68.99999999998573,819.9999999999985,-334.0000000000032,-1430.0000000000202,-475.99999999998755,-1434.000000000002,-467.9999999999893,-257.000000000005,744.9999999999957,333.0000000000055,626.0000000000155,,-6949.0
2021.04.06,-1080.0000000000032,-1198.9999999999945,-97.00000000001374,-1466.0000000000118,-296.9999999999917,-132.99999999999423,-1034.0000000000202,-68.99999999998573,890.9999999999974,-406.99999999998226,-1636.0000000000152,-505.99999999998425,-1448.0000000000048,-528.9999999999964,-209.99999999999375,795.0000000000013,402.9999999999978,612.0000000000125,,-7409.999999999984
2021.04.06,-1080.0000000000032,-1181.0000000000098,-138.0000000000159,-1442.00000000001,-282.0000000000045,-144.99999999999514,-977.0000000000039,100.0000000000112,827.0,-388.00000000000523,-1662.000000000008,-529.0000000000017,-1410.0000000000002,-566.9999999999931,-191.99999999999307,858.0000000000032,504.00000000000443,582.0000000000158,,-7122.000000000009
2021.04.06,-1085.0000000000027,-1197.0000000000036,-89.00000000000574,-1415.0000000000107,-285.99999999998624,-151.00000000000114,-954.0000000000077,120.00000000000898,757.0000000000076,-394.00000000000546,-1614.0000000000043,-537.9999999999941,-1426.0000000000161,-530.9999999999917,-209.99999999999375,819.9999999999985,455.0000000000054,574.0000000000078,,-7163.999999999995
2021.04.06,-1141.9999999999986,-1231.0000000000043,-40.0000000000178,-1467.0000000000182,-303.9999999999932,-146.00000000000168,-1014.00000000001,108.00000000001918,825.9999999999934,-364.0000000000043,-1602.0000000000146,-495.000000000001,-1388.0000000000114,-549.9999999999972,-183.00000000000693,856.9999999999967,495.000000000001,541.0000000000136,,-7099.000000000055
2021.04.06,-1139.0000000000011,-1232.9999999999952,-29.00000000001235,-1500.9999999999968,-295.0000000000008,-159.9999999999935,-1126.0000000000048,-43.999999999999595,824.0000000000025,-325.9999999999934,-1621.0000000000057,-553.9999999999878,-1317.999999999997,-575.9999999999934,-204.9999999999983,744.0000000000002,490.999999999997,489.0000000000061,,-7578.999999999973
2021.04.07,-1107.0000000000025,-1219.9999999999989,-9.999999999998899,-1652.000000000009,-314.99999999999864,-251.99999999999667,-1245.0000000000045,-144.99999999999514,929.000000000002,-358.99999999998045,-1553.0000000000043,-509.99999999998823,-1248.0000000000045,-640.0000000000006,-210.99999999999852,638.0000000000052,429.99999999999704,322.00000000000006,,-8147.999999999978
2021.04.07,-1092.000000000004,-1191.9999999999932,-9.000000000014552,-1529.0000000000025,-316.99999999998954,-198.99999999999363,-1133.0000000000098,-120.99999999999334,844.0000000000003,-295.99999999999227,-1537.0000000000107,-612.9999999999969,-1239.9999999999966,-578.9999999999935,-188.0000000000024,714.0000000000035,478.0000000000006,399.00000000001603,,-7609.999999999972
2021.04.07,-1083.0000000000007,-1198.0000000000102,-32.0000000000098,-1471.0,-272.99999999998994,-148.99999999999915,-1123.9999999999952,-24.999999999986144,863.0000000000138,-311.00000000000705,-1592.0000000000157,-544.9999999999955,-1275.0000000000039,-580.9999999999889,-171.00000000000648,785.0000000000024,514.9999999999987,453.0000000000145,,-7213.99999999998
