date,USDCHF,GBPUSD,EURUSD,USDCAD,AUDUSD,NZDUSD,GBPCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2019.02.13,566.9999999999842,175.99999999999838,161.00000000001114,394.9999999999898,269.00000000000813,817.000000000001,-591.0000000000082,-773.0000000000015,1246.0000000000027,68.99999999999685,1085.9999999999843,786.00000000002,-1224.000000000003,-990.0000000000091,688.9999999999841,772.0000000000172,2234.0000000000027,-1165.0000000000064,-1137.999999999991,-1694.0000000000027,41.9999999999976,-836.9999999999989,-862.9999999999916,,33.99999999998704
2019.02.13,629.9999999999973,287.000000000015,208.00000000000819,299.99999999998914,251.00000000000122,750.0000000000063,-523.0000000000068,-809.0000000000042,1266.999999999996,121.99999999999989,908.9999999999918,902.0000000000028,-1365.0000000000161,-966.9999999999987,736.9999999999877,892.0000000000039,2273.999999999998,-1179.000000000002,-1149.000000000001,-1689.0000000000073,62.000000000006494,-830.9999999999928,-812.999999999997,,265.9999999999775
2019.02.13,692.9999999999881,429.00000000001273,293.0000000000099,312.00000000000114,221.99999999999997,714.999999999999,-517.0000000000119,-838.0000000000055,1222.9999999999964,153.00000000000313,881.9999999999766,1016.0000000000169,-1357.0000000000082,-936.000000000007,809.9999999999997,899.0000000000053,2197.0000000000045,-1179.000000000002,-1147.9999999999961,-1658.0000000000014,41.000000000002146,-786.9999999999933,-754.9999999999945,,709.9999999999968
2019.02.13,699.9999999999895,541.0000000000136,301.0000000000179,261.0000000000001,190.00000000000128,695.0000000000011,-360.0000000000048,-787.9999999999998,1202.000000000003,234.00000000000088,692.9999999999836,1134.0000000000127,-1492.0000000000045,-922.0000000000113,754.9999999999945,809.0000000000152,2134.999999999998,-1186.9999999999977,-1093.999999999994,-1608.000000000004,9.00000000000345,-755.99999999999,-781.9999999999939,,670.0000000000362
2019.02.13,707.9999999999975,629.0000000000128,300.00000000001137,278.00000000000045,179.00000000000693,690.0000000000017,-336.00000000000296,-785.0000000000024,1217.9999999999968,256.99999999999613,760.9999999999957,1328.000000000018,-1510.0000000000114,-922.0000000000113,876.9999999999944,850.0000000000174,2175.000000000016,-1179.000000000002,-1094.9999999999989,-1611.000000000004,-2.000000000002,-731.9999999999993,-778.9999999999964,,1299.0000000000355
2019.02.13,822.9999999999959,663.0000000000135,411.0000000000058,280.9999999999979,135.00000000000733,687.9999999999998,-418.0000000000073,-792.0000000000039,1277.000000000006,226.99999999999943,746.9999999999857,1284.0000000000184,-1435.0000000000084,-868.0000000000092,885.0000000000025,827.0,2272.0000000000073,-1156.000000000006,-1045.9999999999923,-1600.0000000000086,-36.999999999998145,-728.9999999999908,-832.9999999999949,,1606.00000000002
2019.02.13,827.9999999999843,641.0000000000027,391.000000000008,285.00000000000193,153.00000000000313,687.0000000000043,-446.0000000000131,-787.9999999999998,1258.999999999999,219.00000000000253,727.0000000000039,1261.000000000001,-1432.0000000000111,-875.0,876.9999999999944,849.0000000000109,2195.0000000000136,-1148.0000000000105,-1037.9999999999968,-1580.0000000000125,-21.999999999999797,-721.9999999999893,-817.000000000001,,1503.9999999999973
2019.02.13,839.9999999999964,619.9999999999983,370.00000000000364,272.00000000000557,160.00000000000458,687.0000000000043,-450.00000000001705,-794.0000000000058,1256.999999999997,237.99999999999378,822.0000000000027,1209.0000000000157,-1344.0000000000118,-904.0000000000106,837.9999999999832,842.0000000000094,2161.0000000000127,-1149.000000000001,-1045.9999999999923,-1577.0000000000123,2.999999999997449,-716.9999999999899,-791.9999999999927,,1545.9999999999895
2019.02.13,848.9999999999886,666.9999999999953,406.00000000001745,168.99999999999693,80.00000000000229,573.9999999999967,-424.00000000000216,-790.9999999999973,1163.000000000003,197.99999999999818,817.9999999999836,1201.0000000000077,-1307.999999999998,-890.0000000000006,837.9999999999832,805.9999999999956,2063.000000000015,-1131.0000000000002,-1040.9999999999968,-1598.0000000000132,-24.999999999997247,-758.9999999999985,-844.9999999999847,,1019.9999999999953
2019.02.13,849.9999999999952,705.0000000000001,475.0000000000032,150.99999999999002,72.0000000000054,577.0000000000052,-409.0000000000149,-731.0000000000039,1172.0000000000064,209.00000000000364,817.9999999999836,1172.0000000000175,-1235.0000000000084,-878.0000000000001,832.9999999999949,778.9999999999964,2043.000000000017,-1131.0000000000002,-998.9999999999952,-1534.000000000006,-30.999999999992145,-676.9999999999943,-778.9999999999964,,1452.0000000000073
2019.02.13,858.9999999999875,722.0000000000005,480.00000000001376,116.99999999998934,36.0000000000027,573.0000000000013,-371.00000000001023,-717.9999999999964,1161.000000000001,212.99999999999653,844.9999999999989,1154.0000000000105,-1225.0000000000093,-885.0000000000051,810.999999999984,703.0000000000092,2053.000000000016,-1131.0000000000002,-1000.9999999999906,-1529.0000000000105,-49.99999999999449,-685.9999999999977,-797.0000000000033,,1333.999999999994
2019.02.13,869.999999999993,750.0000000000063,504.0000000000156,102.00000000000209,11.00000000000545,497.99999999999847,-399.00000000001603,-694.0000000000057,1121.0000000000052,203.99999999999307,829.9999999999841,1172.0000000000175,-1114.9999999999993,-853.9999999999992,841.0000000000028,700.0000000000117,1929.000000000003,-1108.000000000004,-959.9999999999937,-1487.000000000009,-78.99999999999574,-654.9999999999944,-790.0000000000018,,1391.0000000000196
2019.02.13,878.000000000001,739.0000000000008,523.0000000000068,79.99999999999119,-0.999999999995449,536.9999999999986,-391.000000000008,-675.0000000000034,1139.0000000000011,198.99999999999363,813.999999999993,1158.0000000000146,-1139.0000000000011,-896.0000000000008,809.9999999999997,670.9999999999993,1993.0000000000002,-1118.000000000009,-966.9999999999987,-1516.0000000000055,-82.99999999999974,-668.9999999999974,-805.9999999999956,,1279.999999999985
2019.02.13,892.0000000000039,787.0000000000043,534.0000000000123,85.99999999998609,2.000000000002,551.0000000000015,-364.00000000000875,-680.9999999999983,1158.9999999999989,187.9999999999993,800.9999999999877,1174.0000000000084,-1202.000000000014,-865.9999999999997,818.9999999999919,717.9999999999964,2056.000000000013,-1108.000000000004,-956.9999999999936,-1503.0,-85.00000000000173,-686.9999999999932,-827.9999999999843,,1486.0000000000089
2019.02.14,897.9999999999987,771.9999999999949,538.0000000000163,85.99999999998609,7.0000000000014495,524.9999999999977,-381.0000000000091,-692.0000000000038,1160.0000000000055,124.99999999999733,739.0000000000043,1140.0000000000077,-1234.0000000000018,-790.0000000000063,851.0000000000017,761.0000000000117,2130.0000000000095,-1091.0000000000082,-932.0000000000022,-1482.0000000000136,-59.99999999999339,-679.9999999999917,-824.0000000000025,,1565.9999999999998
2019.02.14,869.999999999993,750.0000000000063,554.00000000001,-5.000000000010552,-15.999999999993797,524.0000000000023,-425.0000000000087,-709.0000000000041,1139.0000000000011,90.0000000000012,772.9999999999961,1091.0000000000198,-1170.0000000000043,-797.0000000000113,834.0000000000014,758.9999999999985,2158.0000000000155,-1061.000000000007,-965.999999999994,-1538.000000000011,-75.9999999999983,-739.9999999999962,-861.999999999985,,1177.0000000000205
2019.02.14,870.9999999999995,771.9999999999949,596.0000000000188,42.999999999993044,-12.999999999996348,556.9999999999964,-399.00000000001603,-690.9999999999972,1200.0000000000011,129.9999999999968,790.9999999999968,1115.0000000000216,-1124.9999999999982,-761.0000000000099,883.9999999999959,753.0000000000036,2267.000000000019,-1061.000000000007,-956.9999999999936,-1557.0000000000023,-70.99999999999883,-773.9999999999969,-922.0000000000006,,1648.0000000000218
2019.02.14,892.0000000000039,733.0000000000059,551.0000000000126,34.99999999998504,-1.999999999990898,614.9999999999989,-405.0000000000109,-687.0000000000043,1263.000000000003,153.00000000000313,768.0000000000007,1071.0000000000218,-1073.0000000000127,-737.9999999999995,827.0,741.9999999999982,2332.000000000001,-1017.0000000000101,-911.9999999999919,-1565.0000000000118,-46.00000000000159,-822.9999999999959,-951.9999999999973,,1762.0000000000068
2019.02.14,885.9999999999868,731.000000000015,553.0000000000035,7.999999999985796,-13.999999999991797,622.9999999999958,-401.00000000000693,-700.0000000000006,1258.999999999999,159.9999999999935,725.9999999999991,1019.0000000000143,-1120.0000000000098,-788.0000000000109,800.9999999999851,696.0000000000077,2317.9999999999977,-1046.0000000000064,-954.9999999999983,-1612.000000000009,-48.99999999999905,-859.9999999999941,-990.9999999999864,,1243.9999999999704
2019.02.14,871.9999999999839,707.0000000000132,516.0000000000053,7.999999999985796,-11.999999999989797,650.0000000000061,-409.99999999999926,-709.0000000000041,1280.9999999999989,156.00000000000057,730.9999999999945,998.00000000001,-1152.0000000000198,-760.0000000000051,767.9999999999909,694.0000000000168,2395.999999999998,-1046.999999999997,-947.9999999999933,-1635.000000000005,-31.999999999998696,-887.9999999999999,-991.9999999999928,,1191.999999999999
2019.02.14,869.999999999993,729.0000000000018,531.9999999999991,55.000000000005045,46.00000000000159,648.9999999999995,-392.9999999999989,-756.9999999999966,1266.0000000000005,175.99999999999838,763.9999999999816,1083.0000000000118,-1277.000000000017,-809.0000000000117,808.9999999999931,790.0000000000018,2350.0000000000077,-1072.0000000000027,-1036.9999999999918,-1703.000000000003,4.999999999999449,-914.9999999999991,-942.9999999999827,,1217.9999999999895
2019.02.14,855.9999999999901,724.0000000000135,502.00000000000244,120.99999999999334,127.00000000001043,755.0000000000057,-377.0000000000051,-807.9999999999976,1360.0000000000057,187.9999999999993,824.9999999999886,1130.0000000000089,-1436.9999999999993,-891.0000000000053,853.9999999999992,950.0000000000064,2580.0000000000045,-1149.000000000001,-1138.999999999996,-1783.0000000000014,73.00000000000084,-959.9999999999942,-963.0000000000027,,1538.0000000000264
2019.02.14,851.9999999999861,683.9999999999957,477.0000000000163,123.99999999999079,125.00000000000844,775.0000000000034,-409.99999999999926,-790.9999999999973,1383.000000000001,187.9999999999993,835.9999999999843,1123.0000000000073,-1414.000000000004,-894.0000000000055,822.9999999999959,890.000000000013,2595.999999999998,-1122.0,-1103.999999999999,-1793.0000000000064,62.000000000006494,-993.9999999999949,-1017.0000000000013,,1398.9999999999982
2019.02.14,851.0000000000017,700.0000000000117,473.99999999999665,122.99999999998423,105.00000000001064,761.0000000000006,-390.0000000000015,-787.9999999999998,1360.0000000000057,195.9999999999962,891.9999999999959,1107.0000000000136,-1354.0000000000107,-894.0000000000055,790.9999999999861,815.0000000000101,2515.0000000000005,-1115.9999999999995,-1098.9999999999895,-1797.0000000000114,45.000000000006146,-983.999999999996,-1004.9999999999892,,1308.0000000000173
