date,EURUSD,NZDUSD,EURGBP,empty,sum
2015.05.12,353.99999999998766,-752.9999999999926,-854.9999999999947,,-1253.9999999999995
2015.05.12,377.9999999999894,-744.9999999999957,-807.0000000000022,,-1174.0000000000084
2015.05.12,275.9999999999874,-879.9999999999919,-751.0000000000017,,-1355.0000000000064
2015.05.12,305.9999999999841,-975.9999999999991,-722.9999999999959,,-1393.000000000011
2015.05.12,489.99999999999045,-920.9999999999941,-632.9999999999947,,-1063.9999999999982
2015.05.12,543.999999999989,-973.999999999997,-617.9999999999964,,-1048.0000000000045
2015.05.12,471.9999999999835,-936.999999999999,-687.9999999999998,,-1153.0000000000152
2015.05.12,337.99999999999386,-806.999999999991,-756.9999999999966,,-1225.9999999999936
2015.05.12,372.9999999999789,-785.9999999999978,-836.9999999999989,,-1250.0000000000177
2015.05.12,504.9999999999999,-845.9999999999912,-812.999999999997,,-1153.9999999999884
2015.05.12,358.9999999999982,-866.9999999999956,-936.999999999999,,-1444.9999999999964
2015.05.12,307.99999999999716,-864.9999999999935,-890.0000000000019,,-1446.9999999999982
2015.05.12,219.99999999999798,-839.9999999999964,-908.9999999999932,,-1528.9999999999916
2015.05.12,207.99999999998596,-811.9999999999905,-948.9999999999999,,-1553.0000000000045
2015.05.12,192.99999999999872,-832.9999999999949,-940.9999999999918,,-1580.999999999988
2015.05.12,162.99999999997982,-839.9999999999964,-940.9999999999918,,-1618.0000000000084
2015.05.12,146.99999999998602,-856.9999999999967,-936.999999999999,,-1647.0000000000095
2015.05.12,54.99999999998284,-1005.0000000000003,-962.9999999999916,,-1913.000000000009
2015.05.12,126.99999999998823,-927.0,-952.9999999999927,,-1753.0000000000045
2015.05.13,166.99999999998383,-815.9999999999945,-958.9999999999987,,-1608.0000000000095
2015.05.13,206.99999999997942,-459.99999999999375,-897.9999999999987,,-1151.0000000000132
2015.05.13,162.99999999997982,-597.9999999999985,-900.9999999999962,,-1336.000000000015
2015.05.13,150.99999999999002,-698.9999999999941,-912.0000000000017,,-1460.000000000006
2015.05.13,179.99999999998016,-605.9999999999955,-891.9999999999928,,-1318.0000000000082
