date,GBPCHF,EURGBP,GBPJPY,GBPCAD,empty,sum
2017.08.22,-114.0000000000141,163.00000000000205,-79.00000000000773,-530.0000000000082,,-560.000000000028
2017.08.22,-114.99999999999844,161.00000000000003,-83.00000000002683,-528.0000000000174,,-565.0000000000426
2017.08.22,-146.00000000000168,153.00000000000313,-341.0000000000082,-541.9999999999981,,-876.0000000000048
2017.08.22,-120.00000000000898,168.99999999999693,-302.0000000000209,-519.0000000000028,,-772.0000000000358
2017.08.22,-215.00000000000963,131.99999999999878,-491.00000000001387,-565.9999999999999,,-1140.0000000000246
2017.08.22,-212.99999999999653,153.00000000000313,-504.0000000000191,-574.0000000000078,,-1138.0000000000205
2017.08.22,-131.99999999999878,180.99999999999784,-372.0000000000141,-512.0000000000014,,-835.0000000000164
2017.08.22,-131.99999999999878,180.0000000000024,-315.00000000002615,-491.0000000000192,,-758.0000000000417
2017.08.22,-117.00000000001154,190.00000000000128,-343.00000000001774,-367.0000000000062,,-637.0000000000341
2017.08.22,-110.99999999999443,199.00000000000472,-285.000000000025,-367.0000000000062,,-564.0000000000209
2017.08.22,-79.00000000000685,223.00000000000654,-279.0000000000248,-335.00000000001864,,-470.00000000004377
2017.08.22,-117.00000000001154,219.00000000000253,-262.00000000000045,-358.9999999999982,,-519.0000000000076
2017.08.22,-109.00000000000354,211.00000000000563,-256.0000000000002,-324.9999999999975,,-478.9999999999956
2017.08.22,-188.00000000001037,175.00000000000293,-290.00000000002046,-360.0000000000048,,-663.0000000000327
2017.08.22,-204.00000000000418,165.9999999999995,-268.0000000000007,-352.000000000019,,-658.0000000000243
2017.08.22,-275.000000000003,161.00000000000003,-330.0000000000125,-258.0000000000027,,-702.0000000000182
2017.08.22,-272.00000000000557,153.00000000000313,-368.0000000000234,-259.0000000000092,,-746.000000000035
2017.08.22,-82.00000000000429,245.0000000000063,-124.00000000002365,-180.0000000000024,,-141.00000000002402
2017.08.22,-102.00000000000209,185.99999999999727,-71.00000000002638,-236.99999999999832,,-224.0000000000295
2017.08.22,-136.00000000000279,141.99999999999767,-93.00000000001774,-241.00000000000233,,-328.0000000000252
2017.08.22,-93.99999999999409,170.99999999999892,81.99999999999363,-136.00000000000279,,22.99999999999568
2017.08.22,-34.000000000000696,143.9999999999997,178.99999999997362,-204.00000000000418,,84.99999999996842
2017.08.22,1.0000000000065512,148.99999999999915,219.99999999999886,-121.00000000001555,,248.999999999989
2017.08.22,96.99999999999153,168.99999999999693,346.99999999998,-60.000000000015596,,552.9999999999528
2017.08.22,113.99999999999189,231.0000000000034,173.99999999997817,47.99999999998139,,566.9999999999548
2017.08.22,93.99999999999409,265.0000000000041,119.99999999997613,34.99999999998504,,513.9999999999593
2017.08.22,45.99999999999049,275.99999999999847,159.9999999999966,-15.00000000000945,,466.9999999999761
2017.08.22,72.0000000000054,277.000000000005,199.99999999998863,251.00000000000122,,800.0000000000003
2017.08.22,29.999999999996696,234.99999999999633,285.99999999997294,546.9999999999864,,1097.9999999999523
2017.08.22,-167.00000000000603,207.99999999999707,170.99999999999227,590.999999999986,,802.9999999999693
2017.08.22,-156.00000000000057,231.0000000000034,88.99999999999864,595.9999999999966,,759.9999999999981
2017.08.22,-218.00000000000708,226.00000000000398,53.999999999973625,492.9999999999879,,554.9999999999584
2017.08.22,-208.99999999999253,219.00000000000253,58.9999999999975,385.99999999999744,,455.00000000000495
2017.08.22,-76.99999999999375,219.00000000000253,83.99999999997476,207.99999999998596,,433.99999999996953
2017.08.22,-56.000000000011596,234.99999999999633,101.99999999997544,170.99999999998784,,451.99999999994805
2017.08.22,-126.0000000000039,204.00000000000418,-27.000000000015234,127.99999999999478,,178.99999999997982
2017.08.22,-124.00000000001299,206.00000000000617,-21.000000000015007,137.9999999999937,,198.99999999997186
2017.08.22,-72.0000000000054,246.99999999999721,143.99999999997704,351.99999999999676,,670.9999999999657
2017.08.22,-153.00000000000313,221.00000000000452,80.99999999998886,407.0000000000018,,555.999999999992
2017.08.22,-188.00000000001037,204.00000000000418,56.99999999998795,282.9999999999888,,355.99999999997056
2017.08.22,-180.0000000000024,204.00000000000418,55.999999999983174,309.99999999998806,,389.99999999997306
2017.08.22,-150.00000000000568,221.99999999999997,8.99999999998613,319.0000000000026,,399.99999999998306
2017.08.22,-148.99999999999915,287.9999999999994,9.999999999990905,291.9999999999812,,440.9999999999723
