date,EURUSD,USDCAD,AUDUSD,NZDUSD,AUDCHF,AUDNZD,empty,sum
2019.05.06,339.0000000000004,81.9999999999821,302.0000000000023,28.000000000005798,376.99999999999403,505.99999999998425,,1633.9999999999688
2019.05.06,323.0000000000066,171.99999999999437,324.00000000000205,51.000000000001044,425.99999999999307,493.99999999999443,,1789.9999999999914
2019.05.06,333.0000000000055,207.00000000000162,336.00000000000296,43.999999999999595,431.99999999999903,529.999999999986,,1881.9999999999945
2019.05.06,303.0000000000088,163.9999999999864,317.9999999999961,40.00000000000669,434.000000000001,507.9999999999973,,1766.9999999999964
2019.05.06,299.99999999998914,110.99999999999443,297.00000000000284,17.000000000000348,410.9999999999947,517.9999999999962,,1653.9999999999777
2019.05.06,270.99999999999903,83.9999999999952,224.000000000002,52.000000000007596,341.99999999999784,422.9999999999956,,1395.9999999999973
2019.05.07,235.99999999999176,-14.000000000002899,187.00000000000384,-2.999999999997449,309.99999999999915,327.99999999999494,,1043.9999999999893
2019.05.07,234.00000000000088,-6.000000000017103,211.00000000000563,-19.999999999997797,322.9999999999955,411.99999999999017,,1153.9999999999773
2019.05.07,276.00000000000955,4.999999999988347,224.000000000002,35.00000000000725,331.999999999999,371.99999999999454,,1244.0000000000007
2019.05.07,272.00000000000557,34.000000000000696,221.99999999999997,46.00000000000159,320.9999999999935,350.9999999999902,,1245.9999999999916
2019.05.07,297.9999999999983,29.999999999996696,226.00000000000398,34.000000000000696,319.99999999999807,380.00000000000256,,1288.0000000000002
2019.05.07,300.99999999999574,58.000000000002494,251.00000000000122,29.000000000001247,343.9999999999999,425.99999999999307,,1408.9999999999936
2019.05.07,312.00000000000114,102.00000000000209,268.0000000000016,35.00000000000725,334.00000000000097,443.99999999999994,,1495.000000000013
2019.05.07,289.9999999999903,131.99999999999878,255.00000000000523,14.000000000002899,341.0000000000024,458.9999999999872,,1490.9999999999868
2019.05.07,269.00000000000813,211.99999999998997,251.00000000000122,-3.999999999992898,339.99999999999585,434.9999999999854,,1502.9999999999877
2019.05.07,336.00000000000296,339.0000000000004,351.0000000000013,59.000000000009045,397.99999999999835,526.9999999999886,,2010.000000000001
2019.05.07,333.0000000000055,309.0000000000037,329.00000000000153,39.00000000000014,393.9999999999944,527.9999999999951,,1932.0000000000005
2019.05.07,341.99999999999784,339.0000000000004,334.9999999999964,34.000000000000696,397.99999999999835,540.9999999999915,,1988.999999999985
2019.05.07,360.9999999999891,302.0000000000023,304.9999999999997,13.00000000000745,361.0000000000002,533.99999999999,,1875.9999999999889
2019.05.07,361.9999999999957,322.9999999999844,278.00000000000045,4.000000000004,330.9999999999924,506.9999999999908,,1804.9999999999677
2019.05.07,364.00000000000875,340.9999999999913,297.9999999999983,23.00000000000635,347.9999999999928,449.9999999999948,,1823.999999999992
2019.05.07,425.0000000000087,392.9999999999989,721.000000000005,104.99999999999955,746.9999999999976,1019.9999999999986,,3411.0000000000086
2019.05.07,401.00000000000693,298.9999999999826,668.0000000000019,62.000000000006494,713.9999999999924,1002.9999999999983,,3146.9999999999886
2019.05.07,431.0000000000036,271.99999999998334,680.0000000000028,140.0000000000068,734.0000000000014,895.0000000000014,,3151.9999999999995
2019.05.07,453.99999999999886,340.9999999999913,726.9999999999999,160.00000000000458,766.0,934.9999999999969,,3382.9999999999914
2019.05.07,377.9999999999894,286.99999999999284,655.0000000000056,107.00000000000153,717.000000000001,919.0000000000032,,3062.9999999999936
2019.05.07,408.00000000000836,310.9999999999946,619.0000000000028,82.00000000000429,719.9999999999984,893.9999999999948,,3034.0000000000036
2019.05.07,245.99999999999068,217.99999999998488,575.9999999999987,18.0000000000069,756.9999999999966,932.9999999999839,,2747.999999999962
2019.05.07,249.00000000001032,181.9999999999933,553.0000000000035,28.000000000005798,744.0000000000002,883.9999999999959,,2640.000000000009
2019.05.07,253.99999999999866,115.99999999998278,524.9999999999977,8.000000000008,700.0000000000006,872.9999999999905,,2475.999999999978
2019.05.07,269.00000000000813,119.00000000000244,504.00000000000443,1.0000000000065512,683.0000000000002,856.9999999999967,,2433.0000000000186
2019.05.07,326.9999999999884,119.00000000000244,495.9999999999964,-12.999999999996348,663.999999999998,863.9999999999981,,2456.999999999987
2019.05.07,292.00000000000335,86.99999999999264,497.99999999999847,-34.000000000000696,734.0000000000014,902.0000000000028,,2478.999999999998
2019.05.07,262.00000000000665,-39.00000000001125,480.99999999999807,-81.9999999999932,714.999999999999,956.0000000000013,,2293.0000000000005
2019.05.07,273.9999999999965,-92.00000000000318,505.99999999999534,-100.99999999999554,763.9999999999981,1022.9999999999961,,2373.9999999999873
2019.05.07,119.00000000000244,-168.99999999999693,504.00000000000443,-73.99999999999629,827.0,978.9999999999966,,2186.00000000001
2019.05.07,168.99999999999693,-102.00000000000209,465.9999999999998,-109.99999999999899,778.0000000000009,974.9999999999925,,2175.999999999989
