date,GBPCHF,EURCHF,EURJPY,EURCAD,AUDCAD,NZDCAD,empty,sum
2018.10.15,-428.00000000000614,99.00000000000463,18.000000000000682,-350.9999999999902,-120.99999999999334,-210.99999999999451,,-993.9999999999789
2018.10.15,-383.0,127.99999999999478,-51.00000000001614,-529.0000000000017,-285.9999999999974,-327.99999999999494,,-1449.0000000000155
2018.10.15,-455.99999999998977,204.99999999998852,12.000000000000455,-580.0000000000027,-305.99999999999517,-363.99999999999767,,-1488.9999999999964
2018.10.15,-514.9999999999987,175.99999999999838,60.99999999997863,-493.99999999999443,-285.00000000000193,-404.99999999999983,,-1462.000000000018
2018.10.15,-472.00000000000574,144.99999999999514,158.99999999999181,-461.0000000000003,-336.9999999999984,-451.9999999999969,,-1418.0000000000143
2018.10.15,-412.9999999999967,-12.999999999996348,-51.00000000001614,-588.9999999999951,-385.000000000002,-486.999999999993,,-1937.9999999999993
2018.10.15,-285.99999999998624,-165.9999999999995,-122.0000000000141,-608.9999999999928,-383.0,-467.9999999999906,,-2033.9999999999834
2018.10.15,-153.9999999999875,-103.00000000000864,-159.9999999999966,-680.9999999999983,-365.99999999999966,-479.99999999999153,,-1943.999999999982
2018.10.15,-312.9999999999855,-96.00000000000719,-264.00000000001,-753.0000000000036,-397.0000000000029,-502.9999999999979,,-2326.0000000000073
2018.10.15,-364.9999999999931,-65.00000000000395,-296.99999999999704,-748.9999999999997,-353.99999999999875,-488.999999999995,,-2318.9999999999873
2018.10.15,-390.9999999999858,-66.99999999999484,-350.00000000002274,-748.9999999999997,-348.00000000000387,-483.0000000000001,,-2388.0000000000073
2018.10.15,-404.0000000000044,-51.000000000001044,-268.0000000000007,-702.0000000000026,-400.00000000000034,-519.9999999999983,,-2345.0000000000073
2018.10.15,-309.99999999998806,-39.999999999995595,-394.00000000000546,-812.999999999997,-417.0000000000007,-549.9999999999949,,-2523.999999999982
2018.10.15,-217.99999999998488,-43.999999999999595,-406.0000000000059,-743.9999999999891,-410.9999999999947,-579.9999999999916,,-2402.999999999966
2018.10.15,-190.00000000000128,-102.00000000000209,-274.0000000000009,-959.9999999999831,-600.0000000000006,-756.9999999999966,,-2882.9999999999845
2018.10.15,-72.0000000000054,-137.00000000000932,-135.99999999999568,-1019.9999999999986,-583.0000000000002,-751.9999999999972,,-2700.0000000000064
2018.10.15,-383.0,-83.9999999999952,-187.00000000001182,-664.9999999999823,-425.99999999999307,-597.9999999999985,,-2342.999999999981
2018.10.15,-351.99999999999676,95.00000000000064,-301.00000000001614,-217.0000000000005,-182.99999999999983,-481.9999999999935,,-1440.000000000006
2018.10.15,-473.99999999999665,89.00000000000574,-347.0000000000084,-187.99999999998818,-78.00000000000028,-376.99999999999403,,-1374.9999999999818
2018.10.15,-431.99999999998795,85.00000000000173,-262.00000000000045,-150.99999999999002,-48.000000000003595,-357.99999999999164,,-1165.999999999972
2018.10.15,-513.9999999999923,49.99999999999449,-260.0000000000193,-90.99999999999665,-31.000000000003247,-345.99999999999073,,-1192.0000000000077
2018.10.15,-438.00000000000506,55.99999999998939,-204.00000000000773,-180.0000000000024,-100.99999999999554,-403.99999999999324,,-1271.0000000000146
2018.10.15,-458.9999999999872,65.00000000000395,-123.00000000001887,-225.99999999999287,-159.9999999999935,-456.9999999999963,,-1359.9999999999848
2018.10.15,-463.9999999999977,70.99999999999883,-112.00000000002319,-228.99999999999034,-142.99999999999312,-445.99999999999085,,-1322.9999999999964
2018.10.15,-445.99999999999085,41.000000000002146,-219.0000000000225,-238.99999999998923,-151.00000000000114,-461.99999999999574,,-1475.9999999999973
2018.10.15,-358.9999999999982,-7.0000000000014495,-223.0000000000132,-244.9999999999841,-142.99999999999312,-464.9999999999932,,-1441.9999999999832
2018.10.15,-322.00000000000006,-58.000000000002494,-115.0000000000091,-204.99999999998852,-73.99999999999629,-439.0000000000005,,-1212.999999999997
2018.10.15,-326.0000000000041,-43.999999999999595,-88.00000000002228,-238.99999999998923,-73.99999999999629,-491.99999999999244,,-1263.0000000000039
2018.10.15,-286.99999999999284,-56.99999999999594,-52.00000000002092,-248.99999999998812,-117.00000000000044,-548.9999999999995,,-1310.9999999999977
2018.10.16,-375.9999999999986,-93.00000000000975,-52.99999999999727,-234.00000000000088,-92.99999999999864,-511.9999999999902,,-1360.9999999999955
2018.10.16,-357.99999999999164,-41.000000000002146,-80.0000000000125,-221.99999999998886,-195.9999999999962,-1030.999999999993,,-1927.9999999999843
2018.10.16,-357.99999999999164,-19.00000000001345,-106.99999999999932,-238.99999999998923,-170.00000000000347,-1005.0000000000003,,-1897.9999999999973
2018.10.16,-344.99999999999534,-2.999999999997449,-100.99999999999909,-254.999999999983,-153.99999999999858,-868.9999999999975,,-1726.999999999971
2018.10.16,-331.999999999999,-8.000000000008,-138.00000000000523,-241.99999999998667,-146.99999999999713,-852.9999999999926,,-1719.9999999999886
2018.10.16,-326.9999999999884,1.0000000000065512,-177.00000000002092,-303.9999999999932,-154.99999999999403,-827.9999999999955,,-1789.9999999999854
2018.10.16,-357.99999999999164,4.999999999988347,-225.9999999999991,-304.9999999999997,-168.00000000000148,-813.9999999999925,,-1865.9999999999961
2018.10.16,-380.00000000000256,28.000000000005798,-284.00000000002024,-305.9999999999841,-146.00000000000168,-867.999999999991,,-1955.9999999999936
2018.10.16,-339.0000000000004,24.000000000001798,-334.0000000000032,-278.00000000000045,-151.00000000000114,-822.0000000000005,,-1900.0000000000039
2018.10.16,-373.99999999998545,34.000000000000696,-389.00000000001,-235.99999999999176,-107.99999999999699,-781.9999999999939,,-1854.9999999999775
2018.10.16,-400.00000000000034,72.99999999998974,-439.0000000000214,-197.00000000000273,-115.99999999999389,-744.0000000000002,,-1823.0000000000289
2018.10.16,-394.9999999999898,55.000000000005045,-356.00000000002296,-214.99999999998744,-105.99999999999498,-756.9999999999966,,-1773.9999999999868
2018.10.16,-414.00000000000324,21.999999999988695,-252.00000000000955,-177.99999999998929,-87.00000000000374,-790.9999999999973,,-1700.0000000000146
2018.10.16,-438.9999999999894,25.999999999992696,-237.99999999999955,-190.99999999998562,-66.99999999999484,-788.9999999999952,,-1697.9999999999718
2018.10.16,-441.0000000000025,96.00000000000719,-237.0000000000232,-194.99999999998963,-56.99999999999594,-748.9999999999997,,-1583.0000000000036
2018.10.16,-449.9999999999948,96.00000000000719,-294.00000000001114,-224.000000000002,-87.99999999999919,-772.9999999999903,,-1732.9999999999902
2018.10.16,-536.0000000000032,100.99999999999554,-311.00000000000705,-192.99999999999872,-34.000000000000696,-725.9999999999933,,-1699.0000000000073
2018.10.16,-614.0000000000034,131.99999999999878,-361.0000000000184,-160.99999999998892,9.999999999998899,-718.9999999999918,,-1713.000000000005
2018.10.16,-656.9999999999965,144.99999999999514,-373.0000000000189,-227.99999999998377,29.999999999996696,-709.9999999999995,,-1793.000000000007
2018.10.16,-736.0000000000033,107.99999999999699,-389.00000000001,-225.99999999999287,72.0000000000054,-668.9999999999974,,-1840.0000000000014
2018.10.16,-805.9999999999956,43.999999999999595,-591.0000000000082,-358.9999999999982,34.99999999999615,-724.9999999999978,,-2402.000000000004
2018.10.16,-774.9999999999924,87.99999999999919,-665.9999999999968,-365.99999999999966,33.000000000005244,-739.0000000000008,,-2424.999999999985
2018.10.16,-835.9999999999923,160.99999999998892,-623.0000000000189,-342.9999999999822,4.000000000004,-816.99999999999,,-2453.9999999999905
2018.10.16,-1008.9999999999932,104.99999999999955,-617.0000000000186,-259.9999999999936,26.999999999999247,-780.9999999999984,,-2535.000000000005
2018.10.16,-905.0000000000002,35.999999999991594,-526.0000000000105,-168.99999999999693,118.00000000000699,-733.9999999999902,,-2179.999999999999
2018.10.16,-1025.9999999999936,66.99999999999484,-370.00000000000455,-8.999999999992347,99.00000000000463,-759.999999999994,,-1998.999999999985
2018.10.16,-1214.9999999999884,52.99999999999194,-379.0000000000191,1.0000000000065512,102.99999999999754,-747.9999999999931,,-2185.0000000000045
2018.10.16,-1224.9999999999873,42.999999999993044,-367.00000000001864,8.000000000008,112.000000000001,-748.9999999999997,,-2178.0000000000036
2018.10.16,-1093.999999999995,38.99999999998904,-414.0000000000157,16.000000000016,121.99999999999989,-748.9999999999997,,-2080.0000000000055
2018.10.16,-1102.000000000003,52.99999999999194,-451.0000000000218,17.000000000000348,128.00000000000588,-694.9999999999901,,-2050.0000000000164
