date,USDCAD,AUDUSD,NZDUSD,GBPJPY,EURJPY,CADJPY,NZDJPY,AUDCAD,empty,sum
2019.01.14,-337.0000000000095,-204.99999999999963,-90.0000000000012,-626.0000000000048,-429.00000000000205,-402.000000000001,-355.000000000004,-118.99999999999133,,-2563.0000000000136
2019.01.14,-226.00000000001506,-185.99999999999727,-76.99999999999375,-479.99999999998977,-423.0000000000018,-313.99999999999295,-308.9999999999975,-145.9999999999906,,-2160.9999999999786
2019.01.14,-278.00000000000045,-186.99999999999272,-78.99999999999574,-534.9999999999966,-419.00000000001114,-310.99999999999284,-281.0000000000059,-108.99999999999244,,-2198.9999999999877
2019.01.14,-260.0000000000158,-194.99999999998963,-49.99999999999449,-584.9999999999795,-446.00000000001216,-351.99999999998965,-313.0000000000024,-139.00000000000023,,-2339.9999999999836
2019.01.14,-180.0000000000024,-144.99999999999514,-36.0000000000027,-463.99999999999864,-306.0000000000116,-238.9999999999901,-207.9999999999984,-135.99999999999167,,-1713.9999999999905
2019.01.14,-133.00000000000534,-142.99999999999312,-43.999999999999595,-224.99999999999432,-211.00000000001273,-143.00000000000068,-177.99999999999727,-156.99999999999602,,-1233.999999999999
2019.01.14,-247.00000000001944,-144.99999999999514,-25.999999999992696,-1.999999999981128,-166.00000000001103,-231.99999999999932,-162.9999999999967,-64.99999999999284,,-1045.9999999999882
2019.01.14,-301.0000000000179,-137.9999999999937,9.999999999998899,-225.9999999999991,-124.00000000000944,-286.00000000000136,-135.99999999999568,-51.99999999999649,,-1253.000000000015
2019.01.14,-295.0000000000008,-124.99999999999733,21.999999999999797,-278.99999999999636,-176.00000000000193,-292.0000000000016,-150.00000000000568,-6.999999999990347,,-1301.9999999999943
2019.01.14,-239.00000000001143,-87.99999999999919,-15.999999999993797,-70.99999999999795,-203.00000000000296,-274.9999999999915,-203.00000000000296,1.0000000000065512,,-1093.9999999999932
2019.01.14,-164.00000000000858,-52.99999999999194,24.999999999997247,-8.99999999998613,-210.00000000000796,-230.99999999999454,-171.00000000000648,-9.999999999998899,,-822.9999999999973
2019.01.14,-151.00000000001222,-80.99999999999774,21.00000000000435,-126.99999999998113,-206.00000000000307,-188.99999999999295,-150.00000000000568,-45.99999999999049,,-928.9999999999789
2019.01.14,-194.0000000000053,-112.99999999999643,7.0000000000014495,-298.9999999999782,-269.00000000000546,-256.9999999999908,-203.00000000000296,-65.99999999999939,,-1393.9999999999768
2019.01.14,-196.0000000000184,-112.99999999999643,-25.999999999992696,-228.999999999985,-272.00000000000557,-238.9999999999901,-212.0000000000033,-78.99999999999574,,-1365.999999999987
2019.01.14,-204.00000000000418,-124.99999999999733,-31.000000000003247,-329.9999999999841,-266.00000000000534,-228.9999999999992,-210.99999999999852,-78.99999999999574,,-1474.9999999999875
2019.01.14,-267.0000000000172,-140.99999999999113,-54.999999999993946,-294.9999999999875,-275.0000000000057,-290.9999999999968,-257.000000000005,-62.99999999999084,,-1643.9999999999882
2019.01.14,-270.00000000001467,-126.99999999999933,-56.99999999999594,-260.9999999999957,-289.0000000000015,-311.9999999999976,-250.0,-30.999999999992145,,-1596.9999999999968
2019.01.14,-339.0000000000004,-144.99999999999514,-41.9999999999976,-319.9999999999932,-288.0000000000109,-349.9999999999943,-259.00000000000034,-21.999999999999797,,-1764.9999999999916
2019.01.15,-339.0000000000004,-154.99999999999403,-165.9999999999995,-442.99999999998363,-314.00000000000716,-365.99999999999966,-384.00000000000034,-27.999999999994696,,-2194.999999999979
2019.01.15,-312.00000000000114,-188.9999999999947,-92.00000000000318,-382.000000000005,-318.00000000001205,-354.99999999998977,-347.999999999999,-67.9999999999903,,-2063.9999999999955
2019.01.15,-313.00000000000773,-178.99999999999582,-51.99999999999649,-288.99999999998727,-305.0000000000068,-339.9999999999892,-269.999999999996,-57.99999999999139,,-1805.9999999999704
2019.01.15,-274.00000000001864,-131.99999999999878,-14.999999999998348,-99.99999999999432,-221.00000000000364,-293.99999999999693,-204.9999999999983,-19.999999999997797,,-1261.0000000000064
2019.01.15,-275.000000000003,-102.99999999999754,-0.999999999995449,-132.99999999998136,-196.00000000001216,-283.9999999999918,-171.99999999999704,15.00000000000945,,-1148.9999999999688
2019.01.15,-190.00000000000128,-31.999999999998696,38.0000000000047,118.99999999999977,-37.00000000000614,-134.00000000000034,-43.99999999999693,48.000000000003595,,-231.99999999999534
2019.01.15,-194.0000000000053,-43.999999999999595,45.000000000006146,135.00000000001933,-4.0000000000048885,-135.99999999999568,-12.000000000000455,39.00000000000014,,-170.9999999999803
2019.01.15,-156.00000000000057,21.00000000000435,90.0000000000012,381.0000000000002,115.99999999999966,-73.99999999999807,63.99999999999295,103.00000000000864,,545.0000000000084
2019.01.15,-195.00000000001182,17.000000000000348,84.0000000000063,368.9999999999998,177.99999999999727,-73.99999999999807,69.00000000000261,124.00000000000189,,571.9999999999983
2019.01.15,-205.00000000001074,-12.999999999996348,46.999999999997044,367.999999999995,186.9999999999976,-70.99999999999795,30.000000000001137,93.00000000000975,,435.99999999999545
2019.01.15,-207.00000000000162,18.0000000000069,75.9999999999983,439.0000000000214,220.99999999998943,-37.9999999999967,84.99999999999375,131.00000000000333,,725.0000000000147
2019.01.15,-189.00000000001694,11.00000000000545,107.00000000000153,516.0000000000196,277.9999999999916,4.0000000000048885,146.0000000000008,106.00000000000608,,979.000000000013
2019.01.15,-192.00000000001438,-22.999999999995246,106.00000000000608,501.0000000000048,264.99999999998636,7.000000000005002,150.00000000000568,67.00000000000594,,881.0000000000042
2019.01.15,-177.00000000000495,5.000000000010552,119.00000000000244,504.0000000000191,263.9999999999958,21.000000000000796,171.99999999999704,94.00000000000519,,1002.000000000026
2019.01.15,-180.0000000000024,11.00000000000545,134.0000000000008,587.0000000000175,283.9999999999918,39.00000000000148,206.00000000000307,94.00000000000519,,1175.000000000023
2019.01.15,-165.9999999999995,22.0000000000109,145.00000000000622,848.0000000000132,415.9999999999968,152.00000000000102,316.99999999999307,111.00000000000554,,1845.0000000000273
