date,GBPCHF,empty,sum
2019.05.15,-1181.999999999994,,-1181.999999999994
2019.05.15,-1143.9999999999895,,-1143.9999999999895
2019.05.15,-1149.0,,-1149.0
2019.05.15,-1147.000000000009,,-1147.000000000009
2019.05.15,-1114.9999999999993,,-1114.9999999999993
2019.05.15,-1110.9999999999952,,-1110.9999999999952
2019.05.15,-1110.9999999999952,,-1110.9999999999952
2019.05.15,-1134.999999999997,,-1134.999999999997
2019.05.15,-1180.9999999999877,,-1180.9999999999877
2019.05.15,-1123.0000000000073,,-1123.0000000000073
2019.05.15,-1387.9999999999893,,-1387.9999999999893
2019.05.15,-1333.0000000000064,,-1333.0000000000064
2019.05.15,-1431.0000000000045,,-1431.0000000000045
2019.05.15,-1502.9999999999877,,-1502.9999999999877
2019.05.15,-1411.9999999999911,,-1411.9999999999911
