date,EURUSD,USDJPY,CHFJPY,NZDCHF,GBPJPY,EURAUD,NZDJPY,AUDCAD,empty,sum
2018.10.08,578.0000000000118,665.9999999999968,736.9999999999948,235.99999999999176,1646.9999999999914,924.9999999999981,-341.99999999999875,436.00000000000307,,4882.999999999988
2018.10.08,485.0000000000021,546.999999999997,621.9999999999999,264.999999999993,1450.9999999999934,943.9999999999893,-234.00000000000887,426.00000000000415,,4505.99999999997
2018.10.08,363.0000000000022,625.0,584.0000000000032,225.99999999999287,1378.0000000000143,907.9999999999977,-251.00000000000477,465.9999999999998,,4299.0000000000055
2018.10.08,469.0000000000083,676.0000000000019,628.9999999999907,120.99999999999334,1421.999999999997,927.9999999999955,-403.0000000000058,369.0000000000082,,4210.999999999989
2018.10.08,462.0000000000068,656.9999999999965,679.000000000002,164.99999999999292,1578.000000000003,813.9999999999814,-383.0000000000098,309.99999999999915,,4281.999999999971
2018.10.08,445.0000000000065,725.9999999999991,723.9999999999895,126.99999999999933,1629.9999999999955,773.9999999999858,-453.00000000000296,348.00000000000387,,4320.999999999976
2018.10.08,445.0000000000065,759.0000000000003,780.0000000000011,181.9999999999933,1597.0000000000084,890.9999999999974,-427.0000000000067,365.0000000000042,,4592.0000000000055
2018.10.08,412.00000000001234,837.0000000000033,823.9999999999981,163.00000000000205,1600.999999999999,791.9999999999927,-480.000000000004,329.00000000000153,,4478.0000000000055
2018.10.08,428.00000000000614,909.9999999999966,872.9999999999905,168.00000000000148,1703.000000000003,846.9999999999977,-502.00000000000955,323.0000000000066,,4749.999999999992
2018.10.08,314.99999999999864,954.0000000000077,835.9999999999985,151.00000000000114,1527.9999999999916,863.9999999999981,-500.0,380.999999999998,,4528.9999999999945
2018.10.08,297.9999999999983,834.0000000000032,721.0000000000036,178.99999999999582,1382.000000000005,951.9999999999973,-387.00000000000045,397.0000000000029,,4376.000000000006
2018.10.08,323.0000000000066,796.0000000000065,731.9999999999993,207.00000000000162,1344.9999999999989,963.999999999987,-368.0000000000092,431.99999999999903,,4430.99999999999
2018.10.08,279.99999999999136,772.9999999999961,676.0000000000019,187.9999999999993,1310.0000000000023,853.9999999999992,-352.00000000000387,369.0000000000082,,4097.9999999999945
2018.10.08,246.99999999999721,683.0000000000069,557.9999999999927,190.99999999999673,1153.9999999999964,910.9999999999951,-273.00000000001035,391.000000000008,,3861.9999999999827
2018.10.08,276.00000000000955,605.000000000004,487.99999999999955,186.99999999999272,1087.0000000000175,912.0000000000017,-230.00000000000398,401.00000000000693,,3726.000000000028
2018.10.08,297.9999999999983,555.0000000000068,503.0000000000001,35.999999999991594,1070.999999999998,936.9999999999878,-273.00000000001035,402.00000000000233,,3528.999999999974
2018.10.09,292.00000000000335,581.0000000000031,521.9999999999914,179.99999999999127,1068.000000000012,885.9999999999868,-237.00000000000898,380.999999999998,,3672.999999999977
2018.10.09,295.0000000000008,608.0000000000041,554.000000000002,169.99999999999238,1088.9999999999986,925.9999999999824,-261.0000000000099,363.0000000000022,,3743.9999999999723
2018.10.09,280.9999999999979,614.0000000000043,543.9999999999969,209.9999999999991,1103.0000000000086,939.0000000000009,-236.0000000000042,397.99999999999835,,3853.000000000002
2018.10.09,285.00000000000193,644.999999999996,542.9999999999922,147.99999999999258,1156.000000000006,798.9999999999942,-310.0000000000023,333.0000000000055,,3598.9999999999854
2018.10.09,292.00000000000335,689.9999999999977,609.9999999999994,186.99999999999272,1194.9999999999932,858.9999999999875,-314.00000000000716,375.9999999999986,,3894.999999999965
2018.10.09,268.0000000000016,662.9999999999967,558.9999999999975,166.99999999999494,1162.0000000000061,719.9999999999873,-302.0000000000067,302.9999999999977,,3539.9999999999754
2018.10.09,296.0000000000074,780.0000000000011,691.0000000000025,159.9999999999935,1325.9999999999934,801.9999999999916,-392.0000000000101,355.0000000000053,,4017.9999999999854
2018.10.09,320.00000000000915,730.000000000004,670.0000000000017,186.99999999999272,1307.0000000000164,970.9999999999885,-353.9999999999992,450.00000000000597,,4281.00000000002
2018.10.09,290.9999999999968,745.0000000000045,662.9999999999967,196.99999999999162,1271.000000000015,981.999999999994,-335.9999999999985,496.00000000000756,,4309.000000000007
2018.10.09,354.9999999999942,783.0000000000013,739.9999999999949,198.99999999999363,1356.9999999999993,1058.9999999999877,-384.00000000000034,497.99999999999847,,4606.999999999969
2018.10.09,280.9999999999979,587.0000000000033,490.99999999999966,231.99999999999886,1063.0000000000166,1167.9999999999914,-185.00000000000227,565.0000000000044,,4202.00000000001
2018.10.09,286.99999999999284,638.9999999999958,560.9999999999928,190.99999999999673,1114.0000000000043,1095.0000000000016,-274.0000000000009,530.0000000000082,,4142.999999999992
2018.10.09,309.0000000000037,632.000000000005,576.9999999999982,174.99999999999181,1120.0000000000045,1136.999999999988,-304.00000000000205,545.0000000000066,,4190.999999999995
2018.10.09,307.00000000001285,676.0000000000019,632.9999999999956,173.00000000000094,1182.9999999999927,1071.999999999984,-344.0000000000083,523.0000000000068,,4222.999999999987
2018.10.09,235.99999999999176,745.9999999999951,632.9999999999956,212.99999999999653,1173.0000000000018,1083.9999999999961,-298.0000000000018,531.9999999999991,,4318.9999999999745
2018.10.09,226.99999999999943,719.9999999999989,625.9999999999906,215.99999999999397,1093.0000000000177,1048.9999999999889,-293.00000000000637,499.000000000005,,4136.999999999987
2018.10.09,239.99999999999577,686.000000000007,613.9999999999901,203.99999999999307,1084.0000000000032,1051.0000000000018,-298.0000000000018,509.9999999999993,,4090.999999999988
2018.10.09,252.99999999999213,677.0000000000067,605.9999999999945,176.99999999999383,1120.0000000000045,934.9999999999969,-325.00000000000284,458.00000000000284,,3900.9999999999886
2018.10.09,479.99999999999153,623.9999999999952,691.0000000000025,178.00000000000037,1271.000000000015,1080.9999999999986,-375.0,436.9999999999985,,4387.000000000002
2018.10.09,463.9999999999977,507.000000000005,569.9999999999932,100.00000000000009,1123.9999999999952,1012.9999999999973,-388.00000000000523,400.00000000000034,,3789.999999999983
