date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPCHF,CHFJPY,CADCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURAUD,EURNZD,AUDJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2018.06.27,-618.9999999999918,-872.0000000000061,548.9999999999995,-501.99999999999534,-312.9999999999855,-624.9999999999977,-1024.9999999999982,83.9999999999952,19.99999999999602,337.99999999999386,612.0000000000015,-219.00000000000253,-294.00000000001114,-763.0000000000026,-451.0000000000014,693.9999999999947,2018.999999999993,313.0000000000024,-804.9999999999926,-612.0000000000015,-1150.999999999991,-855.9999999999901,,-4477.999999999992
2018.06.27,-739.9999999999962,-930.0000000000086,560.9999999999893,-554.000000000002,-275.000000000003,-524.9999999999977,-914.9999999999991,-18.0000000000069,-69.00000000000261,445.99999999999085,421.0000000000047,-248.00000000000378,-286.00000000000136,-886.000000000009,-128.000000000017,463.0000000000134,1729.0000000000027,164.00000000000148,-646.9999999999914,-509.00000000000387,-1025.9999999999936,-828.0000000000065,,-4800.00000000004
2018.06.27,-722.9999999999959,-939.0000000000009,612.9999999999969,-512.999999999991,-278.00000000000045,-527.9999999999951,-1019.9999999999986,13.999999999980695,-85.99999999999852,435.9999999999919,535.0000000000077,-215.99999999999397,-354.99999999998977,-897.9999999999987,-125.00000000001954,400.00000000000034,1910.0000000000116,197.00000000000273,-790.9999999999968,-507.9999999999973,-1164.9999999999939,-990.000000000002,,-5029.99999999998
2018.06.27,-747.9999999999931,-1027.0000000000002,695.0000000000011,-625.0,-219.99999999999798,-579.9999999999916,-1039.9999999999966,69.9999999999923,0.999999999990564,484.999999999991,539.0000000000006,-212.99999999999653,-301.9999999999925,-1092.000000000004,-137.00000000000932,397.0000000000029,1836.9999999999998,171.00000000000648,-734.9999999999994,-619.9999999999983,-1230.9999999999932,-943.000000000005,,-5317.999999999993
2018.06.27,-751.0000000000017,-1029.0000000000132,703.9999999999935,-472.999999999999,-343.99999999998875,-668.9999999999974,-1097.999999999999,64.99999999998174,-154.00000000001057,422.00000000000017,589.0000000000061,-207.99999999999707,-506.0000000000002,-931.0000000000151,-341.00000000001353,578.0000000000118,1973.0000000000025,383.0000000000098,-902.000000000001,-646.9999999999976,-1223.9999999999918,-903.9999999999937,,-5467.000000000015
2018.06.27,-864.9999999999935,-1110.000000000011,760.9999999999894,-485.99999999999,-336.9999999999873,-662.9999999999914,-1087.0000000000045,-7.0000000000014495,-272.00000000000557,509.9999999999993,504.9999999999999,-217.99999999999596,-574.9999999999886,-1045.000000000007,-225.00000000000853,487.99999999999955,1861.0000000000016,367.00000000000443,-884.0000000000003,-645.0000000000067,-1214.9999999999993,-897.9999999999987,,-6039.999999999995
2018.06.27,-873.999999999997,-1065.0000000000048,804.9999999999891,-525.9999999999962,-418.9999999999916,-719.9999999999984,-1124.9999999999982,-59.000000000009045,-240.99999999999966,470.9999999999992,535.0000000000077,-156.00000000000057,-475.9999999999991,-880.0000000000141,-416.00000000001637,547.0000000000086,1890.9999999999982,399.0000000000009,-897.9999999999961,-658.0000000000031,-1206.9999999999914,-872.9999999999905,,-5945.000000000002
2018.06.27,-861.0000000000007,-1090.0000000000132,808.0000000000088,-489.9999999999949,-441.99999999998687,-774.9999999999924,-1137.9999999999945,-18.0000000000069,-262.00000000000045,445.99999999999085,560.0000000000049,-168.00000000000148,-549.999999999983,-882.000000000005,-517.0000000000119,658.0000000000031,1920.999999999995,486.0000000000042,-936.9999999999976,-714.0000000000035,-1211.999999999991,-815.9999999999945,,-5992.999999999971
2018.06.27,-795.0000000000013,-1035.9999999999925,778.9999999999964,-369.99999999999034,-431.99999999998795,-771.9999999999949,-1117.0000000000014,17.000000000000348,-311.00000000000705,402.9999999999978,583.0000000000002,-156.99999999999602,-649.0000000000009,-825.0000000000091,-581.0000000000093,696.999999999992,1907.9999999999986,573.0000000000075,-993.9999999999998,-719.000000000003,-1189.9999999999911,-781.0000000000094,,-5768.999999999999
2018.06.27,-902.9999999999983,-1117.0000000000125,964.0000000000093,-393.99999999999125,-436.9999999999985,-836.9999999999989,-1164.9999999999939,-43.999999999999595,-404.0000000000106,478.9999999999961,558.000000000003,-70.99999999999883,-709.0000000000032,-925.0000000000202,-629.0000000000128,585.0000000000133,1757.999999999993,626.0000000000048,-1028.9999999999964,-802.9999999999982,-1247.9999999999936,-764.0000000000091,,-6509.0000000000155
