date,USDCHF,EURUSD,USDJPY,NZDUSD,GBPCHF,AUDCHF,GBPJPY,GBPCAD,EURCAD,EURNZD,CADJPY,AUDJPY,NZDCAD,empty,sum
2021.07.06,294.00000000000534,-89.99999999999008,144.99999999999602,602.999999999998,676.0000000000099,853.9999999999992,158.00000000001546,1263.9999999999984,507.9999999999973,1113.9999999999927,122.99999999999045,564.9999999999977,-1056.9999999999968,,5157.000000000015
2021.07.06,338.00000000000495,-122.99999999998423,155.9999999999917,632.9999999999947,748.9999999999997,944.0000000000003,156.0000000000059,1207.0000000000025,415.0000000000098,1227.0000000000002,98.99999999998954,626.9999999999953,-1061.9999999999964,,5366.000000000014
2021.07.06,385.000000000002,-180.0000000000024,143.00000000000068,608.9999999999928,712.0000000000015,929.9999999999975,45.99999999999227,1302.0000000000032,537.9999999999941,1245.0000000000073,205.99999999998886,570.999999999998,-1149.0,,5357.999999999976
2021.07.06,363.99999999999767,-173.99999999998528,149.99999999999147,621.9999999999892,690.0000000000128,955.0000000000058,50.00000000001137,1285.0000000000027,523.0000000000068,1272.0000000000064,196.99999999998852,615.9999999999997,-1154.999999999995,,5395.000000000033
2021.07.06,304.00000000000426,-156.00000000000057,191.0000000000025,681.9999999999937,621.0000000000049,921.0000000000051,3.0000000000143245,1319.0000000000034,561.0000000000115,1384.9999999999918,242.999999999995,600.9999999999991,-1237.9999999999948,,5437.000000000032
2021.07.06,292.00000000000335,-178.99999999999582,245.9999999999951,642.9999999999936,607.0000000000019,866.0000000000001,-63.99999999999295,1289.0000000000068,497.99999999999847,1326.000000000005,265.00000000000057,504.99999999999545,-1168.0000000000023,,5126.000000000011
2021.07.06,260.00000000000466,-113.99999999999189,286.9999999999919,730.9999999999927,651.0000000000016,897.0000000000033,-12.000000000000455,1314.0000000000152,496.99999999999187,1442.00000000001,246.9999999999999,542.0000000000016,-1227.9999999999957,,5514.0000000000255
2021.07.06,301.0000000000068,-173.00000000000094,292.0000000000016,672.9999999999902,687.0000000000153,870.0000000000041,-46.999999999997044,1456.9999999999973,574.9999999999922,1394.0000000000064,340.999999999994,468.0000000000035,-1246.9999999999982,,5591.000000000015
2021.07.06,292.00000000000335,-168.99999999999693,284.9999999999966,692.9999999999992,787.0000000000043,873.999999999997,100.99999999999909,1671.0000000000002,628.0000000000064,1435.0000000000084,370.9999999999951,483.99999999999466,-1297.0000000000036,,6155.000000000004
2021.07.06,362.00000000000676,-214.00000000000307,230.00000000000398,615.9999999999943,829.0000000000131,839.0000000000009,106.99999999999932,1780.0000000000039,734.0000000000124,1323.0000000000075,418.99999999999693,424.99999999999716,-1303.999999999994,,6146.00000000004
