date,USDCHF,USDJPY,USDCAD,AUDUSD,CADCHF,EURJPY,AUDJPY,empty,sum
2020.11.09,1336.0000000000039,2086.999999999989,-743.0000000000048,-221.99999999999997,1497.9999999999993,1769.999999999996,-1763.999999999996,,3961.9999999999877
2020.11.09,1478.0000000000016,2224.9999999999945,-707.0000000000132,-95.00000000000064,1541.9999999999989,1845.9999999999895,-1765.0000000000005,,4523.999999999971
2020.11.09,1436.0000000000039,2081.9999999999936,-772.0000000000172,-174.00000000000747,1561.0000000000014,1751.9999999999955,-1745.0000000000045,,4139.999999999965
2020.11.09,1438.000000000006,2105.9999999999945,-791.0000000000084,-177.00000000000495,1551.9999999999977,1797.9999999999877,-1760.9999999999957,,4164.999999999977
2020.11.09,1407.9999999999982,2110.99999999999,-677.0000000000165,-119.00000000000244,1519.0000000000036,1774.000000000001,-1718.0000000000036,,4297.99999999997
2020.11.09,1499.000000000006,2185.9999999999927,-540.0000000000072,-27.00000000001035,1502.0000000000034,1800.9999999999877,-1677.9999999999973,,4742.999999999975
2020.11.09,1446.9999999999982,2077.9999999999886,-547.0000000000086,-91.00000000000774,1465.0000000000052,1799.9999999999973,-1670.0000000000018,,4481.999999999971
2020.11.09,1446.9999999999982,2081.9999999999936,-573.0000000000013,-196.00000000000728,1449.0000000000002,1840.999999999994,-1754.000000000005,,4295.999999999973
2020.11.09,1458.0000000000036,2072.999999999993,-619.000000000014,-247.00000000000833,1509.0000000000048,1897.9999999999961,-1817.9999999999977,,4253.999999999978
2020.11.09,1531.0000000000045,1993.9999999999998,-506.0000000000064,-219.00000000000253,1456.0000000000018,1667.0000000000016,-1762.0000000000005,,4160.999999999998
2020.11.09,1583.0000000000011,2050.9999999999877,-314.99999999999864,-76.0000000000094,1414.000000000004,1669.9999999999875,-1593.999999999994,,4732.999999999978
2020.11.09,1463.0000000000032,2059.999999999988,-322.00000000000006,-75.00000000000284,1385.9999999999984,1676.9999999999925,-1605.000000000004,,4583.999999999976
2020.11.10,1429.0000000000025,1991.9999999999902,-422.00000000001125,-67.00000000000594,1324.9999999999984,1604.9999999999898,-1608.9999999999945,,4252.999999999969
2020.11.10,1501.000000000008,1948.9999999999982,-382.0000000000157,-17.000000000000348,1356.0000000000016,1578.9999999999936,-1484.9999999999995,,4500.999999999985
2020.11.10,1516.0000000000061,1923.9999999999923,-375.0000000000142,-78.00000000000028,1444.000000000001,1601.9999999999895,-1507.000000000005,,4525.999999999969
2020.11.10,1480.999999999999,1783.9999999999918,-385.00000000001313,-109.00000000000354,1395.0000000000018,1490.9999999999995,-1522.9999999999961,,4133.99999999998
2020.11.10,1506.0000000000073,1798.9999999999923,-351.0000000000124,-118.00000000000699,1405.0000000000007,1343.999999999994,-1558.9999999999975,,4025.9999999999773
2020.11.10,1560.000000000006,1815.9999999999882,-241.00000000000233,-47.00000000000814,1397.9999999999993,1366.9999999999902,-1450.9999999999934,,4401.999999999979
2020.11.10,1483.000000000001,1625.0,-329.00000000000153,-94.00000000000519,1392.9999999999998,1262.0000000000005,-1436.9999999999977,,3902.999999999997
2020.11.10,1458.0000000000036,1615.9999999999995,-329.00000000000153,-69.00000000000794,1367.000000000007,1280.9999999999918,-1298.0000000000018,,4025.999999999991
2020.11.10,1390.9999999999977,1541.9999999999873,-399.00000000001603,-128.00000000000588,1339.9999999999968,1307.9999999999927,-1301.0000000000018,,3752.999999999951
2020.11.10,1394.0000000000064,1549.9999999999973,-358.00000000001387,-138.00000000000477,1317.999999999997,1268.9999999999914,-1320.999999999998,,3713.9999999999764
2020.11.10,1423.0000000000075,1523.9999999999868,-323.0000000000066,-100.00000000000009,1331.0000000000043,1224.9999999999943,-1281.9999999999964,,3797.999999999991
2020.11.10,1424.000000000003,1543.9999999999968,-322.00000000000006,-59.000000000009045,1324.9999999999984,1218.999999999994,-1269.999999999996,,3860.9999999999877
2020.11.10,1412.9999999999975,1641.999999999996,-340.00000000000693,-109.00000000000354,1329.999999999998,1406.9999999999964,-1337.0000000000032,,4005.999999999974
2020.11.10,1427.0000000000005,1615.9999999999995,-364.00000000000875,-107.00000000000153,1365.000000000005,1412.9999999999968,-1344.9999999999989,,4004.9999999999927
2020.11.10,1426.000000000005,1628.9999999999907,-382.0000000000157,-131.00000000000333,1375.000000000004,1402.000000000001,-1343.999999999994,,3974.9999999999877
2020.11.10,1429.0000000000025,1611.9999999999948,-373.00000000000114,-129.00000000000134,1367.000000000007,1360.99999999999,-1356.9999999999993,,3909.9999999999927
2020.11.10,1471.0,1652.9999999999916,-346.0000000000019,-104.00000000000409,1370.0000000000045,1396.000000000001,-1343.999999999994,,4095.999999999997
2020.11.10,1536.000000000004,1695.999999999998,-358.00000000001387,-114.00000000000298,1402.0000000000032,1394.999999999996,-1438.0000000000023,,4118.999999999982
2020.11.10,1495.0000000000018,1753.0,-390.0000000000015,-177.00000000000495,1439.0000000000014,1506.0000000000002,-1507.000000000005,,4118.999999999991
2020.11.10,1475.000000000004,1698.9999999999982,-399.00000000001603,-182.99999999999983,1327.0000000000005,1323.9999999999982,-1477.9999999999945,,3764.999999999991
2020.11.10,1484.0000000000075,1668.9999999999968,-322.00000000000006,-143.9999999999997,1328.000000000007,1355.9999999999945,-1438.999999999993,,3932.0000000000136
2020.11.10,1475.000000000004,1688.999999999993,-273.9999999999965,-135.00000000000733,1339.0000000000014,1486.9999999999948,-1438.0000000000023,,4142.999999999987
2020.11.10,1443.0000000000055,1740.9999999999995,-391.000000000008,-193.00000000000983,1361.0000000000011,1560.9999999999927,-1566.9999999999932,,3954.9999999999877
