date,USDCHF,USDJPY,GBPCHF,EURGBP,EURCAD,AUDJPY,empty,sum
2021.01.04,-114.00000000000298,5.000000000009663,748.0000000000153,707.000000000002,-1133.0000000000061,329.00000000000773,,542.0000000000257
2021.01.04,-116.00000000000499,9.000000000000341,773.0000000000015,712.0000000000015,-1044.0000000000005,281.0000000000059,,615.0000000000036
2021.01.04,-113.00000000000753,6.000000000000227,797.0000000000033,699.0000000000052,-956.0000000000013,269.00000000000546,,702.0000000000056
2021.01.04,-118.00000000000699,4.0000000000048885,838.0000000000055,719.9999999999984,-899.0000000000053,243.0000000000092,,788.0000000000057
2021.01.04,-158.99999999999804,-10.99999999999568,879.0000000000075,717.000000000001,-983.0000000000006,259.00000000000034,,702.0000000000146
2021.01.04,-155.00000000000514,-15.999999999991132,853.9999999999992,707.000000000002,-919.0000000000032,271.0000000000008,,742.0000000000026
2021.01.04,-114.99999999999844,20.000000000010232,804.0000000000047,687.9999999999998,-975.0000000000148,320.0000000000074,,742.000000000009
2021.01.04,-121.99999999999989,20.000000000010232,703.0000000000092,609.000000000004,-981.999999999994,296.0000000000065,,524.0000000000362
2021.01.04,-134.0000000000008,5.000000000009663,683.0000000000114,583.0000000000002,-990.000000000002,288.0000000000109,,435.00000000002933
2021.01.05,-148.0000000000037,-61.99999999999761,768.0000000000131,611.000000000006,-981.999999999994,262.00000000000045,,449.0000000000242
2021.01.05,-136.00000000000279,-36.000000000001364,734.9999999999968,619.0000000000028,-1014.0000000000038,267.0000000000101,,435.0000000000018
2021.01.05,-136.00000000000279,-15.999999999991132,730.0000000000084,631.0000000000038,-1053.9999999999993,289.0000000000015,,444.00000000002035
2021.01.05,-119.00000000000244,-9.000000000000341,761.999999999996,690.0000000000017,-1039.000000000012,270.00000000001023,,554.9999999999932
2021.01.05,-95.00000000000064,10.000000000005116,710.0000000000106,673.0000000000014,-1039.9999999999966,254.0000000000049,,512.0000000000247
2021.01.05,-97.00000000000264,-42.999999999992156,703.0000000000092,677.0000000000053,-1038.0000000000057,227.00000000000387,,429.00000000001796
2021.01.05,-104.99999999999955,-16.999999999995907,677.0000000000165,699.0000000000052,-1025.0000000000093,143.00000000000068,,372.00000000001774
2021.01.05,-102.00000000000209,-18.000000000000682,707.9999999999975,717.000000000001,-966.0000000000002,147.00000000000557,,486.00000000000125
2021.01.05,-125.00000000000844,-15.000000000000568,714.0000000000147,722.0000000000005,-944.0000000000115,33.00000000000125,,384.9999999999959
2021.01.05,-180.0000000000024,-12.999999999991019,679.0000000000074,694.0000000000057,-907.9999999999977,-18.999999999991246,,253.00000000003058
2021.01.05,-216.0000000000051,-59.99999999998806,692.0000000000038,685.9999999999977,-827.0,-115.99999999999966,,159.00000000000853
2021.01.05,-229.00000000000142,-99.99999999999432,724.0000000000135,716.0000000000056,-917.0000000000123,-79.9999999999983,,114.00000000001285
2021.01.05,-224.000000000002,-121.99999999999989,746.0000000000023,707.000000000002,-936.0000000000035,35.0000000000108,,206.00000000000978
2021.01.05,-192.99999999999872,-132.99999999999557,705.0000000000001,691.0000000000083,-910.0000000000108,33.00000000000125,,193.00000000000455
2021.01.05,-200.00000000000017,-168.99999999999693,683.9999999999957,672.0000000000059,-907.9999999999977,5.000000000009663,,84.00000000001648
2021.01.05,-206.00000000000617,-187.99999999998818,631.0000000000038,630.0000000000083,-889.0000000000065,-31.999999999996476,,-53.99999999998522
2021.01.05,-196.00000000000728,-227.99999999999443,607.0000000000019,616.0000000000055,-863.9999999999981,-49.99999999999716,,-114.99999999998954
2021.01.05,-214.00000000000307,-232.99999999998988,553.0000000000035,579.0000000000073,-819.9999999999985,-45.99999999999227,,-180.99999999997294
2021.01.05,-196.00000000000728,-213.99999999999864,541.0000000000136,563.9999999999978,-812.999999999997,-125.0,,-242.99999999999147
2021.01.05,-194.0000000000053,-242.999999999995,554.9999999999944,573.0000000000013,-879.0000000000075,-110.99999999999,,-299.00000000000205
2021.01.05,-263.99999999999756,-239.99999999999488,706.0000000000066,669.0000000000085,-873.0000000000126,-63.99999999999295,,-65.99999999998283
2021.01.05,-289.0000000000059,-232.99999999998988,765.0000000000157,707.000000000002,-927.9999999999955,-24.999999999991473,,-2.9999999999649845
2021.01.05,-329.00000000000153,-307.00000000000216,922.0000000000006,840.0000000000074,-961.9999999999961,-54.000000000002046,,110.00000000000614
2021.01.05,-292.9999999999988,-301.9999999999925,799.0000000000164,758.0000000000031,-899.0000000000053,-58.9999999999975,,4.0000000000252385
2021.01.05,-280.00000000000244,-323.99999999999807,744.9999999999957,762.0000000000072,-824.0000000000025,-18.999999999991246,,60.00000000000864
2021.01.05,-243.00000000000432,-318.9999999999884,646.0000000000132,741.9999999999982,-873.0000000000126,-18.000000000000682,,-64.99999999999466
2021.01.05,-261.0000000000001,-318.9999999999884,592.0000000000148,672.0000000000059,-819.0000000000142,-21.000000000000796,,-155.99999999998283
2021.01.05,-270.99999999999903,-324.99999999998863,690.9999999999972,726.0000000000044,-851.0000000000017,45.000000000001705,,15.00000000001387
2021.01.05,-304.00000000000426,-324.99999999998863,822.9999999999959,772.000000000006,-863.9999999999981,87.0000000000033,,189.0000000000142
2021.01.05,-265.0000000000041,-262.999999999991,781.0000000000094,744.0000000000002,-910.0000000000108,67.00000000000728,,154.00000000001103
2021.01.05,-236.00000000000287,-262.999999999991,721.000000000016,702.9999999999981,-933.000000000006,58.000000000006935,,50.000000000021146
2021.01.05,-241.00000000000233,-231.99999999999932,824.0000000000025,748.0000000000042,-1036.999999999999,126.00000000000477,,188.0000000000107
2021.01.05,-256.0000000000007,-298.9999999999924,845.0000000000068,741.9999999999982,-1029.0000000000132,130.00000000000966,,133.0000000000083
2021.01.05,-258.0000000000027,-315.9999999999883,639.9999999999961,573.0000000000013,-924.9999999999981,-21.000000000000796,,-306.9999999999924
2021.01.05,-207.00000000000162,-304.00000000000205,595.9999999999966,550.000000000006,-663.0000000000135,-4.9999999999954525,,-33.000000000010004
2021.01.05,-329.00000000000153,-346.9999999999942,741.0000000000139,670.000000000004,-802.0000000000139,-92.99999999998931,,-159.99999999998101
2021.01.05,-316.0000000000052,-390.99999999999113,612.0000000000125,572.0000000000058,-794.0000000000058,-120.99999999999511,,-437.99999999997897
2021.01.05,-396.00000000000745,-455.99999999998886,659.0000000000095,606.0000000000065,-727.9999999999953,-295.99999999999227,,-610.9999999999679
2021.01.05,-456.00000000000085,-515.9999999999911,551.9999999999969,563.0000000000024,-531.9999999999991,-299.99999999999716,,-688.999999999989
2021.01.05,-435.0000000000076,-485.99999999999,612.0000000000125,597.0000000000031,-374.0000000000077,-336.9999999999891,,-422.9999999999788
2021.01.05,-462.0000000000068,-481.9999999999993,659.0000000000095,628.0000000000064,-304.9999999999997,-368.9999999999998,,-330.9999999999897
2021.01.05,-448.000000000004,-480.99999999999454,663.999999999998,613.000000000008,-241.00000000000233,-369.99999999999034,,-262.9999999999853
2021.01.05,-421.0000000000047,-474.9999999999943,628.0000000000064,592.0000000000036,-117.99999999999588,-414.99999999999204,,-208.999999999977
