date,USDCHF,GBPUSD,EURUSD,USDCAD,AUDUSD,EURCHF,CHFJPY,NZDCHF,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURAUD,EURNZD,CADJPY,AUDCAD,NZDCAD,empty,sum
2016.09.20,29.999999999996696,-409.99999999999926,187.00000000000384,59.000000000009045,567.9999999999907,361.0000000000113,216.99999999999875,664.9999999999934,-6.9999999999765805,-445.0000000000065,669.0000000000085,101.99999999998965,777.0000000000055,845.0000000000068,57.00000000000216,675.9999999999989,774.9999999999924,,5126.0000000000255
2016.09.20,29.999999999996696,-411.0000000000058,188.9999999999947,70.99999999999883,584.9999999999911,357.99999999999164,188.99999999999295,629.9999999999973,-37.99999999998249,-426.00000000001523,721.000000000016,76.99999999999818,819.9999999999985,771.0000000000106,69.00000000000261,729.0000000000018,754.9999999999945,,5118.999999999982
2016.09.20,36.0000000000027,-446.0000000000131,167.00000000000603,15.999999999993797,576.9999999999942,358.9999999999982,212.0000000000033,636.9999999999986,-25.999999999982037,-451.0000000000014,741.9999999999982,87.99999999999386,832.0000000000105,768.0000000000131,87.0000000000033,730.9999999999927,761.999999999996,,5091.000000000008
2016.09.20,-151.00000000000114,-612.0000000000125,191.00000000000784,120.99999999999334,612.9999999999969,371.99999999999454,274.0000000000009,666.9999999999953,54.000000000002046,-533.0000000000057,726.0000000000044,115.99999999999966,791.0000000000084,825.0000000000091,108.00000000000409,725.9999999999933,763.9999999999981,,5051.999999999989
2016.09.20,-322.00000000000006,-653.999999999999,445.0000000000065,90.00000000001229,726.9999999999999,337.0000000000095,45.000000000001705,683.9999999999957,-4.9999999999954525,-611.000000000006,780.000000000003,-61.00000000000705,683.0000000000114,895.0000000000014,152.00000000000102,817.9999999999965,1014.9999999999992,,5018.00000000003
2016.09.20,-363.99999999999767,-429.99999999999704,428.9999999999905,65.00000000000395,749.9999999999951,187.00000000000384,-70.99999999999795,685.0000000000023,123.00000000001887,-417.0000000000007,1083.9999999999961,-42.00000000000159,808.0000000000088,1007.0000000000024,140.99999999999113,925.9999999999935,1095.0000000000016,,5976.000000000014
2016.09.20,-368.00000000000165,-391.000000000008,344.99999999999534,-63.99999999999739,651.0000000000016,140.99999999999113,-46.00000000000648,625.9999999999932,231.00000000002296,-272.00000000000557,1251.000000000002,-19.000000000005457,724.9999999999978,1043.0000000000161,153.99999999999636,867.999999999991,1134.0000000000016,,6008.9999999999845
2016.09.20,-301.0000000000068,-158.99999999999804,306.00000000000625,-43.999999999999595,665.9999999999999,151.9999999999966,-61.00000000000705,624.9999999999977,350.9999999999991,-215.00000000000963,1256.0000000000127,3.0000000000001137,734.9999999999968,1021.0000000000052,192.99999999999784,892.9999999999993,1119.9999999999989,,6540.999999999989
2016.09.20,-287.9999999999994,-206.00000000001728,296.9999999999917,22.0000000000109,652.9999999999925,157.99999999999147,-28.999999999996362,654.9999999999944,302.0000000000209,-204.00000000000418,1183.0000000000007,42.999999999992156,768.9999999999975,1111.0000000000175,162.9999999999967,856.0000000000013,1103.9999999999939,,6588.999999999984
2016.09.20,-265.0000000000041,-123.00000000000644,300.99999999999574,28.000000000005798,691.9999999999926,157.99999999999147,-46.00000000000648,692.9999999999992,367.00000000001864,-111.00000000001664,1331.0000000000155,33.00000000000125,848.0000000000043,1194.0000000000061,147.99999999999613,891.9999999999928,1144.0000000000007,,7283.999999999987
2016.09.20,-265.99999999999955,-56.000000000011596,238.0000000000049,-117.99999999999588,662.9999999999914,136.00000000000279,-125.0,686.9999999999932,451.9999999999982,3.999999999981796,1490.999999999998,-29.000000000010573,842.9999999999937,1210.0,99.99999999999432,880.9999999999984,1153.9999999999995,,7264.999999999938
2016.09.20,-246.99999999999721,229.99999999999687,217.0000000000005,-177.99999999998929,631.9999999999992,126.0000000000039,-144.00000000000546,693.9999999999947,548.0000000000018,173.99999999998528,1748.0000000000161,-46.999999999997044,832.9999999999949,1227.0000000000002,118.99999999999977,905.9999999999957,1196.9999999999925,,8034.999999999992
2016.09.20,-174.00000000000747,285.99999999998624,245.0000000000063,-153.9999999999875,578.9999999999961,192.99999999999872,-91.99999999999875,703.9999999999935,582.9999999999984,207.99999999998596,1643.0000000000166,-73.99999999999807,707.0000000000132,1141.0000000000143,106.99999999999932,852.9999999999926,1166.999999999996,,7922.0000000000055
2016.09.20,-170.00000000000347,241.99999999998667,208.99999999999253,-143.00000000000423,622.9999999999958,218.99999999999142,-84.00000000000318,766.9999999999955,566.0000000000025,205.99999999999508,1765.0000000000166,-103.9999999999992,802.0000000000139,1220.0000000000211,94.99999999999886,895.9999999999968,1217.0000000000014,,8325.999999999998
2016.09.20,-161.00000000000003,243.99999999999977,238.99999999998923,-151.9999999999966,658.9999999999985,248.00000000000378,-58.9999999999975,790.9999999999973,581.0000000000173,166.99999999998383,1797.000000000004,-94.0000000000083,781.0000000000094,1253.0000000000152,128.0000000000001,956.0000000000013,1280.9999999999989,,8659.000000000016
2016.09.20,-163.99999999999747,218.99999999999142,217.0000000000005,-239.99999999999577,635.9999999999922,253.99999999999866,33.00000000000125,802.0000000000027,653.9999999999964,152.99999999998093,1807.000000000003,6.000000000000227,880.0000000000141,1338.000000000017,194.00000000000261,956.0000000000013,1320.9999999999943,,9066.000000000002
