date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,EURCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,EURJPY,EURAUD,CADJPY,empty,sum
2018.11.13,483.99999999999557,39.00000000001125,706.0000000000066,243.99999999999977,296.0000000000074,-155.00000000001623,202.0000000000022,563.9999999999978,556.0000000000009,335.00000000000796,435.0000000000076,521.000000000015,540.0000000000072,-23.000000000010346,,4744.000000000034
2018.11.13,449.9999999999948,93.99999999999409,653.999999999999,195.0000000000074,302.0000000000023,-141.00000000001333,160.00000000000458,546.9999999999975,553.0000000000035,336.00000000001273,514.9999999999987,516.9999999999959,426.00000000001523,16.999999999995907,,4625.000000000007
2018.11.13,455.99999999998977,229.99999999999687,591.9999999999925,136.0000000000099,251.00000000000122,-70.99999999999883,262.00000000000665,609.9999999999994,597.9999999999985,414.99999999999204,628.9999999999907,512.0000000000005,551.9999999999969,30.000000000001137,,5201.999999999978
2018.11.13,441.0000000000025,341.99999999999784,594.0000000000057,144.99999999999602,233.00000000001654,-87.99999999999919,207.00000000000162,571.9999999999948,672.0000000000059,552.9999999999973,756.0000000000011,501.0000000000048,458.00000000000284,12.999999999991019,,5399.000000000018
2018.11.13,458.9999999999872,520.0000000000093,530.9999999999926,126.00000000000477,199.00000000001583,-5.999999999994898,256.0000000000007,610.9999999999949,744.0000000000002,730.0000000000182,946.0000000000024,454.00000000000773,453.0000000000145,4.9999999999954525,,6028.00000000005
2018.11.13,473.99999999999665,408.9999999999927,510.99999999999477,72.00000000000273,313.00000000000773,29.999999999996696,282.0000000000045,619.0000000000028,656.000000000001,534.9999999999966,948.9999999999999,493.9999999999998,453.99999999999886,119.99999999999034,,5917.9999999999845
2018.11.13,410.99999999998363,451.0000000000014,455.99999999998977,61.00000000000705,378.999999999996,14.999999999987246,192.00000000000327,575.9999999999987,638.0000000000052,568.000000000012,1090.9999999999975,441.0000000000025,280.9999999999979,170.0000000000017,,5729.999999999984
2018.11.13,509.99999999998823,319.0000000000026,539.0000000000006,180.99999999999739,390.0000000000015,42.999999999993044,218.00000000000708,573.0000000000013,617.9999999999964,573.0000000000075,929.000000000002,400.0000000000057,296.0000000000074,85.99999999999852,,5675.000000000008
2018.11.13,426.9999999999996,358.9999999999982,478.0000000000006,-15.999999999991132,520.0000000000093,11.999999999989797,125.00000000000844,532.9999999999945,595.0000000000011,365.0000000000091,1150.0000000000066,556.0000000000116,137.00000000000932,319.9999999999932,,5561.00000000004
2018.11.13,383.99999999998437,809.9999999999997,383.0,112.00000000000898,392.00000000001455,55.99999999998939,196.00000000000728,563.0000000000024,826.0000000000045,1040.9999999999968,1577.9999999999905,302.99999999999727,236.00000000001398,138.9999999999958,,7019.000000000005
2018.11.13,339.0000000000004,1120.9999999999943,337.99999999999386,207.00000000000784,243.00000000001543,51.99999999998539,245.0000000000063,607.0000000000019,997.9999999999989,1521.9999999999914,1797.000000000004,141.9999999999959,348.9999999999993,-31.00000000000591,,7928.999999999989
2018.11.13,336.9999999999873,1133.0000000000061,316.99999999998954,167.0000000000016,202.00000000001327,75.00000000000284,264.0000000000087,641.9999999999982,987.0000000000045,1481.9999999999993,1761.9999999999968,165.00000000002046,360.0000000000048,-26.00000000001046,,7867.000000000022
2018.11.13,391.9999999999924,1038.0000000000057,400.9999999999847,171.99999999999704,279.00000000000705,51.99999999998539,259.0000000000092,626.9999999999998,988.9999999999955,1384.0000000000146,1733.0000000000068,254.99999999999545,375.9999999999986,19.99999999999602,,7976.999999999988
2018.11.13,407.0000000000018,710.999999999995,398.9999999999938,147.00000000000557,385.00000000001313,66.99999999999484,209.00000000000364,580.0000000000027,768.9999999999975,974.9999999999943,1438.000000000006,280.00000000000114,249.00000000001032,109.99999999999943,,6726.000000000019
2018.11.13,434.000000000001,574.0000000000078,507.9999999999973,159.9999999999966,522.0000000000002,-12.999999999996348,136.00000000000279,546.9999999999975,761.999999999996,837.0000000000175,1432.9999999999955,391.9999999999959,199.00000000001583,188.99999999999295,,6680.000000000019
2018.11.13,458.9999999999872,353.0000000000033,614.9999999999877,156.0000000000059,540.0000000000072,-92.00000000000318,141.00000000000225,541.0000000000026,699.0000000000052,579.0000000000077,1166.0000000000005,516.0000000000196,314.99999999999864,203.00000000000296,,6191.000000000026
2018.11.13,375.9999999999986,353.0000000000033,573.0000000000013,70.99999999999795,548.9999999999995,-141.99999999999767,92.00000000000318,497.000000000003,663.999999999998,471.00000000000364,1170.9999999999886,563.0000000000166,287.9999999999994,271.99999999999136,,5798.000000000007
2018.11.13,346.9999999999862,392.9999999999989,504.9999999999999,46.00000000000648,496.00000000000756,-107.99999999999699,114.00000000000298,498.9999999999939,641.0000000000027,481.9999999999993,1161.9999999999964,515.0000000000148,283.000000000011,256.9999999999908,,5632.000000000014
2018.11.13,306.9999999999906,412.9999999999967,448.9999999999883,-13.999999999995794,451.0000000000014,-94.00000000001629,129.00000000000134,534.0000000000011,609.000000000004,430.0000000000068,1126.999999999989,520.0000000000102,295.0000000000008,274.0000000000009,,5429.999999999979
2018.11.13,265.99999999998846,402.9999999999978,337.99999999999386,-28.999999999996362,378.00000000001165,-29.999999999996696,136.00000000000279,504.9999999999999,519.0000000000028,396.000000000015,1021.9999999999895,409.9999999999966,224.000000000002,238.9999999999901,,4776.999999999997
2018.11.13,225.99999999999287,473.99999999999665,310.9999999999946,3.0000000000001137,314.00000000001427,-46.0000000000127,155.00000000000514,519.0000000000028,544.0,525.0000000000057,1031.000000000004,342.00000000001296,292.00000000000335,168.99999999999693,,4859.000000000017
2018.11.13,180.0000000000024,526.0000000000042,285.99999999998624,2.0000000000095497,307.99999999999716,-77.00000000001594,136.00000000000279,546.000000000002,656.000000000001,587.9999999999939,1110.9999999999952,323.0000000000075,351.0000000000124,207.9999999999984,,5143.999999999997
2018.11.14,174.99999999999181,815.0000000000101,299.00000000000483,-6.999999999990791,317.0000000000117,-93.00000000000975,111.00000000000554,488.999999999995,736.0000000000033,894.0000000000055,1499.000000000006,344.99999999999886,317.0000000000117,195.99999999999795,,6093.000000000042
2018.11.14,192.99999999999872,1195.999999999997,198.99999999999363,4.0000000000048885,280.9999999999979,1.999999999990898,180.0000000000024,556.9999999999964,944.0000000000003,1336.0000000000127,1939.0000000000018,212.0000000000175,235.00000000000742,152.00000000000102,,7430.000000000022
2018.11.14,93.99999999999409,1083.9999999999961,31.000000000003247,-6.000000000000227,222.00000000001108,82.99999999998863,212.00000000000108,534.0000000000011,739.0000000000008,1206.0000000000173,1723.000000000008,36.000000000001364,239.00000000001143,125.0,,6322.0000000000355
2018.11.14,96.99999999999153,990.000000000002,78.00000000000028,-6.000000000000227,204.00000000000418,43.999999999999595,213.00000000000762,522.0000000000002,712.9999999999969,1099.9999999999943,1580.0000000000036,85.00000000000796,293.0000000000099,106.99999999999932,,6020.000000000017
2018.11.14,89.99999999999008,987.0000000000045,51.000000000001044,97.99999999999898,194.0000000000053,62.99999999999084,261.0000000000001,509.9999999999993,687.9999999999998,1228.0000000000086,1558.9999999999993,-61.00000000000705,378.00000000001165,21.99999999999136,,6067.999999999993
2018.11.14,132.99999999998312,889.9999999999908,146.00000000000168,130.00000000000966,236.99999999999832,14.000000000002899,198.00000000000927,522.0000000000002,697.0000000000032,1157.0000000000107,1489.9999999999914,12.000000000000455,301.0000000000179,27.000000000001023,,5954.000000000021
