date,GBPUSD,USDCAD,AUDUSD,CADCHF,AUDCHF,GBPCAD,EURJPY,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDCAD,NZDCAD,empty,sum
2017.04.05,-778.9999999999964,-1027.0000000000002,-578.0000000000007,-330.9999999999924,-410.9999999999947,138.0000000000159,27.999999999991587,-1151.0000000000132,-1328.000000000018,-1202.9999999999984,-566.0000000000025,-717.9999999999893,-477.99999999999443,-45.000000000006146,193.99999999999417,,-8255.000000000002
2017.04.05,-736.0000000000033,-1038.99999999999,-563.0000000000024,-308.9999999999926,-374.999999999992,231.0000000000034,-55.00000000000682,-1153.000000000004,-1317.999999999997,-1262.0000000000075,-551.0000000000019,-677.9999999999973,-460.9999999999985,-38.99999999998904,144.99999999999514,,-8162.999999999983
2017.04.05,-658.0000000000031,-956.0000000000013,-497.99999999999847,-327.99999999999494,-364.9999999999931,277.00000000001614,-45.000000000001705,-1192.0000000000152,-1299.0000000000057,-1309.0000000000045,-558.9999999999975,-685.9999999999928,-519.999999999996,-5.999999999994898,136.99999999999824,,-8006.9999999999845
2017.04.05,-689.0000000000063,-1204.9999999999893,-529.9999999999972,-420.9999999999936,-368.9999999999971,449.0000000000105,116.99999999999022,-1378.9999999999968,-1305.0000000000007,-1299.0000000000057,-746.9999999999999,-759.0000000000003,-588.9999999999986,11.00000000000545,190.99999999999673,,-8523.999999999982
2017.04.05,-707.9999999999975,-1248.999999999989,-501.000000000007,-485.99999999999756,-365.99999999999966,511.000000000017,152.00000000000102,-1451.0000000000023,-1255.0000000000061,-1304.0000000000164,-838.0000000000081,-769.999999999996,-621.9999999999999,194.0000000000053,292.9999999999988,,-8399.999999999998
2017.04.05,-713.9999999999924,-1210.0,-512.0000000000014,-412.9999999999967,-335.99999999999187,484.00000000001774,143.00000000000068,-1344.9999999999961,-1216.000000000017,-1276.0000000000105,-775.0000000000057,-731.9999999999993,-602.9999999999944,123.00000000000644,232.99999999999432,,-8148.999999999984
2017.04.05,-709.0000000000041,-1142.999999999983,-531.0000000000036,-301.9999999999912,-266.999999999995,443.0000000000156,158.99999999999181,-1207.0000000000025,-1211.0000000000066,-1268.0000000000025,-686.9999999999976,-714.9999999999892,-583.999999999989,106.00000000000608,202.0000000000022,,-7713.999999999949
2017.04.05,-764.9999999999934,-1271.9999999999843,-583.0000000000002,-256.99999999999613,-231.99999999999886,499.000000000005,179.9999999999926,-1192.9999999999995,-1172.0000000000175,-1258.0000000000036,-694.0000000000026,-703.000000000003,-596.9999999999942,113.00000000000753,210.99999999999451,,-7722.9999999999945
2017.04.05,-767.0000000000066,-1275.0000000000039,-550.000000000006,-273.000000000001,-214.99999999999852,512.0000000000014,202.99999999998875,-1195.999999999997,-1113.0000000000084,-1219.0000000000146,-692.0000000000073,-673.0000000000018,-573.9999999999981,151.00000000001222,234.00000000000088,,-7447.00000000004
2017.04.05,-818.0000000000076,-1275.0000000000039,-558.9999999999984,-265.99999999999955,-195.9999999999962,442.00000000000904,156.99999999999648,-1231.0000000000043,-1158.9999999999989,-1257.000000000019,-689.0000000000072,-670.0000000000017,-564.9999999999977,146.00000000000168,242.99999999999324,,-7697.000000000034
2017.04.05,-923.9999999999915,-1330.9999999999934,-660.000000000005,-281.99999999999335,-215.99999999999397,346.0000000000019,146.0000000000008,-1288.0000000000002,-1133.0000000000061,-1209.0000000000157,-752.0000000000095,-716.9999999999987,-602.9999999999944,90.99999999999665,192.00000000000327,,-8339.999999999998
2017.04.05,-668.0000000000019,-1183.0000000000007,-443.99999999999994,-334.00000000000097,-215.99999999999397,528.0000000000174,152.9999999999916,-1355.0000000000173,-1136.0000000000036,-1179.0000000000189,-881.0000000000002,-813.0000000000024,-661.9999999999919,229.00000000001253,307.0000000000017,,-7654.000000000009
2017.04.05,-602.999999999998,-1201.999999999992,-460.00000000000483,-431.99999999999903,-314.99999999999864,462.0000000000068,424.99999999999716,-1468.0000000000027,-1285.0000000000027,-1143.0000000000052,-1090.0000000000034,-1012.999999999991,-717.9999999999893,173.00000000000094,348.00000000000387,,-8320.999999999978
2017.04.05,-547.0000000000086,-1268.0000000000025,-490.00000000000153,-470.9999999999992,-351.0000000000013,757.0000000000076,497.99999999999045,-1625.0000000000098,-1392.9999999999998,-1077.0000000000168,-1176.0000000000018,-1102.9999999999945,-751.9999999999953,222.00000000001108,532.9999999999945,,-8243.000000000027
2017.04.05,-514.9999999999987,-1312.000000000002,-578.0000000000007,-498.9999999999939,-435.9999999999919,878.000000000001,565.9999999999883,-1628.0000000000073,-1507.9999999999982,-1197.0000000000036,-1230.000000000004,-1205.9999999999889,-835.9999999999985,177.00000000000495,541.9999999999981,,-8781.999999999995
2017.04.05,-611.9999999999903,-1397.9999999999882,-575.0000000000033,-486.999999999993,-400.00000000000034,839.9999999999964,613.9999999999901,-1599.000000000017,-1448.0000000000048,-1148.0000000000157,-1216.0000000000082,-1170.9999999999923,-817.9999999999978,195.9999999999962,504.9999999999999,,-8717.00000000003
2017.04.06,-679.0000000000074,-1390.9999999999866,-585.0000000000022,-584.9999999999911,-401.99999999999125,720.0000000000095,649.0000000000009,-1551.9999999999977,-1347.0000000000093,-1080.9999999999986,-1219.9999999999989,-1158.0000000000014,-846.9999999999942,154.0000000000097,441.0000000000025,,-8882.999999999958
2017.04.06,-608.9999999999928,-1400.9999999999857,-563.0000000000024,-529.9999999999972,-395.99999999999636,859.0000000000098,676.9999999999925,-1615.000000000011,-1372.0000000000177,-1080.9999999999986,-1385.000000000005,-1278.9999999999964,-934.9999999999881,239.00000000001143,568.0000000000018,,-8822.999999999975
2017.04.06,-604.9999999999889,-1400.9999999999857,-570.0000000000039,-512.9999999999968,-385.99999999999744,877.0000000000166,818.9999999999884,-1578.999999999997,-1374.0000000000086,-1013.0000000000194,-1403.000000000006,-1298.0000000000018,-887.0000000000005,238.0000000000049,620.9999999999937,,-8474.0
2017.04.06,-592.9999999999991,-1332.999999999984,-548.9999999999995,-507.9999999999973,-390.0000000000015,836.9999999999989,790.9999999999968,-1573.0000000000023,-1380.0000000000034,-900.0000000000119,-1365.9999999999995,-1308.9999999999975,-840.999999999994,231.0000000000034,678.9999999999962,,-8203.999999999996
2017.04.06,-635.9999999999922,-1333.9999999999907,-540.0000000000072,-518.9999999999917,-384.9999999999909,805.0000000000113,792.0000000000016,-1595.9999999999975,-1378.9999999999968,-900.0000000000119,-1406.000000000006,-1329.9999999999982,-869.9999999999903,249.99999999999466,693.9999999999947,,-8353.999999999973
2017.04.06,-597.9999999999874,-1354.999999999995,-585.9999999999976,-523.9999999999911,-437.999999999994,848.0000000000043,812.9999999999882,-1619.0000000000148,-1479.0000000000082,-948.9999999999999,-1433.0000000000068,-1393.0000000000007,-900.9999999999962,198.99999999999363,678.0000000000008,,-8737.000000000004
2017.04.06,-560.0000000000049,-1363.9999999999875,-585.0000000000022,-575.9999999999987,-490.999999999997,934.9999999999969,801.9999999999925,-1738.0000000000173,-1594.0000000000066,-1042.0000000000095,-1442.9999999999977,-1411.9999999999918,-905.9999999999917,195.9999999999962,695.9999999999966,,-9082.000000000024
2017.04.06,-560.0000000000049,-1410.0000000000002,-638.0000000000052,-614.9999999999989,-522.9999999999957,970.0000000000042,760.9999999999957,-1794.0000000000066,-1663.0000000000146,-1127.0000000000114,-1490.9999999999995,-1461.999999999989,-953.9999999999935,170.00000000000347,678.9999999999962,,-9657.000000000018
2017.04.06,-567.0000000000064,-1417.0000000000016,-644.0000000000001,-573.9999999999967,-514.9999999999987,985.999999999998,762.999999999991,-1749.0000000000005,-1656.9999999999973,-1119.0000000000034,-1424.9999999999973,-1405.0000000000011,-902.9999999999916,174.99999999999181,670.9999999999993,,-9380.000000000015
2017.04.06,-600.0000000000006,-1411.9999999999911,-739.9999999999962,-578.0000000000007,-619.9999999999983,939.0000000000009,658.9999999999918,-1782.0000000000168,-1876.000000000011,-1200.0000000000011,-1418.0000000000064,-1455.9999999999889,-894.999999999996,41.000000000002146,626.9999999999998,,-10311.000000000013
2017.04.06,-607.0000000000019,-1432.9999999999955,-867.0000000000067,-593.9999999999945,-740.9999999999917,938.0000000000166,706.9999999999936,-1801.0000000000082,-2077.0000000000177,-1318.000000000019,-1421.0000000000064,-1634.0000000000005,-970.9999999999894,-129.00000000000134,556.0000000000009,,-11392.000000000022
2017.04.06,-652.9999999999925,-1438.9999999999902,-909.0000000000042,-602.999999999998,-801.9999999999916,897.9999999999987,772.9999999999961,-1788.0000000000118,-2147.00000000001,-1277.000000000017,-1471.0000000000036,-1754.9999999999955,-1015.9999999999911,-170.00000000000347,605.9999999999955,,-11753.000000000022
2017.04.06,-668.0000000000019,-1442.9999999999943,-867.0000000000067,-576.9999999999942,-715.9999999999944,892.0000000000039,772.9999999999961,-1734.9999999999977,-2026.0000000000166,-1199.0000000000168,-1403.9999999999964,-1631.999999999991,-932.9999999999927,-109.99999999998789,600.999999999996,,-11043.999999999993
2017.04.06,-638.0000000000052,-1424.000000000003,-826.0000000000045,-574.9999999999922,-695.9999999999966,868.000000000002,775.9999999999962,-1724.9999999999989,-1972.0000000000182,-1151.0000000000132,-1396.000000000001,-1590.999999999994,-914.0000000000015,-92.00000000000318,641.0000000000027,,-10715.000000000033
