date,NZDUSD,EURCHF,CADCHF,NZDCHF,EURGBP,CADJPY,NZDJPY,NZDCAD,empty,sum
2015.10.12,480.99999999999807,147.00000000000824,-47.9999999999925,458.9999999999983,-89.99999999999008,81.00000000000307,509.00000000000034,669.9999999999928,,2209.000000000018
2015.10.12,544.9999999999955,212.99999999999653,-4.999999999999449,516.0000000000053,-46.999999999997044,102.00000000000387,513.9999999999958,693.9999999999947,,2531.999999999995
2015.10.12,588.9999999999951,181.00000000000892,2.000000000002,562.0000000000069,-37.99999999999359,128.99999999999068,537.9999999999967,746.9999999999976,,2710.0000000000045
2015.10.12,539.0000000000006,181.00000000000892,12.000000000000899,580.0000000000027,-98.99999999999353,179.00000000000205,500.99999999999056,754.9999999999945,,2648.000000000007
2015.10.12,590.999999999997,195.9999999999962,34.000000000000696,602.0000000000025,-101.99999999999099,134.00000000000034,555.9999999999974,764.9999999999934,,2775.9999999999964
2015.10.12,579.9999999999916,167.00000000000603,-23.999999999990695,565.0000000000044,-94.99999999998954,173.99999999999238,530.0000000000011,781.9999999999939,,2679.000000000009
2015.10.12,548.9999999999995,228.00000000000597,-44.99999999999504,522.0000000000002,-80.99999999999774,194.00000000000261,479.99999999998977,744.9999999999957,,2592.000000000001
2015.10.12,467.9999999999906,236.00000000001398,-162.99999999999093,482.00000000000466,-81.9999999999932,399.9999999999915,382.99999999999557,836.9999999999989,,2561.000000000011
2015.10.12,473.99999999999665,289.0000000000059,-89.99999999999008,530.0000000000082,-93.99999999999409,368.9999999999998,396.99999999999136,810.9999999999951,,2686.0000000000127
2015.10.12,400.9999999999958,290.00000000001245,-113.99999999999189,502.9999999999979,-125.99999999999278,396.0000000000008,361.99999999999477,807.9999999999976,,2520.0000000000146
2015.10.12,376.99999999999403,259.0000000000092,-166.99999999999494,457.0000000000074,-97.9999999999981,481.9999999999993,289.0000000000015,807.9999999999976,,2407.000000000016
2015.10.12,375.9999999999986,276.9999999999939,-153.99999999999858,457.0000000000074,-94.99999999998954,450.00000000000284,307.9999999999927,800.9999999999961,,2420.0000000000036
2015.10.12,343.9999999999999,293.99999999999426,-134.99999999999625,455.0000000000054,-100.00000000000009,441.0000000000025,284.9999999999966,769.999999999993,,2353.999999999995
2015.10.12,335.99999999999187,287.9999999999994,-128.99999999999022,445.0000000000065,-109.99999999999899,432.00000000000216,277.9999999999916,757.999999999992,,2297.9999999999945
2015.10.12,374.999999999992,170.00000000000347,-85.99999999999719,474.00000000000773,-176.99999999999383,353.9999999999992,336.9999999999891,735.9999999999923,,2182.9999999999927
2015.10.13,331.999999999999,225.00000000000853,-104.99999999999955,435.0000000000076,-163.99999999999747,385.9999999999957,286.00000000000136,719.9999999999984,,2115.0000000000136
2015.10.13,329.999999999997,242.00000000000887,-123.99999999999079,422.00000000000017,-155.99999999998948,368.9999999999998,309.99999999998806,705.9999999999956,,2099.000000000009
2015.10.13,324.9999999999975,218.00000000000708,-88.99999999999464,431.99999999999903,-161.99999999999548,350.9999999999991,296.99999999999704,670.9999999999993,,2043.0000000000089
2015.10.13,357.99999999999164,236.00000000001398,-78.00000000000028,467.0000000000063,-151.9999999999966,358.0000000000041,333.999999999989,725.9999999999933,,2249.0000000000014
2015.10.13,304.9999999999997,251.00000000000122,-90.99999999999665,422.00000000000017,-142.99999999999312,364.0000000000043,262.00000000000045,668.9999999999974,,2039.0000000000136
2015.10.13,244.99999999999523,224.000000000002,-142.99999999999312,377.0000000000051,-143.9999999999997,433.9999999999975,202.99999999998875,665.9999999999999,,1861.999999999996
2015.10.13,156.00000000000057,334.9999999999964,-67.9999999999903,396.00000000000745,-148.99999999999915,557.9999999999927,36.000000000001364,605.9999999999955,,1870.0000000000045
2015.10.13,49.99999999999449,327.99999999999494,-154.99999999999403,275.000000000003,-65.99999999999939,652.9999999999916,-97.99999999999898,556.0000000000009,,1542.9999999999927
