date,GBPUSD,USDCAD,AUDUSD,NZDUSD,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,GBPJPY,EURJPY,EURCAD,EURNZD,CADJPY,AUDJPY,NZDJPY,empty,sum
2021.04.12,-665.9999999999889,32.0000000000098,-236.99999999999832,-276.9999999999939,-100.99999999999554,56.000000000011596,4.999999999999449,-56.99999999999594,-121.99999999999989,-432.9999999999927,24.00000000000091,424.99999999998647,536.0000000000032,-129.0000000000049,-137.00000000000045,-192.00000000000728,,-1272.9999999999663
2021.04.12,-651.0000000000016,41.000000000002146,-237.99999999999378,-284.9999999999908,-124.99999999999733,100.00000000000853,9.00000000000345,-63.99999999999739,-137.9999999999937,-375.0,37.99999999998249,454.9999999999832,551.9999999999969,-90.00000000000341,-118.99999999999977,-194.00000000000261,,-1084.0000000000036
2021.04.12,-641.0000000000027,87.99999999999919,-183.99999999999528,-232.99999999999432,-72.99999999998974,70.00000000000739,24.999999999997247,-15.999999999993797,-87.00000000000374,-395.9999999999866,38.99999999998727,444.9999999999843,604.9999999999889,-88.99999999999864,-96.9999999999942,-152.00000000000102,,-695.9999999999957
2021.04.12,-747.9999999999931,52.000000000007596,-217.99999999999596,-215.99999999999397,-61.99999999998429,66.0000000000025,66.99999999999484,-9.999999999998899,-27.999999999994696,-389.99999999998636,36.000000000001364,531.9999999999991,770.9999999999884,-54.99999999999261,-108.99999999999466,-97.99999999999898,,-409.99999999993986
2021.04.12,-669.9999999999928,70.99999999999883,-242.99999999999324,-232.99999999999432,-85.00000000000173,14.000000000010004,53.00000000000304,-32.999999999994145,-44.99999999999504,-383.0000000000098,-7.000000000005002,530.9999999999926,712.0000000000015,-72.99999999999329,-131.9999999999908,-121.99999999999989,,-644.9999999999643
2021.04.12,-524.9999999999977,140.99999999999113,-183.99999999999528,-173.9999999999964,-97.9999999999981,32.00000000001069,80.00000000000229,-2.999999999997449,-19.00000000000235,-330.99999999998886,-28.999999999996362,590.999999999986,828.9999999999909,-72.99999999999329,-122.99999999999045,-112.00000000000898,,2.0000000000158025
2021.04.12,-482.00000000000466,204.00000000000418,-149.99999999999457,-158.99999999999804,-56.99999999999594,-134.00000000000034,105.99999999999498,28.000000000005798,2.000000000002,-292.0000000000016,-76.99999999999818,581.9999999999936,831.000000000004,-51.9999999999925,-90.99999999999397,-91.99999999999875,,167.00000000002615
2021.04.12,-452.00000000000796,289.0000000000059,-114.99999999999844,-129.00000000000134,16.000000000016,-137.99999999999102,243.99999999999977,131.99999999999878,87.00000000000374,-240.0000000000091,-31.00000000000591,676.9999999999943,851.0000000000017,21.000000000000796,-60.000000000002274,-66.0000000000025,,1086.0000000000025
2021.04.12,-473.99999999999665,293.0000000000099,-132.99999999999423,-136.99999999999824,70.0000000000145,-164.99999999999204,275.000000000003,141.00000000000225,109.00000000000354,-250.0,-48.00000000000182,709.0000000000041,886.9999999999934,13.999999999995794,-84.99999999999375,-79.00000000000773,,1127.0000000000423
2021.04.12,-496.00000000000756,248.00000000000378,-129.00000000000134,-136.99999999999824,55.000000000005045,-216.99999999999875,214.00000000000307,138.00000000000477,107.99999999999699,-258.99999999998613,-28.999999999996362,670.9999999999993,890.9999999999974,-13.00000000000523,-81.99999999999363,-84.00000000000318,,879.00000000002
2021.04.12,-455.0000000000054,218.00000000000708,-136.00000000000279,-137.9999999999937,52.000000000007596,-164.00000000000148,209.9999999999991,133.00000000000534,97.00000000000264,-270.00000000001023,-55.00000000000682,675.0000000000034,909.9999999999886,-42.00000000000159,-94.99999999999886,-97.99999999999898,,841.999999999994
2021.04.12,-492.0000000000035,127.00000000001043,-158.99999999999804,-161.00000000000003,36.0000000000138,-155.9999999999917,178.99999999999582,109.00000000000354,80.99999999999774,-275.0000000000057,-87.00000000001751,625.9999999999932,892.9999999999883,-90.99999999999397,-114.99999999999488,-109.99999999999943,,404.99999999999795
2021.04.12,-452.99999999999227,191.00000000000784,-153.00000000000313,-151.9999999999966,26.999999999999247,-125.99999999999056,197.00000000000273,109.99999999999899,77.00000000000485,-217.9999999999893,-69.00000000001683,686.9999999999932,914.9999999999991,-54.99999999999261,-102.00000000000387,-97.00000000000841,,779.0000000000124
2021.04.12,-452.99999999999227,192.99999999999872,-142.99999999999312,-127.99999999999478,36.0000000000138,-152.00000000000102,210.99999999999451,124.00000000000189,107.99999999999699,-206.99999999999363,-61.00000000000705,697.9999999999986,976.9999999999834,-27.000000000001023,-75.9999999999934,-65.00000000001194,,1034.9999999999995
2021.04.12,-415.0000000000098,262.00000000000665,-100.00000000000009,-105.99999999999498,63.99999999999739,-140.99999999999113,241.99999999999778,160.00000000000458,131.00000000000333,-200.9999999999934,-58.9999999999975,720.9999999999939,984.9999999999915,0.0,-51.9999999999925,-50.00000000001137,,1441.0000000000043
2021.04.12,-439.99999999999596,296.0000000000074,-73.00000000000084,-69.9999999999923,63.99999999999739,-112.99999999999955,227.99999999999488,162.0000000000066,131.00000000000333,-253.99999999999068,-9.000000000014552,675.0000000000034,954.9999999999948,-3.0000000000001137,-42.999999999992156,-35.0000000000108,,1471.0000000000105
2021.04.12,-429.99999999999704,336.00000000000296,-54.999999999993946,-51.000000000001044,56.000000000011596,-72.99999999999329,239.99999999999577,146.00000000000168,136.00000000000279,-246.00000000000932,19.000000000005457,732.9999999999836,990.000000000002,36.000000000001364,-9.000000000000341,-1.0000000000047748,,1827.0000000000075
2021.04.12,-421.99999999998903,324.9999999999975,-82.99999999999974,-57.99999999999139,33.00000000001635,-90.99999999999397,241.00000000000233,131.99999999999878,133.00000000000534,-231.99999999999932,-7.000000000005002,726.0000000000044,1021.9999999999895,28.999999999996362,-45.000000000001705,-10.000000000005116,,1693.0000000000255
2021.04.12,-442.9999999999934,303.9999999999932,-122.99999999999534,-92.99999999999864,60.000000000015596,-125.0,249.99999999999466,119.00000000000244,117.99999999999588,-228.999999999985,-10.99999999999568,729.9999999999862,948.9999999999999,31.999999999996476,-73.99999999999807,-35.0000000000108,,1429.0000000000073
2021.04.12,-443.99999999999994,287.9999999999994,-126.99999999999933,-107.99999999999699,87.99999999999919,-126.99999999999534,287.9999999999994,133.00000000000534,136.00000000000279,-218.9999999999941,-6.000000000000227,743.0000000000048,886.9999999999934,49.99999999999716,-75.9999999999934,-40.00000000000625,,1466.000000000016
2021.04.13,-431.0000000000036,239.00000000001143,-136.00000000000279,-86.99999999999264,63.99999999999739,-173.99999999999238,214.99999999999852,20.0000000000089,-7.0000000000014495,-140.99999999999113,-52.00000000002092,509.99999999998823,821.9999999999894,40.99999999999682,-70.99999999999795,-23.000000000010346,,788.9999999999776
2021.04.13,-417.0000000000007,289.0000000000059,-143.9999999999997,-109.99999999999899,94.00000000001629,-73.99999999999807,319.99999999999807,148.99999999999915,128.00000000000588,-162.00000000000614,-28.999999999996362,722.0000000000005,890.9999999999974,55.999999999997385,-73.99999999999807,-44.00000000001114,,1595.0000000000111
2021.04.13,-445.99999999999085,316.0000000000052,-136.99999999999824,-117.00000000000044,70.99999999999883,-123.99999999999523,302.9999999999977,143.9999999999997,128.00000000000588,-209.00000000000318,-34.000000000020236,808.9999999999931,946.0000000000024,58.000000000006935,-78.00000000000296,-54.000000000002046,,1575.9999999999964
2021.04.13,-449.9999999999948,330.9999999999924,-134.99999999999625,-117.99999999999588,59.000000000009045,-119.99999999999034,292.00000000000335,126.99999999999933,109.99999999999899,-213.99999999999864,-25.000000000005684,828.9999999999909,951.9999999999973,67.99999999999784,-75.00000000000284,-52.00000000000671,,1578.9999999999977
2021.04.13,-476.9999999999941,357.99999999999164,-141.99999999999767,-115.99999999999389,58.000000000002494,-111.99999999999477,293.99999999999426,120.00000000000898,107.00000000000153,-263.00000000000523,-33.00000000001546,832.9999999999949,934.9999999999969,69.00000000000261,-90.00000000000341,-60.000000000002274,,1480.9999999999866
2021.04.13,-541.9999999999981,300.99999999999574,-192.99999999999872,-147.99999999999258,42.0000000000087,-98.99999999998954,270.99999999999903,84.0000000000063,87.00000000000374,-301.9999999999925,-28.00000000002001,808.9999999999931,892.0000000000039,55.00000000000682,-119.99999999999034,-72.00000000000273,,1037.0000000000327
2021.04.13,-516.9999999999897,341.99999999999784,-163.00000000000205,-105.99999999999498,9.999999999998899,-123.99999999999523,259.9999999999936,98.0000000000092,114.99999999999844,-346.00000000000364,-91.00000000000819,817.9999999999854,956.0000000000013,21.000000000000796,-102.99999999999443,-46.00000000000648,,1123.999999999991
2021.04.13,-439.99999999999596,424.00000000000216,-73.00000000000084,-24.999999999997247,18.0000000000069,-146.0000000000008,266.999999999995,119.00000000000244,131.99999999999878,-397.99999999999613,-123.99999999999523,835.9999999999923,1055.9999999999902,4.9999999999954525,-109.99999999999943,-39.00000000000148,,1501.9999999999964
2021.04.13,-401.00000000000693,446.0000000000131,-10.999999999994348,48.000000000003595,-1.999999999990898,-158.99999999999181,258.9999999999981,157.00000000000713,190.00000000000128,-402.9999999999916,-146.000000000015,834.0000000000014,1229.9999999999977,-10.99999999999568,-69.00000000000261,7.999999999995566,,1970.000000000029
2021.04.13,-358.9999999999982,442.00000000000904,-36.0000000000027,39.00000000000014,-0.9999999999843467,-121.99999999999989,242.99999999999324,113.00000000000753,158.0000000000026,-365.0000000000091,-117.00000000001864,811.9999999999905,1163.000000000003,-4.9999999999954525,-100.99999999999909,-4.0000000000048885,,1859.9999999999936
2021.04.13,-381.0000000000091,455.0000000000054,-43.999999999999595,41.000000000002146,-0.9999999999843467,-137.00000000000045,239.99999999999577,102.00000000000209,151.9999999999966,-424.0000000000066,-118.99999999999977,784.9999999999912,1122.0000000000007,-19.99999999999602,-132.99999999999557,-31.00000000000591,,1606.9999999999968
2021.04.13,-422.9999999999956,432.0000000000102,-36.0000000000027,9.999999999998899,9.000000000014552,-185.99999999999284,227.99999999999488,109.00000000000354,121.00000000000443,-521.9999999999914,-171.99999999999704,773.0000000000015,1061.9999999999852,-63.99999999999295,-125.0,-85.00000000000796,,1131.0000000000327
2021.04.13,-418.9999999999916,429.00000000001273,-4.999999999999449,12.000000000000899,8.000000000008,-179.00000000000205,224.9999999999974,133.00000000000534,124.00000000000189,-542.0000000000016,-170.00000000001592,760.0000000000051,1064.9999999999827,-75.00000000000284,-120.99999999999511,-88.99999999999864,,1156.0000000000073
2021.04.13,-350.9999999999902,466.00000000001086,53.00000000000304,73.00000000000084,18.0000000000069,-189.99999999999773,214.00000000000307,156.00000000000057,160.00000000000458,-519.0000000000055,-164.0000000000157,715.9999999999833,1134.999999999997,-79.9999999999983,-90.00000000000341,-40.00000000000625,,1556.9999999999932
2021.04.13,-333.9999999999899,473.99999999999665,70.0000000000034,65.00000000000395,2.0000000000131024,-205.99999999998886,200.00000000000017,151.00000000000114,134.0000000000008,-567.0000000000073,-200.00000000001705,712.9999999999859,1083.9999999999961,-118.99999999999977,-112.99999999999955,-91.99999999999875,,1262.0
2021.04.13,-313.99999999999204,487.99999999999955,95.00000000000064,111.00000000000554,-11.999999999989797,-197.9999999999933,197.00000000000273,165.9999999999995,155.00000000000514,-552.9999999999973,-197.00000000000273,722.0000000000005,1173.9999999999861,-106.99999999999932,-90.00000000000341,-54.000000000002046,,1583.0000000000198
2021.04.13,-313.00000000000773,526.0000000000042,124.00000000000189,128.00000000000588,11.00000000000545,-159.9999999999966,212.99999999999653,185.00000000000182,173.9999999999964,-495.00000000000455,-146.000000000015,733.9999999999902,1190.0000000000023,-60.000000000002274,-39.00000000000148,-8.000000000009777,,2063.9999999999673
2021.04.13,-415.0000000000098,496.99999999999187,70.99999999999883,75.00000000000284,9.999999999998899,-182.99999999999272,224.9999999999974,168.00000000000148,146.99999999999713,-599.9999999999943,-171.99999999999704,768.9999999999975,1126.999999999989,-67.99999999999784,-81.99999999999363,-59.00000000001171,,1509.9999999999782
2021.04.13,-520.0000000000093,449.0000000000105,-22.999999999995246,-24.000000000001798,12.999999999996348,-239.99999999999488,234.00000000000088,156.00000000000057,121.99999999999989,-602.0000000000039,-159.00000000002024,780.9999999999873,984.9999999999915,-51.9999999999925,-107.99999999998988,-87.0000000000033,,924.9999999999759
2021.04.13,-533.0000000000057,470.9999999999992,7.9999999999968985,-12.000000000000899,-21.00000000000435,-182.00000000000216,175.00000000000293,98.0000000000092,68.00000000000139,-671.999999999997,-137.00000000000045,699.9999999999895,964.9999999999936,-37.00000000000614,-72.00000000000273,-85.00000000000796,,733.9999999999653
2021.04.13,-628.0000000000064,478.0000000000006,12.000000000000899,-12.999999999996348,-102.00000000000209,-114.99999999999488,158.0000000000026,69.00000000000794,39.999999999995595,-633.0000000000098,-103.00000000000864,689.9999999999907,941.9999999999984,-51.00000000000193,-90.99999999999397,-87.0000000000033,,565.9999999999794
2021.04.13,-645.999999999991,452.00000000000796,-14.999999999998348,-39.999999999995595,-131.99999999999878,8.000000000009777,200.00000000000017,91.00000000000774,46.00000000000159,-586.0000000000127,-28.00000000002001,824.0000000000025,997.0000000000034,57.00000000000216,-15.000000000000568,-38.000000000010914,,1175.0000000000077
2021.04.13,-601.9999999999915,485.0000000000021,-49.99999999999449,-115.99999999999389,-144.99999999999514,189.00000000000716,185.99999999999727,31.000000000003247,-56.99999999999594,-302.99999999999727,135.99999999999568,827.0,751.9999999999972,180.00000000000682,54.000000000002046,-35.0000000000108,,1532.0000000000327
