date,GBPUSD,USDJPY,empty,sum
2015.08.11,800.9999999999851,-769.0000000000055,,31.99999999997965
2015.08.11,766.9999999999843,-767.0000000000101,,-2.580691216280684e-11
2015.08.11,842.9999999999937,-787.0000000000061,,55.99999999998761
2015.08.11,756.9999999999854,-1028.000000000006,,-271.00000000002046
2015.08.11,709.9999999999884,-1058.0000000000068,,-348.0000000000184
2015.08.11,844.0000000000003,-981.9999999999993,,-137.99999999999898
2015.08.11,804.9999999999891,-1023.0000000000103,,-218.00000000002126
2015.08.11,748.9999999999997,-1018.0000000000007,,-269.000000000001
2015.08.11,716.9999999999899,-1017.0000000000101,,-300.00000000002024
2015.08.11,756.9999999999854,-1015.0000000000006,,-258.0000000000151
2015.08.11,812.999999999997,-960.000000000008,,-147.0000000000109
