date,USDCAD,EURCHF,GBPJPY,EURJPY,EURNZD,AUDCAD,NZDCAD,AUDNZD,empty,sum
2019.07.02,-502.9999999999868,404.9999999999887,50.00000000001137,-334.0000000000032,-224.99999999998633,-369.99999999999255,-300.0000000000003,-67.9999999999792,,-1344.9999999999482
2019.07.02,-475.0000000000032,356.9999999999851,34.99999999999659,-381.0000000000002,-255.00000000000523,-317.9999999999961,-304.00000000000426,-21.999999999988695,,-1363.000000000016
2019.07.02,-504.9999999999999,319.0000000000026,20.000000000010232,-432.00000000000216,-340.9999999999913,-307.0000000000017,-283.99999999999534,-36.999999999998145,,-1566.999999999976
2019.07.02,-502.9999999999868,336.00000000000296,28.999999999996362,-385.9999999999957,-326.9999999999884,-291.99999999999227,-255.00000000000523,-37.99999999998249,,-1435.9999999999516
2019.07.02,-509.00000000000387,334.9999999999964,12.000000000000455,-391.9999999999959,-387.000000000004,-290.00000000000136,-229.99999999999687,-60.99999999999994,,-1522.000000000005
2019.07.02,-507.9999999999973,315.99999999998295,-165.99999999999682,-459.99999999999375,-340.00000000000693,-302.9999999999977,-278.9999999999959,-68.99999999998573,,-1808.9999999999911
2019.07.02,-543.0000000000045,316.99999999998954,-159.9999999999966,-447.9999999999933,-390.9999999999858,-507.0000000000019,-336.9999999999984,-254.999999999983,,-2323.999999999974
2019.07.02,-441.0000000000025,387.000000000004,-119.99999999997613,-376.99999999999534,-192.99999999999872,-264.999999999993,-306.00000000000625,60.000000000015596,,-1254.9999999999525
2019.07.02,-441.0000000000025,391.9999999999924,-131.00000000000023,-391.9999999999959,-161.99999999999548,-312.9999999999966,-360.0000000000048,26.999999999999247,,-1380.0000000000036
2019.07.02,-428.00000000000614,394.9999999999898,-79.99999999998408,-361.99999999999477,-48.000000000003595,-383.99999999999545,-441.99999999999795,72.0000000000054,,-1276.9999999999868
2019.07.02,-373.00000000000114,527.9999999999951,-80.99999999998886,-331.99999999999363,36.999999999998145,-307.0000000000017,-485.0000000000021,152.0000000000188,,-860.9999999999753
2019.07.02,-324.9999999999975,451.0000000000014,-346.99999999998,-365.99999999999966,53.00000000001415,-308.9999999999926,-565.0000000000044,237.00000000002052,,-1170.9999999999382
2019.07.02,-371.99999999999454,436.9999999999985,-402.9999999999916,-500.0,202.9999999999976,-297.00000000000284,-572.0000000000058,315.0000000000208,,-1188.9999999999777
2019.07.02,-441.0000000000025,420.9999999999825,-427.99999999999727,-515.0000000000006,182.99999999999983,-285.9999999999974,-550.000000000006,275.000000000003,,-1341.0000000000184
2019.07.02,-489.0000000000061,515.9999999999832,-519.9999999999818,-503.0000000000001,239.00000000001143,-293.99999999999426,-526.0000000000042,269.00000000000813,,-1307.9999999999836
2019.07.02,-473.99999999999665,536.0000000000032,-542.0000000000016,-493.9999999999998,205.00000000001074,-230.99999999999233,-478.0000000000006,281.0000000000201,,-1196.9999999999568
2019.07.02,-472.9999999999901,588.9999999999951,-531.9999999999823,-420.0000000000017,263.00000000001324,-286.99999999999284,-506.0000000000064,273.0000000000121,,-1092.999999999953
2019.07.02,-449.9999999999948,628.9999999999907,-495.9999999999809,-355.99999999999454,197.00000000000273,-187.9999999999993,-465.0000000000043,310.0000000000103,,-818.9999999999702
2019.07.02,-394.00000000000546,646.9999999999976,-435.0000000000023,-385.9999999999957,224.000000000002,-190.00000000000128,-504.00000000000443,337.0000000000095,,-701.0
2019.07.02,-446.9999999999974,617.0000000000009,-342.9999999999893,-375.99999999999056,214.00000000000307,-169.99999999999238,-507.9999999999973,379.0000000000182,,-633.9999999999447
2019.07.02,-429.99999999999704,617.0000000000009,-313.99999999999295,-366.9999999999902,258.0000000000027,-173.00000000000094,-526.0000000000042,416.00000000001637,,-518.9999999999654
2019.07.02,-387.99999999998835,632.9999999999947,-274.99999999997726,-375.0,265.0000000000041,-178.00000000000037,-536.0000000000032,429.00000000001273,,-424.9999999999577
2019.07.02,-554.9999999999944,636.9999999999986,-387.00000000000045,-469.99999999999886,164.00000000000858,-115.99999999999389,-485.0000000000021,421.0000000000047,,-790.9999999999777
2019.07.02,-462.9999999999912,638.9999999999895,-384.9999999999909,-471.00000000000364,124.00000000001299,-85.00000000000173,-431.0000000000036,407.0000000000018,,-664.9999999999866
2019.07.02,-431.0000000000036,639.9999999999961,-389.99999999998636,-497.99999999999045,46.0000000000127,-107.00000000000153,-431.99999999999903,317.0000000000117,,-854.9999999999606
2019.07.02,-493.99999999999443,568.9999999999973,-811.9999999999834,-527.000000000001,32.999999999994145,-146.00000000000168,-436.9999999999985,326.0000000000041,,-1487.9999999999836
2019.07.02,-476.9999999999941,497.99999999999847,-901.9999999999868,-590.0000000000034,-2.999999999997449,-126.99999999999933,-434.000000000001,304.00000000001535,,-1730.9999999999682
2019.07.02,-425.99999999999307,468.00000000000176,-942.9999999999836,-616.9999999999902,-12.999999999996348,-153.99999999999858,-390.99999999999693,261.0000000000001,,-1814.9999999999573
2019.07.02,-390.0000000000015,415.99999999999415,-1014.9999999999864,-673.9999999999924,-14.999999999987246,-200.99999999999562,-414.9999999999987,248.00000000000378,,-2045.9999999999638
2019.07.02,-387.000000000004,272.99999999998994,-1092.9999999999893,-792.9999999999922,73.00000000001194,-202.9999999999976,-404.0000000000044,233.00000000001654,,-2300.9999999999695
2019.07.02,-306.9999999999906,251.99999999998556,-1066.9999999999789,-759.0000000000003,68.00000000000139,-234.99999999999633,-409.99999999999926,187.00000000000384,,-2270.9999999999745
2019.07.02,-309.0000000000037,265.0000000000041,-1006.9999999999766,-826.9999999999982,-56.99999999999594,-278.9999999999959,-456.9999999999963,158.0000000000137,,-2512.999999999949
