date,USDCHF,NZDUSD,GBPCHF,EURCHF,CHFJPY,NZDCHF,GBPJPY,GBPCAD,GBPAUD,EURAUD,EURNZD,CADJPY,empty,sum
2018.04.30,130.0000000000079,151.9999999999966,-90.00000000001229,93.00000000000975,-168.99999999999693,95.99999999999609,-161.00000000000136,-127.99999999999478,-517.9999999999962,513.0000000000078,504.9999999999999,64.99999999999773,,488.0000000000141
2018.04.30,198.00000000000927,232.99999999999432,68.00000000000139,36.0000000000138,-141.00000000000534,129.9999999999968,50.99999999998772,139.00000000000023,-309.99999999998806,436.9999999999985,496.00000000000756,74.99999999998863,,1412.0000000000048
2018.04.30,215.00000000000963,206.99999999999054,59.99999999999339,28.000000000005798,-103.9999999999992,90.99999999999665,90.99999999997976,173.00000000000094,-164.99999999999292,292.00000000000335,402.9999999999978,68.9999999999884,,1359.999999999974
2018.04.30,69.00000000000794,161.99999999999548,275.000000000003,15.999999999993797,-225.00000000000853,148.99999999999915,162.00000000000614,282.0000000000045,-11.00000000000545,395.99999999999636,533.0000000000057,78.99999999999352,,1886.9999999999918
2018.04.30,143.00000000000423,239.0000000000003,119.00000000000244,-52.99999999999194,-147.00000000000557,171.99999999999437,102.00000000000387,191.00000000000784,-218.99999999999142,300.99999999999574,483.0000000000112,70.99999999999795,,1402.0000000000289
2018.04.30,184.00000000000637,258.9999999999981,149.9999999999835,-65.99999999998829,-112.00000000000898,163.00000000000205,176.9999999999925,211.99999999998997,-156.00000000000057,265.0000000000041,448.000000000004,36.99999999999193,,1560.9999999999745
2018.04.30,307.0000000000017,314.99999999999864,-52.000000000007596,-19.999999999997797,-49.000000000006594,131.00000000000333,45.99999999999227,25.00000000000835,-351.99999999999676,263.99999999999756,436.9999999999985,20.999999999986585,,1072.999999999978
2018.04.30,364.00000000000875,329.999999999997,-114.99999999999844,-31.999999999987594,-13.999999999995794,105.99999999999498,14.999999999986358,32.999999999994145,-319.0000000000026,140.99999999999113,358.00000000001387,41.99999999998738,,908.9999999999891
2018.04.30,361.0000000000002,306.9999999999906,-173.00000000000094,-34.99999999998504,6.000000000000227,110.99999999999443,-52.00000000002092,76.99999999999375,-344.99999999999534,123.00000000000644,252.0000000000078,88.99999999999864,,720.9999999999899
2018.04.30,315.0000000000097,263.99999999999756,-212.00000000001216,8.000000000008,-21.000000000000796,75.9999999999983,-98.00000000001319,15.999999999993797,-461.0000000000003,205.00000000001074,336.00000000000296,98.99999999998954,,526.9999999999842
