date,EURUSD,USDCAD,AUDCHF,EURJPY,EURAUD,empty,sum
2019.11.11,24.000000000001798,-25.999999999992696,-76.99999999999375,-262.00000000000045,-270.99999999999903,,-611.9999999999841
2019.11.11,32.999999999994145,-31.999999999987594,-43.999999999999595,-234.99999999999943,-184.00000000000637,,-461.99999999999886
2019.11.11,69.00000000000794,-52.99999999999194,-105.99999999999498,-251.99999999999534,-279.00000000000705,,-620.9999999999814
2019.11.11,99.00000000000463,-14.999999999987246,-92.99999999999864,-197.9999999999933,-200.00000000000017,,-406.9999999999747
2019.11.11,97.9999999999981,22.0000000000109,-104.99999999999955,-194.99999999999318,-180.0000000000024,,-359.99999999998613
2019.11.11,127.00000000001043,17.000000000000348,-126.0000000000039,-170.0000000000017,-229.99999999999687,,-381.9999999999917
2019.11.11,106.99999999999044,-4.999999999988347,-134.99999999999625,-224.99999999999432,-245.99999999999068,,-503.99999999997914
2019.11.11,70.99999999999883,-43.999999999999595,-185.00000000000182,-248.99999999999523,-296.0000000000074,,-703.0000000000052
2019.11.11,72.0000000000054,-43.999999999999595,-253.0000000000032,-257.99999999999557,-431.0000000000036,,-913.9999999999966
2019.11.11,130.99999999999224,-61.99999999998429,-287.9999999999994,-210.99999999999852,-478.0000000000006,,-907.9999999999906
2019.11.11,192.99999999999872,-100.99999999999554,-281.99999999999335,-137.00000000000045,-527.9999999999951,,-854.9999999999857
2019.11.11,182.99999999999983,-79.99999999999119,-280.00000000000244,-119.99999999999034,-492.9999999999879,,-789.999999999972
2019.11.11,158.99999999999804,-55.99999999998939,-285.9999999999974,-113.99999999999011,-421.0000000000047,,-717.9999999999836
2019.11.11,133.00000000000534,-43.999999999999595,-305.99999999999517,-128.99999999999068,-472.00000000000574,,-817.9999999999859
2019.11.11,123.99999999999079,9.000000000014552,-303.9999999999932,-98.99999999998954,-507.9999999999973,,-777.9999999999748
2019.11.11,126.0000000000039,0.0,-273.000000000001,-54.000000000002046,-541.9999999999981,,-742.9999999999973
2019.11.11,147.00000000000824,59.000000000009045,-307.0000000000017,-42.999999999992156,-543.999999999989,,-687.9999999999656
2019.11.11,174.99999999999181,3.0000000000196536,-302.9999999999977,-13.999999999995794,-577.0000000000052,,-715.9999999999873
2019.11.11,153.00000000000313,6.000000000017103,-314.0000000000032,-22.999999999996135,-543.999999999989,,-721.999999999968
2019.11.11,167.9999999999904,6.000000000017103,-303.9999999999932,-30.9999999999917,-513.9999999999923,,-674.9999999999696
2019.11.11,178.00000000001148,68.00000000000139,-322.9999999999955,-61.99999999999761,-509.99999999998823,,-648.9999999999685
2019.11.11,180.0000000000024,67.00000000001705,-307.0000000000017,-80.99999999998886,-439.99999999999596,,-580.999999999967
2019.11.11,178.00000000001148,22.0000000000109,-298.9999999999937,-73.99999999999807,-407.0000000000018,,-579.9999999999711
2019.11.11,150.00000000000568,9.999999999998899,-319.99999999999807,-76.99999999999818,-415.99999999999415,,-652.9999999999858
2019.11.11,144.99999999999514,-8.999999999992347,-324.9999999999975,-87.99999999999386,-431.99999999998795,,-708.9999999999766
2019.11.11,134.99999999999625,-4.999999999988347,-343.9999999999999,-86.99999999998909,-468.00000000000176,,-768.9999999999828
2019.11.11,126.0000000000039,-27.999999999983594,-334.00000000000097,-78.99999999999352,-455.0000000000054,,-769.9999999999795
2019.11.11,126.0000000000039,-78.00000000000028,-336.00000000000296,-87.99999999999386,-465.99999999998863,,-841.9999999999818
2019.11.12,127.00000000001043,-70.99999999999883,-387.000000000004,-156.99999999999648,-486.00000000000864,,-973.9999999999975
2019.11.12,126.0000000000039,-76.99999999999375,-378.00000000000057,-86.99999999998909,-539.0000000000006,,-954.9999999999801
