timeframe,profit,0,timeframe1,drawup,1,timeframe2,drawdown
2021.10.29 04:00,3270.9999999999764,,2021.10.29 08:30,2916.9999999999914,,2021.10.27 01:00,-201.99999999999062
2021.10.29 03:30,3321.0000000000337,,2021.10.29 11:00,2890.9999999999923,,2021.10.27 17:30,-189.9999999999672
2021.10.29 03:00,3595.999999999991,,2021.10.28 16:00,2748.0000000000355,,2021.10.26 16:00,-174.00000000001228
2021.10.29 02:30,3875.0000000000264,,2021.10.29 07:30,2744.0000000000236,,2021.10.27 04:30,-148.9999999999602
2021.10.29 02:00,3924.0000000000146,,2021.10.27 15:00,2515.0000000000337,,2021.10.27 08:30,-143.00000000001546
2021.10.29 01:30,4164.000000000032,,2021.10.29 12:00,2198.0000000000205,,2021.10.26 23:30,-130.99999999995669
2021.10.29 01:00,3933.0000000000155,,2021.10.28 07:00,2131.0000000000505,,2021.10.25 04:30,-129.00000000000801
2021.10.29 00:30,4386.9999999999845,,2021.10.28 10:30,2095.0000000000446,,2021.10.26 05:00,-122.99999999998988
2021.10.29 00:00,4045.9999999999995,,2021.10.29 12:30,2076.000000000035,,2021.10.27 01:30,-99.99999999997175
2021.10.28 23:30,4428.000000000038,,2021.10.28 07:30,2005.0000000000207,,2021.10.26 22:30,-82.9999999999651
2021.10.28 23:00,4020.0000000000496,,2021.10.28 08:00,1928.000000000019,,2021.10.27 02:00,-68.99999999994293
2021.10.28 22:30,4052.000000000013,,2021.10.29 23:30,1841.000000000024,,2021.10.27 06:00,-63.99999999996635
2021.10.28 22:00,3895.000000000001,,2021.10.29 23:00,1835.0000000000282,,2021.10.27 18:00,-38.99999999999602
2021.10.28 21:30,4373.000000000018,,2021.10.28 09:00,1825.000000000011,,2021.10.28 03:30,-27.999999999998863
2021.10.28 21:00,4545.000000000053,,2021.10.28 06:30,1817.000000000072,,2021.10.28 00:00,16.00000000002717
2021.10.28 20:30,4828.000000000016,,2021.10.27 14:30,1801.0000000000605,,2021.10.25 16:00,33.000000000006594
2021.10.28 20:00,4630.000000000033,,2021.10.29 13:00,1727.0000000000268,,2021.10.26 04:00,34.00000000000017
2021.10.28 19:30,5002.000000000013,,2021.10.28 15:30,1695.0000000000364,,2021.10.25 03:00,43.000000000032514
2021.10.28 19:00,5208.000000000008,,2021.10.29 17:30,1645.000000000052,,2021.10.27 00:30,46.00000000000932
2021.10.28 18:30,5089.000000000062,,2021.10.27 14:00,1635.0000000000562,,2021.10.27 06:30,54.00000000003354
2021.10.28 18:00,4680.0000000000455,,2021.10.28 05:30,1632.0000000000598,,2021.10.26 15:30,71.00000000003843
2021.10.28 17:30,4444.000000000047,,2021.10.29 22:00,1586.0000000000691,,2021.10.27 18:30,89.00000000006298
2021.10.28 17:00,4526.000000000029,,2021.10.29 13:30,1583.0000000000268,,2021.10.28 04:00,96.00000000000875
