date,GBPUSD,EURCHF,EURCAD,EURAUD,empty,sum
2020.06.23,1488.0000000000005,375.9999999999986,43.999999999999595,-1500.9999999999968,,407.0000000000018
2020.06.23,1407.0000000000027,374.0000000000077,35.00000000000725,-1381.9999999999943,,434.0000000000234
2020.06.23,953.0000000000039,285.00000000000193,188.00000000001037,-374.999999999992,,1051.0000000000243
2020.06.23,1309.0000000000045,306.00000000000625,42.0000000000087,-1431.9999999999889,,225.0000000000307
2020.06.23,1446.9999999999982,442.00000000000904,84.0000000000174,-1413.999999999982,,559.0000000000425
2020.06.23,1442.00000000001,435.0000000000076,314.00000000001427,-1336.9999999999882,,854.0000000000437
2020.06.23,1336.0000000000039,408.00000000000836,286.00000000000847,-1220.9999999999832,,809.0000000000375
2020.06.23,1339.0000000000014,385.99999999999744,319.0000000000026,-1144.999999999996,,899.0000000000055
2020.06.23,1354.999999999995,368.9999999999971,294.0000000000165,-1151.9999999999975,,866.0000000000111
2020.06.23,1249.9999999999955,341.99999999999784,318.00000000001825,-1132.999999999984,,777.0000000000273
2020.06.23,1279.9999999999923,344.99999999999534,314.00000000001427,-1097.999999999999,,841.000000000003
2020.06.23,1059.00000000001,314.99999999999864,385.00000000001313,-910.9999999999951,,848.0000000000267
2020.06.23,1157.000000000008,326.0000000000041,350.00000000000585,-1072.9999999999907,,760.0000000000273
2020.06.23,1306.9999999999916,317.0000000000117,361.0000000000113,-1112.0000000000018,,873.0000000000127
2020.06.23,1472.0000000000066,373.00000000000114,514.0000000000144,-984.9999999999915,,1374.000000000031
2020.06.23,1561.9999999999968,371.99999999999454,448.000000000004,-1234.9999999999861,,1147.0000000000093
2020.06.23,1543.0000000000055,327.99999999999494,482.00000000000466,-1095.999999999986,,1257.000000000019
2020.06.23,1422.000000000012,287.9999999999994,555.0000000000166,-1004.9999999999892,,1260.000000000039
2020.06.23,1177.000000000006,356.00000000000074,527.0000000000108,-997.9999999999878,,1062.0000000000296
2020.06.23,1090.0000000000132,336.00000000000296,479.0000000000072,-1114.9999999999993,,790.0000000000241
2020.06.23,1208.000000000009,388.0000000000106,497.99999999999847,-1234.0000000000018,,860.0000000000164
2020.06.23,1154.0000000000105,383.0,538.0000000000163,-1288.9999999999845,,786.0000000000423
2020.06.23,1129.0000000000023,431.0000000000036,429.00000000001273,-1378.9999999999968,,610.0000000000218
2020.06.23,1290.0000000000134,612.0000000000125,453.99999999999886,-1392.9999999999998,,963.0000000000248
2020.06.23,1438.000000000006,646.0000000000132,665.0000000000044,-1417.0000000000016,,1332.000000000022
2020.06.23,1558.9999999999993,618.0000000000074,694.0000000000168,-1534.9999999999975,,1336.0000000000261
2020.06.23,1397.0000000000039,500.00000000001154,700.0000000000117,-1475.9999999999884,,1121.0000000000389
2020.06.23,1415.0000000000107,548.0000000000151,844.0000000000003,-1276.9999999999948,,1530.0000000000316
2020.06.23,1740.9999999999925,594.0000000000057,924.9999999999981,-1356.999999999986,,1903.0000000000105
2020.06.23,1818.999999999993,490.0000000000126,822.0000000000116,-1302.9999999999875,,1828.0000000000298
2020.06.23,1791.0000000000093,530.0000000000082,727.0000000000109,-1380.9999999999877,,1667.0000000000405
2020.06.23,1876.9999999999955,513.0000000000078,747.0000000000088,-1305.0000000000007,,1832.0000000000111
